ACCOUNTNUMBER,AGEBUCKET,AUA,AUM,AUMBUCKET,BILLINGCOUNTRY,BILLINGPOSTALCODE,BILLINGSTATE,CLIENTCATEGORY,CLIENTCATEGORYCUSTOM,CREATEDDATE,CUSTOMERSEGMENT,DAYSSINCELASTINTERACTION,FINANCIALINTERESTS,HELDAWAY,HOUSEHOLDCOMPUTED,HOUSEHOLDSIZE,HOUSEHOLDSIZETEXT,ID,INVESTMENTEXPERIENCE,INVESTMENTOBJECTIVES,LASTINTERACTION,LASTREVIEW,LEADORCONTACTID,MARKETINGSEGMENT,NAME,NETWORTH,NETWORTHBUCKET,NEXTREVIEW,OWNERCITY,OWNEREMAIL,OWNERID,OWNERNAME,OWNERROLENAME,OWNERSMALLPHOTOURL,OWNERSTATE,PHONE,PRIMARYCONTACTAGE,PRIMARYCONTACTANNUALINCOME,PRIMARYCONTACTEMAIL,PRIMARYCONTACTGENDER,RECORDTYPENAME,RELATIONSHIPSTARTDATE,REVIEWFREQUENCY,RISKTOLERANCE,ROLLUPHOUSEHOLDNAME,SAMPLEACCOUNT,SERVICEMODEL,TOTALAUMJOINTOWNER,TOTALAUMPRIMARYOWNER,TOTALFINACCTSJOINTOWNER,TOTALFINACCTSPRIMARYOWNER,TOTALFINANCIALACCOUNTS,TOTALHELDFINACCTSJOINTOWNER,TOTALHELDFINACCTSPRIMARYOWNER,TOTALNUMBEROFFINACCOUNTSPRIMARYOWNER,WALLETSHARE,YEARSSINCECLIENT,YEARSSINCECLIENTBUCKET,LastProcessedDate
52,3. 30-49,265903.69999999995,350272.0,1. Less than 500K,USA,75410,TX,Platinum,1 - Platinum,2018-11-26,Mass Affluent,3,Fixed Income,265903.69999999995,,0,0,0011U00000KuFXwQAN,Moderately Inexperienced,Balanced Growth,2020-05-22,2020-05-17,0031U00000MrehWQAR,Retired,Genevieve Bauer,616175.7,2. Between 500K and 2M,2020-06-11,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,546-775-5209,32,185923.0,user-52@fsc-demo.com,Male,Individual,2012-04-17,Monthly,Moderate,,false,Tier 3,0.0,350272.0,0.0,616175.7,616175.7,0.0,265903.69999999995,3.0,0.4315387640246118,6,4. Between 5 and 10 Years,2020-05-25
55,4. 50-69,181525.0,414283.0,1. Less than 500K,USA,15610,PA,Silver,3 - Silver,2018-11-26,Long Term Growth,547,Technology,181525.0,Seth Frost,2,2,0011U00000KuFXzQAN,Experienced,Growth,2018-11-25,2018-11-23,0031U00000MrehZQAR,Millennials,Seth Frost,595808.0,2. Between 500K and 2M,2018-12-13,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,307-928-8881,57,248561.0,user-55@fsc-demo.com,Female,Household,2016-11-06,Annually,Conservative,Seth Frost,false,Tier 1,0.0,414283.0,0.0,595808.0,595808.0,0.0,181525.0,3.0,0.30467029647134647,2,2. Between 1 and 3 years,2020-05-25
59,4. 50-69,617251.6699999999,792547.0,2. Between 500K and 2M,USA,32422,FL,Gold,2 - Gold,2018-11-26,Mass Affluent,3,College Planning,617251.6699999999,,0,0,0011U00000KuFY3QAN,Experienced,Aggressive Growth,2020-05-22,2020-05-07,0031U00000MrehdQAB,High Net Worth Families,Amos May,1409798.67,2. Between 500K and 2M,2020-06-12,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,244-119-9003,53,164862.0,user-59@fsc-demo.com,Female,Person Account,2017-12-20,Quarterly,Aggresive,,false,Tier 2,0.0,792547.0,0.0,1409798.67,1409798.67,0.0,617251.6699999999,5.0,0.4378296583298663,0,1. Less than 1 year,2020-05-25
60,3. 30-49,522007.2,775475.0,2. Between 500K and 2M,USA,32420,FL,Gold,2 - Gold,2018-11-26,Long Term Growth,551,Technology,522007.2,,0,0,0011U00000KuFY4QAN,Moderately Inexperienced,Aggressive Growth,2018-11-21,2018-11-10,0031U00000MreheQAB,High Net Worth Families,Marny Ford,1297482.2,2. Between 500K and 2M,2018-12-20,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,315-881-6342,40,176630.0,user-60@fsc-demo.com,Female,Person Account,2017-12-09,Annually,None,,false,Tier 1,0.0,775475.0,0.0,1297482.2,1297482.2,0.0,522007.2,5.0,0.4023232072085459,0,1. Less than 1 year,2020-05-25
61,5. > 69,376160.0,68984.0,1. Less than 500K,USA,10452,NY,Gold,2 - Gold,2018-11-26,Long Term Growth,546,College Planning,376160.0,Declan Leblanc,4,4,0011U00000KuFY5QAN,Moderately Inexperienced,Aggressive Growth,2018-11-26,2018-11-24,0011U00000KulRbQAJ,Millennials,Declan Leblanc,445144.0,1. Less than 500K,2018-12-19,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,500-239-9540,74,59535.0,user-61@fsc-demo.com,Male,Household,2012-08-11,Annually,Aggresive,Declan Leblanc,false,Tier 3,0.0,68984.0,0.0,445144.0,445144.0,0.0,376160.0,3.0,0.8450299229013533,6,4. Between 5 and 10 Years,2020-05-25
63,3. 30-49,234054.0,374796.0,1. Less than 500K,USA,48004,MI,Gold,2 - Gold,2018-11-26,Long Term Growth,552,Fixed Income,234054.0,,0,0,0011U00000KuFY7QAN,Moderately Inexperienced,Income,2018-11-20,2018-10-28,0031U00000MrehfQAB,Mass Market,Brielle Lynn,608850.0,2. Between 500K and 2M,2018-12-26,New York,mark.garet@example.com,0051U000005KhW6QAK,Mark Garet,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T,NY,356-540-9127,49,179367.0,user-63@fsc-demo.com,Male,Person Account,2013-10-17,Monthly,Aggresive,,false,Tier 2,0.0,374796.0,0.0,608850.0,608850.0,0.0,234054.0,4.0,0.38441980783444196,5,4. Between 5 and 10 Years,2020-05-25
64,5. > 69,408265.0,0.0,6. NA,USA,8030,NJ,Silver,3 - Silver,2018-11-26,Mass Affluent,562,Retirement,408265.0,,0,0,0011U00000KuFY8QAN,Moderately Inexperienced,Income,2018-11-10,2018-11-09,0031U00000MrehgQAB,Retired,Ava Bean,408265.0,1. Less than 500K,2018-12-17,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,345-321-6636,70,222819.0,user-64@fsc-demo.com,Female,Individual,2013-08-15,Monthly,Conservative,,false,Tier 2,0.0,0.0,0.0,408265.0,408265.0,0.0,408265.0,2.0,1.0,5,4. Between 5 and 10 Years,2020-05-25
66,2. 18-29,61006.0,113351.0,1. Less than 500K,USA,48001,MI,Gold,2 - Gold,2018-11-26,Mass Affluent,8,Municipal Bonds,61006.0,,0,0,0011U00000KuFYAQA3,Experienced,Income,2020-05-17,2020-05-16,0031U00000MrehhQAB,Mass Market,Asher House,174357.0,1. Less than 500K,2020-06-23,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,257-690-2665,23,186790.0,user-66@fsc-demo.com,Male,Person Account,2014-11-17,Monthly,Moderate,,false,Tier 1,0.0,113351.0,0.0,174357.0,174357.0,0.0,61006.0,2.0,0.3498913149457722,4,3. Between 3 and 5 years,2020-05-25
67,3. 30-49,398859.4,542264.0,2. Between 500K and 2M,USA,96109,CA,Gold,2 - Gold,2018-11-26,Long Term Growth,547,Retirement,398859.4,Lynn Davidson,2,2,0011U00000KuFYBQA3,Moderately Inexperienced,Growth,2018-11-25,2018-11-18,0031U00000MrehiQAB,Affluent Professionals,Lynn Davidson,941123.4,2. Between 500K and 2M,2018-12-22,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,315-613-9963,32,183222.0,user-67@fsc-demo.com,Male,Household,2012-11-23,Monthly,Moderate,Lynn Davidson,false,Tier 2,0.0,542264.0,0.0,941123.4,941123.4,0.0,398859.4,5.0,0.42381201019972514,6,4. Between 5 and 10 Years,2020-05-25
68,3. 30-49,243288.9,297915.0,1. Less than 500K,USA,75925,TX,Platinum,1 - Platinum,2018-11-26,Mass Affluent,557,Technology,243288.9,Evangeline Christian,2,2,0011U00000KuFYCQA3,Inexperienced,Aggressive Growth,2018-11-15,2018-11-11,0031U00000MrehjQAB,Millennials,Evangeline Christian,541203.9,2. Between 500K and 2M,2018-12-21,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,229-915-8623,46,194960.0,user-68@fsc-demo.com,Male,Household,2016-07-25,Quarterly,Moderate,Evangeline Christian,false,Tier 2,0.0,297915.0,0.0,541203.9,541203.9,0.0,243288.9,2.0,0.449532791615138,2,2. Between 1 and 3 years,2020-05-25
70,4. 50-69,166411.0,305991.0,1. Less than 500K,USA,10458,NY,Silver,3 - Silver,2018-11-26,Long Term Growth,566,Fixed Income,166411.0,,0,0,0011U00000KuFYEQA3,Moderately Inexperienced,Income,2018-11-06,2018-11-04,0031U00000MrehkQAB,Retired,Reuben Roman,472402.0,1. Less than 500K,2018-12-17,New York,mark.garet@example.com,0051U000005KhW6QAK,Mark Garet,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T,NY,386-338-6871,58,249799.0,user-70@fsc-demo.com,Male,Individual,2012-08-06,Annually,None,,false,Tier 1,0.0,305991.0,0.0,472402.0,472402.0,0.0,166411.0,2.0,0.35226565509883534,6,4. Between 5 and 10 Years,2020-05-25
71,3. 30-49,328749.0,342193.0,1. Less than 500K,USA,75550,TX,Silver,3 - Silver,2018-11-26,Mass Affluent,546,Municipal Bonds,328749.0,,0,0,0011U00000KuFYFQA3,Experienced,Aggressive Growth,2018-11-26,2018-11-13,0011U00000KulRbQAJ,Affluent Professionals,Chloe Knox,670942.0,2. Between 500K and 2M,2018-12-16,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,221-979-8718,43,118905.0,user-71@fsc-demo.com,Female,Person Account,2017-10-08,Annually,Conservative,,false,Tier 1,0.0,342193.0,0.0,670942.0,670942.0,0.0,328749.0,4.0,0.4899812502421968,1,2. Between 1 and 3 years,2020-05-25
72,3. 30-49,319409.6,555203.0,2. Between 500K and 2M,USA,10457,NY,Silver,3 - Silver,2018-11-26,Mass Affluent,557,Fixed Income,319409.6,Caleb Mccray,3,3,0011U00000KuFYGQA3,Inexperienced,Income,2018-11-15,2018-11-06,0031U00000MrehlQAB,Millennials,Caleb Mccray,874612.6,2. Between 500K and 2M,2018-12-21,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,510-423-9526,44,147702.0,user-72@fsc-demo.com,Male,Household,2009-02-02,Monthly,Moderate,Caleb Mccray,false,Tier 2,0.0,555203.0,0.0,874612.6,874612.6,0.0,319409.6,4.0,0.3652012330945152,9,4. Between 5 and 10 Years,2020-05-25
77,4. 50-69,690587.0,134254.0,1. Less than 500K,USA,32615,FL,Gold,2 - Gold,2018-11-26,Mass Affluent,546,Fixed Income,690587.0,Bell Solis,3,3,0011U00000KuFYLQA3,Moderately Experienced,Income,2018-11-26,2018-11-23,0031U00000MrehmQAB,High Net Worth Families,Bell Solis,824841.0,2. Between 500K and 2M,2018-12-18,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,338-272-7754,69,159387.0,user-77@fsc-demo.com,Male,Household,2012-12-16,Annually,Aggresive,Bell Solis,false,Tier 1,0.0,134254.0,0.0,824841.0,824841.0,0.0,690587.0,4.0,0.8372365098243176,5,4. Between 5 and 10 Years,2020-05-25
79,3. 30-49,506030.6,716220.0,2. Between 500K and 2M,USA,10457,NY,Gold,2 - Gold,2018-11-26,Long Term Growth,551,Fixed Income,506030.6,,0,0,0011U00000KuFYNQA3,Inexperienced,Balanced Growth,2018-11-21,2018-11-05,0031U00000MrehnQAB,Affluent Professionals,Raphael Snider,1222250.6,2. Between 500K and 2M,2018-12-14,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,530-865-2256,46,217885.0,user-79@fsc-demo.com,Male,Individual,2011-10-12,Annually,Moderate,,false,Tier 3,0.0,716220.0,0.0,1222250.6,1222250.6,0.0,506030.6,4.0,0.41401542367825384,7,4. Between 5 and 10 Years,2020-05-25
80,3. 30-49,110442.0,256884.0,1. Less than 500K,USA,32422,FL,Silver,3 - Silver,2018-11-26,Long Term Growth,558,College Planning,110442.0,,0,0,0011U00000KuFYOQA3,Moderately Inexperienced,Income,2018-11-14,2018-11-05,0031U00000MrehoQAB,Millennials,Slade Lindsay,367326.0,1. Less than 500K,2018-12-25,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,483-761-4898,49,54489.0,user-80@fsc-demo.com,Male,Individual,2016-03-05,Annually,Moderate,,false,Tier 2,0.0,256884.0,0.0,367326.0,367326.0,0.0,110442.0,3.0,0.30066480456052663,2,2. Between 1 and 3 years,2020-05-25
81,3. 30-49,230867.0,450365.0,1. Less than 500K,USA,48002,MI,Platinum,1 - Platinum,2018-11-26,Long Term Growth,553,Technology,230867.0,Roth Guy,2,2,0011U00000KuFYPQA3,Experienced,Growth,2018-11-19,2018-11-18,0031U00000MrehpQAB,Mass Market,Roth Guy,681232.0,2. Between 500K and 2M,2018-12-13,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,330-904-4782,45,70141.0,user-81@fsc-demo.com,Female,Household,2016-05-06,Quarterly,Moderate,Roth Guy,false,Tier 2,0.0,450365.0,0.0,681232.0,681232.0,0.0,230867.0,4.0,0.33889629377363367,2,2. Between 1 and 3 years,2020-05-25
82,4. 50-69,371354.4,469923.0,1. Less than 500K,USA,75926,TX,Silver,3 - Silver,2018-11-26,Mass Affluent,546,College Planning,371354.4,,0,0,0011U00000KuFYQQA3,Moderately Experienced,Aggressive Growth,2018-11-26,2018-11-12,0031U00000MrehqQAB,Retired,Autumn Perry,841277.4,2. Between 500K and 2M,2018-12-18,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,300-616-9892,60,129402.0,user-82@fsc-demo.com,Female,Individual,2010-11-22,Monthly,Moderate,,false,Tier 1,0.0,469923.0,0.0,841277.4,841277.4,0.0,371354.4,3.0,0.4414173018317145,8,4. Between 5 and 10 Years,2020-05-25
85,4. 50-69,126441.0,155641.0,1. Less than 500K,USA,61239,IL,Platinum,1 - Platinum,2018-11-26,Long Term Growth,12,Retirement,126441.0,,0,0,0011U00000KuFYTQA3,Experienced,Balanced Growth,2020-05-13,2020-04-27,0031U00000MrehsQAB,Millennials,Stephen Pittman,282082.0,1. Less than 500K,2020-06-20,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,453-541-3761,64,105547.0,user-85@fsc-demo.com,Female,Person Account,2013-07-11,Quarterly,None,,false,Tier 2,0.0,155641.0,0.0,282082.0,282082.0,0.0,126441.0,2.0,0.4482420005530307,5,4. Between 5 and 10 Years,2020-05-25
87,5. > 69,160371.5,315132.0,1. Less than 500K,USA,96101,CA,Silver,3 - Silver,2018-11-26,Long Term Growth,24,Fixed Income,160371.5,,0,0,0011U00000KuFYVQA3,Moderately Experienced,Income,2020-05-01,2020-04-30,0011U00000KulRbQAJ,Affluent Professionals,Kirestin Ratliff,475503.5,1. Less than 500K,2020-05-26,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,332-610-4289,70,199686.0,user-87@fsc-demo.com,Female,Person Account,2015-10-03,Annually,Moderate,,false,Tier 1,0.0,315132.0,0.0,475503.5,475503.5,0.0,160371.5,4.0,0.3372667078160308,3,3. Between 3 and 5 years,2020-05-25
91,3. 30-49,408163.0,237927.0,1. Less than 500K,USA,75926,TX,Gold,2 - Gold,2018-11-26,Long Term Growth,22,Retirement,408163.0,Clementine Hughes,2,2,0011U00000KuFYZQA3,Inexperienced,Income,2020-05-03,2020-04-12,0031U00000MrehuQAB,Retired,Clementine Hughes,646090.0,2. Between 500K and 2M,2020-05-20,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,436-582-9472,38,93990.0,user-91@fsc-demo.com,Male,Household,2012-12-09,Quarterly,Moderate,Clementine Hughes,false,Tier 1,0.0,237927.0,0.0,646090.0,646090.0,0.0,408163.0,4.0,0.6317432555835875,5,4. Between 5 and 10 Years,2020-05-25
92,3. 30-49,670023.0,59995.0,1. Less than 500K,USA,10455,NY,Gold,2 - Gold,2018-11-26,Mass Affluent,549,College Planning,670023.0,,0,0,0011U00000KuFYaQAN,Moderately Inexperienced,Income,2018-11-23,2018-11-10,0031U00000MrehvQAB,Mass Market,Drake Branch,730018.0,2. Between 500K and 2M,2018-12-19,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,289-783-6924,37,129372.0,user-92@fsc-demo.com,Male,Individual,2013-03-01,Monthly,Moderate,,false,Tier 2,0.0,59995.0,0.0,730018.0,730018.0,0.0,670023.0,4.0,0.9178170949209472,5,4. Between 5 and 10 Years,2020-05-25
93,3. 30-49,173150.0,343198.0,1. Less than 500K,USA,96140,CA,Silver,3 - Silver,2018-11-26,Long Term Growth,575,Municipal Bonds,173150.0,,0,0,0011U00000KuFYbQAN,Experienced,Aggressive Growth,2018-10-28,2018-10-27,0031U00000MrehwQAB,Millennials,Penelope Briggs,516348.0,2. Between 500K and 2M,2018-12-24,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,429-480-7811,46,163652.0,user-93@fsc-demo.com,Male,Person Account,2014-03-03,Annually,Moderate,,false,Tier 3,0.0,343198.0,0.0,516348.0,516348.0,0.0,173150.0,3.0,0.33533585876192024,4,3. Between 3 and 5 years,2020-05-25
94,4. 50-69,468884.06999999995,585165.0,2. Between 500K and 2M,USA,15411,PA,Gold,2 - Gold,2018-11-26,Long Term Growth,555,Retirement,468884.06999999995,,0,0,0011U00000KuFYcQAN,Inexperienced,Aggressive Growth,2018-11-17,2018-11-07,0011U00000KulRbQAJ,Retired,Basil Moran,1054049.0699999998,2. Between 500K and 2M,2018-12-11,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,517-839-7663,60,225219.0,user-94@fsc-demo.com,Female,Individual,2018-01-03,Monthly,Aggresive,,false,Tier 3,0.0,585165.0,0.0,1054049.07,1054049.07,0.0,468884.06999999995,5.0,0.44484083648970907,0,1. Less than 1 year,2020-05-25
97,3. 30-49,321347.4,580722.0,2. Between 500K and 2M,USA,10459,NY,Gold,2 - Gold,2018-11-26,Long Term Growth,550,Municipal Bonds,321347.4,,0,0,0011U00000KuFYfQAN,Moderately Experienced,Aggressive Growth,2018-11-22,2018-11-17,0031U00000MrehyQAB,Mass Market,Raja Oneal,902069.4,2. Between 500K and 2M,2018-12-24,New York,mark.garet@example.com,0051U000005KhW6QAK,Mark Garet,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T,NY,240-315-1447,32,124265.0,user-97@fsc-demo.com,Female,Individual,2012-07-12,Monthly,None,,false,Tier 3,0.0,580722.0,0.0,902069.4,902069.4,0.0,321347.4,4.0,0.35623356695172237,6,4. Between 5 and 10 Years,2020-05-25
99,3. 30-49,110781.0,62465.0,1. Less than 500K,USA,61235,IL,Gold,2 - Gold,2018-11-26,Long Term Growth,567,Municipal Bonds,110781.0,Quon Holcomb,3,3,0011U00000KuFYhQAN,Moderately Inexperienced,Growth,2018-11-05,2018-11-05,0031U00000Mrei0QAB,High Net Worth Families,Quon Holcomb,173246.0,1. Less than 500K,2018-12-22,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,374-488-4731,33,127458.0,user-99@fsc-demo.com,Female,Household,2009-11-13,Quarterly,Conservative,Quon Holcomb,false,Tier 2,0.0,62465.0,0.0,173246.0,173246.0,0.0,110781.0,2.0,0.6394433349110513,9,4. Between 5 and 10 Years,2020-05-25
101,3. 30-49,178374.0,355526.0,1. Less than 500K,USA,75410,TX,Gold,2 - Gold,2018-12-03,Long Term Growth,10,Technology,178374.0,Abraham Tyler,4,4,0011U00000KuFYjQAN,Experienced,Balanced Growth,2020-05-15,2020-05-07,0031U00000Mrei2QAB,Affluent Professionals,Abraham Tyler,533900.0,2. Between 500K and 2M,2020-06-16,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,475-890-7982,34,52504.0,user-101@fsc-demo.com,Female,Household,2015-05-02,Monthly,None,Abraham Tyler,false,Tier 3,0.0,355526.0,0.0,533900.0,533900.0,0.0,178374.0,4.0,0.3340962727102454,3,3. Between 3 and 5 years,2020-05-25
103,2. 18-29,186813.3,348391.0,1. Less than 500K,USA,8032,NJ,Platinum,1 - Platinum,2018-12-03,Mass Affluent,542,Energy,186813.3,,0,0,0011U00000KuFYlQAN,Experienced,Income,2018-11-30,2018-11-13,0031U00000Mrei3QAB,High Net Worth Families,Maryam Ramsey,535204.3,2. Between 500K and 2M,2018-12-20,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,369-329-2197,24,246672.0,user-103@fsc-demo.com,Male,Person Account,2015-10-20,Annually,Conservative,,false,Tier 3,0.0,348391.0,0.0,535204.3,535204.3,0.0,186813.3,3.0,0.3490504467172629,3,3. Between 3 and 5 years,2020-05-25
105,2. 18-29,66019.0,135825.0,1. Less than 500K,USA,96101,CA,Gold,2 - Gold,2018-12-10,Long Term Growth,551,Technology,66019.0,,0,0,0011U00000KuFYnQAN,Inexperienced,Balanced Growth,2018-11-21,2018-11-13,0031U00000Mrei5QAB,Millennials,Kirestin Wilkins,201844.0,1. Less than 500K,2018-12-31,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,426-205-5460,24,88841.0,user-105@fsc-demo.com,Female,Person Account,2016-09-07,Annually,None,,false,Tier 1,0.0,135825.0,0.0,201844.0,201844.0,0.0,66019.0,2.0,0.32707932859039657,2,2. Between 1 and 3 years,2020-05-25
106,3. 30-49,171128.0,181343.0,1. Less than 500K,USA,10451,NY,Silver,3 - Silver,2018-12-10,Long Term Growth,1,Municipal Bonds,171128.0,,0,0,0011U00000KuFYoQAN,Moderately Experienced,Income,2020-05-24,2020-05-21,0011U00000KulRbQAJ,Affluent Professionals,Calvin Rutledge,352471.0,1. Less than 500K,2020-06-23,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,405-990-1171,42,119274.0,user-106@fsc-demo.com,Female,Individual,2015-11-12,Monthly,Moderate,,false,Tier 3,0.0,181343.0,0.0,352471.0,352471.0,0.0,171128.0,2.0,0.48550944616720243,3,3. Between 3 and 5 years,2020-05-25
108,2. 18-29,137166.3,95248.0,1. Less than 500K,USA,10452,NY,Silver,3 - Silver,2018-12-10,Long Term Growth,536,Retirement,137166.3,,0,0,0011U00000KuFYqQAN,Experienced,Growth,2018-12-06,2018-12-01,0011U00000KulRbQAJ,Retired,Abbot Gutierrez,232414.3,1. Less than 500K,2019-01-09,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,292-483-7761,29,181837.0,user-108@fsc-demo.com,Male,Individual,2017-02-12,Annually,None,,false,Tier 1,0.0,95248.0,0.0,232414.3,232414.3,0.0,137166.3,2.0,0.5901801223074483,1,2. Between 1 and 3 years,2020-05-25
111,2. 18-29,252989.0,104433.0,1. Less than 500K,USA,96101,CA,Silver,3 - Silver,2018-12-24,Mass Affluent,522,College Planning,252989.0,,0,0,0011U00000KuFYtQAN,Experienced,Income,2018-12-20,2018-12-16,0031U00000Mrei9QAB,Retired,Fuller Cooley,357422.0,1. Less than 500K,2019-01-12,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,452-464-4358,28,151456.0,user-111@fsc-demo.com,Male,Person Account,2011-06-01,Monthly,Aggresive,,false,Tier 3,0.0,104433.0,0.0,357422.0,357422.0,0.0,252989.0,3.0,0.7078159710370374,7,4. Between 5 and 10 Years,2020-05-25
112,4. 50-69,207249.5,228547.0,1. Less than 500K,USA,48002,MI,Silver,3 - Silver,2018-12-31,Long Term Growth,517,Municipal Bonds,207249.5,Mannix Best,3,3,0011U00000KuFYuQAN,Experienced,Growth,2018-12-25,2018-12-07,0011U00000KulRbQAJ,High Net Worth Families,Mannix Best,435796.5,1. Less than 500K,2019-01-20,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,261-809-2976,62,241040.0,user-112@fsc-demo.com,Male,Household,2014-06-26,Quarterly,Moderate,Mannix Best,false,Tier 3,0.0,228547.0,0.0,435796.5,435796.5,0.0,207249.5,3.0,0.47556485653280833,4,3. Between 3 and 5 years,2020-05-25
