"Owner_SmallPhotoUrl","Status","Owner","LeadSource","IsConverted","Rating","CreatedDate","Name","Owner_Name","LeadActivities","ConvertedOppAmount"
"Sofia Lopez","Qualified","R CSEG","Purchased List","FALSE","Hot","2020-12-27","Fayth Agglione","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",10,0
"Justin Chen","Qualified","Qianwen Dong","Advertisement","TRUE","Warm","2020-12-02","Renae Meiner","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",10,30000
"Thomas Oliver","Converted","G M","Other","FALSE","Warm","2020-12-17","Didi Mullenger","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",9,19500
"Sofia Lopez","Nurturing","R CSEG","Employee Referral","FALSE","Cold","2020-12-28","Brunhilda Britee","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",14,0
"Sofia Lopez","Converted","R CSEG","Employee Referral","TRUE","Warm","2020-11-04","Cathrin Bridat","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",12,0
"Thomas Oliver","Nurturing - Contacted","G M","Other","FALSE","Hot","2020-11-27","Kirk Sleightholm","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",21,0
"Sofia Lopez","Working  - Contacted","R CSEG","Employee Referral","FALSE","Warm","2020-12-28","Lesli Slides","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",6,22500
"Justin Chen","Qualified","Qianwen Dong","Other","FALSE","Cold","2020-11-13","Otis Geraldo","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",10,0
"Thomas Oliver","Converted","G M","Purchased List","FALSE","Warm","2020-11-27","Pepi Becerra","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",13,0
"Sofia Lopez","Converted","R CSEG","Employee Referral","TRUE","Hot","2020-12-20","Eastwood","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",7,0
"Tawnia Williams","Working","Deepu CSEG ","Other","FALSE","Warm","2020-12-22","Isabelle Dmitrichenko","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",6,37000
"Thomas Oliver","Nurturing","G M","Other","FALSE","Hot","2020-12-29","Darcee Fayer","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",20,0
"Sofia Lopez","Converted","R CSEG","Trade Show","TRUE","Cold","2020-11-11","Edeline Casserly","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",15,0
"Justin Chen","Working","Qianwen Dong","Employee Referral","FALSE","Warm","2020-12-16","Reina Pitney","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",9,79000
"Sofia Lopez","Working  - Contacted","R CSEG","Advertisement","FALSE","Warm","2020-12-10","Sonnie Outlaw","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",13,0
"Thomas Oliver","Qualified","G M","Advertisement","FALSE","Hot","2020-12-28","Dino Bursnoll","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",9,0
"Tawnia Williams","Converted","Deepu CSEG ","Employee Referral","TRUE","Warm","2020-11-07","George Batters","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",8,0
"Justin Chen","Nurturing - Contacted","Qianwen Dong","Other","FALSE","Cold","2020-11-21","Aretha Chstney","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",11,0
"Sofia Lopez","Converted","R CSEG","Advertisement","FALSE","Warm","2020-12-17","Nickola Missington","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",11,0
"Sofia Lopez","Working  - Contacted","R CSEG","Other","FALSE","Hot","2020-12-27","Mason Decort","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",5,0
"Tawnia Williams","New","Deepu CSEG ","Purchased List","TRUE","Warm","2020-11-02","Si Searson","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",14,0
"Thomas Oliver","New","G M","Employee Referral","FALSE","Cold","2020-12-07","Shelton Gresswell","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",9,141000
"Sofia Lopez","Working","R CSEG","Other","FALSE","Hot","2020-12-21","Meade Pitson","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",10,0
"Justin Chen","Converted","Qianwen Dong","Other","FALSE","Warm","2020-12-28","Timmie Emmet","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",14,0
"Sofia Lopez","Nurturing - Contacted","R CSEG","Advertisement","FALSE","Hot","2020-12-20","Dacey Thick","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",0,63000
"Thomas Oliver","Nurturing","G M","Employee Referral","TRUE","Warm","2020-11-27","Stillmann Doherty","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",24,0
"Sofia Lopez","Working  - Contacted","R CSEG","Other","FALSE","Cold","2020-11-02","Bridie McTeague","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",17,0
"Tawnia Williams","Qualified","Deepu CSEG ","Other","FALSE","Warm","2020-12-18","Ringo Strotone","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",11,0
"Justin Chen","Converted","Qianwen Dong","Purchased List","TRUE","Hot","2020-12-25","Debra Nairy","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",5,0
"Sofia Lopez","Qualified","R CSEG","Trade Show","FALSE","Warm","2020-11-01","Gaga","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",5,0
"Thomas Oliver","Converted","G M","Advertisement","FALSE","Warm","2020-12-25","Jeanne Crack","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",9,0
"Sofia Lopez","Nurturing","R CSEG","Employee Referral","FALSE","Cold","2020-12-21","Bevon Ramstead","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",12,0
"Thomas Oliver","Nurturing - Contacted","G M","Employee Referral","TRUE","Hot","2020-11-26","Burty Franzewitch","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",12,33000
"Sofia Lopez","New","R CSEG","Other","FALSE","Warm","2020-12-07","Torie Josefovic","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",22,0
"Thomas Oliver","Working","G M","Other","FALSE","Warm","2020-11-18","Anestassia Fenich","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",0,0
"Tawnia Williams","Working  - Contacted","Deepu CSEG ","Other","FALSE","Hot","2020-12-19","Ranna Feragh","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",7,87000
"Sofia Lopez","Qualified","R CSEG","Advertisement","FALSE","Warm","2020-12-27","Thorny Hodcroft","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",10,0
"Justin Chen","Nurturing - Contacted","Qianwen Dong","Employee Referral","TRUE","Cold","2020-12-27","Pitt","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",12,0
"Sofia Lopez","Nurturing","R CSEG","Purchased List","FALSE","Hot","2020-12-04","Florance Blaydes","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",0,0
"Justin Chen","Converted","Qianwen Dong","Other","FALSE","Warm","2020-12-18","Emelda Ondrich","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",5,0
"Thomas Oliver","Converted","G M","Employee Referral","FALSE","Cold","2020-11-11","Melinde Backshall","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",9,0
"Tawnia Williams","Working  - Contacted","Deepu CSEG ","Other","TRUE","Warm","2020-12-25","Gracia Rudman","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",10,58000
"Thomas Oliver","Qualified","G M","Advertisement","FALSE","Hot","2020-12-20","Jarrad Bampkin","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",17,0
"Sofia Lopez","Converted","R CSEG","Other","FALSE","Warm","2020-11-16","Sylvester Verrillo","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",15,0
"Sofia Lopez","Working","R CSEG","Employee Referral","FALSE","Warm","2020-11-28","Jobina Clutterbuck","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",13,34000
"Justin Chen","Nurturing","Qianwen Dong","Trade Show","TRUE","Cold","2020-12-28","Jenny Emlin","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",9,0
"Thomas Oliver","Nurturing - Contacted","G M","Advertisement","FALSE","Warm","2020-12-17","Hube Goble","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",9,0
"Sofia Lopez","New","R CSEG","Employee Referral","FALSE","Hot","2020-11-28","LloydWright","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",13,100000
"Sofia Lopez","Qualified","R CSEG","Other","FALSE","Warm","2020-11-24","Doroteya Kenion","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",11,0
"Thomas Oliver","Converted","G M","Purchased List","TRUE","Cold","2020-11-16","Gabriele Bemand","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",7,0
"Justin Chen","Nurturing - Contacted","Qianwen Dong","Other","FALSE","Hot","2020-12-23","Ximenes Haymes","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",12,0
"Tawnia Williams","Converted","Deepu CSEG ","Advertisement","FALSE","Warm","2020-12-16","Renelle Roch","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",13,0
"Sofia Lopez","Working","R CSEG","Employee Referral","FALSE","Hot","2020-12-07","Williams","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",10,0
"Thomas Oliver","Working","G M","Other","TRUE","Warm","2020-12-26","Olly Woonton","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",6,0
"Sofia Lopez","Nurturing","R CSEG","Other","FALSE","Warm","2020-12-17","Moselle Cisland","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",23,25000
"Sofia Lopez","Qualified","R CSEG","Other","FALSE","Cold","2020-12-29","Bendick McMichan","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",25,0
"Tawnia Williams","Working  - Contacted","Deepu CSEG ","Employee Referral","FALSE","Warm","2020-11-19","Nikos Dennerley","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",9,0
"Justin Chen","Working  - Contacted","Qianwen Dong","Other","TRUE","Hot","2020-11-13","Wang Anand","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",10,0
"Thomas Oliver","Converted","G M","Purchased List","FALSE","Warm","2020-12-21","Milicent Sandeman","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",10,0
"Sofia Lopez","Converted","R CSEG","Employee Referral","FALSE","Hot","2020-11-20","David Adelson (Sample)","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",0,0
"Justin Chen","Nurturing - Contacted","Qianwen Dong","Advertisement","FALSE","Cold","2020-12-28","Cirillo Hearle","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",9,0
"Thomas Oliver","Qualified","G M","Employee Referral","TRUE","Warm","2020-11-17","Pierrette Van den Oord","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",13,0
"Sofia Lopez","Working","R CSEG","Other","FALSE","Hot","2020-11-25","Andrea Kingsnode","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",13,0
"Sofia Lopez","Converted","R CSEG","Advertisement","FALSE","Cold","2020-12-18","Fabian Stadding","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",9,0
"Tawnia Williams","Nurturing","Deepu CSEG ","Employee Referral","TRUE","Warm","2020-12-05","Jessi Woolford","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",7,0
"Thomas Oliver","New","G M","Other","FALSE","Warm","2020-12-27","Twain","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",20,0
"Sofia Lopez","Working  - Contacted","R CSEG","Trade Show","FALSE","Warm","2020-12-20","Perry","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",19,32000
"Sofia Lopez","New","R CSEG","Other","FALSE","Hot","2020-12-28","Minta Gauthorpp","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",25,62000
"Justin Chen","Qualified","Qianwen Dong","Advertisement","FALSE","Warm","2020-11-21","Irvin Dillicate","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",16,0
"Thomas Oliver","Converted","G M","Other","TRUE","Cold","2020-12-19","Kiah Hawkeridge","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",12,0
"Tawnia Williams","Working  - Contacted","Deepu CSEG ","Purchased List","FALSE","Hot","2020-12-23","Amadeus","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",5,0
"Justin Chen","Nurturing - Contacted","Qianwen Dong","Other","FALSE","Warm","2020-11-06","Tomas Greenleaf","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",5,0
"Sofia Lopez","Working","R CSEG","Employee Referral","TRUE","Warm","2020-11-01","Adam Richman (Sample)","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",5,0
"Thomas Oliver","Nurturing","G M","Employee Referral","FALSE","Hot","2020-12-16","Jefferson Twigge","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",6,0
"Sofia Lopez","Converted","R CSEG","Other","FALSE","Cold","2020-12-07","Whitman Ferrillio","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",8,56200
"Sofia Lopez","Qualified","R CSEG","Other","FALSE","Warm","2020-11-14","Yolanthe Carbett","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",7,0
"Thomas Oliver","Converted","G M","Advertisement","TRUE","Warm","2020-12-24","Cori Tomkies","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",9,0
"Tawnia Williams","Nurturing - Contacted","Deepu CSEG ","Employee Referral","FALSE","Hot","2020-12-21","Lammond Semorad","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",10,0
"Justin Chen","Converted","Qianwen Dong","Purchased List","FALSE","Warm","2020-12-26","Nicki Hayden","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",6,20000
"Sofia Lopez","Working","R CSEG","Employee Referral","FALSE","Cold","2020-11-30","Blair Maden","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",5,0
"Sofia Lopez","Nurturing","R CSEG","Advertisement","TRUE","Hot","2020-12-09","Cointon Korejs","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",5,12500
"Thomas Oliver","New","G M","Other","FALSE","Warm","2020-11-15","Jasmin Lorroway","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",8,21000
"Sofia Lopez","Qualified","R CSEG","Other","FALSE","Cold","2020-12-29","Howie Farlam","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",12,147000
"Justin Chen","Nurturing - Contacted","Qianwen Dong","Other","FALSE","Warm","2020-12-19","Rooney O'Corren","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",16,0
"Thomas Oliver","Converted","G M","Employee Referral","FALSE","Warm","2020-12-04","Gussy Ronisch","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",15,0
"Sofia Lopez","Working  - Contacted","R CSEG","Trade Show","TRUE","Hot","2020-12-18","Kandy Milsap","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",15,33000
"Tawnia Williams","Working  - Contacted","Deepu CSEG ","Advertisement","FALSE","Warm","2020-12-24","Adam Richman (Sample)","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",10,0
"Thomas Oliver","Qualified","G M","Employee Referral","FALSE","Hot","2020-11-17","Blithe Lavielle","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",6,0
"Justin Chen","Nurturing - Contacted","Qianwen Dong","Purchased List","FALSE","Cold","2020-11-11","Ivory Rider","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",8,0
"Sofia Lopez","Nurturing","R CSEG","Other","TRUE","Warm","2020-11-21","Theo Chesman","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",6,0
"Sofia Lopez","New","R CSEG","Other","FALSE","Warm","2020-12-27","Fara Cotelard","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",10,0
"Tawnia Williams","Working","Deepu CSEG ","Other","FALSE","Cold","2020-12-16","Sosanna Franzel","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",6,0
"Sofia Lopez","Converted","R CSEG","Employee Referral","FALSE","Warm","2020-12-10","Anita Rideout","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",22,0
"Justin Chen","Converted","Qianwen Dong","Advertisement","TRUE","Hot","2020-11-04","Janet Shelton","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",7,0
"Thomas Oliver","Qualified","G M","Employee Referral","FALSE","Warm","2020-12-23","Web Casement","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",10,33000
"Thomas Oliver","Nurturing - Contacted","G M","Trade Show","FALSE","Hot","2020-12-21","Fredra Petracek","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",5,53000
"Sofia Lopez","Nurturing","R CSEG","Other","FALSE","Cold","2020-12-19","Kiley Leathe","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",11,0
"Sofia Lopez","Converted","R CSEG","Advertisement","TRUE","Hot","2020-12-27","Reine Tolworthy","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",0,94000
"Tawnia Williams","Working","Deepu CSEG ","Employee Referral","FALSE","Warm","2020-11-09","Joly Guppy","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",7,0
"Sofia Lopez","Converted","R CSEG","Other","FALSE","Warm","2020-12-06","Betty Huett","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",10,0
"Justin Chen","Qualified","Qianwen Dong","Purchased List","FALSE","Hot","2020-11-25","Wilhelmine Mattisson","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",9,0
"Thomas Oliver","New","G M","Other","TRUE","Warm","2020-12-26","Daisi Schirok","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",25,0
"Thomas Oliver","Working  - Contacted","G M","Advertisement","FALSE","Cold","2020-12-16","Ezra Guage","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",11,17500
"Sofia Lopez","Converted","R CSEG","Other","FALSE","Warm","2020-12-20","Morton Sholem","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",13,129000
"Justin Chen","Working  - Contacted","Qianwen Dong","Employee Referral","FALSE","Hot","2020-11-12","Cele Dyka","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",12,69100
"Sofia Lopez","Nurturing - Contacted","R CSEG","Other","TRUE","Warm","2020-12-23","Galina Johl","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",23,0
"Thomas Oliver","Nurturing","G M","Other","FALSE","Cold","2020-11-06","Gaby Sandbach","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",23,0
"Sofia Lopez","Working","R CSEG","Employee Referral","FALSE","Warm","2020-12-21","Candice Comerford","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",9,69000
"Sofia Lopez","Working  - Contacted","R CSEG","Purchased List","FALSE","Hot","2020-12-27","Frasquito Meller","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",14,15500
"Justin Chen","Converted","Qianwen Dong","Advertisement","TRUE","Warm","2020-12-01","Gaynor McCrory","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",11,0
"Tawnia Williams","Qualified","Deepu CSEG ","Employee Referral","FALSE","Cold","2020-11-24","Pansie Batrick","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",21,0
"Thomas Oliver","Nurturing - Contacted","G M","Trade Show","FALSE","Hot","2020-11-05","Boyle","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",15,0
"Sofia Lopez","Converted","R CSEG","Other","FALSE","Warm","2020-12-29","Norine Meriguet","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",20,0
"Sofia Lopez","Nurturing","R CSEG","Employee Referral","TRUE","Warm","2020-11-20","Adriena Caselli","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",17,0
"Tawnia Williams","New","Deepu CSEG ","Advertisement","FALSE","Hot","2020-12-17","Ric Agates","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",25,0
"Thomas Oliver","Working","G M","Other","FALSE","Warm","2020-12-21","Korry Ardron","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",5,40000
"Sofia Lopez","Working  - Contacted","R CSEG","Other","FALSE","Cold","2020-11-19","Reed Kleine","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",14,0
"Justin Chen","Converted","Qianwen Dong","Employee Referral","TRUE","Warm","2020-12-01","Jo Dayley","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",25,0
"Sofia Lopez","Working  - Contacted","R CSEG","Other","FALSE","Hot","2020-12-17","Thoma Di Domenico","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",25,125000
"Thomas Oliver","Working","G M","Other","FALSE","Warm","2020-12-23","LutherKing","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",14,0
"Sofia Lopez","Nurturing - Contacted","R CSEG","Advertisement","FALSE","Cold","2020-12-28","Madalyn Polgreen","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",7,0
"Thomas Oliver","Converted","G M","Employee Referral","TRUE","Warm","2020-11-10","Vinny Beynkn","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",5,0
"Justin Chen","Qualified","Qianwen Dong","Purchased List","FALSE","Hot","2020-12-20","Minogue","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",13,24500
"Tawnia Williams","Converted","Deepu CSEG ","Other","FALSE","Warm","2020-11-20","Picasso","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",8,0
"Sofia Lopez","Qualified","R CSEG","Employee Referral","FALSE","Cold","2020-11-29","Roberts","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",0,0
"Sofia Lopez","Nurturing","R CSEG","Advertisement","TRUE","Hot","2020-12-23","Joseito Zanetti","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",14,0
"Thomas Oliver","New","G M","Other","FALSE","Warm","2020-12-20","Manisha Jha (Sample)","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",10,0
"Justin Chen","Qualified","Qianwen Dong","Other","FALSE","Warm","2020-12-29","Myca Salzberger","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",6,0
"Tawnia Williams","Working  - Contacted","Deepu CSEG ","Employee Referral","TRUE","Hot","2020-12-08","Ashlin Falkinder","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",6,106000
"Sofia Lopez","Working","R CSEG","Trade Show","FALSE","Warm","2020-11-07","Juliet Demageard","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",13,0
"Thomas Oliver","Converted","G M","Purchased List","FALSE","Cold","2020-12-25","Donna","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",9,0
"Justin Chen","Nurturing","Qianwen Dong","Other","FALSE","Hot","2020-12-16","Brooks Glassard","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",13,0
"Sofia Lopez","Nurturing - Contacted","R CSEG","Advertisement","TRUE","Warm","2020-12-07","Jordana Baigent","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",15,0
"Thomas Oliver","Nurturing - Contacted","G M","Other","FALSE","Warm","2020-11-15","Judye Ramirez","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",6,0
"Tawnia Williams","Working  - Contacted","Deepu CSEG ","Other","FALSE","Cold","2020-12-16","Cecilia Adshad","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",9,0
"Sofia Lopez","Converted","R CSEG","Employee Referral","FALSE","Hot","2020-11-14","Jedidiah Crow","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",21,0
"Sofia Lopez","Qualified","R CSEG","Employee Referral","FALSE","Warm","2020-12-28","Nicholson","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",7,0
"Thomas Oliver","Working","G M","Advertisement","TRUE","Warm","2020-12-04","Diana Sandhill","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",22,0
"Sofia Lopez","New","R CSEG","Other","FALSE","Cold","2020-11-07","Mata Healks","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",14,110000
"Justin Chen","Working  - Contacted","Qianwen Dong","Other","FALSE","Hot","2020-12-20","Zaneta Nottle","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",11,0
"Sofia Lopez","Converted","R CSEG","Employee Referral","FALSE","Warm","2020-12-27","Myles Osgar","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",16,0
"Tawnia Williams","Nurturing - Contacted","Deepu CSEG ","Other","TRUE","Warm","2020-12-19","Saunder Shatliffe","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",17,0
"Justin Chen","Nurturing","Qianwen Dong","Advertisement","FALSE","Hot","2020-12-23","Julianna Sergeant","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",12,13000
"Thomas Oliver","Qualified","G M","Purchased List","FALSE","Cold","2020-12-05","Bridie O'Boyle","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",9,0
"Thomas Oliver","Working","G M","Trade Show","TRUE","Warm","2020-11-03","Madelon Krystek","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",9,0
"Sofia Lopez","Converted","R CSEG","Employee Referral","FALSE","Hot","2020-11-26","Darin Challenor","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",7,0
"Sofia Lopez","Working  - Contacted","R CSEG","Other","FALSE","Warm","2020-12-17","Kassie Dade","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",5,59800
"Justin Chen","New","Qianwen Dong","Other","FALSE","Warm","2020-12-25","Harris Luckes","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",7,17500
"Tawnia Williams","Qualified","Deepu CSEG ","Employee Referral","FALSE","Cold","2020-11-01","Leno","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",14,0
"Sofia Lopez","Converted","R CSEG","Purchased List","TRUE","Warm","2020-12-23","Nichol Hargerie","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",9,0
"Thomas Oliver","Nurturing - Contacted","G M","Advertisement","FALSE","Hot","2020-12-06","Franklin","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",12,0
"Sofia Lopez","Converted","R CSEG","Other","FALSE","Warm","2020-12-16","Eilis Myerscough","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",12,50000
"Sofia Lopez","Nurturing","R CSEG","Employee Referral","FALSE","Hot","2020-11-05","Elmer Burbank","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",5,78000
