"ProcessName","AccountId","InteractionId","InteractionDate","CustomerInteractionId","InteractionTopic","LastProcessedDate","CaseId","OrderNumber","SubscriptionName","OrderId","AccountStatus","OrderStatus","SubscriptionId","SubscriptionStatus","Outcome","CaseStatus","CaseNumber","CaseReason","DurationInMinute"
"Buy add-ons","001B000001Mt1wbIAB","a1R4x000000BFTQEA4","2021-04-23","a1S4x000000BdcsEAC","a1R4x000000BFTQ","2021-07-12",,,"Ada Campbell",,"Active",,"5922433585","Active","Canceled",,,,1
"Cash top up","001B000001Mt1uzIAB","a1R4x000000BFToEAO","2021-04-23","a1S4x000000BdcxEAC","a1R4x000000BFTo","2021-07-12",,,"Amy Nelson",,"Active",,"5922433560","Active","Canceled",,,,2
"Cash top up","001B000001Mt1uzIAB","a1R4x000000BFgwEAG","2021-05-16","a1S4x000000Be0AEAS","a1R4x000000BFgw","2021-07-12",,,"Amy Nelson",,"Active",,"5922433560","Active","Successful",,,,724
"Manage Features","001B000001Mt1uVIAR","a1R4x000000BFh1EAG","2021-04-26","a1S4x000000Be0FEAS","a1R4x000000BFh1","2021-07-12",,"00001066","Maximilian Miller","8014x000000dUXzAAM","Active","Activated","5922433552","Active","Successful",,,,2
"Buy add-ons","001B000001Mt1uVIAR","a1R4x000000BFh6EAG","2021-04-26","a1S4x000000Be0FEAS","a1R4x000000BFh6","2021-07-12",,"00001068","Maximilian Miller","8014x000000dUY5AAM","Active","Activated","5922433552","Active","Successful",,,,2
"Change Personal Details","0014x00000FbQs3AAF","a1R4x000000BFhBEAW","2021-04-26","a1S4x000000Be0GEAS","a1R4x000000BFhB","2021-07-12",,,,,"Active",,,,"Successful",,,,1
"Change Personal Details","0014x00000FbQqgAAF","a1R4x000000BFhGEAW","2021-04-26","a1S4x000000Be0KEAS","a1R4x000000BFhG","2021-07-12",,,,,"Active",,,,"Successful",,,,3
"Cash top up","001B000001Mt1pbIAB","a1R4x000000BFhLEAW","2021-04-26","a1S4x000000Be0KEAS","a1R4x000000BFhL","2021-07-12",,,"Alexia Gibson",,"Active",,"5922433553","Active","Successful",,,,3
"Join","0014x00000FcIkFAAV","a1R4x000000BFhMEAW","2021-04-26","a1S4x000000Be0LEAS","a1R4x000000BFhM","2021-07-12",,"00001076",,"8014x000000dUY6AAM","Active","In Progress",,,"Successful",,,,112143
"Manage Features","0014x00000EGX7wAAH","a1R4x000000BFhCEAW","2021-04-26","a1S4x000000Be0PEAS","a1R4x000000BFhC","2021-07-12",,,"Adrian Farrell",,"Active",,"5722433301","Active","Canceled",,,,2
"Change Personal Details","0014x00000EGX7wAAH","a1R4x000000BFhQEAW","2021-04-26","a1S4x000000Be0PEAS","a1R4x000000BFhQ","2021-07-12",,,,,"Active",,,,"Successful",,,,2
"Buy add-ons","0014x00000EGX5CAAX","a1R4x000000BFodEAG","2021-04-28","a1S4x000000BeJOEA0","a1R4x000000BFod","2021-07-12",,,"Andrew Hunt",,"Active",,"6412390968","Active","Canceled",,,,109367
"Cash top up","0014x00000EGX5CAAX","a1R4x000000BFoOEAW","2021-04-28","a1S4x000000BeJYEA0","a1R4x000000BFoO","2021-07-12",,,"Andrew Hunt",,"Active",,"6412390968","Active","Successful",,,,109367
"Cash top up","0014x00000EGX5CAAX","a1R4x000000BFoTEAW","2021-04-28","a1S4x000000BeJYEA0","a1R4x000000BFoT","2021-07-12",,,"Andrew Hunt",,"Active",,"6412390968","Active","Successful",,,,109367
"Cash top up","0014x00000EGX5CAAX","a1R4x000000BFoYEAW","2021-04-28","a1S4x000000BeJYEA0","a1R4x000000BFoY","2021-07-12",,,"Andrew Hunt",,"Active",,"6412390968","Active","Canceled",,,,109367
"Cash top up","0014x00000EGX5CAAX","a1R4x000000BHF2EAO","2021-04-28","a1S4x000000BeJYEA0","a1R4x000000BHF2","2021-07-12",,,"Andrew Hunt",,"Active",,"6412390968","Active","Canceled",,,,109367
"Cash top up","0014x00000EGX5CAAX","a1R4x000000BHF7EAO","2021-04-28","a1S4x000000BeJYEA0","a1R4x000000BHF7","2021-07-12",,,"Andrew Hunt",,"Active",,"6412390968","Active","Failed",,,,109367
"Buy add-ons","0014x00000CkntvAAB","a1R4x000000BHFCEA4","2021-04-28","a1S4x000000BeSfEAK","a1R4x000000BHFC","2021-07-12",,"00001077","William Smith","8014x000000dW62AAE","Active","Activated","3031435067","Active","Successful",,,,109042
"Buy add-ons","0014x00000AKvcQAAT","a1R4x000000BHNvEAO","2021-04-30","a1S4x000000BeaBEAS","a1R4x000000BHNv","2021-07-12",,,,,"Active",,,,"Canceled",,,,106671
"Manage Features","0014x00000AKvcQAAT","a1R4x000000BHO0EAO","2021-04-30","a1S4x000000BeaBEAS","a1R4x000000BHO0","2021-07-12",,,"Chris James",,"Active",,"3031379560","Inactive","Canceled",,,,106671
"Change Personal Details","0014x00000EGX7rAAH","a1R4x000000BHccEAG","2021-05-05","a1S4x000000BqkFEAS","a1R4x000000BHcc","2021-07-12",,,,,"Active",,,,"Successful",,,,3
"Cash top up","0014x00000EGX7rAAH","a1R4x000000BHclEAG","2021-05-05","a1S4x000000BqkFEAS","a1R4x000000BHcl","2021-07-12",,,"Andrew Wilson",,"Active",,"5722433300","Active","Failed",,,,3
"Change Personal Details","0014x00000EGX7hAAH","a1R4x000000BHcWEAW","2021-05-05","a1S4x000000BqkYEAS","a1R4x000000BHcW","2021-07-12",,,,,"Active",,,,"Canceled",,,,5
"Change Personal Details","0014x00000EGX7hAAH","a1R4x000000BHcbEAG","2021-05-05","a1S4x000000BqkYEAS","a1R4x000000BHcb","2021-07-12",,,,,"Active",,,,"Successful",,,,5
"Cash top up","001B000001Mt1w3IAB","a1R4x000000BHcXEAW","2021-05-05","a1S4x000000BqkiEAC","a1R4x000000BHcX","2021-07-12",,,"Anna Warren",,"Active",,"5922433574","Active","Successful",,,,3
"Change Personal Details","0014x00000FbQsIAAV","a1R4x000000BHcgEAG","2021-05-05","a1S4x000000BqkiEAC","a1R4x000000BHcg","2021-07-12",,,,,"Active",,,,"Successful",,,,3
"Change Personal Details","0014x00000EGX4EAAX","a1R4x000000BHcqEAG","2021-05-05","a1S4x000000BqknEAC","a1R4x000000BHcq","2021-07-12",,,,,"Active",,,,"Successful",,,,22
"Change Personal Details","0014x00000EGX4EAAX","a1R4x000000BHcvEAG","2021-05-05","a1S4x000000BqknEAC","a1R4x000000BHcv","2021-07-12",,,,,"Active",,,,"Canceled",,,,22
"Manage Features","0014x00000EGX5rAAH","a1R4x000000BHcYEAW","2021-05-05","a1S4x000000BqksEAC","a1R4x000000BHcY","2021-07-12",,"00001078","Alberta Williams","8014x000000dWhqAAE","Active","Activated","5722433298","Active","Successful",,,,7
"Change Personal Details","0014x00000EGX5rAAH","a1R4x000000BHd0EAG","2021-05-05","a1S4x000000BqksEAC","a1R4x000000BHd0","2021-07-12",,,,,"Active",,,,"Successful",,,,7
"Buy add-ons","0014x00000EGX5rAAH","a1R4x000000BHd1EAG","2021-05-05","a1S4x000000BqksEAC","a1R4x000000BHd1","2021-07-12",,,"Alberta Williams",,"Active",,"5722433298","Active","Canceled",,,,7
"Change Personal Details","0014x00000FbQsDAAV","a1R4x000000BHd2EAG","2021-05-05","a1S4x000000BqkxEAC","a1R4x000000BHd2","2021-07-12","5004x000003oJthAAE",,,,"Active",,,,"Successful","New","00001018","Problem with data",1
"Change Personal Details","0014x00000EGX8QAAX","a1R4x000000BHd6EAG","2021-05-05","a1S4x000000BqkyEAC","a1R4x000000BHd6","2021-07-12",,,,,"Active",,,,"Successful",,,,1
"Cash top up","001B000001Mt1vdIAB","a1R4x000000BHcrEAG","2021-05-05","a1S4x000000Bql2EAC","a1R4x000000BHcr","2021-07-12",,,"Emma Harrison",,"Active",,"5922433568","Active","Successful",,,,1
"Change Personal Details","0014x00000FbQktAAF","a1R4x000000BHd5EAG","2021-05-05","a1S4x000000Bql2EAC","a1R4x000000BHd5","2021-07-12",,,,,"Active",,,,"Successful",,,,1
"Manage Features","0014x00000AKvcQAAT","a1R4x000000BHh2EAG","2021-05-07","a1S4x000000BqnIEAS","a1R4x000000BHh2","2021-07-12",,,"Chris James",,"Active",,"3030247777","Active","Canceled",,,,96448
"Cash top up","001B000001Mt1uzIAB","a1R4x000000BIByEAO","2021-05-14","a1S4x000000BtdJEAS","a1R4x000000BIBy","2021-07-12",,,"Amy Nelson",,"Active",,"5922433560","Active","Successful",,,,5
"Buy add-ons","0014x00000Abb2sAAB","a1R4x000000BINvEAO","2021-06-01","a1S4x000000BtmnEAC","a1R4x000000BINv","2021-07-12",,"00001081","Marie Watson","8014x000000djbgAAA","Active","Activated","3030214444","Inactive","Successful",,,,1
"Cash top up","0014x00000EGX3VAAX","a1R4x000000BIOAEA4","2021-05-18","a1S4x000000BtoFEAS","a1R4x000000BIOA","2021-07-12",,,"Abigail Riley",,"Active",,"5922433291","Active","Failed",,,,2
"Manage Features","0014x00000EGX3VAAX","a1R4x000000BIOFEA4","2021-05-18","a1S4x000000BtoFEAS","a1R4x000000BIOF","2021-07-12",,"00001082","Abigail Riley","8014x000000djgRAAQ","Active","Activated","5922433291","Active","Successful",,,,2
"Manage Features","0014x00000Abb2sAAB","a1R4x000000BIQuEAO","2021-06-09","a1S4x000000BtpAEAS","a1R4x000000BIQu","2021-07-12",,"00001083","Marie Watson","8014x000000djqMAAQ","Active","Activated","3030214444","Inactive","Successful",,,,3
"Buy add-ons","0014x00000Abb2sAAB","a1R4x000000BIdZEAW","2021-06-09","a1S4x000000BtpAEAS","a1R4x000000BIdZ","2021-07-12",,"00001087","Marie Watson","8014x000000dlomAAA","Active","Activated","3030218888","Active","Successful",,,,3
"Manage Features","0014x00000Abb2sAAB","a1R4x000000BIdaEAG","2021-06-09","a1S4x000000BtpAEAS","a1R4x000000BIda","2021-07-12",,"00001088","Marie Watson","8014x000000dlorAAA","Active","Activated","3030218888","Active","Successful",,,,3
"Number change request","0014x00000Abb2sAAB","a1R4x000000BIqAEAW","2021-06-09","a1S4x000000BtpAEAS","a1R4x000000BIqA","2021-07-12","5004x000003oWZzAAM",,"Marie Watson",,"Active",,"3030214444","Inactive","Successful","New","00001023","Problem with data",3
"Buy add-ons","0014x00000Abb2sAAB","a1R4x000000BJH1EAO","2021-06-09","a1S4x000000BtpAEAS","a1R4x000000BJH1","2021-07-12",,"00001113","Marie Watson","8014x000000dpywAAA","Active","Activated","3030218888","Active","Successful",,,,3
"Manage Features","0014x00000Abb2sAAB","a1R4x000000BJH6EAO","2021-06-09","a1S4x000000BtpAEAS","a1R4x000000BJH6","2021-07-12",,,,,"Active",,,,"Canceled",,,,3
"Manage Features","001B000001Mt1w2IAB","a1R4x000000BIQzEAO","2021-05-19","a1S4x000000BtpFEAS","a1R4x000000BIQz","2021-07-12","5004x000003oJthAAE","00001084","Albert Murray","8014x000000djqlAAA","Active","Activated","5922433573","Active","Successful","New","00001018","Problem with data",9
"Change Personal Details","0014x00000FbQqlAAF","a1R4x000000BIR4EAO","2021-05-19","a1S4x000000BtqXEAS","a1R4x000000BIR4","2021-07-12",,,,,"Active",,,,"Canceled",,,,2
"Manage lost SIM or device - Bar Device","001B000001Mt1vOIAR","a1R4x000000BIbYEAW","2021-05-24","a1S4x000000BtySEAS","a1R4x000000BIbY","2021-07-12","5004x000003oO66AAE",,"Edgar Armstrong",,"Active",,"5922433565","Active","Successful","New","00001019",,2
"Manage lost SIM or device - Unbar Device","001B000001Mt1vOIAR","a1R4x000000BIbdEAG","2021-05-24","a1S4x000000BtyXEAS","a1R4x000000BIbd","2021-07-12","5004x000003oO79AAE",,"Edgar Armstrong",,"Active",,"5922433565","Active","Successful","New","00001020",,71902
"Buy add-ons","001B000001Mt1vOIAR","a1R4x000000BIbiEAG","2021-05-24","a1S4x000000BtyYEAS","a1R4x000000BIbi","2021-07-12",,"00001086","Edgar Armstrong","8014x000000dlGpAAI","Active","Activated","5922433565","Active","Successful",,,,1
"Change Personal Details","0014x00000FbQreAAF","a1R4x000000BIdeEAG","2021-05-24","a1S4x000000BtyYEAS","a1R4x000000BIde","2021-07-12",,,,,"Active",,,,"Canceled",,,,1
"Change Personal Details","0014x00000FbQreAAF","a1R4x000000BIdjEAG","2021-05-24","a1S4x000000BtyYEAS","a1R4x000000BIdj","2021-07-12",,,,,"Active",,,,"Successful",,,,1
"Change Personal Details","0014x00000FbQreAAF","a1R4x000000BIdoEAG","2021-05-24","a1S4x000000BtyYEAS","a1R4x000000BIdo","2021-07-12",,,,,"Active",,,,"Canceled",,,,1
"Change Personal Details","0014x00000FbQreAAF","a1R4x000000BIg0EAG","2021-05-24","a1S4x000000BtyYEAS","a1R4x000000BIg0","2021-07-12",,,,,"Active",,,,"Canceled",,,,1
"Change Personal Details","0014x00000FbQreAAF","a1R4x000000BIi6EAG","2021-05-24","a1S4x000000BtyYEAS","a1R4x000000BIi6","2021-07-12",,,,,"Active",,,,"Canceled",,,,1
"Change Personal Details","0014x00000FbQreAAF","a1R4x000000BIiBEAW","2021-05-24","a1S4x000000BtyYEAS","a1R4x000000BIiB","2021-07-12",,,,,"Active",,,,"Canceled",,,,1
"Change Personal Details","0014x00000FbQreAAF","a1R4x000000BIiaEAG","2021-05-24","a1S4x000000BtyYEAS","a1R4x000000BIia","2021-07-12",,,,,"Active",,,,"Canceled",,,,1
"Change Personal Details","0014x00000FbQreAAF","a1R4x000000BIkREAW","2021-05-24","a1S4x000000BtyYEAS","a1R4x000000BIkR","2021-07-12",,,,,"Active",,,,"Canceled",,,,1
"Buy add-ons","001B000001Mt1vOIAR","a1R4x000000BIbZEAW","2021-05-24","a1S4x000000BtycEAC","a1R4x000000BIbZ","2021-07-12",,"00001085","Edgar Armstrong","8014x000000dlGVAAY","Active","Activated","5922433565","Active","Successful",,,,2
"Request SIM Replacement","0014x00000Abb2sAAB","a1R4x000000BIiVEAW","2021-06-13","a1S4x000000BtzCEAS","a1R4x000000BIiV","2021-07-12",,,"Marie Watson",,"Active",,"3030214444","Inactive","Failed",,,,2
"Cash top up","0014x00000EGX3VAAX","a1R4x000000BIiCEAW","2021-05-26","a1S4x000000Bu13EAC","a1R4x000000BIiC","2021-07-12",,,"Abigail Riley",,"Active",,"5922433291","Active","Canceled",,,,3
"Voucher top up","0014x00000EGX3VAAX","a1R4x000000BIiGEAW","2021-05-26","a1S4x000000Bu13EAC","a1R4x000000BIiG","2021-07-12",,,"Abigail Riley",,"Active",,"5922433291","Active","Canceled",,,,3
"Manage Features","0014x00000EGX3VAAX","a1R4x000000BIiLEAW","2021-05-26","a1S4x000000Bu13EAC","a1R4x000000BIiL","2021-07-12",,"00001089","Abigail Riley","8014x000000dmGHAAY","Active","Activated","5922433291","Active","Successful",,,,3
"Voucher top up","0014x00000EGX3VAAX","a1R4x000000BIiQEAW","2021-05-26","a1S4x000000Bu13EAC","a1R4x000000BIiQ","2021-07-12",,,"Abigail Riley",,"Active",,"5922433291","Active","Canceled",,,,3
"Number change request","0014x00000EGX7hAAH","a1R4x000000BIyiEAG","2021-06-03","a1S4x000000BuDFEA0","a1R4x000000BIyi","2021-07-12",,"00001090","Arnold Carter","8014x000000doDUAAY","Active","Activated","3043485071","Active","Successful",,,,0
"Request SIM Replacement","0014x00000EGX7hAAH","a1R4x000000BIynEAG","2021-06-03","a1S4x000000BuDFEA0","a1R4x000000BIyn","2021-07-12",,,,,"Active",,,,"Canceled",,,,0
"Manage Features","001B000001Mt1w2IAB","a1R4x000000BJ6rEAG","2021-06-07","a1S4x000000BuFMEA0","a1R4x000000BJ6r","2021-07-12",,,"Albert Murray",,"Active",,"5922433573","Active","Canceled",,,,1
"Cash top up","001B000001Mt1u7IAB","a1R4x000000BJ6wEAG","2021-06-07","a1S4x000000BuFWEA0","a1R4x000000BJ6w","2021-07-12",,,"Eric Morgan",,"Active",,"5922433578","Active","Canceled",,,,2
"Buy add-ons","0014x00000EGX3VAAX","a1R4x000000BJ71EAG","2021-06-07","a1S4x000000BuFbEAK","a1R4x000000BJ71","2021-07-12",,,"Abigail Riley",,"Active",,"5922433291","Active","Canceled",,,,51661
"Cash top up","001B000001Mt1uzIAB","a1R4x000000BJ76EAG","2021-06-07","a1S4x000000BuFgEAK","a1R4x000000BJ76","2021-07-12",,,"Amy Nelson",,"Active",,"5922433560","Active","Canceled",,,,1
"Voucher top up","0014x00000EGX6ZAAX","a1R4x000000BJ7BEAW","2021-06-07","a1S4x000000BuFlEAK","a1R4x000000BJ7B","2021-07-12",,,"Dominik Harris",,"Active",,"6922433299","Active","Canceled",,,,1
"Change Personal Details","0014x00000EGX86AAH","a1R4x000000BJ7GEAW","2021-06-07","a1S4x000000BuG0EAK","a1R4x000000BJ7G","2021-07-12",,,,,"Active",,,,"Successful",,,,1
"Change Personal Details","0014x00000EGX3gAAH","a1R4x000000BJ7LEAW","2021-06-07","a1S4x000000BuG5EAK","a1R4x000000BJ7L","2021-07-12",,,,,"Active",,,,"Successful",,,,1
"Buy add-ons","0014x00000EGX6ZAAX","a1R4x000000BJElEAO","2021-06-10","a1S4x000000BuMpEAK","a1R4x000000BJEl","2021-07-12",,,,,"Active",,,,"Canceled",,,,47449
"Cash top up","001B000001Mt1uzIAB","a1R4x000000BJEvEAO","2021-06-10","a1S4x000000BuN5EAK","a1R4x000000BJEv","2021-07-12",,,"Amy Nelson",,"Active",,"5922433560","Active","Successful",,,,1
"Buy add-ons","001B000001Mt1uzIAB","a1R4x000000BJF5EAO","2021-06-10","a1S4x000000BuN6EAK","a1R4x000000BJF5","2021-07-12",,"00001111","Amy Nelson","8014x000000dpmVAAQ","Active","Activated","5922433560","Active","Successful",,,,1
"Buy add-ons","0014x00000AKpTOAA1","a1R4x000000BJEqEAO","2021-06-10","a1S4x000000BuN9EAK","a1R4x000000BJEq","2021-07-12",,"00001109","John Conner","8014x000000dpm7AAA","Active","Activated","3035556555","Active","Successful",,,,7
"Buy add-ons","0014x00000EGX3VAAX","a1R4x000000BJF0EAO","2021-06-10","a1S4x000000BuNJEA0","a1R4x000000BJF0","2021-07-12",,"00001110","Abigail Riley","8014x000000dpmLAAQ","Active","Activated","5922433291","Active","Successful",,,,2
"Buy add-ons","0014x00000AKpTOAA1","a1R4x000000BJdKEAW","2021-06-10","a1S4x000000BuNxEAK","a1R4x000000BJdK","2021-07-12",,"00001114","John Conner","8014x000000drboAAA","Active","Ready To Submit","3035556555","Active","Failed",,,,19
"Manage Features","0014x00000AKpTOAA1","a1R4x000000BJdPEAW","2021-06-10","a1S4x000000BuNxEAK","a1R4x000000BJdP","2021-07-12",,,,,"Active",,,,"Canceled",,,,19
"Cash top up","0014x00000AKpTOAA1","a1R4x000000BKxeEAG","2021-06-10","a1S4x000000BuNxEAK","a1R4x000000BKxe","2021-07-12",,,"John Conner",,"Active",,"3035556555","Active","Successful",,,,19
"Buy add-ons","0014x00000AKpTOAA1","a1R4x000000BKxjEAG","2021-06-10","a1S4x000000BuNxEAK","a1R4x000000BKxj","2021-07-12",,"00001117","John Conner","8014x000000dvtSAAQ","Active","Activated","3035556555","Active","Successful",,,,19
"Cash top up","0014x00000EGX6ZAAX","a1R4x000000BLMEEA4","2021-06-11","a1S4x000000BuQNEA0","a1R4x000000BLME","2021-07-12",,,"Dominik Harris",,"Active",,"6922433299","Active","Canceled",,,,38607
"Usage Diagnostics","0014x00000AKpTOAA1","a1R4x000000BJV5EAO","2021-06-14","a1S4x000000BuS8EAK","a1R4x000000BJV5","2021-07-12","5004x000003ovXfAAI",,"John Conner",,"Active",,"3035556555","Active","Successful","New","00001024","Problem with data",4
"Usage Diagnostics","001B000001Mt1uzIAB","a1R4x000000BJVAEA4","2021-06-14","a1S4x000000BuSIEA0","a1R4x000000BJVA","2021-07-12","5004x000003ovY4AAI",,"Amy Nelson",,"Active",,"5922433560","Active","Successful","New","00001025","Require assistance with self service portal",1
"Cash top up","001B000001Mt1u7IAB","a1R4x000000BJlUEAW","2021-06-18","a1S4x000000BusGEAS","a1R4x000000BJlU","2021-07-12",,,"Eric Morgan",,"Active",,"5922433578","Active","Successful",,,,35918
"Manage Features","001B000001MtuWiIAJ","a1R4x000000BJlVEAW","2021-06-18","a1S4x000000BusLEAS","a1R4x000000BJlV","2021-07-12",,"00001115","Carlos Foster","8014x000000drqUAAQ","Active","Activated","6799912304","Active","Successful",,,,35901
"Manage lost or stolen device or SIM","001B000001MtuWiIAJ","a1R4x000000BJlZEAW","2021-06-18","a1S4x000000BusLEAS","a1R4x000000BJlZ","2021-07-12",,,"Carlos Foster",,"Active",,"6799912304","Active","Failed",,,,35901
"Manage lost or stolen device or SIM","001B000001MtuWiIAJ","a1R4x000000BJleEAG","2021-06-18","a1S4x000000BusLEAS","a1R4x000000BJle","2021-07-12",,,"Carlos Foster",,"Active",,"6799912304","Active","Failed",,,,35901
"Change Personal Details","0014x00000FbQtBAAV","a1R4x000000BJrXEAW","2021-06-21","a1S4x000000C2jUEAS","a1R4x000000BJrX","2021-07-12",,,,,"Active",,,,"Canceled",,,,1
"Manage Features","0014x00000Abb2sAAB","a1R4x000000BLMTEA4","2021-07-08","a1S4x000000C4sUEAS","a1R4x000000BLMT","2021-07-12",,"00001118","Marie Watson","8014x000000dzP3AAI","Active","Activated","3030218888","Active","Successful",,,,3
"Number change request","001B000001Mt1uaIAB","a1R4x000000BLMYEA4","2021-07-08","a1S4x000000C4seEAC","a1R4x000000BLMY","2021-07-12",,"00001119","Elian Crawford","8014x000000dzP8AAI","Active","Activated","5922433554","Active","Successful",,,,4
"Change Personal Details","0014x00000FbQqlAAF","a1R4x000000BLMdEAO","2021-07-08","a1S4x000000C4seEAC","a1R4x000000BLMd","2021-07-12",,,,,"Active",,,,"Successful",,,,4
"Setup Auto Payment","0014x00000FbQrPAAV","a1R4x000000BLMiEAO","2021-07-09","a1S4x000000C4suEAC","a1R4x000000BLMi","2021-07-12","5004x000005udd9AAA",,,,"Active",,,,"Failed","New","00001032","Problem with automatic payment configuration",1
"Change Personal Details","0014x00000FbQtBAAV","a1R4x000000BLMnEAO","2021-07-09","a1S4x000000C4syEAC","a1R4x000000BLMn","2021-07-12",,,,,"Active",,,,"Canceled",,,,1
"Number change request","001B000001Mt1wRIAR","a1R4x000000BLMsEAO","2021-07-09","a1S4x000000C4syEAC","a1R4x000000BLMs","2021-07-12",,"00001120","Alissa Dixon","8014x000000dzPDAAY","Active","Activated","5922433582","Active","Successful",,,,1
"Change Personal Details","0014x00000FbQv2AAF","a1R4x000000BLN2EAO","2021-07-09","a1S4x000000C4szEAC","a1R4x000000BLN2","2021-07-12",,,,,"Active",,,,"Successful",,,,2
"Change Personal Details","0014x00000EGX6ZAAX","a1R4x000000BLMeEAO","2021-07-09","a1S4x000000C4t3EAC","a1R4x000000BLMe","2021-07-12",,,,,"Active",,,,"Successful",,,,1
"Voucher top up","001B000001Mt1uzIAB","a1R4x000000BLMUEA4","2021-07-09","a1S4x000000C4tEEAS","a1R4x000000BLMU","2021-07-12",,,"Amy Nelson",,"Active",,"5922433560","Active","Failed",,"00001006",,2
"Manage Features","001B000001MtuWiIAJ","a1R4x000000BLOtEAO","2021-07-09","a1S4x000000C4wgEAC","a1R4x000000BLOt","2021-07-12","5004x000005uddnAAA",,"Carlos Foster",,"Active",,"6799912304","Active","Canceled","New","00001007","Problem with data",9
"Buy add-ons","001B000001Mt1u7IAB","a1R4x000000BLV6EAO","2021-07-12","a1S4x000000C53DEAS","a1R4x000000BLV6","2021-07-12",,,"Eric Morgan",,"Active",,"5922433578","Active","Canceled",,,,1390
"Buy add-ons","0014x00000Abb2qAAB","a1R4x000000BLVBEA4","2021-07-12","a1S4x000000C53EEAS","a1R4x000000BLVB","2021-07-12",,,"John Baker",,"Active",,"3040394276","Active","Canceled",,,,1388
"Number change request","0014x00000Abb2qAAB","a1R4x000000BLVGEA4","2021-07-12","a1S4x000000C53EEAS","a1R4x000000BLVG","2021-07-12",,,,,"Active",,,,"Canceled",,,,1388
"Number change request","0014x00000Abb2qAAB","a1R4x000000BLVLEA4","2021-07-12","a1S4x000000C53EEAS","a1R4x000000BLVL","2021-07-12",,"00001122","John Baker","8014x000000e0EWAAY","Active","Activated","3040394276","Active","Successful",,,,1388
