OperationalDrivers,ClaimsBucket,PreviousRenewalDate,NameInsuredId,Status,TypePrediction,LastProcessedDate,RenewalChannel,RenewalDate,Type,IsRenewedPolicy,ExpirationDate,EffectiveDate,PremiumAmount,Passive,RenewalRate,Rating,Name,NPS,Promoter,Detractor,OwnerId,MyContactCenterNPS,PredictedDistribution,CustomerEngagement,NumberOfClaims,Commit,BestCase,GrossWrittenPremium,ValuePrediction,NPS_All_Contact_Centers,TotalStandardAmount
Agent Comunication,2 - 3 Claims,,Carl,For Renewal,Period,2021-04-26,,2021-10-11,Existing Business,FALSE,2021-10-12,2020-10-12,52000,,79,7.2,18512530376905,41,,,1234567,37,75,18,2,,,528000,9,43,90000
Agent Experience,0 - 1 Claims,,Mary,For Renewal,NPS,2021-04-26,,2021-11-16,Services,FALSE,2021-11-17,2020-11-17,53000,,80,7,17132352507222,41,,,1234567,39,12,16,1,,,763000,32,41,60000
Employee Satisfaction,2 - 3 Claims,,Carl,For Renewal,NPS,2021-04-26,,2022-06-20,Existing Business,FALSE,2022-06-21,2021-06-21,28000,58,74,8.5,10272852111947,39,90,25,1234567,38,70,15,2,67.34,79.92,659000,32,41,82000
Agent Comunication,2 - 3 Claims,,Mary,For Renewal,Amount,2021-04-26,,2022-01-01,Services,FALSE,2022-01-02,2021-01-02,82000,,88,7.6,7483741741138,43,,,1234567,40,75,18,3,,,479000,6,42,68000
Wait Time,4 - 5 Claims,,Steven,Not Renewed,TimeToResolve,2021-04-26,,2021-10-09,New Business,FALSE,2021-10-10,2020-10-10,42000,,80,8.4,375783905647,41,,,1234567,41,12,19,4,,,919000,18,43,61000
Agent Experience,0 - 1 Claims,,Brian,For Renewal,NumberOfClaims,2021-04-26,,2021-11-19,Services,FALSE,2021-11-20,2020-11-20,52000,,80,7,393564266319,41,,,1234567,39,15,17,1,,,813000,23,41,97000
Agent Comunication,2 - 3 Claims,,John,For Renewal,Period,2021-04-26,,2022-06-05,New Business,FALSE,2022-06-06,2021-06-06,86000,58,74,6.7,1511806814924,43,90,25,1234567,40,70,15,2,67.34,,883000,9,42,43000
Wait Time,0 - 1 Claims,,Brian,For Renewal,NPS,2021-04-26,,2022-03-08,Existing Business,FALSE,2022-03-09,2021-03-09,62000,,88,8.4,4855734187302,43,,,1234567,38,58,17,1,,,965000,32,42,42000
Employee Satisfaction,0 - 1 Claims,,Steven,For Renewal,TimeToResolve,2021-04-26,,2022-05-27,Services,FALSE,2022-05-28,2021-05-28,41000,55,79,7.8,6923691750416,43.5,95,15,1234567,39,95,18,1,71.89,85.32,622000,18,39,77000
Agent Experience,4 - 5 Claims,,Carl,For Renewal,NumberOfClaims,2021-04-26,,2021-12-15,New Business,FALSE,2021-12-16,2020-12-16,23000,,85,6.9,706380571416,43.5,,,1234567,41,25,15,4,,,791000,23,43,19000
Employee Satisfaction,2 - 3 Claims,,Mary,For Renewal,Amount,2021-04-26,,2022-04-08,Existing Business,FALSE,2022-04-09,2021-04-09,16000,,88,7.2,14714857752588,39,,,1234567,37,55,19,2,88,,851000,6,39,42000
Agent Comunication,6 or More Claims,,John,For Renewal,Period,2021-04-26,,2022-07-16,Services,FALSE,2022-07-17,2021-07-17,84000,58,65,7.5,6249087230625,39,95,12,1234567,40,12,18,7,59.15,,854000,9,41,17000
Agent Experience,2 - 3 Claims,,Steven,For Renewal,NumberOfClaims,2021-04-26,,2022-02-18,New Business,FALSE,2022-02-19,2021-02-19,70000,,90,6.7,9293756272405,43,,,1234567,38,70,16,3,,,453000,23,42,92000
Wait Time,6 or More Claims,,Carl,Not Renewed,NPS,2021-04-26,,2021-10-07,Existing Business,FALSE,2021-10-08,2020-10-08,33000,,65,6.3,15307858794496,41,,,1234567,39,95,20,6,,,946000,32,43,89000
Agent Comunication,0 - 1 Claims,,Brian,For Renewal,TimeToResolve,2021-04-26,,2021-11-01,New Business,FALSE,2021-11-02,2020-11-02,28000,,80,7.8,3890993839928,41,,,1234567,39,12,15,1,,,870000,18,41,14000
Employee Satisfaction,4 - 5 Claims,,John,For Renewal,Amount,2021-04-26,,2022-04-10,Existing Business,FALSE,2022-04-11,2021-04-11,79000,,88,7.2,1295877908528,39,,,1234567,37,25,20,5,88,,593000,6,39,41000
Agent Experience,4 - 5 Claims,,Mary,For Renewal,Period,2021-04-26,,2021-12-31,Services,FALSE,2022-01-01,2021-01-01,16000,,88,6.9,1747503072065,43,,,1234567,40,58,20,4,,,790000,9,42,20000
Wait Time,2 - 3 Claims,,Mary,For Renewal,NumberOfClaims,2021-04-26,,2022-03-07,New Business,FALSE,2022-03-08,2021-03-08,31000,,88,8.4,3014435501597,43,,,1234567,38,95,15,3,,,732000,23,42,55000
Wait Time,4 - 5 Claims,,Brian,For Renewal,Period,2021-04-26,,2022-02-09,Existing Business,FALSE,2022-02-10,2021-02-10,88000,,90,8.5,16999163613518,43,,,1234567,38,15,17,5,,,849000,9,42,27000
Agent Experience,2 - 3 Claims,,John,For Renewal,NPS,2021-04-26,,2022-07-26,Services,FALSE,2022-07-27,2021-07-27,15000,58,65,8.6,19408591958484,43,95,12,1234567,37,75,15,2,59.15,,750000,32,42,21000
Agent Comunication,2 - 3 Claims,,Steven,For Renewal,TimeToResolve,2021-04-26,,2022-05-05,Services,FALSE,2022-05-06,2021-05-06,16000,55,79,7.5,10521281894447,43.5,95,15,1234567,41,75,17,2,71.89,85.32,691000,18,39,98000
Employee Satisfaction,4 - 5 Claims,,Carl,Not Renewed,Amount,2021-04-26,,2022-06-07,Existing Business,FALSE,2022-06-08,2021-06-08,56000,58,74,8.5,17904521704173,43,90,25,1234567,38,58,20,4,,,726000,6,43,46000
Agent Comunication,0 - 1 Claims,,Brian,For Renewal,Amount,2021-04-26,,2022-03-29,New Business,FALSE,2022-03-30,2021-03-30,58000,,88,7.1,5078576401477,43,,,1234567,38,55,18,1,,,861000,6,42,84000
Employee Satisfaction,0 - 1 Claims,,John,For Renewal,NumberOfClaims,2021-04-26,,2022-02-23,New Business,FALSE,2022-02-24,2021-02-24,19000,,90,7.5,9313664579188,43,,,1234567,38,70,18,1,,,508000,23,42,28000
Agent Experience,0 - 1 Claims,,Mary,For Renewal,NPS,2021-04-26,,2022-04-24,Existing Business,FALSE,2022-04-25,2021-04-25,29000,,88,6.3,3122802527665,39,,,1234567,37,75,16,1,,88,505000,32,39,36000
Wait Time,2 - 3 Claims,,Carl,For Renewal,Period,2021-04-26,,2021-11-12,Services,FALSE,2021-11-13,2020-11-13,91000,,80,8.2,9270264179766,41,,,1234567,39,12,16,3,,,678000,9,41,88000
Agent Comunication,0 - 1 Claims,,Steven,For Renewal,TimeToResolve,2021-04-26,,2022-01-10,New Business,FALSE,2022-01-11,2021-01-11,54000,,88,7.6,13600059976150,43,,,1234567,40,15,19,1,,,884000,18,42,90000
Agent Experience,0 - 1 Claims,,Brian,For Renewal,NumberOfClaims,2021-04-26,,2021-12-10,Existing Business,FALSE,2021-12-11,2020-12-11,86000,,85,6.9,9968959594786,43.5,,,1234567,41,75,16,1,,,478000,23,43,32000
Employee Satisfaction,2 - 3 Claims,,Mary,For Renewal,Amount,2021-04-26,,2021-12-26,Services,FALSE,2021-12-27,2020-12-27,16000,,85,7.8,8977450003335,43.5,,,1234567,41,25,18,2,,,505000,6,43,44000
Wait Time,2 - 3 Claims,,Carl,Not Renewed,TimeToResolve,2021-04-26,,2022-05-05,Services,FALSE,2022-05-06,2021-05-06,61000,55,79,7,8479650101669,39,95,15,1234567,40,75,16,3,,85.32,865000,18,41,55000
Agent Comunication,6 or More Claims,,John,For Renewal,NPS,2021-04-26,,2022-07-08,New Business,FALSE,2022-07-09,2021-07-09,25000,58,65,6.3,11635859170038,41,95,12,1234567,41,12,15,7,59.15,70.2,921000,32,42,12000
Wait Time,0 - 1 Claims,,Steven,For Renewal,Period,2021-04-26,,2022-06-22,Existing Business,FALSE,2022-06-23,2021-06-23,83000,58,74,6.9,18100642805004,43.5,90,25,1234567,38,95,19,1,,,961000,9,39,46000
Employee Satisfaction,2 - 3 Claims,,Mary,For Renewal,NumberOfClaims,2021-04-26,,2021-10-23,Existing Business,FALSE,2021-10-24,2020-10-24,12000,,74,8.4,19478432747416,39,,,1234567,39,70,15,2,,,799000,23,43,74000
Agent Experience,2 - 3 Claims,,Brian,For Renewal,Period,2021-04-26,,2021-10-24,Services,FALSE,2021-10-25,2020-10-25,82000,,88,7.1,1249957671512,43,,,1234567,37,95,16,2,,,466000,9,39,83000
Wait Time,2 - 3 Claims,,Steven,For Renewal,Amount,2021-04-26,,2022-03-29,New Business,FALSE,2022-03-30,2021-03-30,34000,,88,8.4,18599685176950,43,,,1234567,38,58,15,3,,,792000,6,42,87000
Employee Satisfaction,4 - 5 Claims,,John,For Renewal,NPS,2021-04-26,,2022-01-01,Services,FALSE,2022-01-02,2021-01-02,33000,,88,7.8,1525383420531,43,,,1234567,40,55,15,4,,,658000,32,42,96000
Agent Experience,4 - 5 Claims,,Carl,For Renewal,TimeToResolve,2021-04-26,,2021-12-01,Existing Business,FALSE,2021-12-02,2020-12-02,15000,,85,6.9,8554354420507,43.5,,,1234567,41,75,17,5,,,527000,18,43,92000
Agent Comunication,2 - 3 Claims,,Mary,For Renewal,TimeToResolve,2021-04-26,,2022-04-05,New Business,FALSE,2022-04-06,2021-04-06,20000,,88,7.1,3289061422413,39,,,1234567,37,12,19,2,88,,747000,18,39,87000
Employee Satisfaction,6 or More Claims,,Carl,Not Renewed,Amount,2021-04-26,,2022-05-17,Existing Business,FALSE,2022-05-18,2021-05-18,22000,55,79,8.1,2629553423394,41,95,15,1234567,38,15,16,6,,85.32,555000,6,41,57000
Wait Time,0 - 1 Claims,,Steven,For Renewal,NPS,2021-04-26,,2022-05-31,New Business,FALSE,2022-06-01,2021-06-01,86000,58,74,8.2,12104216318645,43.5,90,25,1234567,39,95,19,1,67.34,,532000,32,42,87000
Agent Experience,2 - 3 Claims,,John,For Renewal,Period,2021-04-26,,2022-07-15,Services,FALSE,2022-07-16,2021-07-16,65000,58,65,6.5,17020274384908,43.5,95,12,1234567,40,75,17,3,,70.2,950000,9,39,24000
Agent Comunication,6 or More Claims,,Brian,For Renewal,NumberOfClaims,2021-04-26,,2022-03-21,Existing Business,FALSE,2022-03-22,2021-03-22,76000,,88,7.1,12906121036846,43,,,1234567,38,58,15,7,,,692000,23,42,60000
Agent Comunication,6 or More Claims,,Mary,For Renewal,Period,2021-04-26,,2021-11-10,Services,FALSE,2021-11-11,2020-11-11,71000,,80,7.8,457291403043,41,,,1234567,39,95,16,7,,,571000,9,41,43000
Employee Satisfaction,2 - 3 Claims,,Brian,For Renewal,TimeToResolve,2021-04-26,,2021-12-16,New Business,FALSE,2021-12-17,2020-12-17,18000,,85,7.8,7887487625923,43.5,,,1234567,41,25,17,2,,,540000,18,43,11000
Agent Experience,2 - 3 Claims,,Carl,For Renewal,Amount,2021-04-26,,2022-01-30,New Business,FALSE,2022-01-31,2021-01-31,96000,,88,6.9,19655524222250,43,,,1234567,40,70,19,2,,,848000,6,42,68000
Wait Time,4 - 5 Claims,,Steven,For Renewal,NumberOfClaims,2021-04-26,,2021-11-25,Existing Business,FALSE,2021-11-26,2020-11-26,72000,,80,8.2,6035031526263,41,,,1234567,39,15,15,4,,,653000,23,41,37000
Agent Comunication,4 - 5 Claims,,John,Not Renewed,NPS,2021-04-26,,2022-06-22,Services,FALSE,2022-06-23,2021-06-23,24000,58,74,7.4,3694976682698,41,90,25,1234567,37,58,15,4,,79.92,696000,32,43,32000
Employee Satisfaction,2 - 3 Claims,,Brian,For Renewal,NumberOfClaims,2021-04-26,,2021-10-10,Existing Business,FALSE,2021-10-11,2020-10-11,79000,,79,7.8,4308563196462,43,,,1234567,41,55,18,2,,,626000,23,42,91000
Wait Time,2 - 3 Claims,,John,For Renewal,NPS,2021-04-26,,2022-07-07,New Business,FALSE,2022-07-08,2021-07-08,94000,58,65,7.6,18753553643014,39,95,12,1234567,41,75,20,3,59.15,,612000,32,41,24000
Agent Experience,0 - 1 Claims,,Mary,For Renewal,TimeToResolve,2021-04-26,,2022-05-19,Services,FALSE,2022-05-20,2021-05-20,43000,55,79,7.2,10127792522623,39,95,15,1234567,37,95,16,1,,85.32,756000,18,42,97000
Employee Satisfaction,2 - 3 Claims,,Steven,For Renewal,Amount,2021-04-26,,2022-04-05,New Business,FALSE,2022-04-06,2021-04-06,39000,,88,7.2,4889598428969,39,,,1234567,37,70,19,2,88,,741000,6,39,83000
Wait Time,2 - 3 Claims,,Carl,For Renewal,Period,2021-04-26,,2022-02-28,Existing Business,FALSE,2022-03-01,2021-03-01,26000,,88,8.4,17660223003637,43,,,1234567,38,12,18,2,,,976000,9,42,55000
Agent Comunication,0 - 1 Claims,,Mary,For Renewal,NumberOfClaims,2021-04-26,,2022-02-16,Services,FALSE,2022-02-17,2021-02-17,31000,,90,7.4,15666662094390,43,,,1234567,38,75,18,1,,,414000,23,42,27000
Agent Experience,2 - 3 Claims,,John,For Renewal,Period,2021-04-26,,2021-12-13,New Business,FALSE,2021-12-14,2020-12-14,56000,,85,6.9,14429748894480,43.5,,,1234567,41,15,20,2,,,984000,9,43,62000
Agent Experience,0 - 1 Claims,,Carl,Not Renewed,TimeToResolve,2021-04-26,,2022-01-31,Services,FALSE,2022-02-01,2021-02-01,53000,,90,6.7,15125183412596,43,,,1234567,38,25,19,1,,,804000,18,42,41000
Employee Satisfaction,2 - 3 Claims,,Steven,For Renewal,Amount,2021-04-26,,2022-01-09,Existing Business,FALSE,2022-01-10,2021-01-10,80000,,88,7.8,19357128417175,43,,,1234567,40,58,18,3,,,653000,6,42,44000
Agent Comunication,6 or More Claims,,Brian,For Renewal,NPS,2021-04-26,,2022-06-21,Services,FALSE,2022-06-22,2021-06-22,70000,58,74,6.7,5139744387303,43,90,25,1234567,38,25,18,7,,,926000,32,39,20000
Wait Time,2 - 3 Claims,,Carl,For Renewal,NPS,2021-04-26,,2021-10-29,Existing Business,FALSE,2021-10-30,2020-10-30,49000,,74,7.2,974014306830,43.5,,,1234567,40,95,17,2,,,931000,32,43,92000
Agent Experience,4 - 5 Claims,,John,For Renewal,Amount,2021-04-26,,2022-02-08,New Business,FALSE,2022-02-09,2021-02-09,53000,,90,6.7,1362288991454,43,,,1234567,38,55,17,5,,,821000,6,42,100000
Wait Time,6 or More Claims,,Mary,For Renewal,NumberOfClaims,2021-04-26,,2022-04-08,New Business,FALSE,2022-04-09,2021-04-09,98000,,88,8.6,19384764626928,39,,,1234567,37,25,17,6,,,539000,23,39,81000
Agent Comunication,6 or More Claims,,Steven,For Renewal,TimeToResolve,2021-04-26,,2022-05-08,Services,FALSE,2022-05-09,2021-05-09,81000,55,79,6.3,13520846402985,41,95,15,1234567,39,15,17,6,,,687000,18,41,39000
Employee Satisfaction,4 - 5 Claims,,Brian,For Renewal,Period,2021-04-26,,2022-03-13,Existing Business,FALSE,2022-03-14,2021-03-14,60000,,88,7.4,18314659303988,43,,,1234567,38,12,17,4,,,562000,9,42,31000
Agent Comunication,0 - 1 Claims,,Carl,For Renewal,TimeToResolve,2021-04-26,,2022-04-20,Existing Business,FALSE,2022-04-21,2021-04-21,69000,,88,7.1,17036855117069,39,,,1234567,37,15,17,1,88,,725000,18,39,96000
Wait Time,2 - 3 Claims,,John,Not Renewed,Period,2021-04-26,,2022-02-04,New Business,FALSE,2022-02-05,2021-02-05,77000,,90,8.5,15409732937701,43,,,1234567,38,95,16,3,,,850000,9,42,57000
Agent Experience,0 - 1 Claims,,Brian,For Renewal,Amount,2021-04-26,,2021-10-29,Services,FALSE,2021-10-30,2020-10-30,27000,,80,7.1,14955651386001,41,,,1234567,38,75,15,1,,,809000,6,41,74000
Employee Satisfaction,4 - 5 Claims,,Mary,For Renewal,NPS,2021-04-26,,2021-12-27,Services,FALSE,2021-12-28,2020-12-28,26000,,85,7.8,7745261166162,43.5,,,1234567,41,55,16,4,,,651000,32,43,73000
Agent Comunication,2 - 3 Claims,,Steven,For Renewal,NumberOfClaims,2021-04-26,,2022-07-25,New Business,FALSE,2022-07-26,2021-07-26,93000,58,65,6.9,4455546781925,43,95,12,1234567,39,75,18,2,,70.2,933000,23,42,97000
Agent Experience,0 - 1 Claims,,Steven,For Renewal,TimeToResolve,2021-04-26,,2022-07-20,Existing Business,FALSE,2022-07-21,2021-07-21,76000,58,65,7.8,12859770327732,39,95,12,1234567,37,95,19,1,59.15,,784000,18,43,54000
Employee Satisfaction,4 - 5 Claims,,Brian,For Renewal,Amount,2021-04-26,,2022-01-15,New Business,FALSE,2022-01-16,2021-01-16,78000,,88,7.8,12948072330797,43,,,1234567,40,58,15,4,,,982000,6,42,36000
Wait Time,0 - 1 Claims,,John,For Renewal,Period,2021-04-26,,2022-06-29,Services,FALSE,2022-06-30,2021-06-30,17000,58,74,7.2,18350314614921,43.5,90,25,1234567,40,95,17,1,,79.92,977000,9,39,80000
Employee Satisfaction,2 - 3 Claims,,Carl,For Renewal,NPS,2021-04-26,,2022-05-19,Existing Business,FALSE,2022-05-20,2021-05-20,67000,55,79,8.1,7283625078129,43,95,15,1234567,41,75,16,3,71.89,,701000,32,43,89000
Wait Time,4 - 5 Claims,,Mary,Not Renewed,NumberOfClaims,2021-04-26,,2022-04-13,New Business,FALSE,2022-04-14,2021-04-14,74000,,88,8.6,12153551223124,39,,,1234567,37,70,18,4,88,,943000,23,39,37000
Agent Experience,2 - 3 Claims,,Steven,For Renewal,NumberOfClaims,2021-04-26,,2021-11-19,Existing Business,FALSE,2021-11-20,2020-11-20,35000,,80,7,517997304839,41,,,1234567,39,58,18,2,,,896000,23,41,61000
Agent Comunication,2 - 3 Claims,,John,For Renewal,TimeToResolve,2021-04-26,,2021-11-12,Services,FALSE,2021-11-13,2020-11-13,33000,,80,7.8,15931431196528,41,,,1234567,39,15,16,2,,,615000,18,41,98000
Employee Satisfaction,0 - 1 Claims,,Mary,For Renewal,NPS,2021-04-26,,2022-01-14,Existing Business,FALSE,2022-01-15,2021-01-15,50000,,88,7.8,6703671898338,43,,,1234567,40,95,18,1,,,928000,32,42,45000
Agent Comunication,6 or More Claims,,Carl,For Renewal,Period,2021-04-26,,2021-11-14,New Business,FALSE,2021-11-15,2020-11-15,83000,,80,7.8,15211681807570,41,,,1234567,39,70,19,7,,,949000,9,41,66000
Wait Time,6 or More Claims,,Brian,For Renewal,Amount,2021-04-26,,2021-12-24,Services,FALSE,2021-12-25,2020-12-25,100000,,85,8.1,9721522514496,43.5,,,1234567,41,12,18,6,,,866000,6,43,34000
Agent Experience,4 - 5 Claims,,Steven,For Renewal,NumberOfClaims,2021-04-26,,2022-03-19,Existing Business,FALSE,2022-03-20,2021-03-20,52000,,88,6.5,14532407600804,43,,,1234567,38,75,19,5,,,960000,23,42,30000
Employee Satisfaction,2 - 3 Claims,,Brian,For Renewal,Amount,2021-04-26,,2022-07-18,New Business,FALSE,2022-07-19,2021-07-19,41000,58,65,7.5,16459127116665,39,95,12,1234567,38,75,19,2,59.15,,710000,6,42,77000
Wait Time,4 - 5 Claims,,John,Not Renewed,NPS,2021-04-26,,2022-05-20,Services,FALSE,2022-05-21,2021-05-21,42000,55,79,6.7,2081627833169,43.5,95,15,1234567,37,55,20,5,,85.32,571000,32,39,63000
Agent Experience,4 - 5 Claims,,Mary,For Renewal,Period,2021-04-26,,2022-06-02,Existing Business,FALSE,2022-06-03,2021-06-03,57000,58,74,7.2,16258625252698,41,90,25,1234567,40,58,15,4,,,962000,9,41,13000
Agent Comunication,2 - 3 Claims,,Carl,For Renewal,TimeToResolve,2021-04-26,,2022-02-09,New Business,FALSE,2022-02-10,2021-02-10,61000,,90,7.4,12522329957637,43,,,1234567,38,25,16,3,,,604000,18,42,56000
Agent Comunication,0 - 1 Claims,,John,For Renewal,Amount,2021-04-26,,2021-10-09,Services,FALSE,2021-10-10,2020-10-10,41000,,90,8.5,5538439730019,39,,,1234567,39,55,19,1,,,849000,6,39,37000
Agent Experience,2 - 3 Claims,,Brian,For Renewal,NumberOfClaims,2021-04-26,,2021-10-17,Services,FALSE,2021-10-18,2020-10-18,98000,,88,7.4,13768000724895,43.5,,,1234567,41,15,17,2,,,553000,23,42,77000
Employee Satisfaction,0 - 1 Claims,,Carl,For Renewal,NPS,2021-04-26,,2022-01-24,New Business,FALSE,2022-01-25,2021-01-25,67000,,88,7.8,1490600660323,43,,,1234567,40,58,15,1,,,736000,32,42,28000
Wait Time,2 - 3 Claims,,Steven,For Renewal,Period,2021-04-26,,2021-12-16,Existing Business,FALSE,2021-12-17,2020-12-17,26000,,85,8.1,8250917154436,43.5,,,1234567,41,75,16,3,,,944000,9,43,28000
Wait Time,2 - 3 Claims,,Mary,For Renewal,TimeToResolve,2021-04-26,,2021-10-31,New Business,FALSE,2021-11-01,2020-11-01,29000,,80,8.2,20139597995665,41,,,1234567,39,95,16,2,,,881000,18,41,18000
Employee Satisfaction,4 - 5 Claims,,Brian,For Renewal,NumberOfClaims,2021-04-26,,2022-07-04,Services,FALSE,2022-07-05,2021-07-05,95000,58,65,7,4681825820731,43,95,12,1234567,40,58,17,4,59.15,,510000,23,43,64000
Agent Experience,0 - 1 Claims,,Mary,Not Renewed,Amount,2021-04-26,,2022-05-13,Existing Business,FALSE,2022-05-14,2021-05-14,53000,55,79,6.5,6879064907525,41,95,15,1234567,38,95,15,1,71.89,,812000,6,41,14000
Agent Comunication,0 - 1 Claims,,Steven,For Renewal,NPS,2021-04-26,,2022-04-07,New Business,FALSE,2022-04-08,2021-04-08,45000,,88,7.1,3946462015079,39,,,1234567,37,70,17,1,88,,793000,32,39,92000
Employee Satisfaction,6 or More Claims,,John,For Renewal,TimeToResolve,2021-04-26,,2022-06-03,Services,FALSE,2022-06-04,2021-06-04,31000,58,74,7.6,3026150562795,41,90,25,1234567,37,25,15,7,67.34,,701000,18,43,65000
Agent Experience,2 - 3 Claims,,Carl,For Renewal,Period,2021-04-26,,2022-03-04,Existing Business,FALSE,2022-03-05,2021-03-05,53000,,88,6.5,8436090972580,43,,,1234567,38,12,20,2,,,799000,9,42,63000
Wait Time,2 - 3 Claims,,Steven,For Renewal,NumberOfClaims,2021-04-26,,2022-04-11,Services,FALSE,2022-04-12,2021-04-12,27000,,88,8.6,12347143536392,39,,,1234567,37,55,19,3,88,,720000,23,39,67000
Agent Comunication,4 - 5 Claims,,John,For Renewal,Period,2021-04-26,,2021-12-06,Existing Business,FALSE,2021-12-07,2020-12-07,67000,,85,7.6,11929574646659,43.5,,,1234567,41,25,16,4,,,666000,9,43,35000
Agent Comunication,0 - 1 Claims,,Brian,For Renewal,NPS,2021-04-26,,2021-11-02,New Business,FALSE,2021-11-03,2020-11-03,18000,,80,7.8,941349418235,41,,,1234567,39,12,20,1,,,749000,32,41,78000
Wait Time,2 - 3 Claims,,Mary,For Renewal,Amount,2021-04-26,,2022-02-28,Existing Business,FALSE,2022-03-01,2021-03-01,27000,,88,8.4,2009875692893,43,,,1234567,38,25,16,2,,,798000,6,42,34000
Employee Satisfaction,2 - 3 Claims,,Carl,Not Renewed,TimeToResolve,2021-04-26,,2022-02-14,Services,FALSE,2022-02-15,2021-02-15,16000,,90,7.5,11702773101020,43,,,1234567,38,58,15,3,,,448000,18,42,13000
Agent Experience,6 or More Claims,,Carl,For Renewal,Period,2021-04-26,,2022-02-24,New Business,FALSE,2022-02-25,2021-02-25,56000,,90,6.7,1691824973361,43,,,1234567,38,15,20,6,,,538000,9,42,86000
Agent Experience,0 - 1 Claims,,John,For Renewal,NumberOfClaims,2021-04-26,,2021-10-26,Services,FALSE,2021-10-27,2020-10-27,72000,,85,8.2,11083756549657,39,,,1234567,39,70,16,1,,,971000,23,41,26000
Employee Satisfaction,4 - 5 Claims,,Brian,For Renewal,TimeToResolve,2021-04-26,,2022-07-12,New Business,FALSE,2022-07-13,2021-07-13,14000,58,65,8.6,7603197139772,43,95,12,1234567,41,58,20,4,,,464000,18,39,44000
Agent Comunication,4 - 5 Claims,,Mary,For Renewal,NPS,2021-04-26,,2022-05-15,Existing Business,FALSE,2022-05-16,2021-05-16,19000,55,79,8.4,7079238635204,43.5,95,15,1234567,39,55,20,5,,85.32,651000,32,42,62000
Wait Time,2 - 3 Claims,,Steven,For Renewal,Amount,2021-04-26,,2022-04-24,Services,FALSE,2022-04-25,2021-04-25,19000,,88,8.6,3437882097398,39,,,1234567,37,75,18,2,,88,745000,6,39,64000
Agent Comunication,0 - 1 Claims,,John,For Renewal,NPS,2021-04-26,,2022-03-11,New Business,FALSE,2022-03-12,2021-03-12,36000,,88,7.1,19244435003612,43,,,1234567,38,95,20,1,,,808000,32,42,39000
Wait Time,2 - 3 Claims,,Carl,For Renewal,TimeToResolve,2021-04-26,,2021-10-20,Existing Business,FALSE,2021-10-21,2020-10-21,56000,,65,7.6,938573394144,43,,,1234567,37,55,20,2,,,763000,18,41,89000
Agent Experience,6 or More Claims,,Brian,Not Renewed,Period,2021-04-26,,2021-11-28,Services,FALSE,2021-11-29,2020-11-29,54000,,80,7,7972352649190,41,,,1234567,39,75,18,7,,,706000,9,41,96000
Employee Satisfaction,0 - 1 Claims,,Mary,For Renewal,NumberOfClaims,2021-04-26,,2022-06-17,Existing Business,FALSE,2022-06-18,2021-06-18,96000,58,74,7,19080355021502,41,90,25,1234567,38,95,18,1,67.34,,929000,23,42,60000
Employee Satisfaction,2 - 3 Claims,,Steven,For Renewal,Amount,2021-04-26,,2022-01-01,New Business,FALSE,2022-01-02,2021-01-02,74000,,88,7.8,14351315397441,43,,,1234567,40,15,15,3,,,430000,6,42,93000
Agent Comunication,4 - 5 Claims,,Mary,For Renewal,Amount,2021-04-26,,2022-07-19,New Business,FALSE,2022-07-20,2021-07-20,38000,58,65,6.9,19259927946761,43.5,95,12,1234567,41,58,15,4,59.15,,769000,6,39,95000
Agent Experience,2 - 3 Claims,,John,For Renewal,NPS,2021-04-26,,2022-01-19,Existing Business,FALSE,2022-01-20,2021-01-20,79000,,88,6.9,8926542781308,43,,,1234567,40,58,16,2,,,634000,32,42,47000
Wait Time,0 - 1 Claims,,Steven,For Renewal,TimeToResolve,2021-04-26,,2022-06-10,Services,FALSE,2022-06-11,2021-06-11,95000,58,74,7.1,8713016147146,39,90,25,1234567,40,95,20,1,67.34,79.92,671000,18,43,94000
Wait Time,4 - 5 Claims,,Brian,For Renewal,Period,2021-04-26,,2022-03-03,New Business,FALSE,2022-03-04,2021-03-04,88000,,88,8.4,762835713685,43,,,1234567,38,55,17,4,,,514000,9,42,81000
Agent Comunication,2 - 3 Claims,,Carl,For Renewal,NumberOfClaims,2021-04-26,,2022-05-26,Existing Business,FALSE,2022-05-27,2021-05-27,84000,55,79,8.5,7292125549686,41,95,15,1234567,40,75,15,2,71.89,,514000,23,41,82000
Employee Satisfaction,2 - 3 Claims,,Brian,For Renewal,NumberOfClaims,2021-04-26,,2022-02-22,Services,FALSE,2022-02-23,2021-02-23,74000,,90,7.5,3864434489067,43,,,1234567,38,12,15,2,,,769000,23,42,89000
Agent Experience,4 - 5 Claims,,Mary,Not Renewed,TimeToResolve,2021-04-26,,2021-11-21,Existing Business,FALSE,2021-11-22,2020-11-22,32000,,80,7,19374363216128,41,,,1234567,39,25,18,4,,,920000,18,41,21000
Agent Experience,0 - 1 Claims,,Steven,For Renewal,Period,2021-04-26,,2022-02-15,Services,FALSE,2022-02-16,2021-02-16,73000,,90,6.7,19358767529293,43,,,1234567,38,95,18,1,,,759000,9,42,57000
Employee Satisfaction,2 - 3 Claims,,Carl,For Renewal,Amount,2021-04-26,,2021-10-29,New Business,FALSE,2021-10-30,2020-10-30,62000,,74,7.2,17199340057671,39,,,1234567,38,70,15,2,,,708000,6,43,84000
