"date","Case_Type","Photo","Name","States","Car_Type","Education","Opportunity_Name","Patent_Activity","Einstein_Prediction","Categories","Call_Resolution","Conversion","Owner_Name","CompanyLogo","Customer_Type","Mobile_App_Usage","Forecast","Country","Region","Attrition_Details","Factory","Projects","Business_Segment","Segment","Mobility_Breakdown","Recommendations","DummyImage","Tenure","Lead","Awarness","Family_Type","Sentiment","App_Usage_Categories","OpportunityStage","Year","Roles_in_Demand","Job_Role","Stock_Price","Revenue_Target","Percentage_of_Calls","Capacity","Patents_Filed","Production","Profit","Stock_High","Employee_Count","Engagement_Industry","Case_Resolution","Open_Role_Days","Engagement_National","Net_Retention","Case_Handle_Time_in_Minutes","Sentiment_Score","Patents_Awarded","Facebook_Followers","Volume","Revenue","CSAT","Week","Inventory","Margin","Customer_Acquisition_Costs","NPS","Engagement","Revenue_Percentage","Purchases","Stock_Low","Instagram_Followers","Case_Length","Customer_Acquisition_Cost","Drive_Count"
"11/20/2016","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxh/M","Doug Koepp",,"Gasoline","Less than High School","Kuhic Inc","3_Filed","On Target","Cars","UnResolved","Yes","Baron Lodder","https://randomuser.me/api/portraits/men/84.jpg","Retained","Others","Forecast","Philippines","North America","Personal","Hermosillo","Project N","> 500K","RideShare","Private Car","Offer co-marketing program","http://dummyimage.com/220x202.jpg/5fa2dd/ffffff","> 10 Years","Pay per lead","Social Media","All","Neutral","Features","Stage 2","Year2016","AI Engineering","Automotive technician",14.78,20745.213608,90,3196,15.8,2755,1.94,15.093762,15,0,29.142857,5,1,61,680,77,6.172049,1064,624000,16000,65,112016,16000,0.121238,17,62,1,79,8,14.389016,2034,8,76,8000
"11/3/2019","Closed","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxf/M","Dylan Moore",,"Gasoline","Graduate","Herman, Parker and Hilpert","3_Filed","At Risk","Cross Over","Third Call or more","No","Jesse Askey","https://randomuser.me/api/portraits/men/11.jpg","Attrition","Mostly App","Forecast","Palestinian Territory","Asia Pacific","Growth Prospects","Samutprakarn","Project P","> 500K","RideShare","Private Car","Meet 1:1 with top decision maker","http://dummyimage.com/102x192.jpg/dddddd/000000","3 - 5 Years","Pay per lead","Organic Search","Non-Family","Positive","Features","Stage 2","Year2019","AI Engineering","Automotive technician",18.95,48109.224953,77,4336,16.87,743,26.999,19.135962,14,1,3.142857,55,1,60,170,79,4.218821,1062,6510000,155000,69,112019,155000,0.174185,28,61,-1,96,8,18.654801,2034,11,75,155000
"9/8/2018","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxg/M","Sonya Renner",,"Gasoline","Some College","Koch and Sons","2_Awarded","On Target","Cross Over","Third Call or more","No","Carlynn Newitt","https://randomuser.me/api/portraits/men/17.jpg","Retained","Others","Forecast","Peru","South America","Personal","Minas Gerais","Project N","> 1MM","RideShare","Private Car","Partner with a ride share company","http://dummyimage.com/166x214.png/5fa2dd/ffffff","5 - 10 Years","Networking events","Paid Search","Non-Family","Negative","Service Appointments","Stage 2","Year2018","Cybersecurity","Manager",16.14,78644.139086,96,4895,17.31,1183,6.673,16.538624,9,1,7.714286,22,0,60,597,78,7.905455,1064,832000,64000,69,92018,64000,0.104259,45,60,0,33,7,15.706394,2034,9,74,32000
"4/24/2018","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxe/M","Katlynn Pouros",,"Gasoline","Some College","O'Connell, Waelchi and Bahringer","3_Filed","At Risk","Cars","UnResolved","No","Bondie Hatherell","https://randomuser.me/api/portraits/men/93.jpg","Attrition","Others","Forecast","China","Europe","Personal","Tychy","Project K","> 1MM","Fleet","Private Car","Meet 1:1 with top decision maker","http://dummyimage.com/225x210.png/dddddd/000000","< 3 Years","Social network","Display Advertising","All","Positive","New Sales Appointments","Stage 3","Year2018","AI Engineering","Automotive technician",16.44,15603.501239,6,588,13.17,1091,2.598,16.727715,3,1,10,15,2,59,397,82,4.720715,1062,1302000,42000,68,42018,42000,0.061858,77,62,0,78,9,16.256666,2033,10,75,21000
"12/4/2019","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxf/M","Dylan Moore",,"Hybrid","Bachelor","Daniel, Mitchell and Sawayn","3_Filed","At Risk","Trucks","First Call","Yes","Carita Tuck","https://randomuser.me/api/portraits/men/51.jpg","New","Mostly App","Forecast","Czech Republic","Asia Pacific","Personal","Nanjing","Project N","250K to 500K","Fleet","Private Car","Partner with a ride share company","http://dummyimage.com/149x242.jpg/5fa2dd/ffffff","5 - 10 Years","Blog posts","Paid Search","Non-Family","Positive","Features","Stage 1","Year2019","AI Engineering","Automobile designer",22.42,206115.727174,67,2678,17.02,2828,8.541,22.857006,1,0,4.285714,57,0,60,190,82,7.005844,1064,2400000,160000,65,122019,160000,0.053381,56,60,0,38,7,22.300138,2032,11,74,160000
"7/11/2016","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxh/M","Doug Koepp","Québec","Gasoline","Less than High School","Hammes-Parisian","3_Filed","At Risk","Cross Over","First Call","No","Ranice Porteous","https://randomuser.me/api/portraits/men/86.jpg","Converted","Others","Forecast","Canada","North America","Personal","Flat Rock","Project K","> 500K","RideShare","Bus","Meet 1:1 with top decision maker","http://dummyimage.com/233x101.png/dddddd/000000","< 3 Years","Referrals","Organic Search","Non-Family","Positive","Features","Stage 1","Year2016","Cybersecurity","Manager",16.14,15527.622033,32,1503,16.12,2129,1.53,16.590066,15,0,39.428571,4,0,59,858,78,5.008237,1063,182000,13000,66,72016,13000,0.117674,56,61,1,47,9,15.836396,2032,13,74,6500
"4/27/2017","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxf/M","Dylan Moore",,"Gasoline","Some College","Dicki Group","2_Awarded","At Risk","Cross Over","UnResolved","No","Cullie Pahl","https://randomuser.me/api/portraits/men/65.jpg","Retained","Mostly App","Forecast","Ireland","Europe","Personal","Tofas","Project N","> 500K","Logistics","Private Car","Offer co-marketing program","http://dummyimage.com/223x207.jpg/cc0000/ffffff","5 - 10 Years","Third party directories","Paid Search","All","Negative","Service Appointments","Stage 1","Year2017","AI Engineering","Sales Representative",15.84,11951.110551,60,1974,17.85,1515,2.143,16.254639,12,0,19.428571,8,0,60,466,78,7.262253,1064,850000,25000,67,42017,25000,0.085716,50,60,1,89,8,15.746314,2034,9,76,12500
"5/30/2017","Closed","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxg/M","Sonya Renner","California","Hybrid","Graduate","Schmidt Inc","3_Filed","On Target","Cars","UnResolved","Yes","Karlotte Pavlovsky","https://randomuser.me/api/portraits/men/84.jpg","New","Mostly App","Forecast","United States of America","South America","Compensation","Minas Gerais","Project K","> 500K","Fleet","Private Car","Meet 1:1 with top decision maker","http://dummyimage.com/114x102.png/cc0000/ffffff","< 3 Years","Paid campaigns","Display Advertising","All","Positive","Features","Stage 1","Year2017","AI Engineering","Manager",19.32,39934.635907,28,4943,21.51,1287,1.871,19.632272,23,-1,14.857143,9,0,59,242,81,7.456392,1064,486000,27000,67,52017,27000,0.069309,7,61,1,63,7,18.824861,2032,9,75,13500
"1/11/2018","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxe/M","Katlynn Pouros",,"Gasoline","High School Grad","Cummerata-Spinka","1_Rejected","On Target","Cars","Second Call","No","Hans Chesser","https://randomuser.me/api/portraits/men/54.jpg","Retained","Mostly App","Forecast","Philippines","North America","Compensation","Flint","Project M","> 500K","Fleet","Private Car","Meet 1:1 with top decision maker","http://dummyimage.com/210x160.png/ff4444/ffffff","5 - 10 Years","Pay per lead","Display Advertising","Non-Family","Neutral","Support","Stage 1","Year2018","AI Engineering","Sales Representative",15.78,34806.010709,91,1238,19.99,1014,2.482,15.831585,12,0,9.428571,11,-1,61,66,76,7.419699,1063,1376000,32000,65,12018,32000,0.077571,74,61,1,48,8,15.365461,2033,11,75,16000
"5/12/2018","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxe/M","Katlynn Pouros",,"Gasoline","Some College","Koelpin-Adams","3_Filed","At Risk","Trucks","Second Call","No","Ivan Gutowska","https://randomuser.me/api/portraits/men/97.jpg","New","Mostly App","Expected to Close","Indonesia","Asia Pacific","Compensation","Tamil Nadu","Project H","> 500K","Public Transport","Private Car","Meet 1:1 with top decision maker","http://dummyimage.com/202x202.jpg/cc0000/ffffff","> 10 Years","Blog posts","Email","All","Neutral","Support","Stage 1","Year2018","AI Engineering","Automotive technician",19.91,89924.275366,52,4234,13.32,2671,7.525,20.010765,2,-2,9.714286,17,0,59,788,80,4.410752,1063,1392000,48000,67,52018,48000,0.15678,10,59,1,49,9,19.422792,2033,9,75,24000
"8/22/2019","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxh/M","Doug Koepp",,"Plug in Hybrid","Graduate","Nienow-Conroy","3_Filed","At Risk","Cross Over","Third Call or more","Yes","Rodolfo Meaden","https://randomuser.me/api/portraits/men/52.jpg","Converted","Others","Forecast","China","North America","Personal","Hermosillo","Project K","< 250K","RideShare","Private Car","Partner with a ride share company","http://dummyimage.com/218x151.png/dddddd/000000","3 - 5 Years","Networking events","Social Media","All","Positive","Features","Stage 1","Year2019","AI Engineering","Sales Representative",20.74,107963.049452,13,3735,14.84,940,27.396,21.014248,15,0,2.571429,54,1,60,374,78,6.169008,1063,2432000,152000,66,82019,152000,0.180234,20,61,1,53,8,20.543037,2034,9,74,152000
"12/3/2018","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxd/M","Will Marvin",,"Gasoline","Some College","Upton Group","3_Filed","On Target","Cars","First Call","No","Cathe Brundale","https://randomuser.me/api/portraits/men/50.jpg","New","Mostly App","Forecast","China","Europe","Growth Prospects","Tychy","Project K","250K to 500K","Fleet","Bus","Partner with a ride share company","http://dummyimage.com/167x110.jpg/ff4444/ffffff","5 - 10 Years","Third party directories","Paid Search","Non-Family","Positive","Service Appointments","Stage 1","Year2018","AI Engineering","Manager",18.44,84940.353773,94,4999,18.44,2760,9.59,18.810686,15,0,6.285714,30,1,58,428,77,4.044491,1063,3956000,86000,68,122018,86000,0.111513,34,60,-1,55,9,18.218275,2032,10,74,43000
"2/1/2019","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxf/M","Dylan Moore",,"Plug in Hybrid","Less than High School","Koss Inc","3_Filed","On Target","Cars","Second Call","No","Rustie Pottes","https://randomuser.me/api/portraits/men/8.jpg","Attrition","Mostly App","Forecast","China","Europe","Personal","Tofas","Project K","> 500K","Fleet","Private Car","Partner with a ride share company","http://dummyimage.com/154x230.jpg/ff4444/ffffff","< 3 Years","Pay per lead","Social Media","Married","Positive","Service Appointments","Stage 1","Year2019","AI Engineering","Automobile designer",18.05,110039.265602,15,2217,20.42,96,17.1,18.450915,9,1,5.428571,35,-1,59,739,83,5.334109,1065,1078000,98000,66,22019,98000,0.174486,59,59,1,96,7,17.695626,2030,10,74,98000
"6/29/2019","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxf/M","Dylan Moore",,"Gasoline","Less than High School","Cremin Inc","3_Filed","At Risk","Cars","Third Call or more","Yes","Victoria Gosse","https://randomuser.me/api/portraits/men/91.jpg","Retained","Mostly App","Forecast","Uzbekistan","Europe","Personal","Tychy","Project N","> 500K","RideShare","Bus","Meet 1:1 with top decision maker","http://dummyimage.com/138x164.png/ff4444/ffffff","> 10 Years","Social network","Email","Married","Neutral","Service Appointments","Stage 2","Year2019","AI Engineering","Automotive technician",18.17,178260.779392,81,4238,14.74,1759,7.52,18.453471,9,-1,2,49,1,60,701,78,5.358087,1064,5560000,139000,67,62019,139000,0.054097,12,60,1,30,7,18.141077,2034,10,76,139000
"8/8/2018","Closed","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxf/M","Dylan Moore",,"Plug in Hybrid","Less than High School","Bailey Group","2_Awarded","At Risk","Cross Over","First Call","No","Annalee Edson","https://randomuser.me/api/portraits/men/96.jpg","Attrition","Mostly App","Forecast","Indonesia","Europe","Personal","Tychy","Project N","> 500K","Public Transport","Private Car","Meet 1:1 with top decision maker","http://dummyimage.com/165x238.bmp/5fa2dd/ffffff","< 3 Years","Pay per lead","Paid Search","Married","Positive","Service Appointments","Stage 4","Year2018","AI Engineering","Manager",15.53,51268.93809,78,572,17.47,1179,3.007,15.748939,25,0,15.142857,20,0,59,884,78,6.931996,1063,696000,58000,64,82018,58000,0.051849,84,59,-1,63,8,15.086863,2032,9,73,29000
"11/6/2016","Closed","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxh/M","Doug Koepp",,"Gasoline","High School Grad","Rau-MacGyver","3_Filed","At Risk","Cross Over","Third Call or more","Yes","Marya Merryfield","https://randomuser.me/api/portraits/men/24.jpg","Retained","Others","Closed","China","Europe","Compensation","Tofas","Project N","> 500K","Logistics","Private Car","Meet 1:1 with top decision maker","http://dummyimage.com/182x111.png/ff4444/ffffff","3 - 5 Years","Pay per lead","Social Media","Married","Positive","Service Appointments","Stage 1","Year2016","AI Engineering","Manager",13.62,15261.259877,79,288,18.04,866,1.019,13.788527,18,1,28,5,1,60,594,77,4.396394,1065,704000,16000,68,112016,16000,0.063694,81,61,0,18,7,13.437568,2033,10,74,8000
"11/8/2019","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxd/M","Will Marvin",,"Hybrid","Bachelor","Shanahan Group","2_Awarded","At Risk","Cars","Second Call","No","Adela Dronsfield","https://randomuser.me/api/portraits/men/71.jpg","Retained","Mostly App","Closed","Russia","Asia Pacific","Compensation","Nanjing","Project M","> 500K","Fleet","Private Car","Meet 1:1 with top decision maker","http://dummyimage.com/129x157.bmp/5fa2dd/ffffff","< 3 Years","Pay per lead","Social Media","All","Positive","Service Appointments","Stage 3","Year2019","Full Stack Developer","Sales Executive",20.29,236098.036278,92,3824,17.91,1766,26.827,20.655968,14,-1,3.714286,55,2,61,574,80,5.079402,1065,4185000,155000,67,112019,155000,0.173075,34,61,0,83,7,20.058248,2033,10,76,155000
"12/1/2017","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxh/M","Doug Koepp",,"Hybrid","Some College","Kassulke, Ryan and Graham","3_Filed","At Risk","Cars","UnResolved","Yes","Virgie Longforth","https://randomuser.me/api/portraits/men/60.jpg","New","Others","Forecast","Philippines","Europe","Personal","Tychy","Project K","250K to 500K","RideShare","Private Car","Meet 1:1 with top decision maker","http://dummyimage.com/165x208.bmp/5fa2dd/ffffff","3 - 5 Years","Social network","Email","All","Positive","Support","Stage 1","Year2017","AI Engineering","Manager",17.37,53586.545515,57,691,21.86,1973,6.273,17.606956,5,1,8.571429,11,1,62,607,77,5.525447,1064,1280000,32000,65,122017,32000,0.19603,4,61,1,44,6,17.054492,2034,9,75,16000
"5/24/2017","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxe/M","Katlynn Pouros",,"Hybrid","Less than High School","Walker Inc","3_Filed","At Risk","Minivans","Third Call or more","No","Joscelin Colisbe","https://randomuser.me/api/portraits/men/69.jpg","Retained","Others","Closed","China","Asia Pacific","Compensation","Samutprakarn","Project H","< 250K","Logistics","Train","Partner with a ride share company","http://dummyimage.com/202x109.jpg/dddddd/000000","5 - 10 Years","Referrals","Email","Non-Family","Neutral","Support","Stage 2","Year2017","AI Engineering","Sales Representative",15.95,49580.592447,47,790,17.84,498,4.19,16.221724,12,-1,15.142857,9,1,57,356,77,7.719923,1063,621000,27000,66,52017,27000,0.155196,49,60,1,16,8,15.63465,2034,9,76,13500
"6/28/2017","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxf/M","Dylan Moore",,"Plug in Hybrid","Some College","Hahn-Balistreri","2_Awarded","At Risk","Cross Over","First Call","No","Barbe McOwan","https://randomuser.me/api/portraits/men/47.jpg","Attrition","Mostly App","Closed","China","Asia Pacific","Compensation","Tamil Nadu","Project F","250K to 500K","Fleet","Bus","Meet 1:1 with top decision maker","http://dummyimage.com/199x199.bmp/5fa2dd/ffffff","< 3 Years","Networking events","Organic Search","All","Positive","Service Appointments","Stage 4","Year2017","AI Engineering","Body & paint specialist",17.14,28977.377985,6,3137,16.81,1586,5.913,17.589866,14,0,15.142857,10,0,58,933,78,6.782379,1065,720000,30000,65,62017,30000,0.197111,21,58,0,99,7,16.791736,2036,9,76,15000
"10/10/2017","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxf/M","Dylan Moore",,"Hybrid","Graduate","Beier, Heathcote and Wolff","3_Filed","On Target","Cross Over","First Call","No","Dav Robillard","https://randomuser.me/api/portraits/men/5.jpg","Attrition","Mostly App","Closed","China","North America","Personal","Hermosillo","Project K","< 250K","Fleet","Private Car","Partner with a ride share company","http://dummyimage.com/168x163.jpg/5fa2dd/ffffff","3 - 5 Years","Networking events","Email","All","Positive","Service Appointments","Stage 4","Year2017","Full Stack Developer","Automobile designer",19.88,40324.947468,71,1616,16.52,2580,4.979,20.072588,8,0,11.428571,11,2,60,153,78,5.790861,1065,512000,32000,65,102017,32000,0.155592,54,59,1,60,8,19.416032,2033,9,75,16000
"7/4/2018","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxd/M","Will Marvin",,"Gasoline","Bachelor","Heidenreich, Towne and Rolfson","2_Awarded","At Risk","Cars","Third Call or more","Yes","Sharai Oglesbee","https://randomuser.me/api/portraits/men/42.jpg","Retained","Others","Closed","Egypt","Europe","Personal","Tofas","Project M","250K to 500K","RideShare","Private Car","Meet 1:1 with top decision maker","http://dummyimage.com/141x128.jpg/5fa2dd/ffffff","3 - 5 Years","Networking events","Display Advertising","All","Positive","Service Appointments","Stage 1","Year2018","AI Engineering","Automobile designer",17.26,39953.152873,27,3784,18.81,771,10.001,17.61607,5,0,8.857143,19,3,59,225,79,4.487217,1064,918000,54000,68,72018,54000,0.185196,22,60,3,53,10,17.165207,2033,9,76,27000
"5/5/2018","Closed","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxe/M","Katlynn Pouros",,"Gasoline","Less than High School","McDermott, Reinger and Reichel","3_Filed","At Risk","Cross Over","UnResolved","No","Dorian Swanne","https://randomuser.me/api/portraits/men/55.jpg","Attrition","Mostly App","Forecast","Ukraine","Europe","Management Discretion","Tychy","Project K","> 1MM","Fleet","Private Car","Partner with a ride share company","http://dummyimage.com/194x152.jpg/ff4444/ffffff","5 - 10 Years","Paid campaigns","Social Media","All","Neutral","Service Appointments","Stage 4","Year2018","AI Engineering","Sales Representative",15.17,49932.123427,2,3556,18.14,2321,4.371,15.280524,16,0,8.571429,17,0,59,663,79,6.387499,1064,720000,48000,68,52018,48000,0.091063,41,60,1,24,8,14.820517,2033,11,76,24000
"9/26/2019","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxf/M","Dylan Moore","England","Gasoline","Graduate","Cronin Inc","3_Filed","On Target","Cars","First Call","Yes","Jamima Feaviour","https://randomuser.me/api/portraits/men/65.jpg","Converted","Mostly App","Forecast","United Kingdom","Europe","Growth Prospects","Tofas","Project B","> 500K","Logistics","Private Car","Meet 1:1 with top decision maker","http://dummyimage.com/173x141.png/dddddd/000000","3 - 5 Years","Networking events","Organic Search","Non-Family","Positive","Support","Stage 3","Year2019","Full Stack Developer","Sales Representative",18.3,157403.568643,86,447,19.34,2600,26.301,18.739316,15,0,4.571429,53,0,60,491,81,3.701817,1063,7301000,149000,63,92019,149000,0.176517,91,61,0,75,8,18.030161,2033,9,74,149000
"7/10/2017","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxf/M","Dylan Moore",,"Gasoline","High School Grad","Wolff LLC","3_Filed","On Target","Cross Over","Third Call or more","No","Adina McKeon","https://randomuser.me/api/portraits/men/64.jpg","Attrition","Others","Closed","Philippines","South America","Compensation","Minas Gerais","Project K","> 500K","Fleet","Private Car","Meet 1:1 with top decision maker","http://dummyimage.com/205x146.bmp/5fa2dd/ffffff","< 3 Years","Social network","Organic Search","All","Positive","Service Appointments","Stage 1","Year2017","AI Engineering","Body & paint specialist",17,29794.089882,45,2295,15.16,2734,4.252,17.310016,6,0,12.571429,10,0,61,787,80,4.768827,1064,899000,29000,64,72017,29000,0.146635,100,60,-1,67,9,16.501376,2034,11,73,14500
"1/9/2019","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxg/M","Sonya Renner",,"Hybrid","Some College","Boyer-Quitzon","3_Filed","At Risk","Cross Over","Second Call","Yes","Darrin Ludmann","https://randomuser.me/api/portraits/men/95.jpg","New","Mostly App","Closed","Tokelau","Europe","Personal","Tychy","Project K","> 500K","Public Transport","Private Car","Meet 1:1 with top decision maker","http://dummyimage.com/148x118.bmp/cc0000/ffffff","5 - 10 Years","Blog posts","Paid Search","All","Positive","Service Appointments","Stage 2","Year2019","Cybersecurity","Body & paint specialist",23.03,81135.539217,62,3583,14.86,2754,7.415,23.290333,24,0,4.571429,31,2,60,307,83,4.6987,1063,3471000,89000,65,12019,89000,0.08332,58,61,0,43,7,22.716477,2032,10,74,89000
"12/27/2018","Closed","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxd/M","Will Marvin",,"Hybrid","Some College","Reinger-Parisian","3_Filed","On Target","Cross Over","Third Call or more","No","Fitz Collie","https://randomuser.me/api/portraits/men/88.jpg","Retained","Others","Closed","Philippines","Asia Pacific","Compensation","Tamil Nadu","Project N","> 500K","Fleet","Private Car","Meet 1:1 with top decision maker","http://dummyimage.com/195x187.jpg/dddddd/000000","< 3 Years","Third party directories","Display Advertising","All","Positive","Support","Stage 3","Year2018","AI Engineering","Sales Representative",16.57,113891.650484,10,3382,16.67,2295,10.193,16.873269,9,1,7.142857,30,1,61,49,75,5.278192,1064,3096000,86000,67,122018,86000,0.118521,48,61,1,66,8,16.332489,2033,10,73,43000
"10/12/2018","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxd/M","Will Marvin",,"Hybrid","Some College","Pfeffer-Miller","3_Filed","On Target","Cross Over","Second Call","No","Sheba Gettings","https://randomuser.me/api/portraits/men/1.jpg","Retained","Mostly App","Forecast","Brazil","Asia Pacific","Personal","Samutprakarn","Project P","< 250K","RideShare","Private Car","Partner with a ride share company","http://dummyimage.com/238x152.bmp/cc0000/ffffff","> 10 Years","Paid campaigns","Organic Search","Non-Family","Neutral","Service Appointments","Stage 1","Year2018","AI Engineering","Automobile designer",20.06,45190.676879,12,4609,19.24,2770,7.573,20.289496,16,0,7.428571,27,0,60,484,77,5.795948,1065,3432000,78000,67,102018,78000,0.097086,52,59,0,37,8,19.89736,2035,11,75,39000
"2/20/2018","Closed","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxd/M","Will Marvin","Lombardia","Gasoline","Bachelor","Fisher, Gusikowski and Gerhold","2_Awarded","At Risk","SUV","First Call","Yes","Zachariah Ryton","https://randomuser.me/api/portraits/men/36.jpg","New","Mostly App","Closed","Italy","Europe","Personal","Tychy","Project F","< 250K","Public Transport","Bike","Meet 1:1 with top decision maker","http://dummyimage.com/140x230.png/dddddd/000000","> 10 Years","Third party directories","Paid Search","Married","Positive","Service Appointments","GTM","Year2018","AI Engineering","Body & paint specialist",18.66,57793.098305,84,2377,21.23,2367,6.51,18.966129,16,0,8.857143,13,1,60,330,78,6.657686,1063,1254000,38000,66,22018,38000,0.171326,34,61,1,22,10,18.21028,2035,9,74,19000
"8/15/2017","Closed","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxh/M","Doug Koepp",,"Gasoline","Bachelor","Erdman LLC","3_Filed","At Risk","Cars","UnResolved","No","Maurizia Mesnard","https://randomuser.me/api/portraits/men/50.jpg","Retained","Mostly App","Forecast","China","Asia Pacific","Compensation","Nanjing","Project L","< 250K","Fleet","Private Car","Meet 1:1 with top decision maker","http://dummyimage.com/177x143.jpg/cc0000/ffffff","< 3 Years","Pay per lead","Paid Search","Married","Positive","Support","Stage 1","Year2017","AI Engineering","Manager",15.93,24672.038201,67,4789,13.49,2424,5.348,16.2478,19,0,13.714286,10,-2,61,382,79,3.832422,1065,900000,30000,65,82017,30000,0.178269,74,61,1,94,7,15.496866,2033,9,73,15000
"8/1/2016","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxe/M","Katlynn Pouros",,"Hybrid","Graduate","Hodkiewicz, Mills and Swift","3_Filed","On Target","Cross Over","First Call","No","Hernando Larciere","https://randomuser.me/api/portraits/men/67.jpg","Retained","Others","Forecast","Russia","Europe","Personal","Tychy","Project Laggard","250K to 500K","Mobility 4.0","Private Car","Offer co-marketing program","http://dummyimage.com/179x136.bmp/dddddd/000000","> 10 Years","Third party directories","Display Advertising","Non-Family","Neutral","Features","Stage 2","Year2016","AI Engineering","Manager",14.85,11789.495403,22,4513,17.37,958,1.422,15.140462,15,1,36,3,0,59,446,78,5.007616,1065,310000,10000,65,82016,10000,0.142178,9,60,0,28,7,14.733158,2033,10,75,5000
"7/7/2016","Closed","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxd/M","Will Marvin",,"Hybrid","Less than High School","Kling, Kemmer and Hegmann","3_Filed","On Target","Cross Over","First Call","No","Tabbie Kennedy","https://randomuser.me/api/portraits/men/67.jpg","Retained","Mostly App","Closed","Indonesia","Asia Pacific","Personal","Samutprakarn","Project M","250K to 500K","Mobility 4.0","Private Car","Offer co-marketing program","http://dummyimage.com/121x165.jpg/cc0000/ffffff","5 - 10 Years","Paid campaigns","Social Media","All","Positive","Service Appointments","Stage 3","Year2016","Full Stack Developer","Sales Representative",12.89,18973.745457,47,1127,10.7,1238,957,13.354239,13,1,39.142857,4,2,61,846,81,4.797557,1063,364000,13000,68,72016,13000,0.073581,26,59,1,68,7,12.751867,2034,9,76,6500
"11/18/2017","Closed","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxd/M","Will Marvin",,"Gasoline","Less than High School","Pfeffer-Rodriguez","3_Filed","On Target","Cars","First Call","No","Yorgos Dunks","https://randomuser.me/api/portraits/men/58.jpg","Attrition","Mostly App","Forecast","Nigeria","North America","Compensation","Hermosillo","Project M","> 500K","Fleet","Private Car","Partner with a ride share company","http://dummyimage.com/121x166.jpg/ff4444/ffffff","< 3 Years","Networking events","Email","All","Negative","Support","Stage 1","Year2017","Cybersecurity","Manager",17.74,41619.30422,86,4973,14.95,285,2.101,17.932533,22,-2,12,11,1,59,833,75,4.272865,1064,341000,31000,70,112017,31000,0.067772,90,60,1,42,10,17.43871,2032,11,76,15500
"1/2/2016","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxh/M","Doug Koepp",,"Gasoline","Less than High School","Pfannerstill, Ferry and Waters","1_Rejected","At Risk","Cars","Second Call","Yes","Darcy Patesel","https://randomuser.me/api/portraits/men/85.jpg","Retained","Mostly App","Forecast","Honduras","Asia Pacific","Personal","Samutprakarn","Project C","< 250K","Mobility 4.0","Private Car","Partner with a ride share company","http://dummyimage.com/124x190.bmp/ff4444/ffffff","> 10 Years","Blog posts","Paid Search","Married","Positive","Service Appointments","Stage 1","Year2016","Cybersecurity","Automobile designer",19.69,8997.122918,30,687,15.45,783,1.997,19.704757,24,1,35.714286,3,1,60,449,74,6.57633,1063,200000,10000,63,12016,10000,0.199688,52,59,1,95,8,19.297192,2034,8,76,5000
