"Category","Ship_Date","Customer_Name","Product_ID","Segment","Ship_Mode","Order_ID","Sub_Category","Product_Name","City","Order_Date","Customer_ID","State","Country","Region","Row_ID","Discount","Profit_Percent","Sales_Goal","Discount_Goal","Quantity_Percent","Sales","Postal_Code","Profit","Sales_Percent","Quantity_Left","Profit_Goal","Discount_Left","Quantity_Goal","Quantity","Profit_Left","Sales_Left","Discount_Percent"
"Furniture","10/15/15","Joel Eaton","FUR-CH-10002024","Consumer","Same Day","CA-2015-139731","Chairs","HON 5400 Series Task Chairs for Big and Tall","Amarillo","10/15/15","JE-15745","Texas","United States","Central",1439,0.3,101,5912.7663,1.62,75.2,2453.43,79109,-350.49,41.5,1.65,-346.9851,1.32,6.65,5,3.5049,3459.3363,18.5
"Office Supplies","12/24/17","Michael Moore","OFF-BI-10001510","Consumer","Second Class","CA-2017-128160","Binders","Deluxe Heavy-Duty Vinyl Round Ring Binder","San Francisco","12/19/17","MM-17920","California","United States","West",1442,0.2,87,105.61536,0.916,78.7,36.672,94110,11.46,34.7,0.54,13.179,0.716,2.54,2,1.719,68.94336,21.8
"Office Supplies","11/25/16","Nora Pelletier","OFF-BI-10000320","Home Office","Standard Class","CA-2016-113138","Binders","GBC Plastic Binding Combs","Niagara Falls","11/19/16","NP-18685","New York","United States","East",1476,0.2,50.5,24.7968,1.654,76.9,17.712,14304,6.4206,71.4,0.9,12.712788,1.454,3.9,3,6.292188,7.0848,12.1
"Office Supplies","11/17/16","Cindy Stewart","OFF-SU-10000381","Consumer","Standard Class","CA-2016-121958","Supplies","Acme Forged Steel Scissors with Black Enamel Handles","Thomasville","11/13/16","CS-12505","North Carolina","United States","South",1478,0.2,71.9,185.60416,1.292,75.8,52.136,27360,5.8653,28.1,2.24,8.152767,1.092,9.24,7,2.287467,133.46816,15.5
"Technology","11/20/17","Katherine Ducich","TEC-PH-10000376","Consumer","First Class","CA-2017-121468","Phones","Square Credit Card Reader","Westminster","11/19/17","KD-16345","California","United States","West",1479,0.2,52.9,34.84512,1.236,73,31.968,92683,2.3976,91.7,1.48,4.531464,1.036,5.48,4,2.133864,2.87712,16.2
"Furniture","11/28/17","Todd Sumrall","FUR-CH-10000785","Corporate","Standard Class","CA-2017-166436","Chairs","Global Ergonomic Managers Chair","New York City","11/24/17","TS-21370","New York","United States","East",1493,0.1,56.5,2580.05088,0.468,71.9,977.292,10035,173.7408,37.9,2.34,307.521216,0.368,8.34,6,133.780416,1602.75888,21.4
"Office Supplies","10/20/16","Neil Knudson","OFF-BI-10003981","Home Office","First Class","CA-2016-141586","Binders","Avery Durable Plastic 1"" Binders","San Francisco","10/17/16","NK-18490","California","United States","West",1499,0.2,102,66.8288,1.302,79.4,18.16,94122,6.583,27.2,1.3,6.45134,1.102,6.3,5,-0.13166,48.6688,15.4
"Office Supplies","11/18/17","Nathan Gelder","OFF-PA-10002749","Consumer","Standard Class","CA-2017-130386","Paper","Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page","Austin","11/12/17","NG-18430","Texas","United States","Central",1500,0.2,66.2,18.94608,0.908,87.7,16.056,78745,5.8203,84.7,0.42,8.788653,0.708,3.42,3,2.968353,2.89008,22
"Office Supplies","11/18/17","Nathan Gelder","OFF-PA-10003823","Consumer","Standard Class","CA-2017-130386","Paper","Xerox 197","Austin","11/12/17","NG-18430","Texas","United States","Central",1501,0.2,67.1,831.99888,0.822,67.1,223.056,78745,69.705,26.8,4.41,103.86045,0.622,13.41,9,34.15545,608.94288,24.3
"Office Supplies","11/18/17","Nathan Gelder","OFF-ST-10003716","Consumer","Standard Class","CA-2017-130386","Storage","Tennsco Double-Tier Lockers","Austin","11/12/17","NG-18430","Texas","United States","Central",1502,0.2,57.1,1587.74112,0.968,69.9,540.048,78745,-47.2542,34,1.29,-82.69485,0.768,4.29,3,-35.44065,1047.69312,20.7
"Office Supplies","12/29/17","Andy Reiter","OFF-BI-10003708","Consumer","Standard Class","CA-2017-154935","Binders","Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""","New York City","12/24/17","AR-10540","New York","United States","East",1507,0.2,87.7,25.032,1.18,80.6,17.88,10024,5.5875,71.4,0.72,6.36975,0.98,3.72,3,0.78225,7.152,16.9
"Furniture","12/17/17","Arianne Irving","FUR-CH-10002961","Consumer","Standard Class","US-2017-160759","Chairs","Leather Task Chair, Black","Philadelphia","12/11/17","AI-10855","Pennsylvania","United States","East",1516,0.3,80.6,211.43752,2.211,81.3,63.686,19120,-9.098,30.1,0.23,-11.28152,1.911,1.23,1,-2.18352,147.75152,13.6
"Office Supplies","11/27/15","Victoria Brennan","OFF-PA-10000994","Corporate","Standard Class","CA-2015-111395","Paper","Xerox 1915","San Antonio","11/23/15","VB-21745","Texas","United States","Central",1547,0.2,69.9,1107.216,1.492,78.1,335.52,78207,117.432,30.3,1.12,167.92776,1.292,5.12,4,50.49576,771.696,13.4
"Office Supplies","11/27/15","Victoria Brennan","OFF-BI-10002867","Corporate","Standard Class","CA-2015-111395","Binders","GBC Recycled Regency Composition Covers","San Antonio","11/23/15","VB-21745","Texas","United States","Central",1548,0.8,69.9,64.08416,5.472,72.5,23.912,78207,-40.6504,37.3,0.76,-58.130072,4.672,2.76,2,-17.479672,40.17216,14.6
"Office Supplies","11/27/15","Victoria Brennan","OFF-ST-10001291","Corporate","Standard Class","CA-2015-111395","Storage","Tenex Personal Self-Stacking Standard File Box, Black/Gray","San Antonio","11/23/15","VB-21745","Texas","United States","Central",1549,0.2,60.6,75.48624,1.164,93.5,27.056,78207,2.3674,35.8,0.14,3.90621,0.964,2.14,2,1.53881,48.43024,17.2
"Office Supplies","11/18/17","Maria Etezadi","OFF-AP-10004868","Home Office","Second Class","US-2017-124926","Appliances","Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags","Houston","11/13/17","ME-17320","Texas","United States","Central",1551,0.8,64.1,11.74824,7.016,81.3,9.324,77095,-24.7086,79.4,1.38,-38.545416,6.216,7.38,6,-13.836816,2.42424,11.4
"Technology","11/30/15","Anthony Witt","TEC-AC-10003038","Consumer","First Class","CA-2015-129112","Accessories","Kingston Digital DataTraveler 16GB USB 2.0","Allen","11/29/15","AW-10840","Texas","United States","Central",1567,0.2,57.5,85.92,1.208,104.2,21.48,75002,-0.2685,25,-0.12,-0.46719,1.008,2.88,3,-0.19869,64.44,16.6
"Office Supplies","11/30/15","Anthony Witt","OFF-BI-10000088","Consumer","First Class","CA-2015-129112","Binders","GBC Imprintable Covers","Allen","11/29/15","AW-10840","Texas","United States","Central",1568,0.8,56.2,22.92624,4.768,90.1,8.784,75002,-13.6152,38.3,0.44,-24.235056,3.968,4.44,4,-10.619856,14.14224,16.8
"Furniture","11/25/14","Sanjit Chand","FUR-CH-10000863","Consumer","First Class","US-2014-157385","Chairs","Novimex Swivel Fabric Task Chair","Los Angeles","11/23/14","SC-20095","California","United States","West",1571,0.2,58.5,797.1744,1.074,107.5,603.92,90004,-67.941,75.8,-0.35,-116.17911,0.874,4.65,5,-48.23811,193.2544,18.6
"Furniture","11/25/14","Sanjit Chand","FUR-CH-10000595","Consumer","First Class","US-2014-157385","Chairs","Safco Contoured Stacking Chairs","Los Angeles","11/23/14","SC-20095","California","United States","West",1574,0.2,57.1,583.6032,0.876,75.2,381.44,90004,23.84,65.4,0.66,41.72,0.676,2.66,2,17.88,202.1632,22.8
"Technology","12/18/14","Mick Crebagga","TEC-PH-10000169","Consumer","First Class","CA-2014-101602","Phones","ARKON Windshield Dashboard Air Vent Car Mount Holder","El Paso","12/15/14","MC-18100","Texas","United States","Central",1575,0.2,51.3,100.8864,1.026,69,40.68,79907,-9.153,40.3,1.35,-17.84835,0.826,4.35,3,-8.69535,60.2064,19.5
"Furniture","12/18/14","Mick Crebagga","FUR-CH-10004675","Consumer","First Class","CA-2014-101602","Chairs","Lifetime Advantage Folding Chairs, 4/Carton","El Paso","12/15/14","MC-18100","Texas","United States","Central",1576,0.3,55.2,2175.348,2.292,74.1,763.28,79907,-21.808,35.1,1.75,-39.47248,1.992,6.75,5,-17.66448,1412.068,13.1
"Office Supplies","11/21/17","Aimee Bixby","OFF-PA-10000308","Consumer","Second Class","CA-2017-158876","Paper","Xerox 1901","Carrollton","11/19/17","AB-10150","Texas","United States","Central",1598,0.2,71.4,64.37376,1.716,69.9,16.896,75007,5.28,26.2,1.72,7.392,1.516,5.72,4,2.112,47.47776,11.7
"Office Supplies","11/21/17","Aimee Bixby","OFF-SU-10001165","Consumer","Second Class","CA-2017-158876","Supplies","Acme Elite Stainless Steel Scissors","Carrollton","11/19/17","AB-10150","Texas","United States","Central",1599,0.2,52.6,8.47344,1.726,69.9,6.672,75007,0.5004,78.7,0.43,0.95076,1.526,1.43,1,0.45036,1.80144,11.6
"Office Supplies","11/21/17","Aimee Bixby","OFF-AR-10003373","Consumer","Second Class","CA-2017-158876","Art","Boston School Pro Electric Pencil Sharpener, 1670","Carrollton","11/19/17","AB-10150","Texas","United States","Central",1600,0.2,83.3,240.90048,1.28,75.2,99.136,75007,8.6744,41.2,1.32,10.40928,1.08,5.32,4,1.73488,141.76448,15.6
"Furniture","11/21/17","Aimee Bixby","FUR-FU-10001967","Consumer","Second Class","CA-2017-158876","Furnishings","Telescoping Adjustable Floor Lamp","Carrollton","11/19/17","AB-10150","Texas","United States","Central",1601,0.6,89.3,20.14992,2.922,66.7,15.992,75007,-13.993,79.4,1,-15.67216,2.322,3,2,-1.67916,4.15792,20.5
"Office Supplies","12/17/16","Cynthia Arntzen","OFF-AR-10003251","Consumer","Standard Class","US-2016-132857","Art","Prang Drawing Pencil Set","Smyrna","12/11/16","CA-12775","Tennessee","United States","South",1603,0.2,104.2,20.6832,1.21,111.1,6.672,37167,1.668,32.3,-0.3,1.60128,1.01,2.7,3,-0.06672,14.0112,16.5
"Technology","12/24/15","James Galang","TEC-PH-10002922","Consumer","Standard Class","CA-2015-157084","Phones","ShoreTel ShorePhone IP 230 VoIP phone","Los Angeles","12/19/15","JG-15160","California","United States","West",1625,0.2,96.2,1581.7464,1.434,75.2,675.96,90049,84.495,42.7,1.65,87.8748,1.234,6.65,5,3.3798,905.7864,13.9
"Office Supplies","11/21/17","Christina DeMoss","OFF-BI-10001116","Consumer","First Class","US-2017-132444","Binders","Wilson Jones 1"" Hanging DublLock Ring Binders","Seattle","11/18/17","CD-12280","Washington","United States","West",1656,0.2,69.9,32.86272,1.608,78.7,8.448,98105,2.9568,25.7,0.54,4.228224,1.408,2.54,2,1.271424,24.41472,12.4
"Office Supplies","11/26/16","Neola Schneider","OFF-ST-10001325","Consumer","Second Class","CA-2016-128531","Storage","Sterilite Officeware Hinged File Box","Dallas","11/24/16","NS-18505","Texas","United States","Central",1664,0.2,58.1,86.3552,0.822,70.9,41.92,75217,3.668,48.5,2.05,6.30896,0.622,7.05,5,2.64096,44.4352,24.3
"Technology","11/26/16","Neola Schneider","TEC-AC-10002049","Consumer","Second Class","CA-2016-128531","Accessories","Logitech G19 Programmable Gaming Keyboard","Dallas","11/24/16","NS-18505","Texas","United States","Central",1665,0.2,71.4,1148.64336,1.254,82.6,297.576,75217,-7.4394,25.9,0.63,-10.41516,1.054,3.63,3,-2.97576,851.06736,15.9
"Office Supplies","11/26/16","Neola Schneider","OFF-FA-10002676","Consumer","Second Class","CA-2016-128531","Fasteners","Colored Push Pins","Dallas","11/24/16","NS-18505","Texas","United States","Central",1666,0.2,69.9,15.76872,1.486,87.7,4.344,75217,0.8688,27.5,0.42,1.242384,1.286,3.42,3,0.373584,11.42472,13.5
"Technology","11/26/16","Neola Schneider","TEC-AC-10003023","Consumer","Second Class","CA-2016-128531","Accessories","Logitech G105 Gaming Keyboard","Dallas","11/24/16","NS-18505","Texas","United States","Central",1667,0.2,108.7,363.81936,1.192,84,94.992,75217,-2.3748,26.1,0.38,-2.184816,0.992,2.38,2,0.189984,268.82736,16.8
"Office Supplies","11/26/16","Neola Schneider","OFF-PA-10000167","Consumer","Second Class","CA-2016-128531","Paper","Xerox 1925","Dallas","11/24/16","NS-18505","Texas","United States","Central",1668,0.2,51,210.41616,1.502,99,74.352,75217,23.235,35.3,0.03,45.5406,1.302,3.03,3,22.3056,136.06416,13.3
"Office Supplies","11/26/16","Neola Schneider","OFF-AR-10003405","Consumer","Second Class","CA-2016-128531","Art","Dixon My First Ticonderoga Pencil, #2","Dallas","11/24/16","NS-18505","Texas","United States","Central",1669,0.2,84.7,36.2232,1.436,72.5,14.04,75217,1.5795,38.8,1.14,1.86381,1.236,4.14,3,0.28431,22.1832,13.9
"Technology","10/26/17","Rick Duston","TEC-PH-10002185","Consumer","Standard Class","CA-2017-159457","Phones","QVS USB Car Charger 2-Port 2.1Amp for iPod/iPhone/iPad/iPad 2/iPad 3","Houston","10/19/17","RD-19480","Texas","United States","Central",1671,0.2,58.8,35.5284,1.338,99,16.68,77095,5.2125,46.9,0.03,8.86125,1.138,3.03,3,3.64875,18.8484,14.9
"Office Supplies","12/12/17","Anthony Witt","OFF-PA-10000788","Consumer","First Class","CA-2017-143798","Paper","Xerox 210","Philadelphia","12/10/17","AW-10840","Pennsylvania","United States","East",1688,0.2,102,12.85632,1.744,70.4,10.368,19140,3.6288,80.6,0.84,3.556224,1.544,2.84,2,-0.072576,2.48832,11.5
"Furniture","12/12/17","Anthony Witt","FUR-FU-10004306","Consumer","First Class","CA-2017-143798","Furnishings","Electrix Halogen Magnifier Lamp","Philadelphia","12/10/17","AW-10840","Pennsylvania","United States","East",1689,0.2,78.7,724.3504,1.722,79.4,310.88,19140,23.316,42.9,0.52,29.61132,1.522,2.52,2,6.29532,413.4704,11.6
"Office Supplies","11/26/15","Irene Maddox","OFF-BI-10003638","Consumer","Standard Class","CA-2015-100545","Binders","GBC Durable Plastic Covers","Philadelphia","11/22/15","IM-15070","Pennsylvania","United States","East",1706,0.7,80,32.7402,3.535,67.1,11.61,19120,-9.288,35.5,0.98,-11.61,2.835,2.98,2,-2.322,21.1302,19.8
"Technology","12/25/15","Katherine Ducich","TEC-PH-10001061","Consumer","Standard Class","US-2015-123218","Phones","Apple iPhone 5C","Chicago","12/20/15","KD-16345","Illinois","United States","Central",1722,0.2,57.1,249.57504,1.216,68,159.984,60623,11.9988,64.1,0.94,20.9979,1.016,2.94,2,8.9991,89.59104,16.4
"Technology","12/25/15","Katherine Ducich","TEC-AC-10000736","Consumer","Standard Class","US-2015-123218","Accessories","Logitech G600 MMO Gaming Mouse","Chicago","12/20/15","KD-16345","Illinois","United States","Central",1723,0.2,51,652.7184,1.548,68,255.968,60623,51.1936,39.2,1.88,100.339456,1.348,5.88,4,49.145856,396.7504,12.9
"Furniture","12/25/15","Katherine Ducich","FUR-BO-10003966","Consumer","Standard Class","US-2015-123218","Bookcases","Sauder Facets Collection Library, Sky Alder Finish","Chicago","12/20/15","KD-16345","Illinois","United States","Central",1724,0.3,94.3,517.04352,2.298,70.4,359.058,60623,-71.8116,69.4,1.26,-76.120296,1.998,4.26,3,-4.308696,157.98552,13.1
"Office Supplies","12/20/15","Jay Kimmel","OFF-AP-10000828","Consumer","First Class","CA-2015-127453","Appliances","Avanti 4.4 Cu. Ft. Refrigerator","Philadelphia","12/19/15","JK-15370","Pennsylvania","United States","East",1725,0.2,83.3,1481.14032,0.922,82,434.352,19143,43.4352,29.3,0.66,52.12224,0.722,3.66,3,8.68704,1046.78832,21.7
"Office Supplies","12/20/15","Jay Kimmel","OFF-AP-10002906","Consumer","First Class","CA-2015-127453","Appliances","Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum","Philadelphia","12/19/15","JK-15370","Pennsylvania","United States","East",1726,0.2,54.1,9.48384,1.184,80.6,3.552,19143,0.444,37.5,0.48,0.8214,0.984,2.48,2,0.3774,5.93184,16.9
"Office Supplies","12/20/15","Jay Kimmel","OFF-AP-10003860","Consumer","First Class","CA-2015-127453","Appliances","Fellowes Advanced 8 Outlet Surge Suppressor with Phone/Fax Protection","Philadelphia","12/19/15","JK-15370","Pennsylvania","United States","East",1727,0.2,53.8,309.13536,1.57,70.4,88.832,19143,7.7728,28.7,1.68,14.457408,1.37,5.68,4,6.684608,220.30336,12.7
"Furniture","11/27/15","Meg O'Connel","FUR-TA-10004607","Home Office","Standard Class","CA-2015-139094","Tables","Hon 2111 Invitation Series Straight Table","San Antonio","11/22/15","MO-17800","Texas","United States","Central",1751,0.3,106.4,355.97464,2.676,78.1,206.962,78207,-32.5226,58.1,0.56,-30.571244,2.376,2.56,2,1.951356,149.01264,11.2
"Office Supplies","11/29/16","Greg Guthrie","OFF-ST-10004337","Corporate","Second Class","CA-2016-129686","Storage","SAFCO Commercial Wire Shelving, 72h","Chicago","11/27/16","GG-14650","Illinois","United States","Central",1772,0.2,65.4,103.86304,1.616,93.5,97.984,60623,-24.496,94.3,0.14,-37.47888,1.416,2.14,2,-12.98288,5.87904,12.4
"Technology","11/29/16","Greg Guthrie","TEC-AC-10001266","Corporate","Second Class","CA-2016-129686","Accessories","Memorex Micro Travel Drive 8 GB","Chicago","11/27/16","GG-14650","Illinois","United States","Central",1773,0.2,57.8,206.544,0.942,100,62.4,60623,19.5,30.2,0,33.735,0.742,6,6,14.235,144.144,21.2
"Technology","12/28/16","Grace Kelly","TEC-PH-10002200","Corporate","First Class","US-2016-116729","Phones","Samsung Galaxy Note 2","Los Angeles","12/25/16","GK-14620","California","United States","West",1806,0.2,50,6723.21384,1.652,106.4,2575.944,90049,257.5944,38.3,-0.42,515.1888,1.452,6.58,7,257.5944,4147.26984,12.1
"Furniture","10/29/16","Heather Kirkland","FUR-FU-10001196","Corporate","Standard Class","CA-2016-165484","Furnishings","DAX Cubicle Frames - 8x10","Chicago","10/23/16","HK-14890","Illinois","United States","Central",1810,0.6,57.5,55.41508,3.42,82.6,16.156,60610,-12.117,29.2,1.47,-21.08358,2.82,8.47,7,-8.96658,39.25908,17.5
"Office Supplies","10/29/16","Heather Kirkland","OFF-PA-10000595","Corporate","Standard Class","CA-2016-165484","Paper","Xerox 1929","Chicago","10/23/16","HK-14890","Illinois","United States","Central",1811,0.2,51,71.2608,1.548,69.4,54.816,60610,17.8152,76.9,1.32,34.917792,1.348,4.32,3,17.102592,16.4448,12.9
"Furniture","11/26/17","Brian Thompson","FUR-FU-10001861","Consumer","Standard Class","US-2017-161193","Furnishings","Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts","Newark","11/20/17","BT-11680","Ohio","United States","East",1813,0.2,73,157.528,1.02,69,77.6,43055,28.13,49.3,2.25,38.5381,0.82,7.25,5,10.4081,79.928,19.6
"Furniture","11/26/17","Brian Thompson","FUR-FU-10000206","Consumer","Standard Class","US-2017-161193","Furnishings","GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs","Newark","11/20/17","BT-11680","Ohio","United States","East",1814,0.2,50.5,7.12368,1.116,94.3,4.656,43055,1.5714,65.4,0.12,3.111372,0.916,2.12,2,1.539972,2.46768,17.9
"Office Supplies","12/28/16","Sue Ann Reed","OFF-BI-10003694","Consumer","Standard Class","CA-2016-167507","Binders","Avery 3 1/2"" Diskette Storage Pages, 10/Pack","Redmond","12/22/16","SA-20830","Oregon","United States","West",1825,0.7,62.5,75.4812,6.146,80.6,31.32,97756,-25.056,41.5,2.4,-40.0896,5.446,12.4,10,-15.0336,44.1612,11.4
"Furniture","12/28/16","Sue Ann Reed","FUR-FU-10001935","Consumer","Standard Class","CA-2016-167507","Furnishings","3M Hangers With Command Adhesive","Redmond","12/22/16","SA-20830","Oregon","United States","West",1826,0.2,52.4,41.5584,1.282,98,11.84,97756,3.108,28.5,0.08,5.93628,1.082,4.08,4,2.82828,29.7184,15.6
"Furniture","12/28/16","Sue Ann Reed","FUR-FU-10002878","Consumer","Standard Class","CA-2016-167507","Furnishings","Seth Thomas 14"" Day/Date Wall Clock","Redmond","12/22/16","SA-20830","Oregon","United States","West",1827,0.2,50,23.46752,1.768,73.5,22.784,97756,4.8416,97.1,0.36,9.6832,1.568,1.36,1,4.8416,0.68352,11.3
"Office Supplies","11/12/14","Roy Franz�sisch","OFF-ST-10001328","Consumer","Same Day","CA-2014-151078","Storage","Personal Filing Tote with Lid, Black/Gray","San Antonio","11/12/14","RF-19840","Texas","United States","Central",1863,0.2,64.9,82.38912,1.686,97.1,49.632,78207,4.9632,60.2,0.12,7.643328,1.486,4.12,4,2.680128,32.75712,11.9
"Furniture","10/17/16","Noah Childs","FUR-TA-10004575","Corporate","Standard Class","US-2016-100839","Tables","Hon 5100 Series Wood Tables","Aurora","10/13/16","NC-18625","Colorado","United States","West",1864,0.5,74.6,2429.683,2.965,70.4,727.45,80013,-465.568,29.9,2.1,-623.86112,2.465,7.1,5,-158.29312,1702.233,16.9
"Furniture","10/17/16","Noah Childs","FUR-FU-10001617","Corporate","Standard Class","US-2016-100839","Furnishings","Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock","Aurora","10/13/16","NC-18625","Colorado","United States","West",1865,0.2,93.5,80.3712,0.992,106.4,24.96,80013,4.368,31.1,-0.18,4.67376,0.792,2.82,3,0.30576,55.4112,20.2
"Technology","11/12/17","Nat Gilpin","TEC-PH-10002824","Corporate","Same Day","US-2017-116659","Phones","Jabra SPEAK 410 Multidevice Speakerphone","Newark","11/12/17","NG-18355","Ohio","United States","East",1866,0.4,76.3,426.3993,2.048,87.7,370.782,43055,-92.6955,87,0.42,-121.431105,1.648,3.42,3,-28.735605,55.6173,19.5
"Office Supplies","11/17/16","Chuck Clark","OFF-PA-10001289","Home Office","Standard Class","CA-2016-118570","Paper","White Computer Printout Paper by Universal","Philadelphia","11/13/16","CC-12430","Pennsylvania","United States","East",1884,0.2,84,297.36672,1.01,95.2,217.056,19143,78.6828,73,0.35,93.632532,0.81,7.35,7,14.949732,80.31072,19.8
"Office Supplies","10/22/14","Tracy Blumstein","OFF-AP-10004708","Consumer","First Class","CA-2014-142587","Appliances","Fellowes Superior 10 Outlet Split Surge Protector","Fairfield","10/21/14","TB-21520","Ohio","United States","East",1889,0.2,73.5,283.77536,1.678,99,121.792,45014,13.7016,42.9,0.04,18.634176,1.478,4.04,4,4.932576,161.98336,11.9
"Furniture","10/22/14","Tracy Blumstein","FUR-TA-10000617","Consumer","First Class","CA-2014-142587","Tables","Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal","Fairfield","10/21/14","TB-21520","Ohio","United States","East",1890,0.4,61,1568.7297,3.48,78.1,409.59,45014,-122.877,26.1,0.84,-201.51828,3.08,3.84,3,-78.64128,1159.1397,11.5
"Office Supplies","12/24/17","Jeremy Pistek","OFF-EN-10002621","Consumer","Second Class","CA-2017-145310","Envelopes","Staple envelope","Port Orange","12/22/17","JP-15520","Florida","United States","South",1893,0.2,75.8,8.29344,1.232,97.1,7.824,32127,2.934,94.3,0.03,3.87288,1.032,1.03,1,0.93888,0.46944,16.2
"Office Supplies","11/29/16","Carol Darley","OFF-PA-10000241","Consumer","Standard Class","CA-2016-100083","Paper","IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case","Medford","11/24/16","CD-11980","Oregon","United States","West",1894,0.2,82.6,46.59392,1.334,67.1,24.784,97504,7.745,53.2,0.49,9.37145,1.134,1.49,1,1.62645,21.80992,15
"Office Supplies","10/22/17","Damala Kotsonis","OFF-PA-10003953","Corporate","First Class","CA-2017-167094","Paper","Xerox 218","Springfield","10/21/17","DK-12835","Oregon","United States","West",1903,0.2,54.3,13.16736,1.552,71.4,5.184,97477,1.8144,39.4,0.4,3.338496,1.352,1.4,1,1.524096,7.98336,12.9
"Furniture","10/22/17","Damala Kotsonis","FUR-CH-10000155","Corporate","First Class","CA-2017-167094","Chairs","Global Comet Stacking Armless Chair","Springfield","10/21/17","DK-12835","Oregon","United States","West",1904,0.2,51,913.8968,1.608,80,478.48,97477,47.848,52.4,0.5,93.78208,1.408,2.5,2,45.93408,435.4168,12.4
"Technology","10/22/17","Damala Kotsonis","TEC-AC-10003116","Corporate","First Class","CA-2017-167094","Accessories","Memorex Froggy Flash Drive 8 GB","Springfield","10/21/17","DK-12835","Oregon","United States","West",1905,0.2,69.9,43.452,1.426,67.1,28.4,97477,6.745,65.4,0.98,9.64535,1.226,2.98,2,2.90035,15.052,14
"Technology","11/29/16","Craig Carreira","TEC-PH-10002483","Consumer","Second Class","CA-2016-152121","Phones","Motorola Moto X","Scottsdale","11/27/16","CC-12670","Arizona","United States","West",1932,0.2,59.2,563.02344,1.612,105.3,271.992,85254,23.7993,48.3,-0.05,40.220817,1.412,0.95,1,16.421517,291.03144,12.4
"Office Supplies","12/19/14","Joy Daniels","OFF-BI-10001249","Consumer","Standard Class","CA-2014-148950","Binders","Avery Heavy-Duty EZD View Binder with Locking Rings","Chicago","12/14/14","JD-16015","Illinois","United States","Central",1973,0.8,54.9,9.6976,3.744,82,5.104,60610,-8.6768,52.6,0.88,-15.791776,2.944,4.88,4,-7.114976,4.5936,21.4
"Office Supplies","12/19/14","Joy Daniels","OFF-FA-10003059","Consumer","Standard Class","CA-2014-148950","Fasteners","Assorted Color Push Pins","Chicago","12/14/14","JD-16015","Illinois","United States","Central",1974,0.2,54.6,11.49712,1.162,70.9,2.896,60610,0.4706,25.2,0.82,0.861198,0.962,2.82,2,0.390598,8.60112,17.2
"Technology","12/19/14","Joy Daniels","TEC-AC-10002718","Consumer","Standard Class","CA-2014-148950","Accessories","Belkin Standard 104 key USB Keyboard","Chicago","12/14/14","JD-16015","Illinois","United States","Central",1975,0.2,83.3,74.93424,1.184,94.3,35.016,60610,-2.1885,46.7,0.18,-2.6262,0.984,3.18,3,-0.4377,39.91824,16.9
"Office Supplies","11/21/14","Jamie Frazer","OFF-AR-10001315","Consumer","Standard Class","CA-2014-116407","Art","Newell 310","Johnson City","11/15/14","JF-15190","Tennessee","United States","South",2009,0.2,82,10.17984,0.9,71.9,4.224,37604,0.4752,41.5,1.17,0.579744,0.7,4.17,3,0.104544,5.95584,22.2
"Office Supplies","11/21/14","Jamie Frazer","OFF-AP-10002118","Consumer","Standard Class","CA-2014-116407","Appliances","1.7 Cubic Foot Compact ""Cube"" Office Refrigerators","Johnson City","11/15/14","JF-15190","Tennessee","United States","South",2010,0.2,56.2,1099.0848,1.118,82,333.056,37604,29.1424,30.3,0.44,51.873472,0.918,2.44,2,22.731072,766.0288,17.9
"Office Supplies","11/21/14","Jamie Frazer","OFF-PA-10002137","Consumer","Standard Class","CA-2014-116407","Paper","Southworth 100% R�sum� Paper, 24lb.","Johnson City","11/15/14","JF-15190","Tennessee","United States","South",2011,0.2,97.1,51.78368,1.068,73.5,24.896,37604,7.78,48.1,1.44,8.0134,0.868,5.44,4,0.2334,26.88768,18.7
"Technology","12/11/15","Stuart Calhoun","TEC-AC-10001606","Consumer","Same Day","CA-2015-155761","Accessories","Logitech Wireless Performance Mouse MX for PC and Mac","Houston","12/11/15","SC-20800","Texas","United States","Central",2012,0.2,52.1,604.73952,0.832,76.9,159.984,77041,35.9964,26.5,0.6,69.113088,0.632,2.6,2,33.116688,444.75552,24
"Office Supplies","12/11/15","Stuart Calhoun","OFF-ST-10000943","Consumer","Same Day","CA-2015-155761","Storage","Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black","Houston","12/11/15","SC-20800","Texas","United States","Central",2013,0.2,73,76.00416,1.156,88.5,46.344,77041,4.6344,61,0.39,6.349128,0.956,3.39,3,1.714728,29.66016,17.3
"Office Supplies","11/23/17","Jane Waco","OFF-AR-10001860","Corporate","Standard Class","US-2017-158946","Art","BIC Liqua Brite Liner","Lakewood","11/18/17","JW-15220","Ohio","United States","East",2044,0.2,58.5,62.57104,1.05,71.9,38.864,44107,7.7728,62.1,2.73,13.291488,0.85,9.73,7,5.518688,23.70704,19
