"Wellness_Priority__c","NOCONVERT","Created_Date__c","Gender__c","isParent__c","Sponsors__c","Name","Lead_Status__c","Sponsor_Level__c","State__c","Age__c","Target_Weight_Difference__c","Target_Weight__c","Weight__c"
"Athletic Fitness",,"2016-04-14T03:51:14.956+00:00","F","Yes","Jamie Wu","Coleman DuBuque","Customer","Active Supervisor","Oregon",54,54,169,223
"Athletic Fitness",,"2016-04-07T11:16:28.189+00:00","F","Yes","James Chan","Lurline Renner","Lead","Active Supervisor","Virginia",21,114,225,339
"Athletic Fitness",,"2017-08-07T02:19:47.661+00:00","F","Yes","Lauren Boyle","Odell Welch","Customer","Active Supervisor","Delaware",31,137,207,344
"Athletic Fitness",,"2016-07-27T09:07:25.397+00:00","M","Yes","John Smith","Noemie Wolf","Customer","Active Supervisor","Florida",51,136,176,312
"Athletic Fitness",,"2015-11-04T22:47:45.282+00:00","M","No","Dawn Distributor","Delilah Eichmann","Lead","Active Supervisor","Vermont",58,-2,213,211
"Athletic Fitness",,"2015-10-07T00:15:04.685+00:00","M","Yes","James Chan","Dr. Jovany Braun","Lead","Active Supervisor","Oregon",49,-1,187,186
"Athletic Fitness",,"2016-09-10T07:13:32.435+00:00","F","Yes","Sherrie Hernandez","Evans Thiel","Customer","Active Supervisor","Virginia",25,81,177,258
"Athletic Fitness",,"2016-12-04T18:48:32.996+00:00","F","Yes","Stephanie Curran","Miss Ubaldo Raynor","Lead","Active Supervisor","Oklahoma",44,64,217,281
"Athletic Fitness",,"2016-10-03T20:48:34.413+00:00","F","Yes","Anne Frost","Holden Oberbrunner V","Customer","Active Supervisor","Delaware",32,-16,220,204
"Athletic Fitness",,"2017-06-01T12:10:09.154+00:00","F","Yes","Lisa Jones","Audrey Sanford","Customer","Active Supervisor","Connecticut",59,16,166,182
"Athletic Fitness",,"2016-12-17T18:11:56.041+00:00","F","Yes","John Smith","Ottilie Reilly","Customer","Active Supervisor","Oklahoma",54,40,193,233
"Athletic Fitness",,"2017-07-09T03:42:57.035+00:00","M","Yes","Lauren Boyle","Ignacio Bayer","Customer","Active Supervisor","Illinois",39,2,224,226
"Athletic Fitness",,"2015-10-18T15:53:59.850+00:00","F","No","Jim Albose","Ismael Watsica","Customer","Active Supervisor","Connecticut",28,75,198,273
"Athletic Fitness",,"2016-06-20T11:48:47.404+00:00","F","No","James Chan","Alec Simonis","Lead","Active Supervisor","Mississippi",49,138,161,299
"Athletic Fitness",,"2016-01-02T09:22:59.942+00:00","M","No","Sherrie Hernandez","Buddy Hodkiewicz Sr.","Lead","Active Supervisor","Vermont",58,43,166,209
"Athletic Fitness",,"2017-07-25T17:49:46.462+00:00","F","Yes","Stephanie Curran","Shanie Bashirian","Lead","Active Supervisor","Alaska",55,112,185,297
"Athletic Fitness",,"2016-01-07T01:45:11.210+00:00","M","Yes","Sherrie Hernandez","Lionel Stanton","Lead","Active Supervisor","Michigan",54,12,181,193
"Athletic Fitness",,"2017-06-26T23:37:31.839+00:00","M","Yes","Lauren Boyle","Johnson Torphy","Customer","Active Supervisor","Wyoming",51,117,150,267
"Athletic Fitness",,"2017-03-09T15:33:16.832+00:00","M","No","Jamie Wu","Addison Durgan","Lead","Active Supervisor","Arkansas",29,-5,200,195
"Athletic Fitness",,"2017-04-15T17:53:55.993+00:00","F","No","Anne Frost","Jaunita Braun DVM","Customer","Active Supervisor","North Carolina",34,168,174,342
"Athletic Fitness",,"2016-12-28T09:04:00.187+00:00","F","No","Stephanie Curran","Litzy Williamson","Customer","Active Supervisor","South Dakota",36,134,211,345
"Athletic Fitness",,"2016-02-02T17:28:44.616+00:00","M","Yes","James Chan","Dr. Patrick Boyle","Lead","Active Supervisor","Hawaii",47,154,186,340
"Athletic Fitness",,"2017-02-03T06:50:24.851+00:00","M","Yes","Jim Albose","Lavon Parisian","Customer","Active Supervisor","Texas",37,23,171,194
"Athletic Fitness",,"2017-04-12T17:08:24.641+00:00","F","Yes","Lisa Jones","Janessa Gutmann","Lead","Active Supervisor","Arizona",30,115,167,282
"Athletic Fitness",,"2016-03-12T16:20:35.407+00:00","F","Yes","Mary Johnson","Dale Rogahn","Customer","Active Supervisor","Maine",52,10,208,218
"Athletic Fitness",,"2017-04-21T13:27:24.690+00:00","F","Yes","Mary Johnson","Lucius Bogisich","Customer","Active Supervisor","Rhode Island",39,63,160,223
"Athletic Fitness",,"2016-06-25T11:24:26.580+00:00","M","No","Mark Metz","Dessie Kutch","Customer","Active Supervisor","Pennsylvania",55,65,217,282
"Athletic Fitness",,"2016-04-01T02:10:42.520+00:00","M","Yes","Anne Frost","Ronaldo Bode","Customer","Active Supervisor","New Jersey",38,102,150,252
"Athletic Fitness",,"2016-07-25T22:07:52.143+00:00","F","No","John Smith","Damon Jaskolski Jr.","Lead","Active Supervisor","Hawaii",35,74,182,256
"Athletic Fitness",,"2016-03-03T20:22:41.164+00:00","M","No","Dawn Distributor","Jalyn Little","Customer","Active Supervisor","Minnesota",54,64,193,257
"Athletic Fitness",,"2017-03-07T07:30:52.200+00:00","F","No","Lauren Boyle","Myrtis VonRueden","Customer","Active Supervisor","Alaska",18,-17,201,184
"Athletic Fitness",,"2016-06-12T09:00:14.177+00:00","F","No","Lisa Jones","Ms. Malachi Swaniawski","Customer","Active Supervisor","Iowa",34,65,166,231
"Athletic Fitness",,"2015-12-01T05:19:17.769+00:00","F","No","Tim Carter","Justine Schultz","Customer","Active Supervisor","Ohio",43,-22,224,202
"Athletic Fitness",,"2017-06-29T05:40:42.128+00:00","M","Yes","Jim Albose","Jordane Johns","Lead","Active Supervisor","New Hampshire",38,38,163,201
"Athletic Fitness",,"2017-03-18T12:03:45.630+00:00","F","Yes","John Smith","Dr. Earline Kub","Lead","Active Supervisor","Utah",44,112,163,275
"Athletic Fitness",,"2017-04-12T13:47:34.329+00:00","F","No","Lisa Jones","Mr. Carli Smitham","Customer","Active Supervisor","Massachusetts",46,4,216,220
"Athletic Fitness",,"2016-02-19T03:09:40.426+00:00","F","Yes","Anne Frost","Princess Goyette","Customer","Active Supervisor","Connecticut",60,-25,209,184
"Athletic Fitness",,"2017-02-26T11:12:45.033+00:00","F","Yes","Tim Carter","Tom Dicki MD","Customer","Active Supervisor","New Jersey",20,140,171,311
"Athletic Fitness",,"2017-06-15T12:01:46.022+00:00","F","No","Stephanie Curran","Arlene Eichmann","Customer","Active Supervisor","Georgia",54,-10,198,188
"Athletic Fitness",,"2015-11-10T20:07:41.135+00:00","M","No","Lauren Boyle","Lambert Auer","Customer","Active Supervisor","Missouri",39,110,214,324
"Athletic Fitness",,"2017-04-28T04:36:04.385+00:00","F","No","Anne Frost","Jed Mueller","Customer","Active Supervisor","Kentucky",49,38,221,259
"Athletic Fitness",,"2017-09-12T02:32:37.586+00:00","F","Yes","Tim Carter","Kayley McCullough","Lead","Active Supervisor","Maryland",18,-21,222,201
"Athletic Fitness",,"2016-07-11T10:02:54.300+00:00","M","Yes","James Chan","Cameron Predovic III","Customer","Active Supervisor","Arkansas",26,21,173,194
"Athletic Fitness",,"2016-09-23T03:52:10.497+00:00","F","No","Jim Albose","Nellie Auer","Customer","Active Supervisor","Arizona",21,179,170,349
"Athletic Fitness",,"2017-08-12T17:49:47.765+00:00","F","No","Stephanie Curran","Maurine Jerde","Lead","Active Supervisor","South Carolina",62,180,163,343
"Athletic Fitness",,"2015-11-03T15:21:43.246+00:00","F","Yes","Stephanie Curran","Ms. Victoria Kessler","Customer","Active Supervisor","New Jersey",42,91,176,267
"Athletic Fitness",,"2016-07-31T09:28:20.201+00:00","M","No","Anne Frost","Nash Friesen","Customer","Active Supervisor","South Dakota",21,28,188,216
"Athletic Fitness",,"2016-02-02T09:07:15.459+00:00","F","Yes","Lisa Jones","Mr. Broderick Jenkins","Lead","Active Supervisor","Texas",55,74,152,226
"Athletic Fitness",,"2016-01-04T22:52:22.381+00:00","F","No","Jamie Wu","Gerard Emmerich Sr.","Customer","Active Supervisor","Alabama",62,11,219,230
"Athletic Fitness",,"2015-09-15T01:27:03.542+00:00","F","Yes","Mark Metz","Brennan Pacocha I","Customer","Active Supervisor","California",47,125,151,276
"Athletic Fitness",,"2017-03-08T04:35:50.339+00:00","M","Yes","Tim Carter","Karlie Rowe","Customer","Active Supervisor","Connecticut",45,125,191,316
"Athletic Fitness",,"2015-11-12T10:06:13.565+00:00","M","No","Lauren Boyle","Joseph Steuber III","Customer","Active Supervisor","Virginia",18,26,222,248
"Athletic Fitness",,"2016-02-12T13:33:11.893+00:00","F","Yes","James Chan","Dr. Agustina Blick","Lead","Active Supervisor","Nevada",34,50,160,210
"Athletic Fitness",,"2017-04-07T15:12:18.021+00:00","M","No","Jim Albose","Magdalena Kozey MD","Customer","Active Supervisor","Massachusetts",35,57,206,263
"Athletic Fitness",,"2017-08-04T23:35:48.275+00:00","F","Yes","Lauren Boyle","Marjolaine Dietrich","Lead","Active Supervisor","Maryland",38,27,222,249
"Athletic Fitness",,"2016-02-04T02:17:33.027+00:00","F","Yes","Stephanie Curran","Bennett Klein","Customer","Active Supervisor","Wisconsin",33,97,221,318
"Athletic Fitness",,"2017-06-12T12:58:34.017+00:00","M","Yes","Jim Albose","Sabrina Kihn","Customer","Active Supervisor","Colorado",53,8,211,219
"Athletic Fitness",,"2015-11-19T05:24:37.257+00:00","F","Yes","Jamie Wu","Ms. Hubert Weber","Lead","Active Supervisor","New York",40,70,177,247
"Athletic Fitness",,"2016-09-15T19:18:42.154+00:00","M","No","Stephanie Curran","Michale Schiller Jr.","Lead","Active Supervisor","Massachusetts",34,101,185,286
"Athletic Fitness",,"2015-10-07T06:28:40.639+00:00","F","Yes","Jim Albose","Miss Geraldine Steuber","Lead","Active Supervisor","Maryland",44,164,154,318
"Athletic Fitness",,"2016-05-27T15:47:58.153+00:00","M","No","Dawn Distributor","Clementine Ziemann","Lead","Active Supervisor","Alaska",57,-21,221,200
"Athletic Fitness",,"2017-08-10T10:13:58.564+00:00","M","Yes","Jamie Wu","Marlin MacGyver","Customer","Active Supervisor","New Jersey",21,-31,224,193
"Athletic Fitness",,"2016-10-13T23:47:50.572+00:00","F","No","Anne Frost","Stanton O'Conner","Lead","Active Supervisor","Georgia",58,139,165,304
"Athletic Fitness",,"2016-12-02T08:01:02.256+00:00","F","Yes","John Smith","Ernesto Kertzmann PhD","Customer","Active Supervisor","New Jersey",55,-16,216,200
"Athletic Fitness",,"2017-07-18T15:17:33.127+00:00","M","No","Sherrie Hernandez","Miss Adolfo Halvorson","Customer","Active Supervisor","Rhode Island",56,134,158,292
"Athletic Fitness",,"2016-03-02T09:42:54.009+00:00","F","No","Lauren Boyle","Ryder Kuphal","Lead","Active Supervisor","Oklahoma",44,103,176,279
"Athletic Fitness",,"2016-05-21T02:14:43.687+00:00","F","No","Jim Albose","Solon Monahan IV","Lead","Active Supervisor","Mississippi",19,137,195,332
"Athletic Fitness",,"2016-07-06T21:45:52.452+00:00","F","Yes","Stephanie Curran","Melany Hintz","Lead","Active Supervisor","Vermont",42,48,211,259
"Athletic Fitness",,"2016-10-18T12:29:04.112+00:00","F","Yes","John Smith","Grant Kautzer PhD","Customer","Active Supervisor","South Dakota",56,142,197,339
"Athletic Fitness",,"2016-03-04T12:16:29.959+00:00","M","No","Tim Carter","Iliana Oberbrunner","Lead","Active Supervisor","New Hampshire",59,180,152,332
"Athletic Fitness",,"2016-08-10T05:36:24.550+00:00","F","Yes","Lauren Boyle","Bertram Lebsack","Customer","Active Supervisor","Texas",21,171,166,337
"Athletic Fitness",,"2015-12-21T00:55:04.307+00:00","F","Yes","Sherrie Hernandez","Blair Bernhard DVM","Lead","Active Supervisor","Indiana",22,136,199,335
"Athletic Fitness",,"2016-05-24T09:11:11.332+00:00","F","Yes","Jamie Wu","Amparo Lowe","Customer","Active Supervisor","Mississippi",21,95,206,301
"Athletic Fitness",,"2017-05-08T19:23:16.178+00:00","F","Yes","John Smith","Della Torphy","Lead","Active Supervisor","New Hampshire",20,136,166,302
"Athletic Fitness",,"2016-02-08T04:27:22.012+00:00","F","Yes","Jim Albose","Mustafa Harber III","Lead","Active Supervisor","Rhode Island",46,131,159,290
"Athletic Fitness",,"2016-01-22T06:16:45.000+00:00","M","Yes","John Smith","Eldon Waelchi V","Customer","Active Supervisor","North Dakota",52,46,197,243
"Athletic Fitness",,"2016-06-16T07:34:59.535+00:00","M","Yes","Anne Frost","Camila Daugherty I","Lead","Active Supervisor","Virginia",25,15,167,182
"Athletic Fitness",,"2016-02-03T00:30:22.766+00:00","F","No","Mary Johnson","Vivianne Grant","Lead","Active Supervisor","Utah",57,135,176,311
"Athletic Fitness",,"2016-12-12T16:10:13.502+00:00","F","Yes","Sherrie Hernandez","Loy Cronin","Customer","Active Supervisor","Michigan",61,149,172,321
"Athletic Fitness",,"2015-12-07T09:58:51.685+00:00","F","No","Stephanie Curran","Keanu Heidenreich","Customer","Active Supervisor","Washington",58,10,194,204
"Athletic Fitness",,"2017-09-02T20:02:52.870+00:00","F","Yes","Dawn Distributor","Meghan Heller Sr.","Customer","Active Supervisor","California",29,79,159,238
"Athletic Fitness",,"2016-12-01T23:16:33.680+00:00","F","No","James Chan","Neha Leffler","Customer","Active Supervisor","California",46,53,179,232
"Athletic Fitness",,"2016-10-08T01:25:43.394+00:00","F","Yes","John Smith","Abigail Bechtelar","Customer","Active Supervisor","Iowa",62,109,215,324
"Athletic Fitness",,"2017-01-14T22:01:51.717+00:00","M","No","Stephanie Curran","D'angelo Okuneva","Customer","Active Supervisor","Colorado",62,184,164,348
"Athletic Fitness",,"2016-08-20T03:53:09.827+00:00","F","Yes","Jamie Wu","Alexis Wisozk","Customer","Active Supervisor","Virginia",51,-17,216,199
"Athletic Fitness",,"2016-08-17T03:59:17.008+00:00","F","Yes","Jamie Wu","Mr. Piper Sauer","Lead","Active Supervisor","Connecticut",30,64,198,262
"Athletic Fitness",,"2017-09-01T01:23:55.724+00:00","F","No","Anne Frost","Aron Herman","Customer","Active Supervisor","Indiana",36,82,210,292
"Athletic Fitness",,"2017-02-02T13:19:54.577+00:00","F","No","Dawn Distributor","Verda Welch DDS","Lead","Active Supervisor","Hawaii",31,132,153,285
"Athletic Fitness",,"2015-10-16T23:28:05.954+00:00","F","Yes","James Chan","Ms. Lonie McDermott","Customer","Active Supervisor","New Jersey",43,117,155,272
"Athletic Fitness",,"2016-08-24T23:14:25.016+00:00","M","Yes","Sherrie Hernandez","Stan Larkin","Customer","Active Supervisor","Texas",58,-1,215,214
"Athletic Fitness",,"2017-02-28T04:41:14.695+00:00","M","No","John Smith","Kobe Kuhlman","Lead","Active Supervisor","Oregon",39,62,200,262
"Athletic Fitness",,"2016-10-19T01:03:06.332+00:00","M","Yes","Tim Carter","Roberto Wilkinson","Customer","Active Supervisor","New Mexico",61,57,210,267
"Athletic Fitness",,"2016-05-15T03:41:11.271+00:00","F","No","Stephanie Curran","Megane Kub","Customer","Active Supervisor","Missouri",28,166,162,328
"Athletic Fitness",,"2017-09-06T03:33:45.633+00:00","F","No","Lisa Jones","Kaelyn Lang Jr.","Lead","Active Supervisor","Oregon",50,129,159,288
"Athletic Fitness",,"2015-10-04T13:20:41.349+00:00","M","No","Sherrie Hernandez","Valerie Terry Jr.","Customer","Active Supervisor","Oklahoma",19,92,162,254
"Athletic Fitness",,"2016-05-06T06:18:07.334+00:00","F","Yes","Anne Frost","Hollie Bogan","Lead","Active Supervisor","Kansas",21,89,200,289
"Athletic Fitness",,"2017-04-04T23:24:13.425+00:00","F","No","Lauren Boyle","Audreanne Keebler","Customer","Active Supervisor","Kansas",42,90,188,278
"Athletic Fitness",,"2017-03-16T11:00:09.368+00:00","F","No","Mary Johnson","Alvah Pacocha","Customer","Active Supervisor","New Mexico",60,-4,193,189
"Athletic Fitness",,"2015-11-14T01:16:56.238+00:00","M","No","Dawn Distributor","Abigail Gibson","Customer","Active Supervisor","Montana",45,71,205,276
"Athletic Fitness",,"2015-09-12T14:31:40.715+00:00","F","No","Jim Albose","Isabel Armstrong I","Customer","Active Supervisor","Maryland",27,22,219,241
"Athletic Fitness",,"2016-02-24T21:31:02.777+00:00","F","No","Anne Frost","Mrs. Ursula Rowe","Customer","Active Supervisor","Alabama",24,45,192,237
"Athletic Fitness",,"2016-04-16T16:47:28.350+00:00","M","Yes","Lauren Boyle","Carlie Ullrich DDS","Lead","Active Supervisor","Wisconsin",30,112,161,273
"Athletic Fitness",,"2016-07-15T02:40:46.361+00:00","F","Yes","Lisa Jones","Burdette Conn","Customer","Active Supervisor","California",47,104,175,279
"Athletic Fitness",,"2017-05-27T19:49:53.614+00:00","M","No","John Smith","Mr. Virginia Rodriguez","Customer","Active Supervisor","Alabama",29,172,156,328
"Athletic Fitness",,"2016-01-06T04:23:24.632+00:00","M","No","Stephanie Curran","Verner Howell","Lead","Active Supervisor","Connecticut",34,134,211,345
"Athletic Fitness",,"2016-11-12T11:12:06.345+00:00","M","Yes","Stephanie Curran","Kailyn Armstrong","Customer","Active Supervisor","Rhode Island",58,126,174,300
"Athletic Fitness",,"2017-06-26T01:28:52.806+00:00","F","No","Stephanie Curran","Vilma Kautzer","Customer","Active Supervisor","Indiana",38,168,164,332
"Athletic Fitness",,"2017-01-21T12:32:29.901+00:00","M","Yes","Jim Albose","Adolph Fahey","Customer","Active Supervisor","Alaska",45,-21,207,186
"Athletic Fitness",,"2017-07-29T01:47:42.174+00:00","F","Yes","Dawn Distributor","Dr. Kane Hintz","Customer","Active Supervisor","Rhode Island",55,140,210,350
"Athletic Fitness",,"2017-02-16T15:44:26.020+00:00","M","No","Mark Metz","Angelo Beahan","Customer","Active Supervisor","California",56,64,154,218
"Athletic Fitness",,"2016-08-07T15:21:41.525+00:00","F","Yes","Mary Johnson","Herman Schmidt III","Customer","Active Supervisor","Louisiana",29,158,160,318
"Athletic Fitness",,"2016-03-12T21:31:38.691+00:00","F","Yes","Mark Metz","Kelley Hahn","Customer","Active Supervisor","Tennessee",51,12,169,181
"Athletic Fitness",,"2016-05-13T10:04:57.609+00:00","F","No","Tim Carter","Otha Lubowitz","Customer","Active Supervisor","Missouri",30,76,167,243
"Athletic Fitness",,"2017-04-27T22:31:34.909+00:00","M","Yes","Lisa Jones","Ryley Nienow","Customer","Active Supervisor","New Hampshire",46,32,195,227
"Athletic Fitness",,"2016-07-28T06:17:53.169+00:00","F","Yes","Tim Carter","Jules Davis","Customer","Active Supervisor","North Carolina",43,92,218,310
"Athletic Fitness",,"2016-02-27T16:23:29.724+00:00","F","Yes","Stephanie Curran","Miss Marie Torp","Customer","Active Supervisor","Arizona",61,114,158,272
"Athletic Fitness",,"2015-11-24T18:53:05.406+00:00","F","No","Tim Carter","Kennedi Hegmann","Customer","Active Supervisor","Colorado",54,52,219,271
"Athletic Fitness",,"2015-09-13T00:39:27.662+00:00","F","Yes","Anne Frost","Elisha Kessler","Customer","Active Supervisor","Illinois",43,67,223,290
"Athletic Fitness",,"2017-04-06T22:14:35.044+00:00","M","No","Stephanie Curran","Sadie Lindgren","Lead","Active Supervisor","Maryland",30,3,198,201
"Athletic Fitness",,"2016-08-18T07:51:17.989+00:00","F","Yes","Lisa Jones","Edmond Beahan","Lead","Active Supervisor","Rhode Island",48,-10,210,200
"Athletic Fitness",,"2016-07-28T14:05:30.513+00:00","F","Yes","Tim Carter","Marilou Harris","Lead","Active Supervisor","North Carolina",47,137,179,316
"Athletic Fitness",,"2016-04-18T04:21:49.196+00:00","F","Yes","Stephanie Curran","Grace Heaney","Lead","Active Supervisor","California",53,159,188,347
"Athletic Fitness",,"2017-01-28T02:36:02.364+00:00","F","Yes","Dawn Distributor","Mrs. Anthony Kohler","Lead","Active Supervisor","Alabama",46,-27,207,180
"Athletic Fitness",,"2016-03-06T08:09:20.029+00:00","M","No","Jim Albose","Nash Yundt","Customer","Active Supervisor","Wisconsin",28,159,162,321
"Athletic Fitness",,"2016-03-12T09:54:21.422+00:00","F","Yes","Mary Johnson","Lilla Glover","Lead","Active Supervisor","Montana",35,72,174,246
"Athletic Fitness",,"2016-03-27T21:22:16.873+00:00","F","No","Stephanie Curran","Lauryn Abbott","Customer","Active Supervisor","Maine",31,23,217,240
"Athletic Fitness",,"2015-11-18T21:44:17.761+00:00","M","Yes","Anne Frost","Samara Beer V","Customer","Active Supervisor","Kansas",30,51,170,221
"Athletic Fitness",,"2017-01-27T12:41:41.706+00:00","F","Yes","Mark Metz","Josue Mills","Customer","Active Supervisor","Maine",30,46,207,253
"Athletic Fitness",,"2015-11-27T01:49:50.553+00:00","F","Yes","Anne Frost","Dr. Tyrique Rowe","Lead","Active Supervisor","South Dakota",31,32,211,243
"Athletic Fitness",,"2016-12-04T21:23:01.173+00:00","F","Yes","Lauren Boyle","Michaela Bartoletti","Lead","Active Supervisor","Arkansas",57,1,197,198
"Athletic Fitness",,"2016-10-16T02:08:09.948+00:00","F","Yes","Jamie Wu","Ms. Matilde Moore","Lead","Active Supervisor","Rhode Island",48,-5,217,212
"Athletic Fitness",,"2016-11-28T08:31:27.134+00:00","M","Yes","Stephanie Curran","Bernie Morissette DVM","Lead","Active Supervisor","Georgia",54,113,181,294
"Athletic Fitness",,"2017-04-03T19:40:57.471+00:00","F","Yes","Stephanie Curran","Renee Barton","Lead","Active Supervisor","Maryland",23,54,151,205
"Athletic Fitness",,"2017-08-01T19:35:31.412+00:00","F","Yes","Dawn Distributor","Maximus McClure DVM","Customer","Active Supervisor","New Mexico",62,92,203,295
"Athletic Fitness",,"2017-05-07T16:06:45.094+00:00","F","Yes","Jim Albose","Dr. Randall Goldner","Lead","Active Supervisor","South Dakota",61,-13,212,199
"Athletic Fitness",,"2016-05-10T19:56:44.843+00:00","F","No","Jim Albose","Demarcus Yost","Lead","Active Supervisor","Wisconsin",36,26,197,223
"Athletic Fitness",,"2017-05-15T13:24:41.128+00:00","F","Yes","Anne Frost","Alaina Casper","Customer","Active Supervisor","Kentucky",34,37,225,262
"Athletic Fitness",,"2017-05-11T12:37:54.626+00:00","M","No","Mark Metz","Mossie Reichert","Customer","Active Supervisor","Delaware",22,73,216,289
"Athletic Fitness",,"2016-10-12T20:06:24.628+00:00","F","No","Tim Carter","Grover Padberg","Customer","Active Supervisor","Vermont",36,78,150,228
"Athletic Fitness",,"2017-04-18T16:56:56.743+00:00","M","No","Jamie Wu","Davin Smitham","Lead","Active Supervisor","Oklahoma",21,80,154,234
"Athletic Fitness",,"2015-11-07T22:55:21.396+00:00","F","Yes","John Smith","Maxime Bode","Customer","Active Supervisor","South Carolina",37,133,159,292
"Athletic Fitness",,"2016-09-26T08:15:52.869+00:00","M","Yes","Sherrie Hernandez","Ike Collins","Customer","Active Supervisor","Georgia",37,62,216,278
"Athletic Fitness",,"2017-05-14T23:17:00.509+00:00","F","No","Lisa Jones","Kieran Skiles","Customer","Active Supervisor","Michigan",53,132,209,341
"Athletic Fitness",,"2017-03-20T07:35:13.533+00:00","F","Yes","Sherrie Hernandez","Ashtyn McDermott","Lead","Active Supervisor","Alaska",35,74,173,247
"Athletic Fitness",,"2017-06-18T20:12:53.330+00:00","F","Yes","Lauren Boyle","Mrs. Solon McKenzie","Customer","Active Supervisor","Mississippi",55,101,174,275
"Athletic Fitness",,"2015-11-24T03:21:51.224+00:00","F","No","Lauren Boyle","Austin Sawayn V","Customer","Active Supervisor","Alaska",44,138,151,289
"Athletic Fitness",,"2015-11-28T13:10:37.794+00:00","F","Yes","Mary Johnson","Neil O'Keefe","Customer","Active Supervisor","Kansas",35,54,203,257
"Athletic Fitness",,"2017-07-13T01:49:22.788+00:00","M","Yes","Lisa Jones","Jordon Rohan","Customer","Active Supervisor","Utah",19,-14,209,195
"Athletic Fitness",,"2017-04-22T10:29:59.793+00:00","F","Yes","Sherrie Hernandez","Twila Hills","Lead","Active Supervisor","Oregon",41,164,165,329
"Athletic Fitness",,"2016-03-18T17:24:49.788+00:00","M","Yes","Jim Albose","Westley Schuppe Jr.","Lead","Active Supervisor","Utah",56,25,213,238
"Athletic Fitness",,"2016-08-19T02:19:03.744+00:00","M","Yes","Dawn Distributor","Alaina Williamson","Customer","Active Supervisor","Missouri",29,127,190,317
"Athletic Fitness",,"2017-04-13T14:05:28.820+00:00","F","No","Stephanie Curran","Rose Kilback","Customer","Active Supervisor","Alaska",51,166,154,320
"Athletic Fitness",,"2015-11-05T10:43:55.417+00:00","F","Yes","Mary Johnson","Mrs. Adelbert Stanton","Customer","Active Supervisor","Missouri",32,100,154,254
"Athletic Fitness",,"2016-12-22T14:15:37.362+00:00","M","Yes","Dawn Distributor","Marjorie Orn","Lead","Active Supervisor","South Dakota",46,60,195,255
"Athletic Fitness",,"2016-12-11T00:45:41.407+00:00","F","No","Jim Albose","Ruthie D'Amore","Lead","Active Supervisor","Virginia",53,176,150,326
"Athletic Fitness",,"2017-03-18T02:36:37.527+00:00","F","Yes","Jim Albose","Sandy Gaylord","Lead","Active Supervisor","Louisiana",37,68,212,280
"Athletic Fitness",,"2015-12-04T14:21:49.694+00:00","F","No","Sherrie Hernandez","Salvatore Purdy","Customer","Active Supervisor","Idaho",25,156,159,315
"Athletic Fitness",,"2016-08-01T21:34:29.376+00:00","F","Yes","Jim Albose","Dixie Ryan","Lead","Active Supervisor","Missouri",25,40,196,236
"Athletic Fitness",,"2016-05-16T20:31:31.972+00:00","F","Yes","Stephanie Curran","Ms. Bessie Zboncak","Lead","Active Supervisor","Nevada",26,146,161,307
"Athletic Fitness",,"2017-05-03T13:19:07.448+00:00","F","Yes","Mark Metz","Magali Hand DDS","Lead","Active Supervisor","Pennsylvania",42,143,183,326
"Athletic Fitness",,"2015-09-27T23:49:48.026+00:00","F","No","Mary Johnson","Julius Abshire IV","Lead","Active Supervisor","Virginia",27,126,224,350
"Athletic Fitness",,"2015-10-02T21:44:38.104+00:00","M","Yes","Stephanie Curran","Lavinia Fay","Customer","Active Supervisor","Minnesota",46,71,154,225
"Athletic Fitness",,"2017-06-19T07:19:03.853+00:00","F","No","Stephanie Curran","Thora Weissnat","Customer","Active Supervisor","Hawaii",51,122,179,301
"Athletic Fitness",,"2016-03-17T23:10:05.985+00:00","M","Yes","Mary Johnson","Teagan Mante","Customer","Active Supervisor","Georgia",42,87,176,263
"Athletic Fitness",,"2017-01-25T06:12:10.886+00:00","F","Yes","Anne Frost","Leta Nader III","Customer","Active Supervisor","Wyoming",36,54,176,230
"Athletic Fitness",,"2017-08-16T19:23:51.013+00:00","F","Yes","Jim Albose","Toney Ondricka","Lead","Active Supervisor","South Dakota",51,1,199,200
"Athletic Fitness",,"2016-12-05T22:13:49.051+00:00","M","Yes","James Chan","Mrs. Estefania Kozey","Customer","Active Supervisor","Louisiana",35,-22,214,192
"Athletic Fitness",,"2015-10-10T12:37:44.173+00:00","M","Yes","Anne Frost","Heloise Kuvalis","Customer","Active Supervisor","Mississippi",45,76,193,269
"Athletic Fitness",,"2016-06-08T12:34:05.929+00:00","M","Yes","Dawn Distributor","Meta Schinner","Lead","Active Supervisor","Texas",30,24,177,201
"Athletic Fitness",,"2016-04-18T12:01:03.218+00:00","M","Yes","John Smith","Lois Metz Sr.","Customer","Active Supervisor","Washington",43,110,189,299
"Athletic Fitness",,"2017-09-11T14:54:00.851+00:00","F","No","John Smith","Keven Pouros","Lead","Active Supervisor","Mississippi",54,50,194,244
"Athletic Fitness",,"2017-01-23T04:46:58.164+00:00","F","Yes","James Chan","Furman DuBuque Sr.","Customer","Active Supervisor","Texas",53,53,208,261
"Athletic Fitness",,"2016-12-08T05:49:46.612+00:00","F","Yes","Mary Johnson","Leo Wiegand","Customer","Active Supervisor","Minnesota",57,-3,205,202
"Athletic Fitness",,"2015-09-12T20:28:43.251+00:00","M","Yes","Tim Carter","Missouri Gerlach","Lead","Active Supervisor","New Mexico",54,44,156,200
