ACCOUNTID,ACCOUNTINVESTMENTOBJECTIVES,ACCOUNTLASTINTERACTION,ACCOUNTMARKETINGSEGMENT,ACCOUNTNAME,ACCOUNTSERVICEMODEL,CREATEDDATE,ID,PRIORITY,LastProcessedDate
0011U00000KuFXJQA3,Growth,2018-12-04,Mass Market,Zane Cervantes,Tier 1,2019-01-03,Case-5-0011U00000KuFXJQA3,Medium,2020-05-25
0011U00000KuFXKQA3,Balanced Growth,2018-12-17,Affluent Professionals,Carissa Mckee,Tier 2,2019-01-03,Case-4-0011U00000KuFXKQA3,Low,2020-05-25
0011U00000KuFXKQA3,Balanced Growth,2018-12-17,Affluent Professionals,Carissa Mckee,Tier 2,2019-01-03,Case-5-0011U00000KuFXKQA3,High,2020-05-25
0011U00000KuFXLQA3,Aggressive Growth,2018-11-22,Mass Market,Akeem Head,Tier 3,2019-01-01,Case-3-0011U00000KuFXLQA3,High,2020-05-25
0011U00000KuFXXQA3,Growth,2018-11-24,Mass Market,Brenda Graham,Tier 3,2019-01-05,Case-2-0011U00000KuFXXQA3,Medium,2020-05-25
0011U00000KuFXaQAN,Aggressive Growth,2018-11-19,Millennials,Lucius Fry,Tier 2,2019-01-02,Case-2-0011U00000KuFXaQAN,High,2020-05-25
0011U00000KuFXaQAN,Aggressive Growth,2018-11-19,Millennials,Lucius Fry,Tier 2,2019-01-05,Case-3-0011U00000KuFXaQAN,High,2020-05-25
0011U00000KuFXbQAN,Aggressive Growth,2018-11-26,Millennials,Kato Vega,Tier 1,2019-01-03,Case-3-0011U00000KuFXbQAN,High,2020-05-25
0011U00000KuFXcQAN,Income,2018-11-25,Mass Market,Travis Jacobson,Tier 3,2019-01-03,Case-6-0011U00000KuFXcQAN,Low,2020-05-25
0011U00000KuFXeQAN,Income,2018-11-25,Affluent Professionals,Ramona Hamilton,Tier 3,2019-01-06,Case-2-0011U00000KuFXeQAN,Medium,2020-05-25
0011U00000KuFXeQAN,Income,2018-11-25,Affluent Professionals,Ramona Hamilton,Tier 3,2019-01-01,Case-3-0011U00000KuFXeQAN,Medium,2020-05-25
0011U00000KuFXnQAN,Income,2018-11-18,Mass Market,TaShya Perez,Tier 3,2019-01-03,Case-3-0011U00000KuFXnQAN,Medium,2020-05-25
0011U00000KuFXsQAN,Aggressive Growth,2018-11-24,Affluent Professionals,Harlan Mcgowan,Tier 3,2019-01-06,Case-6-0011U00000KuFXsQAN,Medium,2020-05-25
0011U00000KuFXuQAN,Aggressive Growth,2018-11-17,Mass Market,Marvin Garcia,Tier 1,2019-01-05,Case-3-0011U00000KuFXuQAN,Medium,2020-05-25
0011U00000KuFXyQAN,Growth,2018-12-11,Millennials,Tatum Holt,Tier 3,2019-01-04,Case-3-0011U00000KuFXyQAN,Low,2020-05-25
0011U00000KuFY1QAN,Growth,2018-11-26,Mass Market,Yoko Marshall,Tier 1,2019-01-01,Case-3-0011U00000KuFY1QAN,Medium,2020-05-25
0011U00000KuFY9QAN,Income,2018-11-20,High Net Worth Families,Ruby Vargas,Tier 1,2019-01-01,Case-1-0011U00000KuFY9QAN,High,2020-05-25
0011U00000KuFYBQA3,Growth,2018-11-25,Affluent Professionals,Lynn Davidson,Tier 2,2019-01-06,Case-2-0011U00000KuFYBQA3,Medium,2020-05-25
0011U00000KuFYBQA3,Growth,2018-11-25,Affluent Professionals,Lynn Davidson,Tier 2,2019-01-02,Case-3-0011U00000KuFYBQA3,Medium,2020-05-25
0011U00000KuFYCQA3,Aggressive Growth,2018-11-15,Millennials,Evangeline Christian,Tier 2,2019-01-06,Case-4-0011U00000KuFYCQA3,Medium,2020-05-25
0011U00000KuFYFQA3,Aggressive Growth,2018-11-26,Affluent Professionals,Chloe Knox,Tier 1,2019-01-01,Case-3-0011U00000KuFYFQA3,Medium,2020-05-25
0011U00000KuFYFQA3,Aggressive Growth,2018-11-26,Affluent Professionals,Chloe Knox,Tier 1,2019-01-01,Case-4-0011U00000KuFYFQA3,Medium,2020-05-25
0011U00000KuFYGQA3,Income,2018-11-15,Millennials,Caleb Mccray,Tier 2,2019-01-05,Case-2-0011U00000KuFYGQA3,High,2020-05-25
0011U00000KuFYMQA3,Aggressive Growth,2018-11-21,Affluent Professionals,Ainsley Cotton,Tier 1,2019-01-04,Case-3-0011U00000KuFYMQA3,Low,2020-05-25
0011U00000KuFYNQA3,Balanced Growth,2018-11-21,Affluent Professionals,Raphael Snider,Tier 3,2019-01-01,Case-3-0011U00000KuFYNQA3,High,2020-05-25
0011U00000KuFYNQA3,Balanced Growth,2018-11-21,Affluent Professionals,Raphael Snider,Tier 3,2019-01-04,Case-4-0011U00000KuFYNQA3,Medium,2020-05-25
0011U00000KuFYTQA3,Balanced Growth,2018-12-16,Millennials,Stephen Pittman,Tier 2,2019-01-06,Case-4-0011U00000KuFYTQA3,Low,2020-05-25
0011U00000KuFYVQA3,Income,2018-11-26,Affluent Professionals,Kirestin Ratliff,Tier 1,2019-01-06,Case-4-0011U00000KuFYVQA3,High,2020-05-25
0011U00000KuFYXQA3,Balanced Growth,2018-11-25,Millennials,Tarik Mercer,Tier 3,2019-01-02,Case-5-0011U00000KuFYXQA3,Medium,2020-05-25
0011U00000KuFYfQAN,Aggressive Growth,2018-11-22,Mass Market,Raja Oneal,Tier 3,2019-01-02,Case-3-0011U00000KuFYfQAN,Medium,2020-05-25
0011U00000KuFYfQAN,Aggressive Growth,2018-11-22,Mass Market,Raja Oneal,Tier 3,2019-01-04,Case-4-0011U00000KuFYfQAN,High,2020-05-25
0011U00000KuFYgQAN,Balanced Growth,2018-11-24,Millennials,Edan Downs,Tier 1,2019-01-02,Case-3-0011U00000KuFYgQAN,Medium,2020-05-25
0011U00000KuFYhQAN,Growth,2018-11-05,High Net Worth Families,Quon Holcomb,Tier 2,2019-01-03,Case-1-0011U00000KuFYhQAN,High,2020-05-25
0011U00000KuFYhQAN,Growth,2018-11-05,High Net Worth Families,Quon Holcomb,Tier 2,2019-01-06,Case-2-0011U00000KuFYhQAN,Medium,2020-05-25
0011U00000KuFYpQAN,Income,2018-12-11,Millennials,Nell Alford,Tier 1,2019-01-04,Case-0-0011U00000KuFYpQAN,Low,2020-05-25
0011U00000KuFYrQAN,Growth,2018-12-12,High Net Worth Families,Ashton Torres,Tier 1,2019-01-03,Case-0-0011U00000KuFYrQAN,Low,2020-05-25
0011U00000KuFYrQAN,Growth,2018-12-12,High Net Worth Families,Ashton Torres,Tier 1,2019-01-06,Case-1-0011U00000KuFYrQAN,Medium,2020-05-25
0011U00000KuFYvQAN,Aggressive Growth,2018-12-28,Millennials,Ruby Gay,Tier 2,2019-01-01,Case-0-0011U00000KuFYvQAN,Medium,2020-05-25
0011U00000KuFXVQA3,Aggressive Growth,2018-11-28,Mass Market,Abel Sanchez,Tier 2,2019-01-03,Case-6-0011U00000KuFXVQA3,Medium,2020-05-25
0011U00000KuFYsQAN,Aggressive Growth,2018-12-13,Affluent Professionals,Gavin Blevins,Tier 3,2019-01-05,Case-0-0011U00000KuFYsQAN,Medium,2020-05-25
0011U00000KuFYwQAN,Balanced Growth,2018-12-28,Millennials,Armand Knowles,Tier 3,2019-01-06,Case-0-0011U00000KuFYwQAN,High,2020-05-25
0011U00000Kcp1JQAR,Growth,2018-11-25,Millennials,Adams Charitable Trust,Tier 1,2019-01-09,Case-5-0011U00000Kcp1JQAR,Medium,2020-05-25
0011U00000Kcp1JQAR,Growth,2018-11-25,Millennials,Adams Charitable Trust,Tier 1,2019-01-09,Case-6-0011U00000Kcp1JQAR,High,2020-05-25
0011U00000Kcp1LQAR,Aggressive Growth,2018-11-19,Millennials,Neil Symonds,Tier 2,2019-01-11,Case-6-0011U00000Kcp1LQAR,Low,2020-05-25
0011U00000Kcp1LQAR,Aggressive Growth,2018-11-19,Millennials,Neil Symonds,Tier 2,2019-01-08,Case-7-0011U00000Kcp1LQAR,Medium,2020-05-25
0011U00000Kcp1NQAR,Balanced Growth,2018-11-10,Millennials,Rachel Adams,Tier 2,2019-01-11,Case-7-0011U00000Kcp1NQAR,Low,2020-05-25
0011U00000Kcp1NQAR,Balanced Growth,2018-11-10,Millennials,Rachel Adams,Tier 2,2019-01-08,Case-8-0011U00000Kcp1NQAR,Medium,2020-05-25
0011U00000Kcp1MQAR,Growth,2018-11-21,Mass Market,Nigel Adams,Tier 2,2019-01-11,Case-5-0011U00000Kcp1MQAR,Medium,2020-05-25
0011U00000Kcp1MQAR,Growth,2018-11-21,Mass Market,Nigel Adams,Tier 2,2019-01-08,Case-6-0011U00000Kcp1MQAR,Low,2020-05-25
0011U00000Kss4jQAB,Balanced Growth,2018-11-17,Mass Market,Jinni Boyd,Tier 1,2019-01-11,Case-0-0011U00000Kss4jQAB,Low,2020-05-25
0011U00000KuFXFQA3,Aggressive Growth,2018-11-18,Retired,Kristen Beasley,Tier 3,2019-01-10,Case-0-0011U00000KuFXFQA3,Medium,2020-05-25
0011U00000KuFXFQA3,Aggressive Growth,2018-11-18,Retired,Kristen Beasley,Tier 3,2019-01-08,Case-1-0011U00000KuFXFQA3,Medium,2020-05-25
0011U00000KuWpYQAV,Growth,2018-11-26,Affluent Professionals,Fredericka Mccullough,Tier 3,2019-01-09,Case-5-0011U00000KuWpYQAV,High,2020-05-25
0011U00000KuFXIQA3,Income,2018-11-25,Mass Market,Wallace Summers,Tier 3,2019-01-09,Case-5-0011U00000KuFXIQA3,Medium,2020-05-25
0011U00000KuFXIQA3,Income,2018-11-25,Mass Market,Wallace Summers,Tier 3,2019-01-12,Case-6-0011U00000KuFXIQA3,Low,2020-05-25
0011U00000KuFXKQA3,Balanced Growth,2019-01-08,Affluent Professionals,Carissa Mckee,Tier 2,2019-01-13,Case-6-0011U00000KuFXKQA3,Medium,2020-05-25
0011U00000KuFXMQA3,Growth,2018-11-19,Retired,Quinn Cummings,Tier 1,2019-01-10,Case-6-0011U00000KuFXMQA3,High,2020-05-25
0011U00000KuFXMQA3,Growth,2018-11-19,Retired,Quinn Cummings,Tier 1,2019-01-11,Case-7-0011U00000KuFXMQA3,High,2020-05-25
0011U00000KuFXOQA3,Balanced Growth,2019-01-09,High Net Worth Families,Alfreda Pierce,Tier 3,2019-01-08,Case-1-0011U00000KuFXOQA3,Medium,2020-05-25
0011U00000KuFXPQA3,Income,2018-12-16,Retired,Erich Grimes,Tier 1,2019-01-12,Case-6-0011U00000KuFXPQA3,Low,2020-05-25
0011U00000KuFXPQA3,Income,2018-12-16,Retired,Erich Grimes,Tier 1,2019-01-09,Case-7-0011U00000KuFXPQA3,Low,2020-05-25
0011U00000KuFXRQA3,Growth,2018-11-26,Affluent Professionals,Sloane Holland,Tier 1,2019-01-09,Case-2-0011U00000KuFXRQA3,Medium,2020-05-25
0011U00000KuFXRQA3,Growth,2018-11-26,Affluent Professionals,Sloane Holland,Tier 1,2019-01-08,Case-3-0011U00000KuFXRQA3,Medium,2020-05-25
0011U00000KuFXSQA3,Growth,2019-01-11,Affluent Professionals,Zeph Mcmahon,Tier 3,2019-01-11,Case-6-0011U00000KuFXSQA3,High,2020-05-25
0011U00000KuFXUQA3,Growth,2018-11-19,Millennials,Britanni Garcia,Tier 1,2019-01-12,Case-7-0011U00000KuFXUQA3,High,2020-05-25
0011U00000KuFXWQA3,Growth,2018-11-20,Mass Market,Grant Cline,Tier 1,2019-01-13,Case-2-0011U00000KuFXWQA3,High,2020-05-25
0011U00000KuFXWQA3,Growth,2018-11-20,Mass Market,Grant Cline,Tier 1,2019-01-10,Case-3-0011U00000KuFXWQA3,Medium,2020-05-25
0011U00000KuFXZQA3,Aggressive Growth,2018-12-31,High Net Worth Families,Pamela Ayala,Tier 1,2019-01-12,Case-1-0011U00000KuFXZQA3,Medium,2020-05-25
0011U00000KuFXZQA3,Aggressive Growth,2018-12-31,High Net Worth Families,Pamela Ayala,Tier 1,2019-01-10,Case-2-0011U00000KuFXZQA3,Medium,2020-05-25
0011U00000KuFXaQAN,Aggressive Growth,2018-11-19,Millennials,Lucius Fry,Tier 2,2019-01-13,Case-4-0011U00000KuFXaQAN,Medium,2020-05-25
0011U00000KuFXaQAN,Aggressive Growth,2018-11-19,Millennials,Lucius Fry,Tier 2,2019-01-11,Case-5-0011U00000KuFXaQAN,High,2020-05-25
0011U00000KuFXbQAN,Aggressive Growth,2018-11-26,Millennials,Kato Vega,Tier 1,2019-01-11,Case-4-0011U00000KuFXbQAN,High,2020-05-25
0011U00000KuFXbQAN,Aggressive Growth,2018-11-26,Millennials,Kato Vega,Tier 1,2019-01-11,Case-5-0011U00000KuFXbQAN,Low,2020-05-25
0011U00000KuFXcQAN,Income,2018-11-25,Mass Market,Travis Jacobson,Tier 3,2019-01-08,Case-7-0011U00000KuFXcQAN,Medium,2020-05-25
0011U00000KuFXcQAN,Income,2018-11-25,Mass Market,Travis Jacobson,Tier 3,2019-01-10,Case-8-0011U00000KuFXcQAN,Medium,2020-05-25
0011U00000KuFXeQAN,Income,2018-11-25,Affluent Professionals,Ramona Hamilton,Tier 3,2019-01-11,Case-4-0011U00000KuFXeQAN,Medium,2020-05-25
0011U00000KuFXeQAN,Income,2018-11-25,Affluent Professionals,Ramona Hamilton,Tier 3,2019-01-13,Case-5-0011U00000KuFXeQAN,Low,2020-05-25
0011U00000KuFXgQAN,Balanced Growth,2018-11-09,Millennials,Palmer Macdonald,Tier 1,2019-01-12,Case-4-0011U00000KuFXgQAN,High,2020-05-25
0011U00000KuFXgQAN,Balanced Growth,2018-11-09,Millennials,Palmer Macdonald,Tier 1,2019-01-10,Case-5-0011U00000KuFXgQAN,High,2020-05-25
0011U00000KuFXhQAN,Balanced Growth,2018-11-24,Retired,Brett Beard,Tier 1,2019-01-09,Case-7-0011U00000KuFXhQAN,Medium,2020-05-25
0011U00000KuFXhQAN,Balanced Growth,2018-11-24,Retired,Brett Beard,Tier 1,2019-01-11,Case-8-0011U00000KuFXhQAN,Medium,2020-05-25
0011U00000KuFXkQAN,Aggressive Growth,2018-11-03,Affluent Professionals,Idola Le,Tier 2,2019-01-09,Case-5-0011U00000KuFXkQAN,High,2020-05-25
0011U00000KuFXkQAN,Aggressive Growth,2018-11-03,Affluent Professionals,Idola Le,Tier 2,2019-01-10,Case-6-0011U00000KuFXkQAN,High,2020-05-25
0011U00000KuFXlQAN,Growth,2018-11-17,Mass Market,Wade Greer,Tier 3,2019-01-13,Case-6-0011U00000KuFXlQAN,High,2020-05-25
0011U00000KuFXlQAN,Growth,2018-11-17,Mass Market,Wade Greer,Tier 3,2019-01-13,Case-7-0011U00000KuFXlQAN,Medium,2020-05-25
0011U00000KuFXmQAN,Balanced Growth,2018-12-18,Mass Market,Ferris King,Tier 3,2019-01-12,Case-3-0011U00000KuFXmQAN,Low,2020-05-25
0011U00000KuFXmQAN,Balanced Growth,2018-12-18,Mass Market,Ferris King,Tier 3,2019-01-09,Case-4-0011U00000KuFXmQAN,Medium,2020-05-25
0011U00000KuFXoQAN,Income,2018-11-07,High Net Worth Families,Meredith Lowe,Tier 1,2019-01-12,Case-2-0011U00000KuFXoQAN,Low,2020-05-25
0011U00000KuFXqQAN,Income,2018-11-05,Mass Market,Ryder Velez,Tier 2,2019-01-09,Case-3-0011U00000KuFXqQAN,Medium,2020-05-25
0011U00000KuFXuQAN,Aggressive Growth,2018-11-17,Mass Market,Marvin Garcia,Tier 1,2019-01-08,Case-4-0011U00000KuFXuQAN,Low,2020-05-25
0011U00000KuFXvQAN,Income,2018-11-24,High Net Worth Families,Odysseus Grimes,Tier 3,2019-01-10,Case-4-0011U00000KuFXvQAN,High,2020-05-25
0011U00000KuFXwQAN,Balanced Growth,2019-01-10,Retired,Genevieve Bauer,Tier 3,2019-01-13,Case-3-0011U00000KuFXwQAN,High,2020-05-25
0011U00000KuFXwQAN,Balanced Growth,2019-01-10,Retired,Genevieve Bauer,Tier 3,2019-01-08,Case-4-0011U00000KuFXwQAN,High,2020-05-25
0011U00000KuFXyQAN,Growth,2019-01-06,Millennials,Tatum Holt,Tier 3,2019-01-10,Case-4-0011U00000KuFXyQAN,Low,2020-05-25
0011U00000KuFXyQAN,Growth,2019-01-06,Millennials,Tatum Holt,Tier 3,2019-01-08,Case-5-0011U00000KuFXyQAN,Medium,2020-05-25
0011U00000KuFXzQAN,Growth,2018-11-25,Millennials,Seth Frost,Tier 1,2019-01-10,Case-2-0011U00000KuFXzQAN,Medium,2020-05-25
0011U00000KuFXzQAN,Growth,2018-11-25,Millennials,Seth Frost,Tier 1,2019-01-13,Case-3-0011U00000KuFXzQAN,Medium,2020-05-25
0011U00000KuFY1QAN,Growth,2018-11-26,Mass Market,Yoko Marshall,Tier 1,2019-01-12,Case-4-0011U00000KuFY1QAN,Low,2020-05-25
0011U00000KuFY3QAN,Aggressive Growth,2019-01-05,High Net Worth Families,Amos May,Tier 2,2019-01-12,Case-2-0011U00000KuFY3QAN,Low,2020-05-25
0011U00000KuFY3QAN,Aggressive Growth,2019-01-05,High Net Worth Families,Amos May,Tier 2,2019-01-12,Case-3-0011U00000KuFY3QAN,Medium,2020-05-25
0011U00000KuFY4QAN,Aggressive Growth,2018-11-21,High Net Worth Families,Marny Ford,Tier 1,2019-01-11,Case-3-0011U00000KuFY4QAN,Low,2020-05-25
0011U00000KuFY5QAN,Aggressive Growth,2018-11-26,Millennials,Declan Leblanc,Tier 3,2019-01-13,Case-1-0011U00000KuFY5QAN,Medium,2020-05-25
0011U00000KuFY5QAN,Aggressive Growth,2018-11-26,Millennials,Declan Leblanc,Tier 3,2019-01-10,Case-2-0011U00000KuFY5QAN,Low,2020-05-25
0011U00000KuFY6QAN,Growth,2018-11-20,Millennials,Angelica Herman,Tier 2,2019-01-08,Case-2-0011U00000KuFY6QAN,Medium,2020-05-25
0011U00000KuFY6QAN,Growth,2018-11-20,Millennials,Angelica Herman,Tier 2,2019-01-12,Case-3-0011U00000KuFY6QAN,Low,2020-05-25
0011U00000KuFY7QAN,Income,2018-11-20,Mass Market,Brielle Lynn,Tier 2,2019-01-11,Case-4-0011U00000KuFY7QAN,Medium,2020-05-25
0011U00000KuFY7QAN,Income,2018-11-20,Mass Market,Brielle Lynn,Tier 2,2019-01-12,Case-5-0011U00000KuFY7QAN,Medium,2020-05-25
0011U00000KuFY8QAN,Income,2018-11-10,Retired,Ava Bean,Tier 2,2019-01-09,Case-0-0011U00000KuFY8QAN,Medium,2020-05-25
0011U00000KuFYBQA3,Growth,2018-11-25,Affluent Professionals,Lynn Davidson,Tier 2,2019-01-12,Case-4-0011U00000KuFYBQA3,Medium,2020-05-25
0011U00000KuFYBQA3,Growth,2018-11-25,Affluent Professionals,Lynn Davidson,Tier 2,2019-01-12,Case-5-0011U00000KuFYBQA3,Low,2020-05-25
0011U00000KuFYCQA3,Aggressive Growth,2018-11-15,Millennials,Evangeline Christian,Tier 2,2019-01-11,Case-5-0011U00000KuFYCQA3,Medium,2020-05-25
0011U00000KuFYCQA3,Aggressive Growth,2018-11-15,Millennials,Evangeline Christian,Tier 2,2019-01-10,Case-6-0011U00000KuFYCQA3,Medium,2020-05-25
0011U00000KuFYEQA3,Income,2018-11-06,Retired,Reuben Roman,Tier 1,2019-01-09,Case-3-0011U00000KuFYEQA3,High,2020-05-25
0011U00000KuFYFQA3,Aggressive Growth,2018-11-26,Affluent Professionals,Chloe Knox,Tier 1,2019-01-12,Case-5-0011U00000KuFYFQA3,Low,2020-05-25
0011U00000KuFYIQA3,Growth,2018-11-26,High Net Worth Families,Rigel Joyner,Tier 1,2019-01-10,Case-4-0011U00000KuFYIQA3,Medium,2020-05-25
0011U00000KuFYIQA3,Growth,2018-11-26,High Net Worth Families,Rigel Joyner,Tier 1,2019-01-10,Case-5-0011U00000KuFYIQA3,High,2020-05-25
0011U00000KuFYKQA3,Aggressive Growth,2018-11-22,Millennials,Cathleen Mcconnell,Tier 1,2019-01-09,Case-1-0011U00000KuFYKQA3,Medium,2020-05-25
0011U00000KuFYKQA3,Aggressive Growth,2018-11-22,Millennials,Cathleen Mcconnell,Tier 1,2019-01-11,Case-2-0011U00000KuFYKQA3,Low,2020-05-25
0011U00000KuFYMQA3,Aggressive Growth,2018-11-21,Affluent Professionals,Ainsley Cotton,Tier 1,2019-01-08,Case-4-0011U00000KuFYMQA3,Medium,2020-05-25
0011U00000KuFYMQA3,Aggressive Growth,2018-11-21,Affluent Professionals,Ainsley Cotton,Tier 1,2019-01-08,Case-5-0011U00000KuFYMQA3,Medium,2020-05-25
0011U00000KuFYNQA3,Balanced Growth,2018-11-21,Affluent Professionals,Raphael Snider,Tier 3,2019-01-08,Case-5-0011U00000KuFYNQA3,Medium,2020-05-25
0011U00000KuFYOQA3,Income,2018-11-14,Millennials,Slade Lindsay,Tier 2,2019-01-11,Case-2-0011U00000KuFYOQA3,Medium,2020-05-25
0011U00000KuFYOQA3,Income,2018-11-14,Millennials,Slade Lindsay,Tier 2,2019-01-12,Case-3-0011U00000KuFYOQA3,Low,2020-05-25
0011U00000KuFYPQA3,Growth,2018-11-19,Mass Market,Roth Guy,Tier 2,2019-01-13,Case-2-0011U00000KuFYPQA3,Medium,2020-05-25
0011U00000KuFYVQA3,Income,2019-01-06,Affluent Professionals,Kirestin Ratliff,Tier 1,2019-01-10,Case-5-0011U00000KuFYVQA3,Medium,2020-05-25
0011U00000KuFYVQA3,Income,2019-01-06,Affluent Professionals,Kirestin Ratliff,Tier 1,2019-01-13,Case-6-0011U00000KuFYVQA3,Low,2020-05-25
0011U00000KuFYWQA3,Aggressive Growth,2018-11-26,High Net Worth Families,Brian Williamson,Tier 1,2019-01-09,Case-3-0011U00000KuFYWQA3,Low,2020-05-25
0011U00000KuFYWQA3,Aggressive Growth,2018-11-26,High Net Worth Families,Brian Williamson,Tier 1,2019-01-10,Case-4-0011U00000KuFYWQA3,Low,2020-05-25
0011U00000KuFYXQA3,Balanced Growth,2018-11-25,Millennials,Tarik Mercer,Tier 3,2019-01-10,Case-6-0011U00000KuFYXQA3,Medium,2020-05-25
0011U00000KuFYXQA3,Balanced Growth,2018-11-25,Millennials,Tarik Mercer,Tier 3,2019-01-12,Case-7-0011U00000KuFYXQA3,High,2020-05-25
0011U00000KuFYZQA3,Income,2019-01-12,Retired,Clementine Hughes,Tier 1,2019-01-13,Case-2-0011U00000KuFYZQA3,Medium,2020-05-25
0011U00000KuFYaQAN,Income,2018-11-23,Mass Market,Drake Branch,Tier 2,2019-01-10,Case-5-0011U00000KuFYaQAN,High,2020-05-25
0011U00000KuFYbQAN,Aggressive Growth,2018-10-28,Millennials,Penelope Briggs,Tier 3,2019-01-10,Case-4-0011U00000KuFYbQAN,Medium,2020-05-25
0011U00000KuFYcQAN,Aggressive Growth,2018-11-17,Retired,Basil Moran,Tier 3,2019-01-09,Case-3-0011U00000KuFYcQAN,Low,2020-05-25
0011U00000KuFYdQAN,Growth,2018-11-07,Mass Market,Yuri Hensley,Tier 3,2019-01-08,Case-0-0011U00000KuFYdQAN,High,2020-05-25
0011U00000KuFYdQAN,Growth,2018-11-07,Mass Market,Yuri Hensley,Tier 3,2019-01-13,Case-1-0011U00000KuFYdQAN,Medium,2020-05-25
0011U00000KuFYfQAN,Aggressive Growth,2018-11-22,Mass Market,Raja Oneal,Tier 3,2019-01-11,Case-5-0011U00000KuFYfQAN,Low,2020-05-25
0011U00000KuFYgQAN,Balanced Growth,2018-11-24,Millennials,Edan Downs,Tier 1,2019-01-13,Case-4-0011U00000KuFYgQAN,Medium,2020-05-25
0011U00000KuFYiQAN,Aggressive Growth,2018-11-13,Retired,Selma Dodson,Tier 2,2019-01-10,Case-6-0011U00000KuFYiQAN,High,2020-05-25
0011U00000KuFYjQAN,Balanced Growth,2019-01-11,Affluent Professionals,Abraham Tyler,Tier 3,2019-01-12,Case-3-0011U00000KuFYjQAN,Medium,2020-05-25
0011U00000KuFYjQAN,Balanced Growth,2019-01-11,Affluent Professionals,Abraham Tyler,Tier 3,2019-01-09,Case-4-0011U00000KuFYjQAN,Medium,2020-05-25
0011U00000KuFYkQAN,Balanced Growth,2019-01-11,Affluent Professionals,Harlan Noel,Tier 1,2019-01-11,Case-6-0011U00000KuFYkQAN,Low,2020-05-25
0011U00000KuFYkQAN,Balanced Growth,2019-01-11,Affluent Professionals,Harlan Noel,Tier 1,2019-01-08,Case-7-0011U00000KuFYkQAN,Low,2020-05-25
0011U00000KuFYlQAN,Income,2018-11-30,High Net Worth Families,Maryam Ramsey,Tier 3,2019-01-12,Case-3-0011U00000KuFYlQAN,Medium,2020-05-25
0011U00000KuFYnQAN,Balanced Growth,2018-11-21,Millennials,Kirestin Wilkins,Tier 1,2019-01-10,Case-3-0011U00000KuFYnQAN,High,2020-05-25
0011U00000KuFYnQAN,Balanced Growth,2018-11-21,Millennials,Kirestin Wilkins,Tier 1,2019-01-10,Case-4-0011U00000KuFYnQAN,Medium,2020-05-25
0011U00000KuFYoQAN,Income,2018-12-24,Affluent Professionals,Calvin Rutledge,Tier 3,2019-01-12,Case-1-0011U00000KuFYoQAN,High,2020-05-25
0011U00000KuFYqQAN,Growth,2018-12-06,Retired,Abbot Gutierrez,Tier 1,2019-01-13,Case-2-0011U00000KuFYqQAN,Low,2020-05-25
0011U00000KuFYqQAN,Growth,2018-12-06,Retired,Abbot Gutierrez,Tier 1,2019-01-12,Case-3-0011U00000KuFYqQAN,Low,2020-05-25
0011U00000KuFYsQAN,Aggressive Growth,2019-01-10,Affluent Professionals,Gavin Blevins,Tier 3,2019-01-10,Case-1-0011U00000KuFYsQAN,High,2020-05-25
0011U00000KuFYvQAN,Aggressive Growth,2018-12-28,Millennials,Ruby Gay,Tier 2,2019-01-08,Case-1-0011U00000KuFYvQAN,High,2020-05-25
0011U00000KuFYwQAN,Balanced Growth,2018-12-28,Millennials,Armand Knowles,Tier 3,2019-01-10,Case-1-0011U00000KuFYwQAN,Low,2020-05-25
0011U00000KuFYwQAN,Balanced Growth,2018-12-28,Millennials,Armand Knowles,Tier 3,2019-01-11,Case-2-0011U00000KuFYwQAN,High,2020-05-25
0011U00000KuFXhQAN,Balanced Growth,2018-11-24,Retired,Brett Beard,Tier 1,2019-01-15,Case-9-0011U00000KuFXhQAN,Low,2020-05-25
0011U00000KuFXhQAN,Balanced Growth,2018-11-24,Retired,Brett Beard,Tier 1,2019-01-16,Case-10-0011U00000KuFXhQAN,High,2020-05-25
0011U00000KuFXSQA3,Growth,2019-01-11,Affluent Professionals,Zeph Mcmahon,Tier 3,2019-01-15,Case-7-0011U00000KuFXSQA3,Medium,2020-05-25
0011U00000KuFXSQA3,Growth,2019-01-11,Affluent Professionals,Zeph Mcmahon,Tier 3,2019-01-18,Case-8-0011U00000KuFXSQA3,Medium,2020-05-25
0011U00000KuFYgQAN,Balanced Growth,2018-11-24,Millennials,Edan Downs,Tier 1,2019-01-16,Case-5-0011U00000KuFYgQAN,Low,2020-05-25
0011U00000KuFXFQA3,Aggressive Growth,2018-11-18,Retired,Kristen Beasley,Tier 3,2019-01-16,Case-2-0011U00000KuFXFQA3,Medium,2020-05-25
0011U00000KuFXsQAN,Aggressive Growth,2018-11-24,Affluent Professionals,Harlan Mcgowan,Tier 3,2019-01-16,Case-7-0011U00000KuFXsQAN,Medium,2020-05-25
0011U00000KuFYCQA3,Aggressive Growth,2018-11-15,Millennials,Evangeline Christian,Tier 2,2019-01-20,Case-7-0011U00000KuFYCQA3,High,2020-05-25
0011U00000KuFYCQA3,Aggressive Growth,2018-11-15,Millennials,Evangeline Christian,Tier 2,2019-01-17,Case-8-0011U00000KuFYCQA3,Low,2020-05-25
0011U00000KuFYoQAN,Income,2018-12-24,Affluent Professionals,Calvin Rutledge,Tier 3,2019-01-17,Case-2-0011U00000KuFYoQAN,High,2020-05-25
