"EconomicActivity","Dependants","LOYALTY","Housing","POLICY_ID","NAME","Industry","LeadSource","Education","Relationship","LOCATION_ID","AGE","SocialGrade"
"Other","Two","Bronze","Semi-Detached	","PN03-026725","John J GRIFFIN","Public Administration and Defence","Online","High School","Married","LOC_ID_1043","","C1"
"Part-Time","One","Platinum","Detached","PN03-103376","Myrna r GRIFFIN","Manufacturing","Online","High School","Single","LOC_ID_1043","","C1"
"Full-Time","Four","Bronze","Semi-Detached	","PN04-021062","Shala a GRIFFIN","Professional, Scientific and Technical","Online","Higher Education","Single","LOC_ID_1043","","AB"
"Full-Time Student","Two","Bronze","Terraces","PN04-031628","Verna V GRIFFIN","Retail","Online","Higher Education","Single","LOC_ID_1043","","DE"
"Full-Time","Two","Silver","Semi-Detached	","PN04-032652","Vonnie GRIFFIN","Health","Online","Degree","Single","LOC_ID_1043","","C2"
"Full-Time","One","Platinum","Terraces","PN-041444","Bea HALL","Professional, Scientific and Technical","Online","Degree","Single","LOC_ID_1044","","AB"
"Full-Time","One","Gold","Detached","PN-068891","Danial D HALL","Retail","Online","High School","Single","LOC_ID_1044","","DE"
"Unemployed","Three","Bronze","Detached","PN-115319","Fanny HALL","Accommodation and Food","Online","Other","Widowed","LOC_ID_1044","","C2"
"Self Employed","One","Silver","Apartment","PN01-044624","Kathline HALL","Education","Refferal","Degree","Single","LOC_ID_1044","","C1"
"Full-Time","One","Bronze","Apartment","PN02-016770","Tammie HALL","Education","Online","Degree","Single","LOC_ID_1044","","C1"
"Full-Time","One","Gold","Detached","PN02-029710","Tonia HALL","Retail","Retail","High School","Single","LOC_ID_1044","","C2"
"Full-Time Student","Two","Gold","Semi-Detached	","PN02-041054","Xenia HALL","Transportation","Refferal","Higher Education","Single","LOC_ID_1044","","DE"
"Self Employed","One","Gold","Detached","PN02-052890","Agueda HARDY","Education","Refferal","Degree","Single","LOC_ID_1044","","AB"
"Self Employed","One","Silver","Terraces","PN02-064220","Altha HARDY","Retail","Refferal","High School","Separated","LOC_ID_1044","","DE"
"Unemployed","Four","Bronze","Detached","PN02-095022","Carlie C HARDY","Professional, Scientific and Technical","Online","Other","Single","LOC_ID_1044","","AB"
"Unemployed","One","Silver","Apartment","PN02-110703","Charmaine C HARDY","Retail","Online","High School","Divorced","LOC_ID_1044","","C2"
"Retired","Four","Gold","Detached","PN03-045781","Huey HARDY","Education","Refferal","Degree","Widowed","LOC_ID_1044","","C1"
"Part-Time","One","Platinum","Terraces","PN03-086241","Kesha HARDY","Health","Online","Higher Education","Divorced","LOC_ID_1044","","C2"
"Self Employed","Four","Gold","Terraces","PN03-087047","Kindra K HARDY","Professional, Scientific and Technical","Refferal","Degree","Single","LOC_ID_1044","","AB"
"Full-Time","Two","Bronze","Semi-Detached	","PN-082295","Rosaura HARDY","Professional, Scientific and Technical","Online","High School","Single","LOC_ID_1045","","AB"
"Part-Time","Three","Silver","Detached","PN01-014465","Sumiko S HARDY","Public Administration and Defence","Event","Aprenticeship","Single","LOC_ID_1045","","AB"
"Full-Time","One","Silver","Apartment","PN03-036840","Bernie HARPER","Accommodation and Food","Online","High School","Divorced","LOC_ID_1045","","C2"
"Retired","Three","Silver","Apartment","PN01-114799","Teodora T HARPER","Public Administration and Defence","Event","Aprenticeship","Single","LOC_ID_1046","","DE"
"Retired","One","Platinum","Detached","PN01-120092","Van V HARPER","Professional, Scientific and Technical","Online","Higher Education","Same Sex","LOC_ID_1046","","AB"
"Unemployed","One","Platinum","Detached","PN02-002982","Wally HARPER","Health","Online","Degree","Single","LOC_ID_1046","","C2"
"Full-Time","One","Silver","Terraces","PN02-007973","Yuriko Y HARPER","Health","Refferal","Degree","Married","LOC_ID_1046","","DE"
"Full-Time","One","Bronze","Terraces","PN02-034974","Annemarie HARRELL","Accommodation and Food","Retail","High School","Separated","LOC_ID_1046","","C2"
"Self Employed","One","Bronze","Apartment","PN02-060662","Brenna B HARRELL","Transportation","Online","Other","Single","LOC_ID_1046","","DE"
"Full-Time","Two","Gold","Semi-Detached	","PN03-014258","Hayley HARRELL","Health","Event","Degree","Single","LOC_ID_1046","","C1"
"Part-Time","One","Platinum","Apartment","PN03-103452","Luciana HARRELL","Public Administration and Defence","Online","Aprenticeship","Single","LOC_ID_1046","","AB"
"Full-Time","One","Bronze","Semi-Detached	","PN03-111315","Marybelle M HARRELL","Transportation","Online","Other","Single","LOC_ID_1046","","C2"
"Retired","One","Gold","Semi-Detached	","PN-126501","Gino G HARRIS","Transportation","Online","Degree","Married","LOC_ID_1048","","DE"
"Full-Time","Two","Gold","Apartment","PN03-086782","Lyman HARRIS","Retail","Online","Higher Education","Married","LOC_ID_1048","","DE"
"Part-Time","Two","Gold","Semi-Detached	","PN-040642","Patti HARRIS","Health","Online","Degree","Same Sex","LOC_ID_1049","","C1"
"Full-Time","One","Bronze","Apartment","PN-040806","Pearle HARRIS","Education","Retail","Higher Education","Married","LOC_ID_1049","","C2"
"Full-Time","One","Platinum","Apartment","PN-085305","Wesley HARRIS","Public Administration and Defence","Event","Aprenticeship","Divorced","LOC_ID_1049","","C1"
"Full-Time","Three","Platinum","Apartment","PN-113503","Amanda HENDRIX","Public Administration and Defence","Refferal","Other","Married","LOC_ID_1049","","DE"
"Full-Time Student","Four","Silver","Apartment","PN-128398","Catharine HENDRIX","Manufacturing","Online","Higher Education","Single","LOC_ID_1049","","C1"
"Full-Time","Three","Bronze","Semi-Detached	","PN01-029585","Crystle C HENDRIX","Accommodation and Food","Online","High School","Single","LOC_ID_1049","","C2"
"Full-Time","One","Silver","Apartment","PN01-054045","Eleonor HENDRIX","Health","Refferal","Degree","Divorced","LOC_ID_1049","","AB"
"Full-Time","One","Platinum","Detached","PN01-092542","Jeramy HENDRIX","Health","Refferal","Degree","Single","LOC_ID_1049","","C1"
"Full-Time","One","Bronze","Semi-Detached	","PN01-093187","Jesus HENDRIX","Public Administration and Defence","Refferal","Degree","Single","LOC_ID_1049","","C1"
"Full-Time","One","Platinum","Detached","PN01-121912","Leigha HENDRIX","Professional, Scientific and Technical","Online","Higher Education","Married","LOC_ID_1049","","AB"
"Self Employed","One","Silver","Apartment","PN02-029375","Merlene HENDRIX","Education","Online","Degree","Married","LOC_ID_1049","","C2"
"Part-Time","One","Silver","Detached","PN02-119182","Truman HENDRIX","Retail","Refferal","High School","Divorced","LOC_ID_1049","","C2"
"Full-Time","Two","Gold","Detached","PN03-038408","Ariel HENRY","Retail","Retail","Higher Education","Widowed","LOC_ID_1049","","C2"
"Self Employed","Three","Platinum","Detached","PN03-092542","Duncan HENRY","Education","Online","Aprenticeship","Married","LOC_ID_1049","","C2"
"Full-Time","One","Bronze","Terraces","PN03-126160","Isabelle HENRY","Accommodation and Food","Event","High School","Married","LOC_ID_1049","","C2"
"Full-Time","Two","Platinum","Apartment","PN-073339","Lavern L HENRY","Health","Retail","Degree","Married","LOC_ID_105","","C2"
"Full-Time","Two","Bronze","Apartment","PN01-092042","Melisa M HENRY","Education","Online","Degree","Single","LOC_ID_105","","C1"
"Full-Time","Three","Bronze","Terraces","PN01-018725","Gita HODGE","Construction","Online","Other","Married","LOC_ID_1050","","C2"
"Other","One","Silver","Terraces","PN01-069244","Jeramy J HODGE","Health","Refferal","Higher Education","Single","LOC_ID_1050","","DE"
"Retired","Three","Platinum","Detached","PN01-127881","Leslie HODGE","Accommodation and Food","Online","High School","Married","LOC_ID_1050","","DE"
"Part-Time","One","Silver","Apartment","PN01-128411","Lilian L HODGE","Professional, Scientific and Technical","Refferal","Aprenticeship","Single","LOC_ID_1050","","AB"
"Full-Time","One","Silver","Detached","PN03-047873","Teodora HODGE","Public Administration and Defence","Refferal","Aprenticeship","Single","LOC_ID_1050","","DE"
"Self Employed","Three","Bronze","Detached","PN04-009172","Ayesha A HOPKINS","Professional, Scientific and Technical","Refferal","Aprenticeship","Single","LOC_ID_1050","","AB"
"Full-Time","One","Platinum","Detached","PN-004960","Crystle C HOPKINS","Manufacturing","Refferal","Aprenticeship","Married","LOC_ID_1051","","C2"
"Retired","One","Platinum","Apartment","PN-009587","Dannette HOPKINS","Professional, Scientific and Technical","Online","Degree","Single","LOC_ID_1051","","AB"
"Self Employed","One","Platinum","Semi-Detached	","PN-043768","Jamie HOPKINS","Health","Refferal","Higher Education","Divorced","LOC_ID_1051","","C2"
"Full-Time","One","Gold","Terraces","PN-094753","Megan HOPKINS","Retail","Refferal","High School","Divorced","LOC_ID_1051","","DE"
"Full-Time","One","Platinum","Apartment","PN-124683","Nichol HOPKINS","Retail","Event","High School","Married","LOC_ID_1051","","C2"
"Full-Time Student","One","Silver","Apartment","PN01-027528","Shanice S HOPKINS","Professional, Scientific and Technical","Online","Higher Education","Single","LOC_ID_1051","","AB"
"Unemployed","One","Gold","Apartment","PN01-093388","Chance HOUSE","Construction","Event","Higher Education","Single","LOC_ID_1051","","C2"
"Full-Time","One","Silver","Apartment","PN02-013486","Franchesca HOUSE","Transportation","Online","Degree","Divorced","LOC_ID_1051","","DE"
"Full-Time","One","Bronze","Apartment","PN02-014409","Gil HOUSE","Transportation","Online","Aprenticeship","Single","LOC_ID_1051","","DE"
"Retired","Two","Gold","Semi-Detached	","PN02-109483","Peggy HOUSE","Retail","Retail","High School","Single","LOC_ID_1051","","DE"
"Self Employed","One","Silver","Apartment","PN03-029876","Virgen HOUSE","Professional, Scientific and Technical","Refferal","Degree","Single","LOC_ID_1051","","AB"
"Full-Time","Three","Bronze","Apartment","PN03-059319","Bobbie B HUDSON","Retail","Online","High School","Married","LOC_ID_1051","","DE"
"Part-Time","One","Bronze","Detached","PN04-024635","Jeanette HUDSON","Water Supply","Event","High School","Single","LOC_ID_1051","","C2"
"Full-Time","One","Platinum","Detached","PN01-030027","Mindy M HUDSON","Retail","Refferal","Other","Single","LOC_ID_1052","","DE"
"Full-Time","One","Gold","Apartment","PN03-029872","Venice HUDSON","Manufacturing","Online","High School","Married","LOC_ID_1052","","AB"
"Self Employed","One","Bronze","Apartment","PN-006885","Damaris HUMPHREY","Education","Retail","Aprenticeship","Married","LOC_ID_1053","","C2"
"Full-Time","One","Gold","Semi-Detached	","PN-038471","Leopoldo HUMPHREY","Construction","Online","Degree","Single","LOC_ID_1053","","C2"
"Full-Time","Four","Bronze","Detached","PN-045828","Marty HUMPHREY","Professional, Scientific and Technical","Refferal","Degree","Single","LOC_ID_1053","","AB"
"Other","One","Platinum","Detached","PN-054246","Paige HUMPHREY","Education","Event","Degree","Single","LOC_ID_1053","","C1"
"Full-Time","One","Bronze","Apartment","PN-055739","Queenie HUMPHREY","Accommodation and Food","Event","High School","Single","LOC_ID_1053","","DE"
"Self Employed","One","Bronze","Semi-Detached	","PN-064752","Su HUMPHREY","Retail","Event","Higher Education","Married","LOC_ID_1053","","C2"
"Retired","One","Bronze","Terraces","PN-076083","Zofia Z HUMPHREY","Health","Online","Degree","Married","LOC_ID_1053","","C2"
"Self Employed","One","Silver","Apartment","PN-085541","Charmaine HUNT","Retail","Online","Higher Education","Single","LOC_ID_1053","","C1"
"Full-Time Student","One","Silver","Apartment","PN-088187","Crystal HUNT","Accommodation and Food","Event","Higher Education","Separated","LOC_ID_1053","","DE"
"Other","One","Platinum","Terraces","PN-091381","Dillon HUNT","Construction","Refferal","Aprenticeship","Married","LOC_ID_1053","","C2"
"Full-Time","Two","Gold","Detached","PN-123698","Patti HUNT","Health","Online","Higher Education","Widowed","LOC_ID_1053","","C2"
"Full-Time","One","Silver","Terraces","PN01-005925","Sherise HUNT","Education","Online","Degree","Married","LOC_ID_1053","","C2"
"Full-Time","One","Platinum","Apartment","PN01-014397","Tiffani T HUNT","Water Supply","Online","Degree","Single","LOC_ID_1053","","C2"
"Part-Time","One","Platinum","Apartment","PN01-024403","Anisha A HUNTER","Retail","Event","High School","Married","LOC_ID_1053","","DE"
"Self Employed","One","Platinum","Terraces","PN01-042457","Dina HUNTER","Health","Online","High School","Single","LOC_ID_1053","","DE"
"Full-Time","Three","Platinum","Terraces","PN01-055417","Jacquetta HUNTER","Public Administration and Defence","Online","Higher Education","Married","LOC_ID_1053","","AB"
"Full-Time Student","One","Platinum","Apartment","PN01-058663","Jonie HUNTER","Education","Online","Higher Education","Single","LOC_ID_1053","","C2"
"Full-Time","One","Silver","Detached","PN01-064752","Lawerence HUNTER","Education","Refferal","Degree","Single","LOC_ID_1053","","C1"
"Full-Time","Two","Bronze","Semi-Detached	","PN01-094072","Yadira HUNTER","Manufacturing","Online","Aprenticeship","Single","LOC_ID_1053","","DE"
"Full-Time","Two","Bronze","Apartment","PN02-003528","Le L JOHNS","Accommodation and Food","Event","Higher Education","Single","LOC_ID_1053","","C2"
"Full-Time","Three","Bronze","Terraces","PN02-012995","Mellisa M JOHNS","Transportation","Online","Degree","Widowed","LOC_ID_1053","","DE"
"Full-Time","One","Silver","Terraces","PN02-016803","Nathanael t JOHNS","Professional, Scientific and Technical","Online","Degree","Single","LOC_ID_1053","","AB"
"Full-Time","One","Silver","Semi-Detached	","PN02-027143","Setsuko S JOHNS","Professional, Scientific and Technical","Online","Aprenticeship","Separated","LOC_ID_1053","","AB"
"Full-Time","One","Silver","Apartment","PN02-031176","Sung S JOHNS","Public Administration and Defence","Online","Other","Single","LOC_ID_1053","","C2"
"Full-Time","One","Platinum","Apartment","PN02-031912","Tawnya T JOHNS","Professional, Scientific and Technical","Online","Degree","Single","LOC_ID_1053","","AB"
"Unemployed","Two","Bronze","Apartment","PN02-033370","Van JOHNS","Public Administration and Defence","Online","High School","Single","LOC_ID_1053","","AB"
"Full-Time Student","One","Platinum","Semi-Detached	","PN02-035361","Zofia JOHNS","Public Administration and Defence","Event","Aprenticeship","Married","LOC_ID_1053","","C1"
"Full-Time","Three","Bronze","Detached","PN02-035404","Abe JORDAN","Accommodation and Food","Refferal","High School","Single","LOC_ID_1053","","DE"
"Part-Time","Three","Gold","Apartment","PN02-055728","Codi C JORDAN","Education","Online","Aprenticeship","Single","LOC_ID_1053","","C1"
"Full-Time","One","Platinum","Apartment","PN02-071066","Galina JORDAN","Construction","Event","Aprenticeship","Single","LOC_ID_1053","","C1"
"Part-Time","One","Gold","Semi-Detached	","PN02-080575","Jeff JORDAN","Public Administration and Defence","Refferal","Degree","Married","LOC_ID_1053","","DE"
"Full-Time","One","Bronze","Apartment","PN02-093106","Lyda JORDAN","Health","Refferal","Higher Education","Single","LOC_ID_1053","","C1"
"Full-Time","Three","Platinum","Apartment","PN02-103514","Ronna JORDAN","Public Administration and Defence","Refferal","Aprenticeship","Single","LOC_ID_1053","","AB"
"Unemployed","One","Silver","Apartment","PN02-124010","Ardis A JOSEPH","Accommodation and Food","Online","Degree","Divorced","LOC_ID_1053","","DE"
"Full-Time","One","Platinum","Apartment","PN03-006886","Classie JOSEPH","Education","Online","Degree","Single","LOC_ID_1053","","C1"
"Full-Time Student","One","Bronze","Terraces","PN03-031176","Hassan JOSEPH","Professional, Scientific and Technical","Event","Degree","Married","LOC_ID_1053","","AB"
"Self Employed","One","Platinum","Semi-Detached	","PN03-036894","Janise J JOSEPH","Public Administration and Defence","Refferal","Degree","Divorced","LOC_ID_1053","","AB"
"Full-Time","Two","Bronze","Terraces","PN03-045828","Lashawna L JOSEPH","Accommodation and Food","Retail","Higher Education","Single","LOC_ID_1053","","DE"
"Part-Time","Four","Gold","Apartment","PN03-058846","Natalya JOSEPH","Accommodation and Food","Refferal","High School","Divorced","LOC_ID_1053","","DE"
"Full-Time Student","Two","Gold","Apartment","PN03-081604","Yuki JOSEPH","Health","Online","Degree","Widowed","LOC_ID_1053","","C1"
"Full-Time","One","Platinum","Terraces","PN03-093505","Concha KNOX","Public Administration and Defence","Refferal","Degree","Married","LOC_ID_1053","","C1"
"Full-Time","One","Gold","Detached","PN03-097737","Drema KNOX","Accommodation and Food","Online","High School","Separated","LOC_ID_1053","","C2"
"Self Employed","One","Silver","Terraces","PN03-104029","Ione KNOX","Manufacturing","Online","Degree","Single","LOC_ID_1053","","DE"
"Other","One","Bronze","Detached","PN03-113682","Kum K KNOX","Manufacturing","Online","Higher Education","Widowed","LOC_ID_1053","","C1"
"Full-Time","One","Bronze","Semi-Detached	","PN04-005062","Omar KNOX","Professional, Scientific and Technical","Online","Degree","Single","LOC_ID_1053","","AB"
"Full-Time","One","Silver","Semi-Detached	","PN04-007888","Rayford KNOX","Public Administration and Defence","Online","High School","Single","LOC_ID_1053","","C2"
"Full-Time","One","Bronze","Apartment","PN04-012995","Roselia KNOX","Health","Refferal","Degree","Single","LOC_ID_1053","","C1"
"Part-Time","One","Silver","Terraces","PN04-015807","Selena KNOX","Retail","Online","Higher Education","Single","LOC_ID_1053","","C2"
"Full-Time","Two","Platinum","Terraces","PN04-023087","Violeta V KNOX","Education","Online","Degree","Divorced","LOC_ID_1053","","C1"
"Retired","One","Bronze","Apartment","PN-067024","Dollie LINDSEY","Retail","Refferal","Other","Single","LOC_ID_1054","","C2"
"Self Employed","One","Platinum","Terraces","PN-084201","Fiona F LINDSEY","Retail","Refferal","High School","Single","LOC_ID_1054","","DE"
"Part-Time","One","Silver","Terraces","PN-091416","Francesca LINDSEY","Accommodation and Food","Online","High School","Single","LOC_ID_1054","","C2"
"Part-Time","One","Silver","Detached","PN01-042153","James LINDSEY","Health","Refferal","High School","Single","LOC_ID_1054","","DE"
"Full-Time","One","Gold","Apartment","PN02-065633","Mee M LINDSEY","Transportation","Event","Aprenticeship","Divorced","LOC_ID_1054","","C2"
"Retired","One","Platinum","Apartment","PN03-015491","Rivka LINDSEY","Public Administration and Defence","Event","High School","Married","LOC_ID_1054","","C2"
"Self Employed","One","Silver","Apartment","PN04-022422","Yuriko LINDSEY","Construction","Online","Aprenticeship","Single","LOC_ID_1054","","DE"
"Unemployed","One","Platinum","Detached","PN04-022626","Zana LINDSEY","Transportation","Online","Other","Single","LOC_ID_1054","","C2"
"Retired","One","Silver","Terraces","PN04-029072","Alfonzo A LITTLE","Accommodation and Food","Online","Higher Education","Single","LOC_ID_1054","","C2"
"Full-Time","One","Silver","Detached","PN-004233","Anette LITTLE","Construction","Refferal","High School","Single","LOC_ID_1055","","C1"
"Full-Time","One","Gold","Apartment","PN03-053064","Jesus LITTLE","Accommodation and Food","Online","High School","Single","LOC_ID_1055","","C2"
"Other","One","Bronze","Terraces","PN01-076503","Olivia LITTLE","Public Administration and Defence","Online","High School","Divorced","LOC_ID_1056","","C2"
"Other","One","Platinum","Apartment","PN02-033361","Sharee a LITTLE","Retail","Refferal","Other","Separated","LOC_ID_1056","","C2"
"Full-Time","Four","Platinum","Apartment","PN03-001162","Trinity LITTLE","Manufacturing","Online","High School","Single","LOC_ID_1056","","AB"
"Part-Time","Two","Silver","Detached","PN02-011253","Elodia E LIVINGSTON","Professional, Scientific and Technical","Online","Degree","Single","LOC_ID_1057","","AB"
"Self Employed","One","Silver","Detached","PN02-037562","Francine LIVINGSTON","Retail","Online","High School","Single","LOC_ID_1057","","DE"
"Retired","Three","Silver","Apartment","PN02-039306","Fredericka LIVINGSTON","Public Administration and Defence","Event","High School","Single","LOC_ID_1057","","DE"
"Self Employed","One","Silver","Detached","PN02-077966","Gerald LIVINGSTON","Retail","Online","High School","Divorced","LOC_ID_1057","","C2"
"Self Employed","Two","Bronze","Apartment","PN04-024585","Latosha LIVINGSTON","Transportation","Online","Aprenticeship","Separated","LOC_ID_1057","","DE"
"Part-Time","One","Silver","Apartment","PN-025288","Madison LIVINGSTON","Education","Online","Higher Education","Separated","LOC_ID_1058","","C1"
"Full-Time","Two","Silver","Apartment","PN-089674","Renato R LIVINGSTON","Accommodation and Food","Refferal","Higher Education","Single","LOC_ID_1058","","DE"
"Full-Time","One","Bronze","Terraces","PN01-054191","Avery y LONG","Retail","Online","Higher Education","Single","LOC_ID_1058","","C2"
"Self Employed","One","Gold","Apartment","PN02-013455","Jae LONG","Professional, Scientific and Technical","Event","Degree","Single","LOC_ID_1058","","AB"
"Full-Time","Three","Gold","Detached","PN02-063865","Leonardo LONG","Accommodation and Food","Refferal","High School","Single","LOC_ID_1058","","C2"
"Self Employed","Two","Platinum","Terraces","PN02-064210","Lewis LONG","Education","Refferal","Degree","Single","LOC_ID_1058","","C2"
"Other","Two","Bronze","Apartment","PN02-071329","Lisha LONG","Health","Online","Degree","Married","LOC_ID_1058","","C1"
"Full-Time","One","Gold","Terraces","PN02-082794","Lourie LONG","Accommodation and Food","Online","High School","Single","LOC_ID_1058","","DE"
"Self Employed","One","Gold","Detached","PN02-121808","Mitsue LONG","Retail","Online","High School","Single","LOC_ID_1058","","C2"
"Retired","Two","Gold","Apartment","PN02-124225","Morgan LONG","Accommodation and Food","Event","Higher Education","Single","LOC_ID_1058","","C2"
"Full-Time","Two","Silver","Apartment","PN03-041192","Rosann LONG","Education","Online","Higher Education","Single","LOC_ID_1058","","C2"
"Part-Time","Two","Bronze","Terraces","PN03-048016","Sasha S LONG","Education","Refferal","Higher Education","Single","LOC_ID_1058","","C1"
"Retired","One","Bronze","Apartment","PN03-049872","Seymour LONG","Health","Online","Degree","Single","LOC_ID_1058","","C1"
"Self Employed","One","Platinum","Detached","PN03-050983","Shanice LONG","Retail","Refferal","High School","Divorced","LOC_ID_1058","","C2"
"Unemployed","Two","Platinum","Apartment","PN03-128623","Candra LUCAS","Accommodation and Food","Event","High School","Single","LOC_ID_1058","","C2"
"Full-Time","One","Bronze","Apartment","PN04-008144","Carylon LUCAS","Accommodation and Food","Online","High School","Divorced","LOC_ID_1058","","DE"
"Other","One","Platinum","Semi-Detached	","PN04-014198","Cherrie LUCAS","Education","Online","Aprenticeship","Divorced","LOC_ID_1058","","C2"
"Full-Time","One","Bronze","Terraces","PN01-010168","Gertrudis G LUCAS","Professional, Scientific and Technical","Online","Degree","Single","LOC_ID_1059","","AB"
"Part-Time","One","Silver","Terraces","PN01-049682","Jackson LUCAS","Retail","Refferal","High School","Single","LOC_ID_1059","","C2"
"Full-Time","One","Gold","Apartment","PN01-106536","Karlyn LUCAS","Retail","Online","High School","Single","LOC_ID_1059","","C2"
"Full-Time Student","One","Platinum","Semi-Detached	","PN02-019883","Linsey LUCAS","Manufacturing","Online","Aprenticeship","Widowed","LOC_ID_1059","","DE"
"Full-Time","Two","Platinum","Detached","PN03-119668","Rasheeda LUCAS","Public Administration and Defence","Event","Degree","Married","LOC_ID_1059","","C1"
"Full-Time","Two","Gold","Apartment","PN04-018248","Selena LUCAS","Manufacturing","Online","Aprenticeship","Single","LOC_ID_1059","","C1"
"Full-Time Student","Four","Silver","Terraces","PN-040629","Valentine LUCAS","Health","Refferal","Degree","Married","LOC_ID_106","","C2"
"Full-Time","Three","Platinum","Detached","PN01-059593","Damon MASON","Health","Online","Degree","Single","LOC_ID_106","","C2"
"Full-Time","Two","Bronze","Semi-Detached	","PN01-114805","Flavia MASON","Transportation","Online","Other","Single","LOC_ID_106","","C2"
"Self Employed","One","Bronze","Apartment","PN04-001092","Ona MASON","Public Administration and Defence","Online","Aprenticeship","Married","LOC_ID_106","","AB"
"Self Employed","Two","Platinum","Semi-Detached	","PN04-022209","Rachael MASON","Professional, Scientific and Technical","Online","Higher Education","Single","LOC_ID_106","","AB"
"Full-Time","One","Platinum","Apartment","PN01-014515","Toby MASON","Education","Online","Degree","Divorced","LOC_ID_1060","","C1"
"Full-Time","Two","Platinum","Detached","PN-032173","Gerri MATTHEWS","Retail","Online","High School","Married","LOC_ID_1061","","C2"
"Other","One","Bronze","Apartment","PN01-015729","Olene MATTHEWS","Manufacturing","Refferal","Higher Education","Single","LOC_ID_1061","","DE"
"Other","One","Gold","Apartment","PN01-065641","Sherill MATTHEWS","Retail","Online","Other","Single","LOC_ID_1061","","DE"
"Full-Time","One","Gold","Terraces","PN01-065802","Sherman MATTHEWS","Accommodation and Food","Refferal","High School","Separated","LOC_ID_1061","","DE"
"Full-Time","One","Gold","Terraces","PN01-070744","Tanika MATTHEWS","Retail","Event","High School","Single","LOC_ID_1061","","DE"
"Full-Time","Zero","Gold","Apartment","PN01-081451","Tracy MATTHEWS","Education","Online","Degree","Single","LOC_ID_1061","","C2"
"Full-Time Student","One","Platinum","Detached","PN01-083305","Valentine MATTHEWS","Retail","Event","High School","Married","LOC_ID_1061","","DE"
"Full-Time","Four","Platinum","Apartment","PN02-005007","Brynn B MCCLAIN","Construction","Online","Degree","Single","LOC_ID_1061","","C2"
"Full-Time","One","Bronze","Semi-Detached	","PN02-023215","Dario MCCLAIN","Transportation","Refferal","Other","Married","LOC_ID_1061","","DE"
"Part-Time","Two","Platinum","Apartment","PN02-083458","Huey MCCLAIN","Health","Refferal","Degree","Married","LOC_ID_1061","","C2"
"Full-Time","One","Bronze","Apartment","PN03-031321","Lorenza L MCCLAIN","Professional, Scientific and Technical","Retail","Degree","Single","LOC_ID_1061","","AB"
"Full-Time","One","Bronze","Apartment","PN03-041481","Marti M MCCLAIN","Public Administration and Defence","Online","Other","Single","LOC_ID_1061","","C2"
"Full-Time","One","Bronze","Apartment","PN03-051012","Maurice M MCCLAIN","Accommodation and Food","Refferal","High School","Single","LOC_ID_1061","","C2"
"Full-Time","Three","Silver","Apartment","PN03-122231","Tequila MCCLAIN","Professional, Scientific and Technical","Online","Higher Education","Single","LOC_ID_1061","","AB"
"Full-Time","One","Platinum","Apartment","PN04-032173","Asley MCCORMICK","Professional, Scientific and Technical","Refferal","High School","Divorced","LOC_ID_1061","","AB"
"Full-Time","One","Gold","Apartment","PN-003377","Benito MCCORMICK","Energy Supply","Online","Degree","Single","LOC_ID_1062","","C2"
"Full-Time","One","Gold","Terraces","PN-039798","Chasity MCCORMICK","Retail","Online","High School","Single","LOC_ID_1062","","DE"
"Full-Time Student","One","Silver","Apartment","PN-073199","Dottie D MCCORMICK","Accommodation and Food","Online","High School","Single","LOC_ID_1062","","DE"
"Full-Time","One","Platinum","Terraces","PN-120213","Jeffry MCCORMICK","Health","Online","Degree","Widowed","LOC_ID_1062","","C1"
"Full-Time Student","One","Bronze","Semi-Detached	","PN01-005297","Julianne l MCCORMICK","Professional, Scientific and Technical","Online","Degree","Single","LOC_ID_1062","","AB"
"Full-Time","One","Silver","Detached","PN01-014970","Kiley K MCCORMICK","Public Administration and Defence","Online","High School","Single","LOC_ID_1062","","DE"
"Retired","One","Gold","Terraces","PN01-042586","Lewis MCCORMICK","Construction","Online","Higher Education","Single","LOC_ID_1062","","C2"
"Full-Time","One","Silver","Apartment","PN01-050698","Lindsay MCCORMICK","Education","Online","Degree","Married","LOC_ID_1062","","C1"
"Part-Time","One","Bronze","Apartment","PN01-100062","Pandora n MCCORMICK","Accommodation and Food","Retail","Other","Single","LOC_ID_1062","","DE"
"Full-Time","One","Gold","Terraces","PN01-118715","Tanika T MCCORMICK","Manufacturing","Online","High School","Single","LOC_ID_1062","","AB"
"Full-Time","One","Silver","Terraces","PN01-120609","Terry MCCORMICK","Retail","Online","High School","Married","LOC_ID_1062","","DE"
"Unemployed","One","Platinum","Terraces","PN02-124969","Ermelinda E MCDOWELL","Construction","Online","Higher Education","Widowed","LOC_ID_1062","","C2"
"Full-Time","One","Gold","Detached","PN03-108345","Lorraine MCDOWELL","Public Administration and Defence","Online","High School","Separated","LOC_ID_1062","","DE"
"Full-Time","One","Silver","Apartment","PN-080213","Tena MCDOWELL","Health","Online","Aprenticeship","Divorced","LOC_ID_1063","","C1"
"Part-Time","Zero","Gold","Detached","PN-106082","Bradly MCGEE","Professional, Scientific and Technical","Online","Degree","Married","LOC_ID_1063","","AB"
"Unemployed","One","Platinum","Detached","PN-114624","Charmain MCGEE","Health","Online","Higher Education","Widowed","LOC_ID_1063","","C1"
"Self Employed","One","Bronze","Apartment","PN-123441","Cristine C MCGEE","Retail","Online","Higher Education","Single","LOC_ID_1063","","C2"
