"OWNERID","PRIMARYCONTACTGENDER","ACCOUNTNUMBER","OWNERSTATE","RISKTOLERANCE","INVESTMENTOBJECTIVES","AUMBUCKET","RELATIONSHIPSTARTDATE","RECORDTYPENAME","OWNERROLENAME","OWNERSMALLPHOTOURL","ID","HOUSEHOLDCOMPUTED","REVIEWFREQUENCY","BILLINGSTATE","CLIENTCATEGORYCUSTOM","NEXTREVIEW","OWNERNAME","NAME","LEADORCONTACTID","NETWORTHBUCKET","OWNEREMAIL","ROLLUPHOUSEHOLDNAME","AGEBUCKET","PHONE","SERVICEMODEL","FINANCIALINTERESTS","CREATEDDATE","OWNERCITY","MARKETINGSEGMENT","SAMPLEACCOUNT","INVESTMENTEXPERIENCE","LastProcessedDate","LASTINTERACTION","PRIMARYCONTACTEMAIL","BILLINGPOSTALCODE","CLIENTCATEGORY","LASTREVIEW","BILLINGCOUNTRY","YEARSSINCECLIENTBUCKET","CUSTOMERSEGMENT","HOUSEHOLDSIZETEXT","TOTALHELDFINACCTSPRIMARYOWNER","AUA","HOUSEHOLDSIZE","AUM","YEARSSINCECLIENT","TOTALAUMPRIMARYOWNER","TOTALHELDFINACCTSJOINTOWNER","PRIMARYCONTACTAGE","WALLETSHARE","HELDAWAY","DAYSSINCELASTINTERACTION","TOTALAUMJOINTOWNER","TOTALFINACCTSJOINTOWNER","TOTALNUMBEROFFINACCOUNTSPRIMARYOWNER","PRIMARYCONTACTANNUALINCOME","TOTALFINANCIALACCOUNTS","TOTALFINACCTSPRIMARYOWNER","NETWORTH"
"0051U000005L4E9QAK","Female","59","CA","Aggresive","Aggressive Growth","2. Between 500K and 2M","2017-12-20","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFY3QAN",,"Quarterly","FL","2 - Gold","2020-06-12","Brenda Banker","Amos May","0031U00000MrehdQAB","2. Between 500K and 2M","sunil.dixit@example.com",,"4. 50-69","244-119-9003","Tier 2","College Planning","2018-11-26","San Francisco","High Net Worth Families","false","Experienced","2020-05-25","2020-05-22","user-59@fsc-demo.com","32422","Gold","2020-05-07","USA","1. Less than 1 year","Mass Affluent","0",617251.67,617251.67,0,792547,0,792547,0,53,0.44,617251.67,3,0,0,5,164862,1409798.67,1409798.67,1409798.67
"0051U000005JQyrQAG","Female","60","IL","None","Aggressive Growth","2. Between 500K and 2M","2017-12-09","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFY4QAN",,"Annually","FL","2 - Gold","2018-12-20","Allen Advisor","Marny Ford","0031U00000MreheQAB","2. Between 500K and 2M","allen.advisor@example.com",,"3. 30-49","315-881-6342","Tier 1","Technology","2018-11-26","Chicago","High Net Worth Families","false","Moderately Inexperienced","2020-05-25","2018-11-21","user-60@fsc-demo.com","32420","Gold","2018-11-10","USA","1. Less than 1 year","Long Term Growth","0",522007.2,522007.2,0,775475,0,775475,0,40,0.4,522007.2,551,0,0,5,176630,1297482.2,1297482.2,1297482.2
"0051U000005L6eJQAS","Male","61","FL","Aggresive","Aggressive Growth","1. Less than 500K","2012-08-11","Household","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFY5QAN","Declan Leblanc","Annually","NY","2 - Gold","2018-12-19","Chelsea Advisor","Declan Leblanc","0011U00000KulRbQAJ","1. Less than 500K","ryan.dobson@example.com","Declan Leblanc","5. > 69","500-239-9540","Tier 3","College Planning","2018-11-26","Florida","Millennials","false","Moderately Inexperienced","2020-05-25","2018-11-26","user-61@fsc-demo.com","10452","Gold","2018-11-24","USA","4. Between 5 and 10 Years","Long Term Growth","4",376160,376160,4,68984,6,68984,0,74,0.85,376160,546,0,0,3,59535,445144,445144,445144
"0051U000005KhW6QAK","Male","63","NY","Aggresive","Income","1. Less than 500K","2013-10-17","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFY7QAN",,"Monthly","MI","2 - Gold","2018-12-26","Mark Garet","Brielle Lynn","0031U00000MrehfQAB","2. Between 500K and 2M","mark.garet@example.com",,"3. 30-49","356-540-9127","Tier 2","Fixed Income","2018-11-26","New York","Mass Market","false","Moderately Inexperienced","2020-05-25","2018-11-20","user-63@fsc-demo.com","48004","Gold","2018-10-28","USA","4. Between 5 and 10 Years","Long Term Growth","0",234054,234054,0,374796,5,374796,0,49,0.38,234054,552,0,0,4,179367,608850,608850,608850
"0051U000005JQyrQAG","Female","64","IL","Conservative","Income","6. NA","2013-08-15","Individual","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFY8QAN",,"Monthly","NJ","3 - Silver","2018-12-17","Allen Advisor","Ava Bean","0031U00000MrehgQAB","1. Less than 500K","allen.advisor@example.com",,"5. > 69","345-321-6636","Tier 2","Retirement","2018-11-26","Chicago","Retired","false","Moderately Inexperienced","2020-05-25","2018-11-10","user-64@fsc-demo.com","8030","Silver","2018-11-09","USA","4. Between 5 and 10 Years","Mass Affluent","0",408265,408265,0,0,5,0,0,70,1,408265,562,0,0,2,222819,408265,408265,408265
"0051U000005JQyrQAG","Male","66","IL","Moderate","Income","1. Less than 500K","2014-11-17","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFYAQA3",,"Monthly","MI","2 - Gold","2020-06-23","Allen Advisor","Asher House","0031U00000MrehhQAB","1. Less than 500K","allen.advisor@example.com",,"2. 18-29","257-690-2665","Tier 1","Municipal Bonds","2018-11-26","Chicago","Mass Market","false","Experienced","2020-05-25","2020-05-17","user-66@fsc-demo.com","48001","Gold","2020-05-16","USA","3. Between 3 and 5 years","Mass Affluent","0",61006,61006,0,113351,4,113351,0,23,0.35,61006,8,0,0,2,186790,174357,174357,174357
"0051U000005JQyrQAG","Male","67","IL","Moderate","Growth","2. Between 500K and 2M","2012-11-23","Household","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFYBQA3","Lynn Davidson","Monthly","CA","2 - Gold","2018-12-22","Allen Advisor","Lynn Davidson","0031U00000MrehiQAB","2. Between 500K and 2M","allen.advisor@example.com","Lynn Davidson","3. 30-49","315-613-9963","Tier 2","Retirement","2018-11-26","Chicago","Affluent Professionals","false","Moderately Inexperienced","2020-05-25","2018-11-25","user-67@fsc-demo.com","96109","Gold","2018-11-18","USA","4. Between 5 and 10 Years","Long Term Growth","2",398859.4,398859.4,2,542264,6,542264,0,32,0.42,398859.4,547,0,0,5,183222,941123.4,941123.4,941123.4
"0051U000005JQyrQAG","Male","68","IL","Moderate","Aggressive Growth","1. Less than 500K","2016-07-25","Household","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFYCQA3","Evangeline Christian","Quarterly","TX","1 - Platinum","2018-12-21","Allen Advisor","Evangeline Christian","0031U00000MrehjQAB","2. Between 500K and 2M","allen.advisor@example.com","Evangeline Christian","3. 30-49","229-915-8623","Tier 2","Technology","2018-11-26","Chicago","Millennials","false","Inexperienced","2020-05-25","2018-11-15","user-68@fsc-demo.com","75925","Platinum","2018-11-11","USA","2. Between 1 and 3 years","Mass Affluent","2",243288.9,243288.9,2,297915,2,297915,0,46,0.45,243288.9,557,0,0,2,194960,541203.9,541203.9,541203.9
"0051U000005KhW6QAK","Male","70","NY","None","Income","1. Less than 500K","2012-08-06","Individual","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFYEQA3",,"Annually","NY","3 - Silver","2018-12-17","Mark Garet","Reuben Roman","0031U00000MrehkQAB","1. Less than 500K","mark.garet@example.com",,"4. 50-69","386-338-6871","Tier 1","Fixed Income","2018-11-26","New York","Retired","false","Moderately Inexperienced","2020-05-25","2018-11-06","user-70@fsc-demo.com","10458","Silver","2018-11-04","USA","4. Between 5 and 10 Years","Long Term Growth","0",166411,166411,0,305991,6,305991,0,58,0.35,166411,566,0,0,2,249799,472402,472402,472402
"0051U000005JQyrQAG","Female","71","IL","Conservative","Aggressive Growth","1. Less than 500K","2017-10-08","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFYFQA3",,"Annually","TX","3 - Silver","2018-12-16","Allen Advisor","Chloe Knox","0011U00000KulRbQAJ","2. Between 500K and 2M","allen.advisor@example.com",,"3. 30-49","221-979-8718","Tier 1","Municipal Bonds","2018-11-26","Chicago","Affluent Professionals","false","Experienced","2020-05-25","2018-11-26","user-71@fsc-demo.com","75550","Silver","2018-11-13","USA","2. Between 1 and 3 years","Mass Affluent","0",328749,328749,0,342193,1,342193,0,43,0.49,328749,546,0,0,4,118905,670942,670942,670942
"0051U000005JQyrQAG","Male","72","IL","Moderate","Income","2. Between 500K and 2M","2009-02-02","Household","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFYGQA3","Caleb Mccray","Monthly","NY","3 - Silver","2018-12-21","Allen Advisor","Caleb Mccray","0031U00000MrehlQAB","2. Between 500K and 2M","allen.advisor@example.com","Caleb Mccray","3. 30-49","510-423-9526","Tier 2","Fixed Income","2018-11-26","Chicago","Millennials","false","Inexperienced","2020-05-25","2018-11-15","user-72@fsc-demo.com","10457","Silver","2018-11-06","USA","4. Between 5 and 10 Years","Mass Affluent","3",319409.6,319409.6,3,555203,9,555203,0,44,0.37,319409.6,557,0,0,4,147702,874612.6,874612.6,874612.6
"0051U000005L6eJQAS","Male","77","FL","Aggresive","Income","1. Less than 500K","2012-12-16","Household","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFYLQA3","Bell Solis","Annually","FL","2 - Gold","2018-12-18","Chelsea Advisor","Bell Solis","0031U00000MrehmQAB","2. Between 500K and 2M","ryan.dobson@example.com","Bell Solis","4. 50-69","338-272-7754","Tier 1","Fixed Income","2018-11-26","Florida","High Net Worth Families","false","Moderately Experienced","2020-05-25","2018-11-26","user-77@fsc-demo.com","32615","Gold","2018-11-23","USA","4. Between 5 and 10 Years","Mass Affluent","3",690587,690587,3,134254,5,134254,0,69,0.84,690587,546,0,0,4,159387,824841,824841,824841
"0051U000005L6eJQAS","Male","79","FL","Moderate","Balanced Growth","2. Between 500K and 2M","2011-10-12","Individual","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFYNQA3",,"Annually","NY","2 - Gold","2018-12-14","Chelsea Advisor","Raphael Snider","0031U00000MrehnQAB","2. Between 500K and 2M","ryan.dobson@example.com",,"3. 30-49","530-865-2256","Tier 3","Fixed Income","2018-11-26","Florida","Affluent Professionals","false","Inexperienced","2020-05-25","2018-11-21","user-79@fsc-demo.com","10457","Gold","2018-11-05","USA","4. Between 5 and 10 Years","Long Term Growth","0",506030.6,506030.6,0,716220,7,716220,0,46,0.41,506030.6,551,0,0,4,217885,1222250.6,1222250.6,1222250.6
"0051U000005JQyrQAG","Male","80","IL","Moderate","Income","1. Less than 500K","2016-03-05","Individual","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFYOQA3",,"Annually","FL","3 - Silver","2018-12-25","Allen Advisor","Slade Lindsay","0031U00000MrehoQAB","1. Less than 500K","allen.advisor@example.com",,"3. 30-49","483-761-4898","Tier 2","College Planning","2018-11-26","Chicago","Millennials","false","Moderately Inexperienced","2020-05-25","2018-11-14","user-80@fsc-demo.com","32422","Silver","2018-11-05","USA","2. Between 1 and 3 years","Long Term Growth","0",110442,110442,0,256884,2,256884,0,49,0.3,110442,558,0,0,3,54489,367326,367326,367326
"0051U000005JQyrQAG","Female","81","IL","Moderate","Growth","1. Less than 500K","2016-05-06","Household","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFYPQA3","Roth Guy","Quarterly","MI","1 - Platinum","2018-12-13","Allen Advisor","Roth Guy","0031U00000MrehpQAB","2. Between 500K and 2M","allen.advisor@example.com","Roth Guy","3. 30-49","330-904-4782","Tier 2","Technology","2018-11-26","Chicago","Mass Market","false","Experienced","2020-05-25","2018-11-19","user-81@fsc-demo.com","48002","Platinum","2018-11-18","USA","2. Between 1 and 3 years","Long Term Growth","2",230867,230867,2,450365,2,450365,0,45,0.34,230867,553,0,0,4,70141,681232,681232,681232
"0051U000005JQyrQAG","Female","82","IL","Moderate","Aggressive Growth","1. Less than 500K","2010-11-22","Individual","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFYQQA3",,"Monthly","TX","3 - Silver","2018-12-18","Allen Advisor","Autumn Perry","0031U00000MrehqQAB","2. Between 500K and 2M","allen.advisor@example.com",,"4. 50-69","300-616-9892","Tier 1","College Planning","2018-11-26","Chicago","Retired","false","Moderately Experienced","2020-05-25","2018-11-26","user-82@fsc-demo.com","75926","Silver","2018-11-12","USA","4. Between 5 and 10 Years","Mass Affluent","0",371354.4,371354.4,0,469923,8,469923,0,60,0.44,371354.4,546,0,0,3,129402,841277.4,841277.4,841277.4
"0051U000005L4E9QAK","Female","85","CA","None","Balanced Growth","1. Less than 500K","2013-07-11","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFYTQA3",,"Quarterly","IL","1 - Platinum","2020-06-20","Brenda Banker","Stephen Pittman","0031U00000MrehsQAB","1. Less than 500K","sunil.dixit@example.com",,"4. 50-69","453-541-3761","Tier 2","Retirement","2018-11-26","San Francisco","Millennials","false","Experienced","2020-05-25","2020-05-13","user-85@fsc-demo.com","61239","Platinum","2020-04-27","USA","4. Between 5 and 10 Years","Long Term Growth","0",126441,126441,0,155641,5,155641,0,64,0.45,126441,12,0,0,2,105547,282082,282082,282082
"0051U000005JQyrQAG","Female","87","IL","Moderate","Income","1. Less than 500K","2015-10-03","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFYVQA3",,"Annually","CA","3 - Silver","2020-05-26","Allen Advisor","Kirestin Ratliff","0011U00000KulRbQAJ","1. Less than 500K","allen.advisor@example.com",,"5. > 69","332-610-4289","Tier 1","Fixed Income","2018-11-26","Chicago","Affluent Professionals","false","Moderately Experienced","2020-05-25","2020-05-01","user-87@fsc-demo.com","96101","Silver","2020-04-30","USA","3. Between 3 and 5 years","Long Term Growth","0",160371.5,160371.5,0,315132,3,315132,0,70,0.34,160371.5,24,0,0,4,199686,475503.5,475503.5,475503.5
"0051U000005L4E9QAK","Male","91","CA","Moderate","Income","1. Less than 500K","2012-12-09","Household","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFYZQA3","Clementine Hughes","Quarterly","TX","2 - Gold","2020-05-20","Brenda Banker","Clementine Hughes","0031U00000MrehuQAB","2. Between 500K and 2M","sunil.dixit@example.com","Clementine Hughes","3. 30-49","436-582-9472","Tier 1","Retirement","2018-11-26","San Francisco","Retired","false","Inexperienced","2020-05-25","2020-05-03","user-91@fsc-demo.com","75926","Gold","2020-04-12","USA","4. Between 5 and 10 Years","Long Term Growth","2",408163,408163,2,237927,5,237927,0,38,0.63,408163,22,0,0,4,93990,646090,646090,646090
"0051U000005L4E9QAK","Male","92","CA","Moderate","Income","1. Less than 500K","2013-03-01","Individual","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFYaQAN",,"Monthly","NY","2 - Gold","2018-12-19","Brenda Banker","Drake Branch","0031U00000MrehvQAB","2. Between 500K and 2M","sunil.dixit@example.com",,"3. 30-49","289-783-6924","Tier 2","College Planning","2018-11-26","San Francisco","Mass Market","false","Moderately Inexperienced","2020-05-25","2018-11-23","user-92@fsc-demo.com","10455","Gold","2018-11-10","USA","4. Between 5 and 10 Years","Mass Affluent","0",670023,670023,0,59995,5,59995,0,37,0.92,670023,549,0,0,4,129372,730018,730018,730018
"0051U000005JQyrQAG","Male","93","IL","Moderate","Aggressive Growth","1. Less than 500K","2014-03-03","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFYbQAN",,"Annually","CA","3 - Silver","2018-12-24","Allen Advisor","Penelope Briggs","0031U00000MrehwQAB","2. Between 500K and 2M","allen.advisor@example.com",,"3. 30-49","429-480-7811","Tier 3","Municipal Bonds","2018-11-26","Chicago","Millennials","false","Experienced","2020-05-25","2018-10-28","user-93@fsc-demo.com","96140","Silver","2018-10-27","USA","3. Between 3 and 5 years","Long Term Growth","0",173150,173150,0,343198,4,343198,0,46,0.34,173150,575,0,0,3,163652,516348,516348,516348
"0051U000005JQyrQAG","Female","94","IL","Aggresive","Aggressive Growth","2. Between 500K and 2M","2018-01-03","Individual","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFYcQAN",,"Monthly","PA","2 - Gold","2018-12-11","Allen Advisor","Basil Moran","0011U00000KulRbQAJ","2. Between 500K and 2M","allen.advisor@example.com",,"4. 50-69","517-839-7663","Tier 3","Retirement","2018-11-26","Chicago","Retired","false","Inexperienced","2020-05-25","2018-11-17","user-94@fsc-demo.com","15411","Gold","2018-11-07","USA","1. Less than 1 year","Long Term Growth","0",468884.07,468884.07,0,585165,0,585165,0,60,0.44,468884.07,555,0,0,5,225219,1054049.07,1054049.07,1054049.07
"0051U000005KhW6QAK","Female","97","NY","None","Aggressive Growth","2. Between 500K and 2M","2012-07-12","Individual","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFYfQAN",,"Monthly","NY","2 - Gold","2018-12-24","Mark Garet","Raja Oneal","0031U00000MrehyQAB","2. Between 500K and 2M","mark.garet@example.com",,"3. 30-49","240-315-1447","Tier 3","Municipal Bonds","2018-11-26","New York","Mass Market","false","Moderately Experienced","2020-05-25","2018-11-22","user-97@fsc-demo.com","10459","Gold","2018-11-17","USA","4. Between 5 and 10 Years","Long Term Growth","0",321347.4,321347.4,0,580722,6,580722,0,32,0.36,321347.4,550,0,0,4,124265,902069.4,902069.4,902069.4
"0051U000005JQyrQAG","Female","99","IL","Conservative","Growth","1. Less than 500K","2009-11-13","Household","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFYhQAN","Quon Holcomb","Quarterly","IL","2 - Gold","2018-12-22","Allen Advisor","Quon Holcomb","0031U00000Mrei0QAB","1. Less than 500K","allen.advisor@example.com","Quon Holcomb","3. 30-49","374-488-4731","Tier 2","Municipal Bonds","2018-11-26","Chicago","High Net Worth Families","false","Moderately Inexperienced","2020-05-25","2018-11-05","user-99@fsc-demo.com","61235","Gold","2018-11-05","USA","4. Between 5 and 10 Years","Long Term Growth","3",110781,110781,3,62465,9,62465,0,33,0.64,110781,567,0,0,2,127458,173246,173246,173246
"0051U000005JQyrQAG","Female","101","IL","None","Balanced Growth","1. Less than 500K","2015-05-02","Household","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFYjQAN","Abraham Tyler","Monthly","TX","2 - Gold","2020-06-16","Allen Advisor","Abraham Tyler","0031U00000Mrei2QAB","2. Between 500K and 2M","allen.advisor@example.com","Abraham Tyler","3. 30-49","475-890-7982","Tier 3","Technology","2018-12-03","Chicago","Affluent Professionals","false","Experienced","2020-05-25","2020-05-15","user-101@fsc-demo.com","75410","Gold","2020-05-07","USA","3. Between 3 and 5 years","Long Term Growth","4",178374,178374,4,355526,3,355526,0,34,0.33,178374,10,0,0,4,52504,533900,533900,533900
"0051U000005L4E9QAK","Male","103","CA","Conservative","Income","1. Less than 500K","2015-10-20","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFYlQAN",,"Annually","NJ","1 - Platinum","2018-12-20","Brenda Banker","Maryam Ramsey","0031U00000Mrei3QAB","2. Between 500K and 2M","sunil.dixit@example.com",,"2. 18-29","369-329-2197","Tier 3","Energy","2018-12-03","San Francisco","High Net Worth Families","false","Experienced","2020-05-25","2018-11-30","user-103@fsc-demo.com","8032","Platinum","2018-11-13","USA","3. Between 3 and 5 years","Mass Affluent","0",186813.3,186813.3,0,348391,3,348391,0,24,0.35,186813.3,542,0,0,3,246672,535204.3,535204.3,535204.3
"0051U000005L6eJQAS","Female","105","FL","None","Balanced Growth","1. Less than 500K","2016-09-07","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFYnQAN",,"Annually","CA","2 - Gold","2018-12-31","Chelsea Advisor","Kirestin Wilkins","0031U00000Mrei5QAB","1. Less than 500K","ryan.dobson@example.com",,"2. 18-29","426-205-5460","Tier 1","Technology","2018-12-10","Florida","Millennials","false","Inexperienced","2020-05-25","2018-11-21","user-105@fsc-demo.com","96101","Gold","2018-11-13","USA","2. Between 1 and 3 years","Long Term Growth","0",66019,66019,0,135825,2,135825,0,24,0.33,66019,551,0,0,2,88841,201844,201844,201844
"0051U000005L4E9QAK","Female","106","CA","Moderate","Income","1. Less than 500K","2015-11-12","Individual","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFYoQAN",,"Monthly","NY","3 - Silver","2020-06-23","Brenda Banker","Calvin Rutledge","0011U00000KulRbQAJ","1. Less than 500K","sunil.dixit@example.com",,"3. 30-49","405-990-1171","Tier 3","Municipal Bonds","2018-12-10","San Francisco","Affluent Professionals","false","Moderately Experienced","2020-05-25","2020-05-24","user-106@fsc-demo.com","10451","Silver","2020-05-21","USA","3. Between 3 and 5 years","Long Term Growth","0",171128,171128,0,181343,3,181343,0,42,0.49,171128,1,0,0,2,119274,352471,352471,352471
"0051U000005JQyrQAG","Male","108","IL","None","Growth","1. Less than 500K","2017-02-12","Individual","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFYqQAN",,"Annually","NY","3 - Silver","2019-01-09","Allen Advisor","Abbot Gutierrez","0011U00000KulRbQAJ","1. Less than 500K","allen.advisor@example.com",,"2. 18-29","292-483-7761","Tier 1","Retirement","2018-12-10","Chicago","Retired","false","Experienced","2020-05-25","2018-12-06","user-108@fsc-demo.com","10452","Silver","2018-12-01","USA","2. Between 1 and 3 years","Long Term Growth","0",137166.3,137166.3,0,95248,1,95248,0,29,0.59,137166.3,536,0,0,2,181837,232414.3,232414.3,232414.3
"0051U000005JQyrQAG","Male","111","IL","Aggresive","Income","1. Less than 500K","2011-06-01","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFYtQAN",,"Monthly","CA","3 - Silver","2019-01-12","Allen Advisor","Fuller Cooley","0031U00000Mrei9QAB","1. Less than 500K","allen.advisor@example.com",,"2. 18-29","452-464-4358","Tier 3","College Planning","2018-12-24","Chicago","Retired","false","Experienced","2020-05-25","2018-12-20","user-111@fsc-demo.com","96101","Silver","2018-12-16","USA","4. Between 5 and 10 Years","Mass Affluent","0",252989,252989,0,104433,7,104433,0,28,0.71,252989,522,0,0,3,151456,357422,357422,357422
"0051U000005JQyrQAG","Male","112","IL","Moderate","Growth","1. Less than 500K","2014-06-26","Household","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFYuQAN","Mannix Best","Quarterly","MI","3 - Silver","2019-01-20","Allen Advisor","Mannix Best","0011U00000KulRbQAJ","1. Less than 500K","allen.advisor@example.com","Mannix Best","4. 50-69","261-809-2976","Tier 3","Municipal Bonds","2018-12-31","Chicago","High Net Worth Families","false","Experienced","2020-05-25","2018-12-25","user-112@fsc-demo.com","48002","Silver","2018-12-07","USA","3. Between 3 and 5 years","Long Term Growth","3",207249.5,207249.5,3,228547,4,228547,0,62,0.48,207249.5,517,0,0,3,241040,435796.5,435796.5,435796.5
"0051U000005JQyrQAG","Female","114","IL","Conservative","Balanced Growth","1. Less than 500K","2009-07-13","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFYwQAN",,"Annually","FL","2 - Gold","2019-01-30","Allen Advisor","Armand Knowles","0031U00000MreiBQAR","2. Between 500K and 2M","allen.advisor@example.com",,"2. 18-29","291-393-6291","Tier 3","College Planning","2018-12-31","Chicago","Millennials","false","Moderately Inexperienced","2020-05-25","2018-12-28","user-114@fsc-demo.com","32618","Gold","2018-12-28","USA","4. Between 5 and 10 Years","Long Term Growth","0",485926.8,485926.8,0,423042,9,423042,0,18,0.53,485926.8,514,0,0,5,223189,908968.8,908968.8,908968.8
"0051U000005L4E9QAK","Female","116","CA","Moderate","Growth","2. Between 500K and 2M","2012-04-09","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFYyQAN",,"Monthly","NY","3 - Silver","2020-06-11","Brenda Banker","Lacey Snider","0031U00000MreiDQAR","2. Between 500K and 2M","sunil.dixit@example.com",,"4. 50-69","295-626-3182","Tier 3","Fixed Income","2019-01-14","San Francisco","Affluent Professionals","false","Experienced","2020-05-25","2020-05-20","user-116@fsc-demo.com","10459","Silver","2020-05-11","USA","4. Between 5 and 10 Years","Mass Affluent","0",516915.2,516915.2,0,947385,6,947385,0,60,0.35,516915.2,5,0,0,5,143672,1464300.2,1464300.2,1464300.2
"0051U000005L6eJQAS","Female","117","FL","None","Balanced Growth","1. Less than 500K","2018-08-02","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFYzQAN",,"Monthly","CA","1 - Platinum","2019-02-24","Chelsea Advisor","Sacha Mooney","0031U00000MreiEQAR","1. Less than 500K","ryan.dobson@example.com",,"4. 50-69","337-342-6174","Tier 3","Municipal Bonds","2019-01-28","Florida","Retired","false","Moderately Inexperienced","2020-05-25","2019-01-21","user-117@fsc-demo.com","96104","Platinum","2019-01-10","USA","1. Less than 1 year","Mass Affluent","0",256009,256009,0,157098,0,157098,0,57,0.62,256009,490,0,0,3,195306,413107,413107,413107
"0051U000005JQyrQAG","Female","118","IL","Conservative","Income","2. Between 500K and 2M","2014-01-03","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFZ0QAN",,"Annually","PA","1 - Platinum","2020-06-19","Allen Advisor","Keaton Lang","0031U00000MreiFQAR","2. Between 500K and 2M","allen.advisor@example.com",,"3. 30-49","398-323-7524","Tier 1","Technology","2019-01-28","Chicago","Affluent Professionals","false","Moderately Inexperienced","2020-05-25","2020-05-18","user-118@fsc-demo.com","16210","Platinum","2020-05-12","USA","4. Between 5 and 10 Years","Long Term Growth","0",306790.3,306790.3,0,502759,5,502759,0,43,0.38,306790.3,7,0,0,3,131762,809549.3,809549.3,809549.3
"0051U000005JQyrQAG","Male","120","IL","Moderate","Growth","1. Less than 500K","2011-09-08","Individual","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFZ2QAN",,"Quarterly","FL","3 - Silver","2019-02-15","Allen Advisor","Ori Copeland","0011U00000KulRbQAJ","1. Less than 500K","allen.advisor@example.com",,"4. 50-69","344-932-4920","Tier 3","College Planning","2019-01-28","Chicago","High Net Worth Families","false","Experienced","2020-05-25","2019-01-10","user-120@fsc-demo.com","32618","Silver","2019-01-05","USA","4. Between 5 and 10 Years","Mass Affluent","0",180986.5,180986.5,0,187992,7,187992,0,69,0.49,180986.5,501,0,0,4,245327,368978.5,368978.5,368978.5
