"LEADSOURCE","OWNERID","OWNERSTATE","FORECASTCATEGORY","STAGENAME","CREATEDDATE","OWNERCITY","RECORDTYPENAME","ISCLOSED","ACCOUNTID","OWNERSMALLPHOTOURL","CLOSEDATE","ID","OPPORTUNITYOWNER","STAGE","ACCOUNTNAME","ISWON","LastProcessedDate","ACCOUNTMARKETINGSEGMENT","ACTIVITYID","ACCOUNTCLIENTCATEGORY","ACCOUNTINDUSTRY","OPPORTUNITYNAME","EXPECTEDREVENUE","STAGESORTORDER","AMOUNT","DAYSSINCELASTACTIVITY","TIMEINSTAGEDURATIONSECONDS","PROBABILITY","OPPORTUNITYAGE"
"Reseller","0051U000005JQyrQAG","IL","Closed","Closed Won","2019-08-16","Chicago","Channel (Partner)","true","001B000000SS4zmIAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-03-08","006B0000004t2XMIAY","Allen Advisor","Closed Won","Sabre Flight Explorer","true","2020-05-25","Retired","Activity 553","Silver","Education","Sabre Flight Explorer - 50k",50000,8,50000,787,35688634,100,326
"Reseller","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-10-05","Chicago","Simple","true","001B000000SS49CIAT","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-03-04","006B0000004t2VkIAI","Allen Advisor","Closed Lost","D & D Systems","false","2020-05-25","Retired","Activity 520","Platinum","Other","D & D Systems - 65k",65000,9,65000,717,33790162,0,276
"Fields Sales","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-07-07","Chicago","Channel (Partner)","true","001B000000SS4MRIA1","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-10-31","006B00000049VkDIAU","Allen Advisor","Closed Lost","Cree","false","2020-05-25","High Net Worth Families","Activity 307","Platinum","Entertainment","Cree - 65k",65000,9,65000,560,4808677,0,366
"Fields Sales","0051U000005L4E9QAK","CA","Best Case","Qualification","2019-11-06","San Francisco","Channel (Partner)","false","001B000000WJEHMIA5","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2020-10-27","006B00000049ViaIAE","Brenda Banker","Qualification","Plan Express","false","2020-05-25","High Net Worth Families","Activity 107","Gold","Media","Plan Express - 55k",55000,2,55000,228,60415593,20,244
"Fields Sales","0051U000005JQyrQAG","IL","Closed","Closed Won","2019-12-19","Chicago","Simple","true","001B000000SS3jlIAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2020-02-23","006B00000049VXyIAM","Allen Advisor","Closed Won","Ricoh Corporation - CA","true","2020-05-25","Mass Market","Activity 64","Platinum","Agriculture","Ricoh Corporation - CA - 45k",45000,8,45000,347,38752363,100,201
"Other","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-07-27","Chicago","Channel (Partner)","true","001B000000bwMe9IAE","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-01-20","006B0000004t2ZEIAY","Allen Advisor","Closed Lost","eSellSolutions.com","false","2020-05-25","Retired","Activity 629","Silver","Transportation","eSellSolutions.com - 90k",90000,9,90000,764,43354880,0,346
"Fields Sales","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-10-11","Chicago","Simple","true","001B000000SS4lCIAT","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2020-04-19","006B00000049UzrIAE","Allen Advisor","Closed Lost","BuyerZone.com","false","2020-05-25","High Net Worth Families","Activity 231","Gold","Engineering","BuyerZone.com - 70k",70000,9,70000,318,42901709,0,270
"Reseller","0051U000005JQyrQAG","IL","Closed","Closed Won","2019-08-10","Chicago","Simple","true","001B000000SS4HlIAL","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2018-12-03","006B0000003Wbu1IAC","Allen Advisor","Closed Won","Clicknsettle Com","true","2020-05-25","Mass Market","Activity 668","Gold","Communications","Clicknsettle Com - 150k",150000,8,150000,860,56684927,100,332
"Fields Sales","0051U000005KhW6QAK","NY","Omitted","Closed Lost","2019-09-03","New York","Simple","true","001B000000SS4ACIA1","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2020-06-07","006B0000003WbjgIAC","Mark Garet","Closed Lost","Automated Financial Systems","false","2020-05-25","Mass Market","Activity 11","Gold","Hospitality","Automated Financial Systems - 48.5k",48500,9,48500,334,14438775,0,308
"Fields Sales","0051U000005KhW6QAK","NY","Closed","Closed Won","2019-09-13","New York","Simple","true","001B000000lwNoSIAU","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-10-05","006B00000049UnqIAE","Mark Garet","Closed Won","Cohu","true","2020-05-25","Affluent Professionals","Activity 337","Platinum","Consulting","Cohu - 41k",41000,8,41000,499,58482119,100,298
"Fields Sales","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-11-25","Chicago","Simple","true","001B000000SS47yIAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-04-03","006B0000003WbhnIAC","Allen Advisor","Closed Lost","Gladstone","false","2020-05-25","Retired","Activity 705","Gold","Media","Gladstone - 77.5k",77500,9,77500,687,17935251,0,225
"Reseller","0051U000005L4E9QAK","CA","Closed","Closed Won","2019-09-08","San Francisco","Channel (Partner)","true","001B000000SS41XIAT","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2020-02-09","006B0000003WbYSIA0","Brenda Banker","Closed Won","Inceptor","true","2020-05-25","Retired","Activity 92","Gold","Chemicals","Inceptor - 200k",200000,8,200000,454,16003252,100,303
"Reseller","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-12-06","Chicago","Simple","true","001B000000SS4ohIAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-10-21","006B0000003n2cPIAQ","Allen Advisor","Closed Lost","Republican Party of Indiana","false","2020-05-25","High Net Worth Families","Activity 315","Gold","Consulting","Republican Party of Indiana - 33.5k",33500,9,33500,479,4195733,0,214
"Fields Sales","0051U000005JQyrQAG","IL","Commit","Qualification","2019-10-31","Chicago","Simple","false","001B000000bwMaXIAU","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2020-11-16","006B00000049VGEIA2","Allen Advisor","Qualification","Netfarm","false","2020-05-25","Affluent Professionals","Activity 180","Platinum","Energy","Netfarm - 50k",50000,2,50000,239,51435199,20,250
"Reseller","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-11-24","Chicago","Simple","true","001B000000SS3iUIAT","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-09-20","006B00000049VWaIAM","Allen Advisor","Closed Lost","Fidelity Infomation Services / Malvern Office","false","2020-05-25","High Net Worth Families","Activity 327","Gold","Technology","Fidelity Infomation Services / Malvern Office - 172.5k",172500,9,172500,529,39628755,0,226
"Reseller","0051U000005L4E9QAK","CA","Omitted","Closed Lost","2019-07-07","San Francisco","Simple","true","001B000000lwNviIAE","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-04-25","006B0000004t2YdIAI","Brenda Banker","Closed Lost","Yuba Heat Transfer Division","false","2020-05-25","Mass Market","Activity 487","Platinum","Machinery","Yuba Heat Transfer Division - 60k",60000,9,60000,683,47926104,0,366
"Fields Sales","0051U000005KhW6QAK","NY","Omitted","Closed Lost","2019-08-17","New York","Channel (Partner)","true","001B000000SS4y9IAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-06-09","006B00000049VNDIA2","Mark Garet","Closed Lost","AMERICORP","false","2020-05-25","Affluent Professionals","Activity 405","Gold","Banking","AMERICORP - 60k",60000,9,60000,609,26000111,0,325
"Reseller","0051U000005L6eJQAS","FL","Closed","Closed Won","2019-07-14","Florida","Simple","true","001B000000SS4UAIA1","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-06","006B00000049UgqIAE","Chelsea Advisor","Closed Won","Good Source Solutions Inc","true","2020-05-25","Millennials","Activity 355","Silver","Retail","Good Source Solutions Inc - 22.5k",22500,8,22500,689,52345140,100,359
"Fields Sales","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-12-06","Chicago","Channel (Partner)","true","001B000000SS3zkIAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2018-08-18","006B0000004t2T2IAI","Allen Advisor","Closed Lost","Enamics","false","2020-05-25","High Net Worth Families","Activity 747","Gold","Banking","Enamics - 35.5k",35500,9,35500,913,10694424,0,214
"Reseller","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-10-17","Chicago","Simple","true","001B000000SS4lzIAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-03-11","006B0000004t2QdIAI","Allen Advisor","Closed Lost","IDG Books","false","2020-05-25","Retired","Activity 508","Platinum","Shipping","IDG Books - 20.9k",20900,9,20900,712,7579183,0,264
"Fields Sales","0051U000005L6eJQAS","FL","Omitted","Closed Lost","2019-07-26","Florida","Advanced","true","001B000000SS4HuIAL","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-10-03","006B0000003WbuFIAS","Chelsea Advisor","Closed Lost","M 3","false","2020-05-25","Retired","Activity 671","Platinum","Hospitality","M 3 - 47.5k",47500,9,47500,526,41040042,0,347
"Reseller","0051U000005KhW6QAK","NY","Omitted","Closed Lost","2019-11-18","New York","Channel (Partner)","true","001B000000bwMceIAE","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-10-09","006B0000003n2wtIAA","Mark Garet","Closed Lost","Dow Jones & Company","false","2020-05-25","Mass Market","Activity 441","Gold","Chemicals","Dow Jones & Company - 72k",72000,9,72000,509,25724749,0,232
"Fields Sales","0051U000005KhW6QAK","NY","Commit","Proposal/Quote","2019-06-16","New York","Simple","false","001B000000SS3p7IAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2020-02-27","006B0000003X0yJIAS","Mark Garet","Proposal/Quote","Dicon Fiberoptics","false","2020-05-25","Mass Market","Activity 621","Gold","Consulting","Dicon Fiberoptics - 40k",40000,5,40000,358,10417623,75,387
"Fields Sales","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-09-03","Chicago","Simple","true","001B000000SS4XLIA1","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2020-04-22","006B00000049Um9IAE","Allen Advisor","Closed Lost","Abovo Marketing Group Inc","false","2020-05-25","Affluent Professionals","Activity 273","Gold","Engineering","Abovo Marketing Group Inc - 95k",95000,9,95000,395,61598114,0,308
"Other","0051U000005L4E9QAK","CA","Closed","Closed Won","2019-07-16","San Francisco","Simple","true","001B000000SS4T0IAL","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-06-16","006B0000003n21LIAQ","Brenda Banker","Closed Won","Gas Equipment Company","true","2020-05-25","High Net Worth Families","Activity 402","Platinum","Recreation","Gas Equipment Company - 65.5k",65500,8,65500,695,39412959,100,357
"Reseller","0051U000005JQyrQAG","IL","Closed","Closed Won","2019-09-29","Chicago","Simple","true","001B000000SS4rRIAT","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2020-01-10","006B0000003n2jfIAA","Allen Advisor","Closed Won","Bluepoint","true","2020-05-25","Retired","Activity 456","Gold","Shipping","Bluepoint - 100k",100000,8,100000,457,21715054,100,282
"Fields Sales","0051U000005JQyrQAG","IL","Best Case","Discovery","2019-10-12","Chicago","Channel (Partner)","false","001B000000WJEHxIAP","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2020-11-01","006B00000049VjmIAE","Allen Advisor","Discovery","3Fusion","false","2020-05-25","Millennials","Activity 114","Platinum","Transportation","3Fusion - 75k",75000,0,75000,242,44917404,0,269
"Fields Sales","0051U000005JQyrQAG","IL","Closed","Closed Won","2019-11-24","Chicago","Channel (Partner)","true","001B000000SS456IAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2020-01-30","006B00000049VEMIA2","Allen Advisor","Closed Won","Honor Schools","true","2020-05-25","Retired","Activity 200","Silver","Biotechnology","Honor Schools - 64k",64000,8,64000,375,58149002,100,226
"Telesales","0051U000005JQyrQAG","IL","Closed","Closed Won","2019-12-07","Chicago","Channel (Partner)","true","001B000000SS3znIAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2020-06-06","006B00000049V8uIAE","Allen Advisor","Closed Won","FMC Airport Systems Division / Jetway Division","true","2020-05-25","Affluent Professionals","Activity 4","Gold","Shipping","FMC Airport Systems Division / Jetway Division - 42.5k",42500,8,42500,254,20720421,100,213
"Fields Sales","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-12-02","Chicago","Channel (Partner)","true","001B000000WJE3HIAX","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-03-05","006B00000049VWmIAM","Allen Advisor","Closed Lost","Veolia Transportation","false","2020-05-25","Retired","Activity 503","Gold","Engineering","Veolia Transportation - 50.5k",50500,9,50500,716,17724011,0,218
"Fields Sales","0051U000005L4E9QAK","CA","Closed","Closed Won","2019-09-11","San Francisco","Simple","true","001B000000SS3owIAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-06-13","006B0000003hgNrIAI","Brenda Banker","Closed Won","LCI Shipholdings Inc","true","2020-05-25","Retired","Activity 145","Silver","Manufacturing","LCI Shipholdings Inc - 45.5k",45500,8,45500,700,19404767,100,300
"Fields Sales","0051U000005L4E9QAK","CA","Best Case","Discovery","2019-10-17","San Francisco","Simple","false","001B000000SS4zmIAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2020-10-23","006B00000049VQ2IAM","Brenda Banker","Discovery","Sabre Flight Explorer","false","2020-05-25","Retired","Activity 164","Silver","Education","Sabre Flight Explorer - 37.5k",37500,0,37500,250,34554894,0,264
"Reseller","0051U000005KhW6QAK","NY","Omitted","Closed Lost","2019-09-23","New York","Simple","true","001B000000WJE4nIAH","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-18","006B00000049VaeIAE","Mark Garet","Closed Lost","Round Table Group","false","2020-05-25","Affluent Professionals","Activity 354","Gold","Education","Round Table Group - 80k",80000,9,80000,583,57568392,0,288
"Fields Sales","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-07-13","Chicago","Channel (Partner)","true","001B000000sxKP2IAM","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2018-12-23","006B0000004t2ZwIAI","Allen Advisor","Closed Lost","Global Trust Institute","false","2020-05-25","Retired","Activity 642","Silver","Environmental","Global Trust Institute - 62.5k",62500,9,62500,873,31127472,0,360
"Fields Sales","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-12-08","Chicago","Simple","true","001B000000SS3yuIAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2018-09-08","006B0000004t2SrIAI","Allen Advisor","Closed Lost","stealthcfo.com","false","2020-05-25","Millennials","Activity 729","Gold","Entertainment","stealthcfo.com - 85k",85000,9,85000,886,27702248,0,212
"Fields Sales","0051U000005JQyrQAG","IL","Best Case","Qualification","2019-11-30","Chicago","Simple","false","001B000000SS4UnIAL","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2020-07-27","006B00000049UhrIAE","Allen Advisor","Qualification","iTendo","false","2020-05-25","High Net Worth Families","Activity 278","Silver","Recreation","iTendo - 52.5k",52500,2,52500,220,30661334,20,220
"Fields Sales","0051U000005JQyrQAG","IL","Pipeline","Qualification","2019-06-14","Chicago","Simple","false","001B000000SS4tgIAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2020-06-18","006B0000003X11HIAS","Allen Advisor","Qualification","NDS Systems","false","2020-05-25","Millennials","Activity 599","Gold","Shipping","NDS Systems - 50k",50000,2,50000,388,37842010,20,389
"Fields Sales","0051U000005L6eJQAS","FL","Best Case","Needs Analysis","2019-06-28","Florida","Simple","false","001B000000SS3qEIAT","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2020-03-15","006B0000003X0yVIAS","Chelsea Advisor","Needs Analysis","Ganador Sports Inc","false","2020-05-25","High Net Worth Families","Activity 625","Silver","Not For Profit","Ganador Sports Inc - 62.5k",62500,3,62500,359,22971244,35,375
"Reseller","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-09-30","Chicago","Simple","true","001B000000SS4IKIA1","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2018-12-27","006B0000003WbuqIAC","Allen Advisor","Closed Lost","Miller Associates","false","2020-05-25","Affluent Professionals","Activity 673","Gold","Financial Services","Miller Associates - 62.5k",62500,9,62500,843,24945855,0,281
"Reseller","0051U000005KhW6QAK","NY","Closed","Closed Won","2019-08-01","New York","Simple","true","001B000000SS4HaIAL","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2020-02-22","006B00000049VSKIA2","Mark Garet","Closed Won","Root Group Inc","true","2020-05-25","High Net Worth Families","Activity 88","Platinum","Education","Root Group Inc - 42.5k",42500,8,42500,429,30275174,100,341
"Fields Sales","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-08-31","Chicago","Advanced","true","001B000000SS4CmIAL","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2018-09-28","006B0000003WbnhIAC","Allen Advisor","Closed Lost","MegaPath Cloud Company","false","2020-05-25","High Net Worth Families","Activity 684","Platinum","Machinery","MegaPath Cloud Company - 72.5k",72500,9,72500,935,38968413,0,311
"Fields Sales","0051U000005L6eJQAS","FL","Closed","Closed Won","2019-09-26","Florida","Simple","true","001B000000SS4AdIAL","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-06-07","006B00000049VKvIAM","Chelsea Advisor","Closed Won","Methanex Methanol Co","true","2020-05-25","High Net Worth Families","Activity 404","Gold","Telecommunications","Methanex Methanol Co - 35k",35000,8,35000,615,31073346,100,285
"Fields Sales","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-11-14","Chicago","Simple","true","001B000000lwNrJIAU","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-04-11","006B00000049VdIIAU","Allen Advisor","Closed Lost","United Refrigeration","false","2020-05-25","Retired","Activity 489","Silver","Not For Profit","United Refrigeration - 27.5k",27500,9,27500,681,17396408,0,236
"Fields Sales","0051U000005L4E9QAK","CA","Closed","Closed Won","2019-12-03","San Francisco","Channel (Partner)","true","001B000000SS43QIAT","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2020-01-17","006B00000049VCjIAM","Brenda Banker","Closed Won","Excel Consulting","true","2020-05-25","Retired","Activity 212","Gold","Biotechnology","Excel Consulting - 54k",54000,8,54000,389,19788382,100,217
"Fields Sales","0051U000005L4E9QAK","CA","Omitted","Closed Lost","2019-12-18","San Francisco","Channel (Partner)","true","001B000000WJDyVIAX","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-02-17","006B0000003hg0DIAQ","Brenda Banker","Closed Lost","Cost Engineering","false","2020-05-25","Mass Market","Activity 513","Gold","Healthcare & Life Sciences","Cost Engineering - 65.5k",65500,9,65500,720,6729919,0,202
"Fields Sales","0051U000005L6eJQAS","FL","Closed","Closed Won","2019-07-05","Florida","Advanced","true","001B000000SS4MIIA1","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-04-13","006B0000003WbzdIAC","Chelsea Advisor","Closed Won","Timken Latrobe Steel","true","2020-05-25","High Net Worth Families","Activity 660","Gold","Electronics","Timken Latrobe Steel - 77k",77000,8,77000,781,21955606,100,368
"Fields Sales","0051U000005L6eJQAS","FL","Closed","Closed Won","2019-06-27","Florida","Simple","true","001B000000SS4GZIA1","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2018-12-05","006B0000003WbscIAC","Chelsea Advisor","Closed Won","Cardiac Science","true","2020-05-25","Affluent Professionals","Activity 663","Gold","Government","Cardiac Science - 30.6k",30600,8,30600,817,34033232,100,376
"Fields Sales","0051U000005JQyrQAG","IL","Commit","Discovery","2019-09-26","Chicago","Simple","false","001B000000lwNuZIAU","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2020-09-20","006B0000003X124IAC","Allen Advisor","Discovery","Texbidcom Inc","false","2020-05-25","Retired","Activity 177","Gold","Environmental","Texbidcom Inc - 85k",85000,0,85000,242,1026290,0,285
"Reseller","0051U000005JQyrQAG","IL","Best Case","Negotiation","2019-10-04","Chicago","Simple","false","001B000000SS3pLIAT","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2020-07-15","006B00000049Ve5IAE","Allen Advisor","Negotiation","FreeDecision.com Inc","false","2020-05-25","Retired","Activity 134","Silver","Chemicals","FreeDecision.com Inc - 60k",60000,7,60000,239,33294888,90,277
"Fields Sales","0051U000005L4E9QAK","CA","Omitted","Closed Lost","2019-09-09","San Francisco","Simple","true","001B000000SS4MfIAL","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2020-05-14","006B00000049VkYIAU","Brenda Banker","Closed Lost","Asparity Decision Solutions   Inc","false","2020-05-25","Millennials","Activity 120","Silver","Food & Beverage","Asparity Decision Solutions   Inc - 200k",200000,9,200000,305,40188612,0,302
"Telesales","0051U000005L4E9QAK","CA","Closed","Closed Won","2019-09-25","San Francisco","Simple","true","001B000000sxHkwIAE","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-02-13","006B0000004t2L1IAI","Brenda Banker","Closed Won","Digital Envoy","true","2020-05-25","Affluent Professionals","Activity 521","Silver","Telecommunications","Digital Envoy - 42.5k",42500,8,42500,746,54188482,100,286
"Reseller","0051U000005JQyrQAG","IL","Closed","Closed Won","2019-10-03","Chicago","Channel (Partner)","true","001B000000SS40dIAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2020-05-22","006B0000003WbXQIA0","Allen Advisor","Closed Won","MachineTools.com","true","2020-05-25","Mass Market","Activity 42","Gold","Energy","MachineTools.com - 75k",75000,8,75000,276,2572147,100,278
"Fields Sales","0051U000005L4E9QAK","CA","Omitted","Closed Lost","2019-11-13","San Francisco","Simple","true","001B000000SS4kjIAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-07-17","006B00000049Uz1IAE","Brenda Banker","Closed Lost","Polar Truck Sales","false","2020-05-25","High Net Worth Families","Activity 363","Platinum","Telecommunications","Polar Truck Sales - 115k",115000,9,115000,605,23849632,0,237
"Fields Sales","0051U000005L4E9QAK","CA","Omitted","Closed Lost","2019-09-14","San Francisco","Channel (Partner)","true","001B000000SS3YUIA1","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2020-04-26","006B00000049UogIAE","Brenda Banker","Closed Lost","Intellistream Technologies Inc","false","2020-05-25","Millennials","Activity 49","Gold","Transportation","Intellistream Technologies Inc - 62.5k",62500,9,62500,315,4711457,0,297
"Fields Sales","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-09-05","Chicago","Channel (Partner)","true","001B000000SS52UIAT","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2020-03-06","006B00000049VUUIA2","Allen Advisor","Closed Lost","Liquid Engines","false","2020-05-25","Mass Market","Activity 76","Gold","Entertainment","Liquid Engines - 62.5k",62500,9,62500,351,16495556,0,306
"Fields Sales","0051U000005L4E9QAK","CA","Closed","Closed Won","2019-08-22","San Francisco","Simple","true","001B000000SS47mIAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-10-03","006B0000003WbhYIAS","Brenda Banker","Closed Won","Acorn Technowlogies","true","2020-05-25","High Net Worth Families","Activity 708","Platinum","Government","Acorn Technowlogies - 29k",29000,8,29000,540,43116656,100,320
"Fields Sales","0051U000005JQyrQAG","IL","Closed","Closed Won","2019-11-21","Chicago","Simple","true","001B000000WJEBAIA5","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2018-09-10","006B0000004t2UTIAY","Allen Advisor","Closed Won","Valassis Communications","true","2020-05-25","Mass Market","Activity 738","Gold","Telecommunications","Valassis Communications - 21k",21000,8,21000,891,20105410,100,229
"Fields Sales","0051U000005JQyrQAG","IL","Best Case","Proposal/Quote","2019-09-05","Chicago","Simple","false","001B000000SS4uzIAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2020-08-02","006B00000049VI1IAM","Allen Advisor","Proposal/Quote","Centurion Industries","false","2020-05-25","Millennials","Activity 187","Platinum","Chemicals","Centurion Industries - 110k",110000,5,110000,231,22689517,75,306
"Other","0051U000005L6eJQAS","FL","Closed","Closed Won","2019-07-25","Florida","Channel (Partner)","true","001B000000SS3T3IAL","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-05-20","006B0000004t2JDIAY","Chelsea Advisor","Closed Won","Burns & McDonnell Engineering Company","true","2020-05-25","High Net Worth Families","Activity 492","Platinum","Agriculture","Burns & McDonnell Engineering Company - 30.5k",30500,8,30500,752,20131177,100,348
"Fields Sales","0051U000005JQyrQAG","IL","Closed","Closed Won","2019-11-24","Chicago","Simple","true","001B000000WJE2rIAH","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2020-01-28","006B0000003WbA3IAK","Allen Advisor","Closed Won","Tiron America","true","2020-05-25","Affluent Professionals","Activity 709","Platinum","Transportation","Tiron America - 75k",75000,8,75000,386,13293431,100,226
"Fields Sales","0051U000005KhW6QAK","NY","Omitted","Closed Lost","2019-07-01","New York","Simple","true","001B000000WJEGDIA5","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-09-10","006B00000049VTAIA2","Mark Garet","Closed Lost","4M Building Solutions","false","2020-05-25","High Net Worth Families","Activity 333","Silver","Not For Profit","4M Building Solutions - 100k",100000,9,100000,519,57260950,0,372
"Fields Sales","0051U000005KhW6QAK","NY","Closed","Closed Won","2019-12-08","New York","Simple","true","001B000000sxHkqIAE","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2018-08-26","006B0000004t2K0IAI","Mark Garet","Closed Won","Mountain Side Farms","true","2020-05-25","Affluent Professionals","Activity 740","Gold","Construction","Mountain Side Farms - 75k",75000,8,75000,904,51953708,100,212
"Fields Sales","0051U000005L6eJQAS","FL","Omitted","Closed Lost","2019-07-25","Florida","Channel (Partner)","true","001B000000SS45sIAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2020-05-22","006B00000049VFNIA2","Chelsea Advisor","Closed Lost","Safewww","false","2020-05-25","Mass Market","Activity 51","Silver","Construction","Safewww - 90k",90000,9,90000,333,59114909,0,348
"Fields Sales","0051U000005L6eJQAS","FL","Closed","Closed Won","2019-11-30","Florida","Channel (Partner)","true","001B000000SS4KWIA1","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2020-02-04","006B00000049VhvIAE","Chelsea Advisor","Closed Won","RiskMetrics Group","true","2020-05-25","Affluent Professionals","Activity 82","Gold","Education","RiskMetrics Group - 150k",150000,8,150000,368,10139055,100,220
