"ChangeReasonType","EffectiveDate","Id","LoyaltyMemberCurrency.LoyaltyProgramCurrency.IsPrimary","LoyaltyMemberCurrency.LoyaltyProgramCurrency.NQP_Currency","LoyaltyMemberCurrency.LoyaltyProgramCurrency.QP_Currency","LoyaltyMemberCurrency.LoyaltyProgramMember.AccountContact.Id","LoyaltyMemberCurrency.LoyaltyProgramMember.Contact.Birthdate","LoyaltyMemberCurrency.LoyaltyProgramMember.Contact.MobilePhone","LoyaltyMemberCurrency.LoyaltyProgramMember.Contact.Name","LoyaltyMemberCurrency.LoyaltyProgramMember.Referrer.Contact.Birthdate","LoyaltyMemberCurrency.LoyaltyProgramMember.Referrer.Contact.MobilePhone","LoyaltyMemberCurrency.LoyaltyProgramMember.Referrer.Contact.Name","LoyaltyMemberId","LoyaltyProgramMember.Account.Name","LoyaltyProgramMember.AccountContact.Id","LoyaltyProgramMember.Contact.Birthdate","LoyaltyProgramMember.Contact.MobilePhone","LoyaltyProgramMember.Contact.Name","LoyaltyProgramMember.ContactId","LoyaltyProgramMember.EnrollmentChannel","LoyaltyProgramMember.EnrollmentDate","LoyaltyProgramMember.IsReferral","LoyaltyProgramMember.LeadOrContactId","LoyaltyProgramMember.LeadOrContactName","LoyaltyProgramMember.LoyaltyProgram.Name","LoyaltyProgramMember.MemberCity","LoyaltyProgramMember.MemberCountry","LoyaltyProgramMember.MemberId","LoyaltyProgramMember.MemberName","LoyaltyProgramMember.MemberState","LoyaltyProgramMember.MemberStatus","LoyaltyProgramMember.MemberTenureBucket","LoyaltyProgramMember.MemberType","LoyaltyProgramMember.MembershipEndDate","LoyaltyProgramMember.MembershipLastRenewalDate","LoyaltyProgramMember.MembershipNumber","LoyaltyProgramMember.ProgramId","LoyaltyProgramMember.ReferredById","LoyaltyProgramMember.Referrer.Account.Name","LoyaltyProgramMember.Referrer.Contact.Name","LoyaltyProgramMember.TransactionJournal.FirstAccrualDate","LoyaltyProgramMember.TransactionJournal.SecondAccrualDate","LoyaltyTier.LoyaltyTierGroup.IsPrimary","LoyaltyTier.LoyaltyTierGroup.Name","LoyaltyTier.Name","LoyaltyTier.SequenceNumber","LoyaltyTierGroupId","LoyaltyTierId","Name","ReasonForChange","TierExpirationDate","LastProcessedDate"
"Resolve Tier Conflict",2021-02-15,"0lyB0000000RJC5IAO",FALSE,"Points","Number of Transactions",,,,"Perf84 Trail84",,,,"0lMB0000000RIF1MAO",,,,,"Perf84 Trail84","003B000000IXhurIAD","Social",2021-02-15,"No","003B000000IXhurIAD","Perf84 Trail84","NTO Insider","Toronto","Canada","003B000000IXhurIAD","Perf84 Trail84","Ontario","Active","4.6-9 months","Individual",,,"IndivAiK_055","0lpB0000000PBdwIAG",,,,"2020-12-18T00:00:00.000Z",,TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Based on Past Activities or Tier",2020-02-01,"0lyB0000000RJC6IAO",FALSE,"Points","Number of Transactions",,,,"Perf85 Trail85",,,,"0lMB0000000RIF2MAO",,,,,"Perf85 Trail85","003B000000IXhusIAD","Social",2020-02-01,"No","003B000000IXhusIAD","Perf85 Trail85","NTO Insider","New York City","USA","003B000000IXhusIAD","Perf85 Trail85","NY","Active","6.1-2 years","Individual",,,"IndivAiK_040","0lpB0000000PBdwIAG",,,,"2020-05-08T00:00:00.000Z",,FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"VIP Member",2020-02-01,"0lyB0000000RJC7IAO",FALSE,"Points","Number of Transactions",,,,"Perf85 Trail85",,,,"0lMB0000000RIF2MAO",,,,,"Perf85 Trail85","003B000000IXhusIAD","Social",2020-02-01,"No","003B000000IXhusIAD","Perf85 Trail85","NTO Insider","New York City","USA","003B000000IXhusIAD","Perf85 Trail85","NY","Active","6.1-2 years","Individual",,,"IndivAiK_040","0lpB0000000PBdwIAG",,,,"2020-05-08T00:00:00.000Z",,TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Resolve Tier Conflict",2020-09-27,"0lyB0000000RJC8IAO",FALSE,"Points","Number of Transactions",,,,"Perf86 Trail86",,,,"0lMB0000000RIF3MAO",,,,,"Perf86 Trail86","003B000000IXhutIAD","Email",2020-09-27,"No","003B000000IXhutIAD","Perf86 Trail86","NTO Insider","New York","USA","003B000000IXhutIAD","Perf86 Trail86","NY","Active","6.1-2 years","Individual",,,"IndivAiK_041","0lpB0000000PBdwIAG",,,,"2020-12-05T00:00:00.000Z","2021-10-15T00:00:00.000Z",FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Based on Past Activities or Tier",2020-09-27,"0lyB0000000RJC9IAO",FALSE,"Points","Number of Transactions",,,,"Perf86 Trail86",,,,"0lMB0000000RIF3MAO",,,,,"Perf86 Trail86","003B000000IXhutIAD","Email",2020-09-27,"No","003B000000IXhutIAD","Perf86 Trail86","NTO Insider","New York","USA","003B000000IXhutIAD","Perf86 Trail86","NY","Active","6.1-2 years","Individual",,,"IndivAiK_041","0lpB0000000PBdwIAG",,,,"2020-12-05T00:00:00.000Z","2021-10-15T00:00:00.000Z",TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"VIP Member",2021-10-21,"0lyB0000000RJCAIA4",FALSE,"Points","Number of Transactions",,,,"User6 Q4DataUser6",,,,"0lMB0000000RIF4MAO",,,,,"User6 Q4DataUser6","003B000000IXhzcIAD","Web",2021-10-21,"No","003B000000IXhzcIAD","User6 Q4DataUser6","NTO Insider","San Francisco","USA","003B000000IXhzcIAD","User6 Q4DataUser6","CA","Active","1.< 1 month","Individual",,,"IndivAiK_042","0lpB0000000PBdwIAG",,,,,,FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Resolve Tier Conflict",2021-10-21,"0lyB0000000RJCBIA4",FALSE,"Points","Number of Transactions",,,,"User6 Q4DataUser6",,,,"0lMB0000000RIF4MAO",,,,,"User6 Q4DataUser6","003B000000IXhzcIAD","Web",2021-10-21,"No","003B000000IXhzcIAD","User6 Q4DataUser6","NTO Insider","San Francisco","USA","003B000000IXhzcIAD","User6 Q4DataUser6","CA","Active","1.< 1 month","Individual",,,"IndivAiK_042","0lpB0000000PBdwIAG",,,,,,TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Based on Past Activities or Tier",2021-01-02,"0lyB0000000RJCCIA4",FALSE,"Points","Number of Transactions",,,,"Marc7 Tom7",,,,"0lMB0000000RIF5MAO",,,,,"Marc7 Tom7","003B000000IXhzdIAD","POS",2021-01-02,"No","003B000000IXhzdIAD","Marc7 Tom7","NTO Insider","San Francisco","USA","003B000000IXhzdIAD","Marc7 Tom7","CA","Active","5.9-12 months","Individual",,,"IndivAiK_043","0lpB0000000PBdwIAG",,,,"2020-11-29T00:00:00.000Z",,FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"VIP Member",2021-01-02,"0lyB0000000RJCDIA4",FALSE,"Points","Number of Transactions",,,,"Marc7 Tom7",,,,"0lMB0000000RIF5MAO",,,,,"Marc7 Tom7","003B000000IXhzdIAD","POS",2021-01-02,"No","003B000000IXhzdIAD","Marc7 Tom7","NTO Insider","San Francisco","USA","003B000000IXhzdIAD","Marc7 Tom7","CA","Active","5.9-12 months","Individual",,,"IndivAiK_043","0lpB0000000PBdwIAG",,,,"2020-11-29T00:00:00.000Z",,TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Based on Past Activities or Tier",2021-08-11,"0lyB0000000RJCEIA4",FALSE,"Points","Number of Transactions",,,,"Data7 User7",,,,"0lMB0000000RIF6MAO",,,,,"Data7 User7","003B000000IXhzeIAD","CallCenter",2020-01-09,"No","003B000000IXhzeIAD","Data7 User7","NTO Insider","New Jersey","USA","003B000000IXhzeIAD","Data7 User7","NJ","Active","6.1-2 years","Individual",,,"IndivAiK_044","0lpB0000000PBdwIAG",,,,"2021-03-03T00:00:00.000Z","2021-04-22T00:00:00.000Z",FALSE,"Lifetime","Elite",2,"0ltB0000000PBbvIAG","0lgB0000000TNJMIA4","Elite","Test",2022-02-11,2021-11-01
"Based on Past Activities or Tier",2020-01-09,"0lyB0000000RJCFIA4",FALSE,"Points","Number of Transactions",,,,"Data7 User7",,,,"0lMB0000000RIF6MAO",,,,,"Data7 User7","003B000000IXhzeIAD","CallCenter",2020-01-09,"No","003B000000IXhzeIAD","Data7 User7","NTO Insider","New Jersey","USA","003B000000IXhzeIAD","Data7 User7","NJ","Active","6.1-2 years","Individual",,,"IndivAiK_044","0lpB0000000PBdwIAG",,,,"2021-03-03T00:00:00.000Z","2021-04-22T00:00:00.000Z",TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"VIP Member",2020-10-06,"0lyB0000000RJCGIA4",FALSE,"Points","Number of Transactions",,,,"User7 Q4DataUser7",,,,"0lMB0000000RIF7MAO",,,,,"User7 Q4DataUser7","003B000000IXhzfIAD","Social",2020-10-06,"No","003B000000IXhzfIAD","User7 Q4DataUser7","NTO Insider","San Francisco","USA","003B000000IXhzfIAD","User7 Q4DataUser7","CA","Active","6.1-2 years","Individual",,,"IndivAiK_045","0lpB0000000PBdwIAG",,,,"2020-11-10T00:00:00.000Z",,FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Resolve Tier Conflict",2020-10-06,"0lyB0000000RJCHIA4",FALSE,"Points","Number of Transactions",,,,"User7 Q4DataUser7",,,,"0lMB0000000RIF7MAO",,,,,"User7 Q4DataUser7","003B000000IXhzfIAD","Social",2020-10-06,"No","003B000000IXhzfIAD","User7 Q4DataUser7","NTO Insider","San Francisco","USA","003B000000IXhzfIAD","User7 Q4DataUser7","CA","Active","6.1-2 years","Individual",,,"IndivAiK_045","0lpB0000000PBdwIAG",,,,"2020-11-10T00:00:00.000Z",,TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Based on Past Activities or Tier",2021-07-15,"0lyB0000000RJCIIA4",FALSE,"Points","Number of Transactions",,,,"Marc8 Tom8",,,,"0lMB0000000RIF8MAO",,,,,"Marc8 Tom8","003B000000IXhzgIAD","Email",2021-07-15,"No","003B000000IXhzgIAD","Marc8 Tom8","NTO Insider","San Francisco","USA","003B000000IXhzgIAD","Marc8 Tom8","CA","Active","3.3-6 months","Individual",,,"IndivAiK_046","0lpB0000000PBdwIAG",,,,,,FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"VIP Member",2021-07-15,"0lyB0000000RJCJIA4",FALSE,"Points","Number of Transactions",,,,"Marc8 Tom8",,,,"0lMB0000000RIF8MAO",,,,,"Marc8 Tom8","003B000000IXhzgIAD","Email",2021-07-15,"No","003B000000IXhzgIAD","Marc8 Tom8","NTO Insider","San Francisco","USA","003B000000IXhzgIAD","Marc8 Tom8","CA","Active","3.3-6 months","Individual",,,"IndivAiK_046","0lpB0000000PBdwIAG",,,,,,TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Resolve Tier Conflict",2021-10-21,"0lyB0000000RJCKIA4",FALSE,"Points","Number of Transactions",,,,"Data8 User8",,,,"0lMB0000000RIF9MAO",,,,,"Data8 User8","003B000000IXhzhIAD","CallCenter",2021-10-21,"No","003B000000IXhzhIAD","Data8 User8","NTO Insider","New Jersey","USA","003B000000IXhzhIAD","Data8 User8","NJ","Active","1.< 1 month","Individual",,,"IndivAiK_034","0lpB0000000PBdwIAG",,,,,,FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Based on Past Activities or Tier",2021-10-21,"0lyB0000000RJCLIA4",FALSE,"Points","Number of Transactions",,,,"Data8 User8",,,,"0lMB0000000RIF9MAO",,,,,"Data8 User8","003B000000IXhzhIAD","CallCenter",2021-10-21,"No","003B000000IXhzhIAD","Data8 User8","NTO Insider","New Jersey","USA","003B000000IXhzhIAD","Data8 User8","NJ","Active","1.< 1 month","Individual",,,"IndivAiK_034","0lpB0000000PBdwIAG",,,,,,TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"VIP Member",2021-09-18,"0lyB0000000RJCMIA4",FALSE,"Points","Number of Transactions",,,,"User8 Q4DataUser8",,,,"0lMB0000000RIFAMA4",,,,,"User8 Q4DataUser8","003B000000IXhziIAD","Social",2021-09-18,"No","003B000000IXhziIAD","User8 Q4DataUser8","NTO Insider","San Francisco","USA","003B000000IXhziIAD","User8 Q4DataUser8","CA","Active","2.1-3 months","Individual",,,"IndivAiK_035","0lpB0000000PBdwIAG",,,,,,FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Resolve Tier Conflict",2021-09-18,"0lyB0000000RJCNIA4",FALSE,"Points","Number of Transactions",,,,"User8 Q4DataUser8",,,,"0lMB0000000RIFAMA4",,,,,"User8 Q4DataUser8","003B000000IXhziIAD","Social",2021-09-18,"No","003B000000IXhziIAD","User8 Q4DataUser8","NTO Insider","San Francisco","USA","003B000000IXhziIAD","User8 Q4DataUser8","CA","Active","2.1-3 months","Individual",,,"IndivAiK_035","0lpB0000000PBdwIAG",,,,,,TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Based on Past Activities or Tier",2020-02-17,"0lyB0000000RJCOIA4",FALSE,"Points","Number of Transactions",,,,"Marc9 Tom9",,,,"0lMB0000000RIFBMA4",,,,,"Marc9 Tom9","003B000000IXhzjIAD","Email",2020-02-17,"No","003B000000IXhzjIAD","Marc9 Tom9","NTO Insider","San Francisco","USA","003B000000IXhzjIAD","Marc9 Tom9","CA","Active","6.1-2 years","Individual",,,"IndivAiK_036","0lpB0000000PBdwIAG",,,,"2020-09-04T00:00:00.000Z","2021-08-20T00:00:00.000Z",FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"VIP Member",2020-02-17,"0lyB0000000RJCPIA4",FALSE,"Points","Number of Transactions",,,,"Marc9 Tom9",,,,"0lMB0000000RIFBMA4",,,,,"Marc9 Tom9","003B000000IXhzjIAD","Email",2020-02-17,"No","003B000000IXhzjIAD","Marc9 Tom9","NTO Insider","San Francisco","USA","003B000000IXhzjIAD","Marc9 Tom9","CA","Active","6.1-2 years","Individual",,,"IndivAiK_036","0lpB0000000PBdwIAG",,,,"2020-09-04T00:00:00.000Z","2021-08-20T00:00:00.000Z",TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Resolve Tier Conflict",2021-01-08,"0lyB0000000RJCQIA4",FALSE,"Points","Number of Transactions",,,,"Data9 User9",,,,"0lMB0000000RIFCMA4",,,,,"Data9 User9","003B000000IXhzkIAD","Web",2021-01-08,"No","003B000000IXhzkIAD","Data9 User9","NTO Insider","New Jersey","USA","003B000000IXhzkIAD","Data9 User9","NJ","Active","5.9-12 months","Individual",,,"IndivAiK_037","0lpB0000000PBdwIAG",,,,"2020-11-08T00:00:00.000Z","2021-04-06T00:00:00.000Z",FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Based on Past Activities or Tier",2021-01-08,"0lyB0000000RJCRIA4",FALSE,"Points","Number of Transactions",,,,"Data9 User9",,,,"0lMB0000000RIFCMA4",,,,,"Data9 User9","003B000000IXhzkIAD","Web",2021-01-08,"No","003B000000IXhzkIAD","Data9 User9","NTO Insider","New Jersey","USA","003B000000IXhzkIAD","Data9 User9","NJ","Active","5.9-12 months","Individual",,,"IndivAiK_037","0lpB0000000PBdwIAG",,,,"2020-11-08T00:00:00.000Z","2021-04-06T00:00:00.000Z",TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"VIP Member",2021-09-10,"0lyB0000000RJCSIA4",FALSE,"Points","Number of Transactions",,,,"User9 Q4DataUser9",,,,"0lMB0000000RIFDMA4",,,,,"User9 Q4DataUser9","003B000000IXhzlIAD","POS",2021-09-10,"No","003B000000IXhzlIAD","User9 Q4DataUser9","NTO Insider","San Francisco","USA","003B000000IXhzlIAD","User9 Q4DataUser9","CA","Active","2.1-3 months","Individual",,,"IndivAiK_038","0lpB0000000PBdwIAG",,,,,,FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Resolve Tier Conflict",2021-09-10,"0lyB0000000RJCTIA4",FALSE,"Points","Number of Transactions",,,,"User9 Q4DataUser9",,,,"0lMB0000000RIFDMA4",,,,,"User9 Q4DataUser9","003B000000IXhzlIAD","POS",2021-09-10,"No","003B000000IXhzlIAD","User9 Q4DataUser9","NTO Insider","San Francisco","USA","003B000000IXhzlIAD","User9 Q4DataUser9","CA","Active","2.1-3 months","Individual",,,"IndivAiK_038","0lpB0000000PBdwIAG",,,,,,TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Based on Past Activities or Tier",2021-05-22,"0lyB0000000RJCUIA4",FALSE,"Points","Number of Transactions",,,,"Marc10 Tom10",,,,"0lMB0000000RIFEMA4",,,,,"Marc10 Tom10","003B000000IXhzmIAD","CallCenter",2021-05-22,"No","003B000000IXhzmIAD","Marc10 Tom10","NTO Insider","San Francisco","USA","003B000000IXhzmIAD","Marc10 Tom10","CA","Active","3.3-6 months","Individual",,,"IndivAiK_039","0lpB0000000PBdwIAG",,,,,,FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"VIP Member",2021-05-22,"0lyB0000000RJCVIA4",FALSE,"Points","Number of Transactions",,,,"Marc10 Tom10",,,,"0lMB0000000RIFEMA4",,,,,"Marc10 Tom10","003B000000IXhzmIAD","CallCenter",2021-05-22,"No","003B000000IXhzmIAD","Marc10 Tom10","NTO Insider","San Francisco","USA","003B000000IXhzmIAD","Marc10 Tom10","CA","Active","3.3-6 months","Individual",,,"IndivAiK_039","0lpB0000000PBdwIAG",,,,,,TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Resolve Tier Conflict",2021-06-01,"0lyB0000000RJCWIA4",FALSE,"Points","Number of Transactions",,,,"Data10 User10",,,,"0lMB0000000RIFFMA4",,,,,"Data10 User10","003B000000IXhznIAD","Email",2021-06-01,"No","003B000000IXhznIAD","Data10 User10","NTO Insider","New Jersey","USA","003B000000IXhznIAD","Data10 User10","NJ","Active","3.3-6 months","Individual",,,"IndivAiK_004","0lpB0000000PBdwIAG",,,,,,FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Based on Past Activities or Tier",2021-06-01,"0lyB0000000RJCXIA4",FALSE,"Points","Number of Transactions",,,,"Data10 User10",,,,"0lMB0000000RIFFMA4",,,,,"Data10 User10","003B000000IXhznIAD","Email",2021-06-01,"No","003B000000IXhznIAD","Data10 User10","NTO Insider","New Jersey","USA","003B000000IXhznIAD","Data10 User10","NJ","Active","3.3-6 months","Individual",,,"IndivAiK_004","0lpB0000000PBdwIAG",,,,,,TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"VIP Member",2021-02-21,"0lyB0000000RJCYIA4",FALSE,"Points","Number of Transactions",,,,"User10 Q4DataUser10",,,,"0lMB0000000RIFGMA4",,,,,"User10 Q4DataUser10","003B000000IXhzoIAD","Web",2021-02-21,"No","003B000000IXhzoIAD","User10 Q4DataUser10","NTO Insider","San Francisco","USA","003B000000IXhzoIAD","User10 Q4DataUser10","CA","Active","4.6-9 months","Individual",,,"IndivAiK_005","0lpB0000000PBdwIAG",,,,"2020-09-19T00:00:00.000Z","2021-09-25T00:00:00.000Z",FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Resolve Tier Conflict",2021-02-21,"0lyB0000000RJCZIA4",FALSE,"Points","Number of Transactions",,,,"User10 Q4DataUser10",,,,"0lMB0000000RIFGMA4",,,,,"User10 Q4DataUser10","003B000000IXhzoIAD","Web",2021-02-21,"No","003B000000IXhzoIAD","User10 Q4DataUser10","NTO Insider","San Francisco","USA","003B000000IXhzoIAD","User10 Q4DataUser10","CA","Active","4.6-9 months","Individual",,,"IndivAiK_005","0lpB0000000PBdwIAG",,,,"2020-09-19T00:00:00.000Z","2021-09-25T00:00:00.000Z",TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Based on Past Activities or Tier",2020-11-14,"0lyB0000000RJCaIAO",FALSE,"Points","Number of Transactions",,,,"Marc21 Tom21",,,,"0lMB0000000RIFHMA4",,,,,"Marc21 Tom21","003B000000IXi0JIAT","CallCenter",2020-11-14,"No","003B000000IXi0JIAT","Marc21 Tom21","NTO Insider","San Francisco","USA","003B000000IXi0JIAT","Marc21 Tom21","CA","Active","5.9-12 months","Individual",,,"IndivAiK_007","0lpB0000000PBdwIAG",,,,"2020-04-18T00:00:00.000Z","2021-03-21T00:00:00.000Z",FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Resolve Tier Conflict",2020-11-14,"0lyB0000000RJCbIAO",FALSE,"Points","Number of Transactions",,,,"Marc21 Tom21",,,,"0lMB0000000RIFHMA4",,,,,"Marc21 Tom21","003B000000IXi0JIAT","CallCenter",2020-11-14,"No","003B000000IXi0JIAT","Marc21 Tom21","NTO Insider","San Francisco","USA","003B000000IXi0JIAT","Marc21 Tom21","CA","Active","5.9-12 months","Individual",,,"IndivAiK_007","0lpB0000000PBdwIAG",,,,"2020-04-18T00:00:00.000Z","2021-03-21T00:00:00.000Z",TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Based on Past Activities or Tier",2021-08-11,"0lyB0000000RJCcIAO",FALSE,"Points","Number of Transactions",,,,"Data21 User21",,,,"0lMB0000000RIFIMA4",,,,,"Data21 User21","003B000000IXi0KIAT","Social",2020-01-14,"No","003B000000IXi0KIAT","Data21 User21","NTO Insider","New Jersey","USA","003B000000IXi0KIAT","Data21 User21","NJ","Active","6.1-2 years","Individual",,,"IndivAiK_008","0lpB0000000PBdwIAG",,,,"2021-02-28T00:00:00.000Z","2021-11-24T00:00:00.000Z",FALSE,"Lifetime","Elite",2,"0ltB0000000PBbvIAG","0lgB0000000TNJMIA4","Elite","Test",2022-02-11,2021-11-01
"VIP Member",2020-01-14,"0lyB0000000RJCdIAO",FALSE,"Points","Number of Transactions",,,,"Data21 User21",,,,"0lMB0000000RIFIMA4",,,,,"Data21 User21","003B000000IXi0KIAT","Social",2020-01-14,"No","003B000000IXi0KIAT","Data21 User21","NTO Insider","New Jersey","USA","003B000000IXi0KIAT","Data21 User21","NJ","Active","6.1-2 years","Individual",,,"IndivAiK_008","0lpB0000000PBdwIAG",,,,"2021-02-28T00:00:00.000Z","2021-11-24T00:00:00.000Z",TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Resolve Tier Conflict",2020-10-02,"0lyB0000000RJCeIAO",FALSE,"Points","Number of Transactions",,,,"User21 Q4DataUser21",,,,"0lMB0000000RIFJMA4",,,,,"User21 Q4DataUser21","003B000000IXi0LIAT","POS",2020-10-02,"No","003B000000IXi0LIAT","User21 Q4DataUser21","NTO Insider","San Francisco","USA","003B000000IXi0LIAT","User21 Q4DataUser21","CA","Active","6.1-2 years","Individual",,,"IndivAiK_006","0lpB0000000PBdwIAG",,,,"2021-01-21T00:00:00.000Z","2021-08-01T00:00:00.000Z",FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Based on Past Activities or Tier",2020-10-02,"0lyB0000000RJCfIAO",FALSE,"Points","Number of Transactions",,,,"User21 Q4DataUser21",,,,"0lMB0000000RIFJMA4",,,,,"User21 Q4DataUser21","003B000000IXi0LIAT","POS",2020-10-02,"No","003B000000IXi0LIAT","User21 Q4DataUser21","NTO Insider","San Francisco","USA","003B000000IXi0LIAT","User21 Q4DataUser21","CA","Active","6.1-2 years","Individual",,,"IndivAiK_006","0lpB0000000PBdwIAG",,,,"2021-01-21T00:00:00.000Z","2021-08-01T00:00:00.000Z",TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"VIP Member",2020-05-13,"0lyB0000000RJCgIAO",FALSE,"Points","Number of Transactions",,,,"Marc22 Tom22",,,,"0lMB0000000RIFKMA4",,,,,"Marc22 Tom22","003B000000IXi0MIAT","Web",2020-05-13,"No","003B000000IXi0MIAT","Marc22 Tom22","NTO Insider","San Francisco","USA","003B000000IXi0MIAT","Marc22 Tom22","CA","Active","6.1-2 years","Individual",,,"IndivAiK_027","0lpB0000000PBdwIAG",,,,"2021-03-07T00:00:00.000Z","2021-08-14T00:00:00.000Z",FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Resolve Tier Conflict",2020-05-13,"0lyB0000000RJChIAO",FALSE,"Points","Number of Transactions",,,,"Marc22 Tom22",,,,"0lMB0000000RIFKMA4",,,,,"Marc22 Tom22","003B000000IXi0MIAT","Web",2020-05-13,"No","003B000000IXi0MIAT","Marc22 Tom22","NTO Insider","San Francisco","USA","003B000000IXi0MIAT","Marc22 Tom22","CA","Active","6.1-2 years","Individual",,,"IndivAiK_027","0lpB0000000PBdwIAG",,,,"2021-03-07T00:00:00.000Z","2021-08-14T00:00:00.000Z",TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Based on Past Activities or Tier",2020-07-01,"0lyB0000000RJCiIAO",FALSE,"Points","Number of Transactions",,,,"Data22 User22",,,,"0lMB0000000RIFLMA4",,,,,"Data22 User22","003B000000IXi0NIAT","POS",2020-07-01,"No","003B000000IXi0NIAT","Data22 User22","NTO Insider","New Jersey","USA","003B000000IXi0NIAT","Data22 User22","NJ","Active","6.1-2 years","Individual",,,"IndivAiK_028","0lpB0000000PBdwIAG",,,,"2020-04-13T00:00:00.000Z","2021-10-06T00:00:00.000Z",FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
