"UserName","LastProcessedDate","Photo","Manager","CloseDate","Role","UserExternalId","QuotaAttainment","Quota","PipelineForecast","ClosedWonForecast","ClosedWon","CommitForecast"
"Elliot Executive","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36b/T","Samantha Dispatcher","2022-09-30","VP of Sales","User.007",85,400000,493310,432354,367501,660724
"Social Hub","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c380/T",,"2022-06-12","CEO","User.068",108,200000,242262,201449,217565,392298
"Richard Elliott","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHJ3/T","John Smith","2023-01-02","East CSR","W_User.17",90,200000,237159,200214,180193,326328
"Tammy Baxter","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37z/T","Acme Dispatcher","2022-11-22","AUser Customer Person Account","User.056",60,300000,360887,314698,188819,248315
"Jonathan Perkins","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIj/T","John Smith","2022-08-25","East CSR","W_User.15",80,400000,514594,449946,359957,645700
"Mark Watson","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c38Y/T",,"2022-10-17","CEO","User.102",70,200000,255076,226516,158561,261639
"Tammy Baxter","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37z/T","Acme Dispatcher","2022-05-26","AUser Customer Person Account","User.056",60,500000,569314,511150,306690,414016
"Alf Operations","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37Y/T","Samantha Dispatcher","2022-07-22","VP of Customer Service","User.013",95,400000,493783,397677,377793,687268
"Helen Roberts","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c38Z/T","Acme Dispatcher","2022-10-11","Director of Human Resources","User.168",60,400000,487832,457455,274473,286014
"Xavier Acme","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37G/T","Acme Dispatcher","2022-09-27","Acme Partners Partner User","User.117",55,400000,446645,455753,250664,411376
"Wes Chopra","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c38W/T","Acme Dispatcher","2022-08-08","Green Fields Media Customer User","User.112",105,300000,362636,291666,306249,560621
"Sarah Phillips","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37w/T","Acme Dispatcher","2022-06-15","Acme Partners Partner Executive","User.053",80,400000,506131,447363,357890,629595
"Tim Service","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c377/T","Acme Dispatcher","2022-03-03","Customer Service Agent","User.031",40,500000,617766,733120,293248,464909
"Bob Hodges","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c382/T","Acme Dispatcher","2022-12-30","Omega, Inc. Customer Executive","User.061",55,400000,452053,491444,270294,429952
"Vanessa Central","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36c/T","Cindy Central","2022-11-29","RVP Central","User.000",60,200000,247180,229957,137974,159347
"Andrea Admin","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36j/T","Acme Dispatcher","2022-02-03","Director of Human Resources","User.005",70,400000,472213,432389,302672,516284
"Bill West","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36h/T","Acme Dispatcher","2022-05-29","West Sales","User.021",105,500000,621178,494554,519282,938998
"Olivia Order","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37D/T","Wanda Wilson","2022-03-24","Central Sales","User.058",40,300000,369721,409498,163799,256207
"Jonathan Perkins","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIj/T","John Smith","2022-04-29","East CSR","W_User.15",85,500000,641406,556315,472868,853864
"Linda Service","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36n/T","Acme Dispatcher","2022-10-13","Customer Service Agent","User.032",60,200000,226148,206993,124196,169897
"Jennifer Perez","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHJJ/T","Michelle Chung","2022-06-18","West CSR","W_User.1",95,400000,459072,392442,372820,681130
"Tammy Brooks","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHJD/T","Jennifer Lee","2022-05-06","West CSR","W_User.5",55,400000,511122,494540,271997,423935
"Richard Hayden","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/005/T","Michelle Chung","2022-07-25","West CSM","W_User.M.18",108,500000,591259,510237,551056,992106
"Michelle Chung","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c38X/T",,"2022-04-20","CEO","User.165",90,500000,635624,522042,469838,868384
"Yvette Acme","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37H/T","Acme Dispatcher","2022-03-01","Acme Partners Partner User","User.118",70,300000,376515,343983,240788,405005
"Jennifer Adams","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHJ8/T","Michelle Chung","2022-08-12","West CSR","W_User.3",90,400000,498308,411679,370511,673652
"Samantha Dispatcher","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c38b/T",,"2022-02-01","CEO","User.166",80,300000,368252,336583,269266,478902
"Courtney Bennett","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIZ/T","Wanda Wilson","2022-03-15","Central CSR","W_User.8",80,200000,240301,215089,172071,301621
"Sean Silver","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36W/T","Acme Dispatcher","2022-12-09","Pinnacle Partners Partner User","User.035",105,500000,570251,498045,522947,944148
"Gabriel Anderson","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHmv/T","Wanda Wilson","2022-09-26","Central CSM","W_User.M.20",85,500000,600843,512102,435287,768153
"Valerie East","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36Y/T","Ely East","2022-12-01","RVP East","User.012",108,500000,569604,503353,543621,982120
"Steven Service","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37Z/T","Acme Dispatcher","2022-11-17","VP of Customer Service","User.018",60,500000,635244,525360,315216,394736
"Vance Channel","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36f/T","Acme Dispatcher","2022-07-22","Director of Channel Sales","User.037",60,500000,623542,532768,319661,377371
"Diane Brock","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHJI/T","Michelle Chung","2022-08-14","West CSR","W_User.2",95,500000,631279,480725,456689,828903
"Elliot Executive","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36b/T","Samantha Dispatcher","2022-12-30","VP of Sales","User.007",40,500000,619082,735463,294185,459006
"Sue Marketing","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37a/T","Acme Dispatcher","2022-05-18","VP of Marketing","User.017",55,200000,251588,237449,130597,205489
"Barry Brown","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36g/T","Acme Dispatcher","2022-02-23","Meridian Partners Partner User","User.034",55,300000,389652,379113,208512,325693
"Taylor Gonzalez","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIU/T","Cindy Central","2022-04-02","Central CSR","W_User.11",85,300000,376885,305892,260008,466367
"Andrea Bowden","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37e/T","Acme Dispatcher","2022-01-04","Displaytech Customer User","User.028",105,300000,376461,299930,314927,576727
"Joseph Hartman","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/005/T","John Smith","2022-06-07","East CSM","W_User.M.19",60,400000,507284,421650,252990,337303
"Quentin Engineer","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37b/T","Acme Dispatcher","2022-09-04","Director of Engineering","User.023",55,300000,379091,371516,204334,316745
"Neil Patel","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37q/T","Acme Dispatcher","2022-04-25","Social Media Manager","User.065",80,500000,624498,549149,439319,782233
"Steve Ishikawa","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37g/T","Acme Dispatcher","2022-10-28","Vand Enterprises, Inc. Customer User","User.036",108,300000,355327,303104,327352,600160
"Ted Data","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36t/T","Acme Dispatcher","2022-01-23","Director of Finance","User.006",90,400000,481332,419179,377261,679270
"Brenda Service","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36k/T","Acme Dispatcher","2022-05-11","Customer Service Manager","User.029",70,200000,221952,217874,152512,257445
"Chris Plus","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37l/T","Acme Dispatcher","2022-09-02","Team Lead","User.044",60,400000,512025,407352,244411,296408
"Wanda Wilson","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHS2/T",,"2022-06-09","CEO","User.001",40,300000,374593,439313,175725,272625
"Ricky East","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36X/T","Dustin Good","2022-04-03","East Sales","User.019",95,400000,501963,385043,365791,676290
"Vince West","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36a/T","Jennifer Lee","2022-02-18","RVP West","User.011",55,400000,440019,488858,268872,423819
"Social Hub","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c380/T",,"2022-07-11","CEO","User.068",85,400000,449338,417304,354708,643200
"Cindy Central","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36V/T","Wanda Wilson","2022-12-05","Central Sales","User.016",85,500000,617013,542213,460881,815299
"Mark Watson","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c38Y/T",,"2022-10-25","CEO","User.102",85,500000,594105,529720,450262,794780
"Paul Partner","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36d/T","Chet Callaghan","2022-09-14","Acme Partners Partner Executive","User.059",108,500000,566968,500399,540431,986301
"Mark Kingston","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37f/T","Acme Dispatcher","2022-04-11","Omega, Inc. Customer Executive","User.026",105,200000,227160,199427,209398,380946
"Wendy West","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36Z/T","Jennifer Lee","2022-11-24","West Sales","User.022",60,500000,624434,551263,330758,415113
"Julia Holland","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIF/T","Wanda Wilson","2022-10-23","Central CSR","W_User.6",90,200000,254426,202524,182272,329141
"Karen Perez","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIe/T","John Smith","2022-05-16","East CSR","W_User.12",55,200000,220489,231871,127529,206935
"Mark Metz","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37h/T","Acme Dispatcher","2022-04-29","Advanced Communications Customer User","User.100",80,400000,484764,449911,359929,647743
"Dustin Good","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIo/T","John Smith","2023-01-02","East CSR","W_User.14",40,200000,253180,253693,101477,156049
"Daryl Distributor","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c38V/T","Acme Dispatcher","2022-08-17","Zenith Distributors Partner User","User.120",55,300000,367668,364727,200600,318015
"Kimberly Nixon","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIK/T","Wanda Wilson","2022-03-03","Central CSR","W_User.7",60,400000,494775,456105,273663,300247
"James Wu","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37d/T","Acme Dispatcher","2022-01-05","Omega, Inc. Customer User","User.024",95,300000,354342,294831,280089,507968
"Kimberly Brooks","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIP/T","Wanda Wilson","2022-03-05","Central CSR","W_User.9",70,200000,222075,220610,154427,269401
"Kasey Central","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36T/T","Wanda Wilson","2022-06-08","Central Sales","User.015",70,200000,236804,239513,167659,286169
"Jennifer Lee","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHJN/T","Michelle Chung","2022-09-11","West CSR","W_User.4",90,300000,357986,308038,277234,502983
"Richard Elliott","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHJ3/T","John Smith","2022-07-28","East CSR","W_User.17",60,200000,229378,218490,131094,150503
"Acme Dispatcher","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37F/T","Paul Partner","2022-11-06","Acme Partners Partner Manager","User.116",40,400000,492615,510000,204000,324804
"Ted Training","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c381/T","Acme Dispatcher","2022-03-14","Team Lead","User.057",90,200000,250541,201820,181638,328160
"Zach Acme","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37I/T","Acme Dispatcher","2022-07-07","Acme Partners Partner User","User.119",80,200000,259437,217403,173922,304602
"Gordon Reeves","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36u/T","Acme Dispatcher","2022-05-31","Business Development Director","User.003",105,300000,377646,294597,309327,560872
"Jay Service","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36m/T","Acme Dispatcher","2022-11-21","Customer Service Manager","User.030",60,400000,452123,402980,241788,296724
"Chet Callaghan","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c378/T","Elliot Executive","2022-08-08","Director of Channel Sales","User.002",85,300000,365217,311175,264499,483073
"Jamie Green","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36U/T","Acme Dispatcher","2022-09-30","Summit Resellers Partner User","User.033",70,300000,368405,337979,236585,410607
"Lauren Bailey","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37v/T","Acme Dispatcher","2022-12-28","Omega, Inc. Customer Manager","User.075",55,300000,384643,379507,208729,331410
"William Martinez","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIy/T","Ely East","2022-04-09","East CSR","W_User.16",40,500000,595789,703680,281472,431337
"Miguel Jensen","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIt/T","John Smith","2022-01-13","East CSR","W_User.13",70,300000,367859,323303,226312,379082
"John Smith","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c38R/T",,"2022-06-29","CEO","User.163",95,500000,645867,488463,464040,846693
"Ely East","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36e/T","Dustin Good","2022-02-28","East Sales","User.020",55,200000,225239,232564,127910,204233
"Acme Dispatcher","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37F/T","Wanda Wilson","2022-10-27","Central CSR","W_User.10",60,400000,460319,415487,249292,289611
"Yvette Acme","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37H/T","Acme Dispatcher","2022-02-10","Acme Partners Partner User","User.118",105,200000,239227,198973,208922,386381
"Vanessa Central","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36c/T","Cindy Central","2022-01-13","RVP Central","User.000",85,200000,241618,200322,170274,313976
"Tammy Baxter","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37z/T","Acme Dispatcher","2022-08-05","AUser Customer Person Account","User.056",70,200000,240603,216090,151263,258315
"Mark Metz","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37h/T","Acme Dispatcher","2022-12-01","Advanced Communications Customer User","User.100",60,200000,231987,213205,127923,146394
"William Martinez","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIy/T","Ely East","2022-12-31","East CSR","W_User.16",40,500000,552018,722100,288840,444866
"Sarah Phillips","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37w/T","Acme Dispatcher","2022-09-27","Acme Partners Partner Executive","User.053",90,300000,359849,316206,284585,526036
"Mark Watson","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c38Y/T",,"2022-07-26","CEO","User.102",55,400000,449626,448502,246676,391476
"Cindy Central","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36V/T","Wanda Wilson","2022-04-09","Central Sales","User.016",85,300000,360003,318336,270586,484640
"Social Hub","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c380/T",,"2022-10-30","CEO","User.068",95,400000,476546,393546,373869,691220
"Paul Partner","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36d/T","Chet Callaghan","2022-03-08","Acme Partners Partner Executive","User.059",108,300000,348881,300258,324279,586420
"Tim Service","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c377/T","Acme Dispatcher","2022-06-24","Customer Service Agent","User.031",55,500000,589227,630809,346945,556664
"Miguel Jensen","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIt/T","John Smith","2022-05-11","East CSR","W_User.13",60,500000,555099,510042,306025,408082
"Sean Silver","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36W/T","Acme Dispatcher","2022-11-16","Pinnacle Partners Partner User","User.035",108,200000,231479,203331,219597,401923
"Jamie Green","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36U/T","Acme Dispatcher","2022-08-17","Summit Resellers Partner User","User.033",105,200000,242040,196298,206113,374490
"Gabriel Anderson","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHmv/T","Wanda Wilson","2022-06-04","Central CSM","W_User.M.20",85,500000,628415,505471,429650,774969
"Taylor Gonzalez","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIU/T","Cindy Central","2022-12-30","Central CSR","W_User.11",85,400000,445935,402240,341904,607300
"Courtney Bennett","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIZ/T","Wanda Wilson","2022-09-23","Central CSR","W_User.8",80,400000,478014,441863,353490,631328
"Richard Elliott","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHJ3/T","John Smith","2022-10-07","East CSR","W_User.17",80,400000,470547,448114,358491,633663
"Jennifer Lee","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHJN/T","Michelle Chung","2022-05-16","West CSR","W_User.4",90,200000,250037,208019,187217,338778
"Neil Patel","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37q/T","Acme Dispatcher","2022-03-17","Social Media Manager","User.065",70,400000,442873,432299,302609,522375
"Barry Brown","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36g/T","Acme Dispatcher","2022-01-22","Meridian Partners Partner User","User.034",55,400000,478717,437300,240515,381160
"Alf Operations","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37Y/T","Samantha Dispatcher","2022-02-25","VP of Customer Service","User.013",108,200000,221595,206165,222658,410634
"Ted Data","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36t/T","Acme Dispatcher","2022-08-02","Director of Finance","User.006",95,200000,223974,201677,191593,349837
"Dustin Good","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIo/T","John Smith","2022-04-05","East CSR","W_User.14",60,300000,374543,329378,197627,228432
"Wendy West","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36Z/T","Jennifer Lee","2022-12-03","West Sales","User.022",40,500000,616087,737693,295077,451763
"Jennifer Adams","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHJ8/T","Michelle Chung","2022-04-24","West CSR","W_User.3",60,300000,331126,310973,186584,244992
"Jonathan Perkins","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIj/T","John Smith","2022-02-19","East CSR","W_User.15",55,400000,466686,441960,243078,398838
"Wanda Wilson","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHS2/T",,"2022-01-17","CEO","User.001",108,400000,456356,416401,449713,828757
"Steven Service","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37Z/T","Acme Dispatcher","2022-10-19","VP of Customer Service","User.018",40,400000,519269,512518,205007,315761
"Tammy Brooks","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHJD/T","Jennifer Lee","2022-09-28","West CSR","W_User.5",80,200000,254674,223843,179074,320036
"Diane Brock","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHJI/T","Michelle Chung","2022-06-03","West CSR","W_User.2",70,400000,488194,469337,328536,563473
"Xavier Acme","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37G/T","Acme Dispatcher","2022-07-13","Acme Partners Partner User","User.117",80,200000,242406,219178,175342,315448
"Andrea Bowden","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37e/T","Acme Dispatcher","2022-03-23","Displaytech Customer User","User.028",95,500000,627642,498821,473880,863403
"Lauren Bailey","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37v/T","Acme Dispatcher","2022-12-09","Omega, Inc. Customer Manager","User.075",60,400000,456916,417508,250505,290517
"Elliot Executive","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36b/T","Samantha Dispatcher","2022-08-28","VP of Sales","User.007",55,200000,222691,222135,122174,199810
"Sue Marketing","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37a/T","Acme Dispatcher","2022-06-24","VP of Marketing","User.017",90,400000,499200,416666,374999,687790
"Quentin Engineer","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37b/T","Acme Dispatcher","2022-01-13","Director of Engineering","User.023",105,200000,228669,196051,205854,379349
"Wes Chopra","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c38W/T","Acme Dispatcher","2022-12-10","Green Fields Media Customer User","User.112",85,400000,510788,403204,342723,631225
"Zach Acme","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37I/T","Acme Dispatcher","2022-09-12","Acme Partners Partner User","User.119",55,200000,246779,225115,123813,201225
"Jennifer Perez","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHJJ/T","Michelle Chung","2022-10-31","West CSR","W_User.1",40,200000,247962,264548,105819,169157
"Jay Service","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36m/T","Acme Dispatcher","2022-03-26","Customer Service Manager","User.030",70,300000,358686,324767,227337,397142
"Vince West","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36a/T","Jennifer Lee","2022-04-23","RVP West","User.011",108,300000,378969,305597,330045,601550
"Helen Roberts","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c38Z/T","Acme Dispatcher","2022-11-16","Director of Human Resources","User.168",60,200000,256704,212352,127411,155531
"Acme Dispatcher","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37F/T","Paul Partner","2022-07-18","Acme Partners Partner Manager","User.116",40,400000,493356,586785,234714,363550
"Acme Dispatcher","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37F/T","Wanda Wilson","2022-02-26","Central CSR","W_User.10",80,300000,382333,329209,263367,461544
"Kimberly Brooks","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIP/T","Wanda Wilson","2022-08-21","Central CSR","W_User.9",70,300000,385273,343356,240349,407651
"Chet Callaghan","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c378/T","Elliot Executive","2022-06-09","Director of Channel Sales","User.002",55,200000,248148,243213,133767,218527
"Julia Holland","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIF/T","Wanda Wilson","2022-05-24","Central CSR","W_User.6",90,400000,502865,410806,369725,681870
"Daryl Distributor","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c38V/T","Acme Dispatcher","2022-07-09","Zenith Distributors Partner User","User.120",60,400000,493137,458547,275128,291107
"Ely East","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36e/T","Dustin Good","2022-10-17","East Sales","User.020",105,200000,249978,194545,204272,373123
"Bill West","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36h/T","Acme Dispatcher","2022-11-11","West Sales","User.021",85,200000,256289,203084,172621,304649
"Valerie East","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36Y/T","Ely East","2022-05-05","RVP East","User.012",95,200000,249430,197347,187480,342821
"John Smith","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c38R/T",,"2022-02-04","CEO","User.163",90,400000,450296,419597,377637,693417
"Mark Kingston","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37f/T","Acme Dispatcher","2022-04-15","Omega, Inc. Customer Executive","User.026",60,400000,451729,433297,259978,290782
"James Wu","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37d/T","Acme Dispatcher","2022-09-19","Omega, Inc. Customer User","User.024",70,300000,338597,329883,230918,399720
"Michelle Chung","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c38X/T",,"2022-08-09","CEO","User.165",90,300000,350226,307537,276783,511061
"Gordon Reeves","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36u/T","Acme Dispatcher","2022-12-29","Business Development Director","User.003",55,200000,243513,243067,133687,212644
"Karen Perez","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIe/T","John Smith","2022-06-13","East CSR","W_User.12",105,200000,227732,195010,204761,372403
"Vance Channel","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36f/T","Acme Dispatcher","2022-03-30","Director of Channel Sales","User.037",85,400000,500096,445805,378934,669203
"Joseph Hartman","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/005/T","John Smith","2022-01-25","East CSM","W_User.M.19",80,200000,228584,213950,171160,302858
"Andrea Admin","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36j/T","Acme Dispatcher","2022-10-24","Director of Human Resources","User.005",95,200000,245078,198466,188543,341007
"Ricky East","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36X/T","Dustin Good","2022-09-16","East Sales","User.019",55,300000,389121,336833,185258,296549
"Steve Ishikawa","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37g/T","Acme Dispatcher","2022-11-10","Vand Enterprises, Inc. Customer User","User.036",60,400000,519858,424887,254932,317135
