"OWNERUNIQUEUSERNAME","ISHIGHPRIORITY","OWNERID","ACCOUNTRECORDTYPENAME","ACCOUNTTYPE","OWNERSTATE","ACTIVITYDATE","PRIORITY","CREATEDDATE","OWNERCITY","STATUS","DESCRIPTION","OWNERROLENAME","EVENTSUBTYPE","ACCOUNTID","OWNERSMALLPHOTOURL","DUEDATE","TYPE","ANALYTICSDEMO_BATCH_ID_C","ACCOUNTINVESTMENTOBJECTIVES","REGARDING","TASKSUBTYPE","ACCOUNTNAME","ACCOUNTINVESTMENTEXPERIENCE","LastProcessedDate","ACCOUNTMARKETINGSEGMENT","OWNERNAME","ACCOUNTBALANCEBUCKET","CALLTYPE","SUBJECT","OWNEREMAIL"
"Mark Garet","true","0051U000005JQyrQAG","Person Account","Customer","IL","2019-07-30","High","2018-08-03","Chicago","Completed","-","Manager","Call","0011U00000KuFbNQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-07-30","Meeting","20190829135125753975","Aggressive Growth","Service","Call","Lewis Ramirez","Moderately Experienced","2019-08-29","Affluent Professionals","Allen Advisor","2. Between 50k and 250k","Event","Evaluate Refinancing Loan","allen.advisor@example.com"
"Mark Garet","true","0051U000005KhW6QAK","Household","Customer","NY","2019-08-27","High","2019-03-03","New York","Completed","-","Manager","Call","0011U00000KuFbPQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-27","Other","20190829135125753975","Growth","Prospecting","Call","Giselle Caldwell","Moderately Inexperienced","2019-08-29","Affluent Professionals","Mark Garet","2. Between 50k and 250k","Event","Quarterly Earnings Summary","mark.garet@example.com"
"Allen Advisor","true","0051U000005L4E9QAK","Individual","Customer","CA","2019-08-24","High","2019-08-09","San Francisco","Completed","-","Manager","Call","0011U00000KuFbSQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-24","Other","20190829135125753975","Aggressive Growth","Client Retention","Call","Elmo Gaines","Moderately Experienced","2019-08-29","Affluent Professionals","Brenda Banker","2. Between 50k and 250k","Event","Sync Up","sunil.dixit@example.com"
"Chelsea Advisor","true","0051U000005L4E9QAK","Household","Customer","CA","2019-08-20","High","2019-03-03","San Francisco","Completed","-","Manager","Call","0011U00000KuFbUQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-20","Email","20190829135125753975","Balanced Growth","Onboarding","Call","Darius Mann","Inexperienced","2019-08-29","Mass Market","Brenda Banker","2. Between 50k and 250k","Event","Evaluate Refinancing Loan","sunil.dixit@example.com"
"Allen Advisor","true","0051U000005JQyrQAG","Individual","Customer","IL","2019-08-10","High","2019-01-12","Chicago","Completed","-","Manager","Call","0011U00000KuFbWQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-10","Other","20190829135125753975","Balanced Growth","Prospecting","Call","Ishmael Riley","Experienced","2019-08-29","Retired","Allen Advisor","1. Less than 50k","Event","Summit","allen.advisor@example.com"
"Mark Garet","true","0051U000005KhW6QAK","Individual","Customer","NY","2019-08-01","High","2019-07-29","New York","Completed","-","Manager","Call","0011U00000KuFbXQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-01","Call","20190829135125753975","Balanced Growth","Service","Call","Molly Sullivan","Moderately Inexperienced","2019-08-29","Millennials","Mark Garet","2. Between 50k and 250k","Event","Quarterly Earnings Summary","mark.garet@example.com"
"Allen Advisor","true","0051U000005L6eJQAS","Person Account","Customer","FL","2019-08-15","High","2019-04-25","Florida","Completed","-","Manager","Call","0011U00000KuFbYQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-15","Other","20190829135125753975","Aggressive Growth","Onboarding","Call","Kermit Fuentes","Inexperienced","2019-08-29","Retired","Chelsea Advisor","1. Less than 50k","Event","Summit","ryan.dobson@example.com"
"Brenda Banker","true","0051U000005KhW6QAK","Person Account","Customer","NY","2019-07-30","High","2018-10-04","New York","Completed","-","Manager","Call","0011U00000KuFbZQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-07-30","Call","20190829135125753975","Balanced Growth","Prospecting","Call","Jayme Stone","Experienced","2019-08-29","High Net Worth Families","Mark Garet","1. Less than 50k","Event","Sync Up","mark.garet@example.com"
"Brenda Banker","true","0051U000005KhW6QAK","Person Account","Customer","NY","2019-08-25","High","2018-06-13","New York","Completed","-","Manager","Call","0011U00000KuFbaQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-25","Call","20190829135125753975","Balanced Growth","Onboarding","Call","Jana Russo","Inexperienced","2019-08-29","High Net Worth Families","Mark Garet","2. Between 50k and 250k","Event","Summit","mark.garet@example.com"
"Brenda Banker","true","0051U000005KhW6QAK","Person Account","Customer","NY","2019-08-05","High","2018-05-05","New York","Completed","-","Manager","Call","0011U00000KuFbbQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-05","Other","20190829135125753975","Aggressive Growth","Service","Call","Garrison Conley","Experienced","2019-08-29","Millennials","Mark Garet","2. Between 50k and 250k","Event","Quarterly Earnings Summary","mark.garet@example.com"
"Allen Advisor","true","0051U000005L6eJQAS","Household","Customer","FL","2019-08-13","High","2018-10-04","Florida","Completed","-","Manager","Call","0011U00000KuFbcQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-13","Call","20190829135125753975","Aggressive Growth","Onboarding","Call","Gage Mendez","Moderately Inexperienced","2019-08-29","Affluent Professionals","Chelsea Advisor","2. Between 50k and 250k","Event","Summit","ryan.dobson@example.com"
"Mark Garet","true","0051U000005KhW6QAK","Household","Customer","NY","2019-08-08","High","2018-06-04","New York","Completed","-","Manager","Call","0011U00000KuFbdQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-08","Other","20190829135125753975","Income","Prospecting","Call","Austin Johns","Experienced","2019-08-29","Mass Market","Mark Garet","1. Less than 50k","Event","Evaluate Refinancing Loan","mark.garet@example.com"
"Chelsea Advisor","true","0051U000005L6eJQAS","Person Account","Customer","FL","2019-08-27","High","2019-08-25","Florida","Completed","-","Manager","Call","0011U00000KuFbeQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-27","Meeting","20190829135125753975","Aggressive Growth","Prospecting","Call","Lael Wilder","Experienced","2019-08-29","Retired","Chelsea Advisor","2. Between 50k and 250k","Event","Lunch Meeting","ryan.dobson@example.com"
"Brenda Banker","true","0051U000005JQyrQAG","Person Account","Customer","IL","2019-08-06","High","2018-10-02","Chicago","Completed","-","Manager","Call","0011U00000KuFbgQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-06","Email","20190829135125753975","Aggressive Growth","Onboarding","Call","Shaeleigh Perry","Experienced","2019-08-29","Mass Market","Allen Advisor","1. Less than 50k","Event","Send Birthday Gift","allen.advisor@example.com"
"Mark Garet","true","0051U000005KhW6QAK","Household","Customer","NY","2019-08-13","High","2018-07-20","New York","Completed","-","Manager","Call","0011U00000KuFbhQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-13","Other","20190829135125753975","Aggressive Growth","Onboarding","Call","Celeste Roberson","Experienced","2019-08-29","Retired","Mark Garet","1. Less than 50k","Event","Sync Up","mark.garet@example.com"
"Allen Advisor","true","0051U000005L4E9QAK","Household","Customer","CA","2019-08-21","High","2019-04-02","San Francisco","Completed","-","Manager","Call","0011U00000KuFbiQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-21","Email","20190829135125753975","Balanced Growth","Service","Call","Simone Ward","Experienced","2019-08-29","High Net Worth Families","Brenda Banker","1. Less than 50k","Event","Summit","sunil.dixit@example.com"
"Chelsea Advisor","true","0051U000005JQyrQAG","Household","Customer","IL","2019-08-04","High","2018-09-30","Chicago","Completed","-","Manager","Call","0011U00000KuFblQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-04","Email","20190829135125753975","Income","Prospecting","Call","Nicholas Spears","Moderately Experienced","2019-08-29","High Net Worth Families","Allen Advisor","2. Between 50k and 250k","Event","Summit","allen.advisor@example.com"
"Allen Advisor","true","0051U000005L6eJQAS","Person Account","Customer","FL","2019-08-04","High","2019-02-11","Florida","Completed","-","Manager","Call","0011U00000KuFbmQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-04","Meeting","20190829135125753975","Income","Onboarding","Call","Dalton Norton","Moderately Inexperienced","2019-08-29","Millennials","Chelsea Advisor","2. Between 50k and 250k","Event","Summit","ryan.dobson@example.com"
"Allen Advisor","true","0051U000005KhW6QAK","Person Account","Customer","NY","2019-08-18","High","2018-06-14","New York","Completed","-","Manager","Call","0011U00000KuFbnQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-18","Other","20190829135125753975","Income","Service","Call","Zephr Pace","Experienced","2019-08-29","Mass Market","Mark Garet","2. Between 50k and 250k","Event","Send Birthday Gift","mark.garet@example.com"
"Allen Advisor","true","0051U000005KhW6QAK","Person Account","Customer","NY","2019-07-31","High","2018-06-17","New York","Completed","-","Manager","Call","0011U00000KuFbpQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-07-31","Meeting","20190829135125753975","Income","Service","Call","Tatiana Sexton","Moderately Inexperienced","2019-08-29","Retired","Mark Garet","1. Less than 50k","Event","Evaluate Refinancing Loan","mark.garet@example.com"
"Chelsea Advisor","true","0051U000005L4E9QAK","Person Account","Customer","CA","2019-08-15","High","2019-08-11","San Francisco","Completed","-","Manager","Call","0011U00000KuFbqQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-15","Other","20190829135125753975","Growth","Prospecting","Call","Lucius Albert","Moderately Experienced","2019-08-29","High Net Worth Families","Brenda Banker","1. Less than 50k","Event","Evaluate Refinancing Loan","sunil.dixit@example.com"
"Mark Garet","true","0051U000005L4E9QAK","Person Account","Customer","CA","2019-08-04","High","2018-11-10","San Francisco","Completed","-","Manager","Call","0011U00000KuFbrQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-04","Meeting","20190829135125753975","Income","Onboarding","Call","Lucius Blevins","Inexperienced","2019-08-29","Mass Market","Brenda Banker","1. Less than 50k","Event","Evaluate Refinancing Loan","sunil.dixit@example.com"
"Brenda Banker","true","0051U000005L6eJQAS","Person Account","Customer","FL","2019-08-22","High","2019-02-01","Florida","Completed","-","Manager","Call","0011U00000KuFbsQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-22","Email","20190829135125753975","Aggressive Growth","Onboarding","Call","Wynter Reese","Experienced","2019-08-29","Retired","Chelsea Advisor","1. Less than 50k","Event","Lunch Meeting","ryan.dobson@example.com"
"Chelsea Advisor","true","0051U000005L4E9QAK","Person Account","Customer","CA","2019-08-02","High","2019-02-09","San Francisco","Completed","-","Manager","Call","0011U00000KuFbtQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-02","Email","20190829135125753975","Balanced Growth","Client Retention","Call","Destiny Patrick","Moderately Inexperienced","2019-08-29","High Net Worth Families","Brenda Banker","1. Less than 50k","Event","Summit","sunil.dixit@example.com"
"Brenda Banker","true","0051U000005L6eJQAS","Person Account","Customer","FL","2019-08-10","High","2018-03-27","Florida","Completed","-","Manager","Call","0011U00000KuFbuQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-10","Email","20190829135125753975","Growth","Prospecting","Call","Byron Jefferson","Moderately Experienced","2019-08-29","Millennials","Chelsea Advisor","2. Between 50k and 250k","Event","Quarterly Earnings Summary","ryan.dobson@example.com"
"Chelsea Advisor","true","0051U000005L4E9QAK","Household","Customer","CA","2019-08-14","High","2018-11-28","San Francisco","Completed","-","Manager","Call","0011U00000KuFbyQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-14","Meeting","20190829135125753975","Balanced Growth","Onboarding","Call","Kristen Mason","Moderately Experienced","2019-08-29","Retired","Brenda Banker","2. Between 50k and 250k","Event","Summit","sunil.dixit@example.com"
"Allen Advisor","true","0051U000005KhW6QAK","Individual","Customer","NY","2019-08-13","High","2019-02-27","New York","Completed","-","Manager","Call","0011U00000KuFbzQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-13","Meeting","20190829135125753975","Growth","Client Retention","Call","Philip Mcguire","Inexperienced","2019-08-29","High Net Worth Families","Mark Garet","1. Less than 50k","Event","Sync Up","mark.garet@example.com"
"Chelsea Advisor","true","0051U000005L4E9QAK","Individual","Customer","CA","2019-08-25","High","2018-11-27","San Francisco","Completed","-","Manager","Call","0011U00000KuFc1QAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-25","Meeting","20190829135125753975","Aggressive Growth","Onboarding","Call","Judah Puckett","Inexperienced","2019-08-29","High Net Worth Families","Brenda Banker","1. Less than 50k","Event","Quarterly Earnings Summary","sunil.dixit@example.com"
"Chelsea Advisor","true","0051U000005L4E9QAK","Household","Customer","CA","2019-08-22","High","2018-12-25","San Francisco","Completed","-","Manager","Call","0011U00000KuFc4QAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-22","Other","20190829135125753975","Growth","Onboarding","Call","William Washington","Moderately Inexperienced","2019-08-29","Millennials","Brenda Banker","1. Less than 50k","Event","Discussion","sunil.dixit@example.com"
"Allen Advisor","true","0051U000005L6eJQAS","Person Account","Customer","FL","2019-08-23","High","2019-04-17","Florida","Completed","-","Manager","Call","0011U00000KuFc5QAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-23","Email","20190829135125753975","Balanced Growth","Prospecting","Call","Jessica Macias","Inexperienced","2019-08-29","Retired","Chelsea Advisor","2. Between 50k and 250k","Event","Summit","ryan.dobson@example.com"
"Brenda Banker","true","0051U000005L6eJQAS","Household","Customer","FL","2019-07-30","High","2018-09-17","Florida","Completed","-","Manager","Call","0011U00000KuFc6QAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-07-30","Meeting","20190829135125753975","Balanced Growth","Prospecting","Call","Martin Price","Moderately Inexperienced","2019-08-29","Mass Market","Chelsea Advisor","2. Between 50k and 250k","Event","Discussion","ryan.dobson@example.com"
"Brenda Banker","true","0051U000005L4E9QAK","Person Account","Customer","CA","2019-08-28","High","2018-07-22","San Francisco","Completed","-","Manager","Call","0011U00000KuFc8QAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-28","Email","20190829135125753975","Balanced Growth","Service","Call","Bevis Spence","Experienced","2019-08-29","Millennials","Brenda Banker","2. Between 50k and 250k","Event","Lunch Meeting","sunil.dixit@example.com"
"Mark Garet","true","0051U000005L4E9QAK","Person Account","Customer","CA","2019-08-24","High","2018-04-24","San Francisco","Completed","-","Manager","Call","0011U00000KuFc9QAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-24","Call","20190829135125753975","Balanced Growth","Prospecting","Call","Hasad Hoffman","Moderately Experienced","2019-08-29","Retired","Brenda Banker","2. Between 50k and 250k","Event","Summit","sunil.dixit@example.com"
"Mark Garet","true","0051U000005JQyrQAG","Household","Customer","IL","2019-08-09","High","2018-11-06","Chicago","Completed","-","Manager","Call","0011U00000KuFcAQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-09","Other","20190829135125753975","Balanced Growth","Service","Call","Mariko Huffman","Experienced","2019-08-29","Mass Market","Allen Advisor","1. Less than 50k","Event","Summit","allen.advisor@example.com"
"Allen Advisor","true","0051U000005KhW6QAK","Person Account","Customer","NY","2019-08-14","High","2019-02-02","New York","Completed","-","Manager","Call","0011U00000KuFcDQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-14","Other","20190829135125753975","Aggressive Growth","Client Retention","Call","Avye Bond","Inexperienced","2019-08-29","High Net Worth Families","Mark Garet","1. Less than 50k","Event","Evaluate Refinancing Loan","mark.garet@example.com"
"Chelsea Advisor","true","0051U000005KhW6QAK","Person Account","Customer","NY","2019-08-23","High","2018-03-10","New York","Completed","-","Manager","Call","0011U00000KuFcEQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-23","Meeting","20190829135125753975","Aggressive Growth","Client Retention","Call","Lawrence Hill","Experienced","2019-08-29","Millennials","Mark Garet","2. Between 50k and 250k","Event","Discussion","mark.garet@example.com"
"Allen Advisor","true","0051U000005L4E9QAK","Individual","Customer","CA","2019-08-24","High","2019-08-23","San Francisco","Completed","-","Manager","Call","0011U00000KuFcJQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-24","Other","20190829135125753975","Aggressive Growth","Onboarding","Call","Rachel Sharpe","Experienced","2019-08-29","Retired","Brenda Banker","2. Between 50k and 250k","Event","Discussion","sunil.dixit@example.com"
"Chelsea Advisor","true","0051U000005L4E9QAK","Household","Customer","CA","2019-08-06","High","2018-06-19","San Francisco","Completed","-","Manager","Call","0011U00000KuFcLQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-06","Meeting","20190829135125753975","Aggressive Growth","Onboarding","Call","Cole Byers","Moderately Experienced","2019-08-29","High Net Worth Families","Brenda Banker","1. Less than 50k","Event","Summit","sunil.dixit@example.com"
"Chelsea Advisor","true","0051U000005KhW6QAK","Person Account","Customer","NY","2019-08-14","High","2018-09-25","New York","Completed","-","Manager","Call","0011U00000KuFcMQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-14","Email","20190829135125753975","Income","Client Retention","Call","Clayton Shepard","Experienced","2019-08-29","Retired","Mark Garet","1. Less than 50k","Event","Send Birthday Gift","mark.garet@example.com"
"Chelsea Advisor","true","0051U000005KhW6QAK","Household","Customer","NY","2019-08-17","High","2018-11-11","New York","Completed","-","Manager","Call","0011U00000KuFcOQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-17","Other","20190829135125753975","Balanced Growth","Service","Call","Kamal Farmer","Moderately Experienced","2019-08-29","Retired","Mark Garet","2. Between 50k and 250k","Event","Evaluate Refinancing Loan","mark.garet@example.com"
"Mark Garet","true","0051U000005L4E9QAK","Person Account","Customer","CA","2019-08-04","High","2018-03-18","San Francisco","Completed","-","Manager","Call","0011U00000KuFcPQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-04","Email","20190829135125753975","Growth","Prospecting","Call","Amal Park","Moderately Experienced","2019-08-29","Mass Market","Brenda Banker","1. Less than 50k","Event","Quarterly Earnings Summary","sunil.dixit@example.com"
"Mark Garet","true","0051U000005KhW6QAK","Person Account","Customer","NY","2019-08-26","High","2019-08-21","New York","Completed","-","Manager","Call","0011U00000KuFcQQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-26","Meeting","20190829135125753975","Growth","Client Retention","Call","Alika Sims","Inexperienced","2019-08-29","Retired","Mark Garet","2. Between 50k and 250k","Event","Summit","mark.garet@example.com"
"Chelsea Advisor","true","0051U000005L4E9QAK","Person Account","Customer","CA","2019-08-04","High","2018-12-06","San Francisco","Completed","-","Manager","Call","0011U00000KuFcRQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-04","Email","20190829135125753975","Balanced Growth","Service","Call","Eric Casey","Moderately Inexperienced","2019-08-29","Millennials","Brenda Banker","1. Less than 50k","Event","Sync Up","sunil.dixit@example.com"
"Mark Garet","true","0051U000005KhW6QAK","Person Account","Customer","NY","2019-08-17","High","2018-03-08","New York","Completed","-","Manager","Call","0011U00000KuFcSQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-17","Call","20190829135125753975","Balanced Growth","Onboarding","Call","Claudia Davenport","Inexperienced","2019-08-29","Millennials","Mark Garet","2. Between 50k and 250k","Event","Summit","mark.garet@example.com"
"Chelsea Advisor","true","0051U000005JQyrQAG","Household","Customer","IL","2019-08-04","High","2019-08-02","Chicago","Completed","-","Manager","Call","0011U00000KuFcTQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-04","Call","20190829135125753975","Balanced Growth","Onboarding","Call","Sophia Gibson","Inexperienced","2019-08-29","Affluent Professionals","Allen Advisor","2. Between 50k and 250k","Event","Lunch Meeting","allen.advisor@example.com"
"Brenda Banker","true","0051U000005L4E9QAK","Person Account","Customer","CA","2019-08-11","High","2018-08-11","San Francisco","Completed","-","Manager","Call","0011U00000KuFcVQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-11","Call","20190829135125753975","Growth","Onboarding","Call","Bernard Brewer","Experienced","2019-08-29","Millennials","Brenda Banker","1. Less than 50k","Event","Lunch Meeting","sunil.dixit@example.com"
"Mark Garet","true","0051U000005JQyrQAG","Household","Customer","IL","2019-08-24","High","2018-04-20","Chicago","Completed","-","Manager","Call","0011U00000KuFcXQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-24","Email","20190829135125753975","Aggressive Growth","Prospecting","Call","Rae Norris","Experienced","2019-08-29","Millennials","Allen Advisor","1. Less than 50k","Event","Discussion","allen.advisor@example.com"
"Chelsea Advisor","true","0051U000005KhW6QAK","Person Account","Customer","NY","2019-08-28","High","2019-08-20","New York","Completed","-","Manager","Call","0011U00000KuFcZQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-28","Meeting","20190829135125753975","Balanced Growth","Client Retention","Call","Anjolie Bass","Inexperienced","2019-08-29","Mass Market","Mark Garet","2. Between 50k and 250k","Event","Lunch Meeting","mark.garet@example.com"
"Brenda Banker","true","0051U000005L6eJQAS","Individual","Customer","FL","2019-08-05","High","2018-11-04","Florida","Completed","-","Manager","Call","0011U00000KuFcbQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-05","Call","20190829135125753975","Growth","Onboarding","Call","Bertha Ramos","Experienced","2019-08-29","Mass Market","Chelsea Advisor","1. Less than 50k","Event","Summit","ryan.dobson@example.com"
"Mark Garet","true","0051U000005L6eJQAS","Individual","Customer","FL","2019-08-21","High","2018-06-13","Florida","Completed","-","Manager","Call","0011U00000KuFcfQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-21","Call","20190829135125753975","Income","Onboarding","Call","Cheyenne Farmer","Experienced","2019-08-29","High Net Worth Families","Chelsea Advisor","1. Less than 50k","Event","Quarterly Earnings Summary","ryan.dobson@example.com"
"Mark Garet","true","0051U000005L4E9QAK","Person Account","Customer","CA","2019-08-16","High","2018-07-25","San Francisco","Completed","-","Manager","Call","0011U00000KuFcgQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-16","Email","20190829135125753975","Balanced Growth","Prospecting","Call","Lillith Macdonald","Inexperienced","2019-08-29","High Net Worth Families","Brenda Banker","2. Between 50k and 250k","Event","Quarterly Earnings Summary","sunil.dixit@example.com"
"Allen Advisor","true","0051U000005L6eJQAS","Household","Customer","FL","2019-08-22","High","2018-12-11","Florida","Completed","-","Manager","Call","0011U00000KuFchQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-22","Meeting","20190829135125753975","Income","Service","Call","Tana Blackwell","Moderately Experienced","2019-08-29","Millennials","Chelsea Advisor","1. Less than 50k","Event","Sync Up","ryan.dobson@example.com"
"Allen Advisor","true","0051U000005L4E9QAK","Individual","Customer","CA","2019-08-20","High","2019-05-03","San Francisco","Completed","-","Manager","Call","0011U00000KuFciQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-20","Meeting","20190829135125753975","Income","Client Retention","Call","Eve Gallagher","Moderately Experienced","2019-08-29","Retired","Brenda Banker","1. Less than 50k","Event","Lunch Meeting","sunil.dixit@example.com"
"Brenda Banker","true","0051U000005L6eJQAS","Person Account","Customer","FL","2019-08-05","High","2018-12-23","Florida","Completed","-","Manager","Call","0011U00000KuFckQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-05","Meeting","20190829135125753975","Income","Service","Call","Vaughan Marquez","Moderately Inexperienced","2019-08-29","High Net Worth Families","Chelsea Advisor","2. Between 50k and 250k","Event","Quarterly Earnings Summary","ryan.dobson@example.com"
"Mark Garet","true","0051U000005KhW6QAK","Individual","Customer","NY","2019-08-20","High","2018-10-24","New York","Completed","-","Manager","Call","0011U00000KuFclQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-20","Call","20190829135125753975","Aggressive Growth","Service","Call","Oleg Dillon","Moderately Experienced","2019-08-29","Millennials","Mark Garet","1. Less than 50k","Event","Discussion","mark.garet@example.com"
"Brenda Banker","true","0051U000005JQyrQAG","Person Account","Customer","IL","2019-08-08","High","2018-11-27","Chicago","Completed","-","Manager","Call","0011U00000KuFcmQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-08","Email","20190829135125753975","Balanced Growth","Onboarding","Call","Beatrice Jensen","Moderately Experienced","2019-08-29","Millennials","Allen Advisor","2. Between 50k and 250k","Event","Quarterly Earnings Summary","allen.advisor@example.com"
"Chelsea Advisor","true","0051U000005JQyrQAG","Person Account","Customer","IL","2019-08-02","High","2018-10-29","Chicago","Completed","-","Manager","Call","0011U00000KuFcoQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-02","Email","20190829135125753975","Balanced Growth","Service","Call","Caesar Tran","Inexperienced","2019-08-29","Millennials","Allen Advisor","2. Between 50k and 250k","Event","Summit","allen.advisor@example.com"
"Allen Advisor","true","0051U000005L4E9QAK","Individual","Customer","CA","2019-07-31","High","2018-12-22","San Francisco","Completed","-","Manager","Call","0011U00000KuFcpQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-07-31","Call","20190829135125753975","Balanced Growth","Prospecting","Call","Jada Cervantes","Moderately Experienced","2019-08-29","Retired","Brenda Banker","2. Between 50k and 250k","Event","Quarterly Earnings Summary","sunil.dixit@example.com"
"Allen Advisor","true","0051U000005JQyrQAG","Individual","Customer","IL","2019-08-24","High","2018-06-11","Chicago","Completed","-","Manager","Call","0011U00000KuFcqQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-24","Meeting","20190829135125753975","Balanced Growth","Prospecting","Call","Hasad Roberson","Inexperienced","2019-08-29","Retired","Allen Advisor","2. Between 50k and 250k","Event","Lunch Meeting","allen.advisor@example.com"
