"OWNERUNIQUEUSERNAME","OWNERID","PRIMARYCONTACTGENDER","OWNERSTATE","AGEBUCKET","SERVICEMODEL","INVESTMENTOBJECTIVES","CREATEDDATE","OWNERCITY","STATUS","MARKETINGSEGMENT","RELATIONSHIPSTARTDATE","RECORDTYPENAME","OWNERROLENAME","BALANCEBUCKET","BILLINGSTREET","OWNERSMALLPHOTOURL","ID","INVESTMENTEXPERIENCE","BILLINGCITY","ANALYTICSDEMO_BATCH_ID_C","BILLINGSTATE","CLIENTCATEGORYCUSTOM","LastProcessedDate","LASTINTERACTION","NEXTREVIEW","PRIMARYCONTACTEMAIL","OWNERNAME","NAME","BILLINGCOUNTRY","RATING","YEARSSINCECLIENTBUCKET","CUSTOMERSEGMENT","OWNEREMAIL","OWNERSHIP","YEARSTARTED","PRIMARYCONTACTAGE","DAYSSINCELASTINTERACTION","YEARSSINCECLIENT","PRIMARYCONTACTANNUALINCOME"
"Brenda Banker","0051U000005L4E9QAK","Male","CA","3. 30-49","Tier 3","Growth","2018-07-01","San Francisco","Active","Mass Market","2016-06-15","Person Account","Manager","1. Less than 50k","74964 Caroline Valleys","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFakQAF","Moderately Inexperienced","Rodriguezville","20190823114923194298","CA","1 - Platinum","2019-10-07","2018-11-24","2018-07-24","user-225@fsc-demo.com","Brenda Banker","Hannah Perkins","USA","Warm","6. Greater than 15Y","Mass Affluent","sunil.dixit@example.com","Public",1934,33,272,2018,95758
"Mark Garet","0051U000005KhW6QAK","Male","NY","5. > 69","Tier 2","Income","2018-05-14","New York","Onboarding","Affluent Professionals","2010-10-12","Household","Manager","2. Between 50k and 250k","5461 Cox Ranch","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFalQAF","Moderately Inexperienced","Haroldmouth","20190823114923194298","CA","5 - Standard","2019-10-07","2019-04-21","2018-07-03","user-226@fsc-demo.com","Mark Garet","Eleanor Callahan","USA","Hot","6. Greater than 15Y","Long Term Growth","mark.garet@example.com","Private",1901,70,124,2013,166331
"Mark Garet","0051U000005KhW6QAK","Female","NY","2. 18-29","Tier 3","Growth","2018-08-29","New York","Active","Retired","2010-09-26","Person Account","Manager","2. Between 50k and 250k","95779 Susan Lodge","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFamQAF","Moderately Experienced","Smithport","20190823114923194298","NY","3 - Silver","2019-10-07","2018-11-23","2018-12-06","user-227@fsc-demo.com","Mark Garet","Maisie Kelly","USA","Cool","6. Greater than 15Y","Mass Affluent","mark.garet@example.com","Private",1916,22,273,2013,178828
"Brenda Banker","0051U000005L4E9QAK","Female","CA","3. 30-49","Tier 2","Income","2018-03-14","San Francisco","Prospect","High Net Worth Families","2019-04-03","Person Account","Manager","2. Between 50k and 250k","855 Raymond Row","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFanQAF","Moderately Inexperienced","South Josephborough","20190823114923194298","NY","5 - Standard","2019-10-07","2018-10-10","2018-07-17","user-228@fsc-demo.com","Brenda Banker","Glenna Bryan","USA","Cool","6. Greater than 15Y","Mass Affluent","sunil.dixit@example.com","Subsidiary",1905,40,317,2019,84816
"Chelsea Advisor","0051U000005L6eJQAS","Male","FL","4. 50-69","Tier 1","Aggressive Growth","2018-04-08","Florida","Prospect","Affluent Professionals","2014-05-15","Individual","Manager","1. Less than 50k","1378 Cortez Streets","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFaoQAF","Inexperienced","Craigstad","20190823114923194298","CA","2 - Gold","2019-10-07","2019-03-30","2018-09-22","user-229@fsc-demo.com","Chelsea Advisor","Calvin Morris","USA","Warm","6. Greater than 15Y","Long Term Growth","ryan.dobson@example.com","Private",1923,57,146,2019,70180
"Allen Advisor","0051U000005JQyrQAG","Female","IL","4. 50-69","Tier 3","Balanced Growth","2019-07-27","Chicago","Active","Millennials","2011-09-01","Household","Manager","1. Less than 50k","6633 French Neck","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFapQAF","Moderately Experienced","Brentport","20190823114923194298","CA","5 - Standard","2019-10-07","2019-08-07","2018-10-19","user-230@fsc-demo.com","Allen Advisor","Georgia Chambers","USA","Warm","6. Greater than 15Y","Long Term Growth","allen.advisor@example.com","Subsidiary",1902,54,16,2012,208822
"Mark Garet","0051U000005KhW6QAK","Male","NY","4. 50-69","Tier 3","Aggressive Growth","2018-03-29","New York","Active","Mass Market","2015-12-26","Person Account","Manager","2. Between 50k and 250k","4397 Richmond Point","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFaqQAF","Moderately Inexperienced","East Robertmouth","20190823114923194298","CA","3 - Silver","2019-10-07","2018-11-11","2018-11-27","user-231@fsc-demo.com","Mark Garet","Tara Gould","USA","Hot","6. Greater than 15Y","Long Term Growth","mark.garet@example.com","Private",1965,60,285,2018,201672
"Chelsea Advisor","0051U000005L6eJQAS","Female","FL","3. 30-49","Tier 2","Income","2018-06-21","Florida","Active","High Net Worth Families","2013-01-12","Household","Manager","1. Less than 50k","98325 Kurt Lodge","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFarQAF","Moderately Experienced","South Stephanie","20190823114923194298","NY","1 - Platinum","2019-10-07","2019-04-20","2019-05-11","user-232@fsc-demo.com","Chelsea Advisor","Courtney Sweet","USA","Warm","6. Greater than 15Y","Long Term Growth","ryan.dobson@example.com","Private",1887,39,125,2016,119319
"Allen Advisor","0051U000005JQyrQAG","Male","IL","3. 30-49","Tier 3","Aggressive Growth","2018-09-12","Chicago","Active","High Net Worth Families","2012-06-25","Individual","Manager","1. Less than 50k","2252 Christopher Isle","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFasQAF","Experienced","East Tammy","20190823114923194298","CA","1 - Platinum","2019-10-07","2019-01-03","2018-09-28","user-233@fsc-demo.com","Allen Advisor","Kim Payne","USA","Hot","6. Greater than 15Y","Mass Affluent","allen.advisor@example.com","Public",1897,31,232,2018,139967
"Mark Garet","0051U000005KhW6QAK","Female","NY","3. 30-49","Tier 1","Aggressive Growth","2018-06-09","New York","Active","Retired","2019-04-12","Person Account","Manager","1. Less than 50k","557 Erika Summit","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFatQAF","Moderately Inexperienced","New Andreaview","20190823114923194298","NY","2 - Gold","2019-10-07","2018-10-29","2018-07-08","user-234@fsc-demo.com","Mark Garet","Lance Tucker","USA","Warm","6. Greater than 15Y","Mass Affluent","mark.garet@example.com","Subsidiary",1970,49,298,2019,90240
"Allen Advisor","0051U000005JQyrQAG","Female","IL","4. 50-69","Tier 3","Balanced Growth","2018-11-10","Chicago","Active","Millennials","2018-09-02","Person Account","Manager","1. Less than 50k","75588 Nicholson Wells","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFauQAF","Moderately Inexperienced","Port Johnland","20190823114923194298","CA","1 - Platinum","2019-10-07","2019-07-13","2018-04-13","user-235@fsc-demo.com","Allen Advisor","Cade Morse","USA","Hot","6. Greater than 15Y","Long Term Growth","allen.advisor@example.com","Other",1897,67,40,2018,77345
"Allen Advisor","0051U000005JQyrQAG","Female","IL","5. > 69","Tier 3","Aggressive Growth","2018-11-13","Chicago","Onboarding","High Net Worth Families","2019-08-23","Household","Manager","1. Less than 50k","037 Walsh River","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFavQAF","Experienced","East Danside","20190823114923194298","NY","2 - Gold","2019-10-07","2019-04-22","2018-08-15","user-236@fsc-demo.com","Allen Advisor","Cyrus Valencia","USA","Cool","6. Greater than 15Y","Mass Affluent","allen.advisor@example.com","Private",1895,74,122,2019,213499
"Mark Garet","0051U000005KhW6QAK","Male","NY","3. 30-49","Tier 2","Aggressive Growth","2018-04-14","New York","Active","Affluent Professionals","2013-06-23","Person Account","Manager","2. Between 50k and 250k","2091 Kim Rapid","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFawQAF","Moderately Experienced","Jacobsland","20190823114923194298","CA","1 - Platinum","2019-10-07","2018-09-24","2018-11-04","user-237@fsc-demo.com","Mark Garet","Louis Mcneil","USA","Hot","6. Greater than 15Y","Mass Affluent","mark.garet@example.com","Private",1994,31,333,2018,154346
"Allen Advisor","0051U000005JQyrQAG","Male","IL","2. 18-29","Tier 1","Income","2018-07-21","Chicago","Active","Mass Market","2011-04-13","Household","Manager","2. Between 50k and 250k","982 Perry Estate","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFaxQAF","Inexperienced","Port Kristenstad","20190823114923194298","CA","2 - Gold","2019-10-07","2019-02-27","2019-05-07","user-238@fsc-demo.com","Allen Advisor","Idola Osborne","USA","Warm","6. Greater than 15Y","Long Term Growth","allen.advisor@example.com","Public",1987,27,176,2014,220002
"Brenda Banker","0051U000005L4E9QAK","Female","CA","3. 30-49","Tier 1","Income","2018-08-23","San Francisco","Active","Affluent Professionals","2009-09-12","Person Account","Manager","1. Less than 50k","984 Joseph Crossing","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFayQAF","Experienced","Williamberg","20190823114923194298","CA","3 - Silver","2019-10-07","2019-01-06","2018-08-19","user-239@fsc-demo.com","Brenda Banker","Indigo Bass","USA","Warm","6. Greater than 15Y","Long Term Growth","sunil.dixit@example.com","Private",1915,43,228,2010,149340
"Brenda Banker","0051U000005L4E9QAK","Male","CA","3. 30-49","Tier 1","Growth","2018-09-08","San Francisco","Active","High Net Worth Families","2015-09-06","Person Account","Manager","1. Less than 50k","932 Krista Islands","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFazQAF","Moderately Inexperienced","West Carla","20190823114923194298","NY","2 - Gold","2019-10-07","2018-10-07","2019-02-03","user-240@fsc-demo.com","Brenda Banker","Macy Dejesus","USA","Cool","6. Greater than 15Y","Mass Affluent","sunil.dixit@example.com","Other",1939,43,319,2019,151018
"Mark Garet","0051U000005KhW6QAK","Male","NY","5. > 69","Tier 1","Aggressive Growth","2019-01-10","New York","Active","Affluent Professionals","2012-09-15","Household","Manager","1. Less than 50k","8069 Hunter Junction","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFb0QAF","Experienced","Paultown","20190823114923194298","NY","2 - Gold","2019-10-07","2019-05-28","2018-05-01","user-241@fsc-demo.com","Mark Garet","Oprah Leonard","USA","Cool","6. Greater than 15Y","Long Term Growth","mark.garet@example.com","Public",1958,72,87,2015,202765
"Chelsea Advisor","0051U000005L6eJQAS","Male","FL","3. 30-49","Tier 3","Aggressive Growth","2019-06-05","Florida","Onboarding","High Net Worth Families","2015-12-24","Individual","Manager","1. Less than 50k","783 Howell Island","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFb1QAF","Moderately Inexperienced","Tinaview","20190823114923194298","NY","1 - Platinum","2019-10-07","2019-07-12","2018-11-06","user-242@fsc-demo.com","Chelsea Advisor","Vernon Bowen","USA","Hot","6. Greater than 15Y","Mass Affluent","ryan.dobson@example.com","Private",1922,33,42,2017,169055
"Chelsea Advisor","0051U000005L6eJQAS","Female","FL","3. 30-49","Tier 3","Aggressive Growth","2018-09-22","Florida","Active","Millennials","2010-09-26","Person Account","Manager","2. Between 50k and 250k","82642 Roach Forges","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFb2QAF","Experienced","Alexandershire","20190823114923194298","CA","5 - Standard","2019-10-07","2018-12-31","2019-04-17","user-243@fsc-demo.com","Chelsea Advisor","Emerson Kinney","USA","Warm","6. Greater than 15Y","Mass Affluent","ryan.dobson@example.com","Private",1914,34,234,2019,239142
"Brenda Banker","0051U000005L4E9QAK","Male","CA","3. 30-49","Tier 1","Income","2018-08-02","San Francisco","Active","Millennials","2017-01-18","Person Account","Manager","1. Less than 50k","519 Glen Stream","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFb3QAF","Experienced","Richardberg","20190823114923194298","CA","3 - Silver","2019-10-07","2019-05-16","2018-12-15","user-244@fsc-demo.com","Brenda Banker","Erin Robertson","USA","Hot","6. Greater than 15Y","Mass Affluent","sunil.dixit@example.com","Public",1957,44,98,2019,225395
"Mark Garet","0051U000005KhW6QAK","Female","NY","4. 50-69","Tier 3","Balanced Growth","2018-08-28","New York","Onboarding","Retired","2009-12-03","Person Account","Manager","1. Less than 50k","8970 Chen Harbors","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFb4QAF","Moderately Experienced","East Joshua","20190823114923194298","NY","5 - Standard","2019-10-07","2018-09-17","2018-03-31","user-245@fsc-demo.com","Mark Garet","Dante Copeland","USA","Hot","6. Greater than 15Y","Long Term Growth","mark.garet@example.com","Private",1888,53,340,2012,126609
"Mark Garet","0051U000005KhW6QAK","Female","NY","2. 18-29","Tier 1","Growth","2019-04-23","New York","Active","Retired","2010-10-07","Individual","Manager","1. Less than 50k","64420 Mills Isle","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFb5QAF","Moderately Experienced","West Douglasport","20190823114923194298","CA","1 - Platinum","2019-10-07","2019-08-16","2018-11-22","user-246@fsc-demo.com","Mark Garet","Tarik Jacobs","USA","Cool","6. Greater than 15Y","Mass Affluent","mark.garet@example.com","Private",1960,19,6,2013,147700
"Brenda Banker","0051U000005L4E9QAK","Male","CA","4. 50-69","Tier 2","Balanced Growth","2019-07-09","San Francisco","Active","Affluent Professionals","2013-06-11","Person Account","Manager","2. Between 50k and 250k","028 Chase Mission","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFb6QAF","Inexperienced","East Shellychester","20190823114923194298","IL","1 - Platinum","2019-10-07","2019-07-12","2018-03-21","user-247@fsc-demo.com","Brenda Banker","Mia Jordan","USA","Hot","6. Greater than 15Y","Long Term Growth","sunil.dixit@example.com","Public",1921,63,41,2014,96512
"Chelsea Advisor","0051U000005L6eJQAS","Male","FL","3. 30-49","Tier 3","Aggressive Growth","2018-10-06","Florida","Active","Mass Market","2014-06-21","Individual","Manager","1. Less than 50k","7421 Golden Mews","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFb7QAF","Moderately Inexperienced","South Robertfort","20190823114923194298","NY","1 - Platinum","2019-10-07","2019-02-24","2018-09-11","user-248@fsc-demo.com","Chelsea Advisor","Fatima Klein","USA","Warm","6. Greater than 15Y","Mass Affluent","ryan.dobson@example.com","Other",1950,30,180,2018,172557
"Mark Garet","0051U000005KhW6QAK","Female","NY","3. 30-49","Tier 2","Growth","2018-08-19","New York","Onboarding","Affluent Professionals","2018-05-05","Person Account","Manager","2. Between 50k and 250k","038 Johnson Lock","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFb8QAF","Moderately Inexperienced","Douglasville","20190823114923194298","NY","1 - Platinum","2019-10-07","2019-05-22","2018-12-30","user-249@fsc-demo.com","Mark Garet","Lacey Rodgers","USA","Cool","6. Greater than 15Y","Mass Affluent","mark.garet@example.com","Other",1940,31,92,2018,86580
"Chelsea Advisor","0051U000005L6eJQAS","Female","FL","2. 18-29","Tier 2","Aggressive Growth","2019-04-26","Florida","Prospect","Retired","2014-09-25","Person Account","Manager","1. Less than 50k","5374 Kristina Trail","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFb9QAF","Moderately Experienced","East Garyville","20190823114923194298","CA","1 - Platinum","2019-10-07","2019-07-06","2018-07-25","user-250@fsc-demo.com","Chelsea Advisor","Curran Pollard","USA","Cool","6. Greater than 15Y","Mass Affluent","ryan.dobson@example.com","Other",1913,18,47,2019,210302
"Mark Garet","0051U000005KhW6QAK","Female","NY","2. 18-29","Tier 1","Aggressive Growth","2019-01-29","New York","Active","Millennials","2015-02-27","Household","Manager","1. Less than 50k","1116 West Walk","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFbAQAV","Inexperienced","Michaelbury","20190823114923194298","CA","3 - Silver","2019-10-07","2019-07-09","2019-03-22","user-251@fsc-demo.com","Mark Garet","Travis Castro","USA","Warm","6. Greater than 15Y","Mass Affluent","mark.garet@example.com","Private",1981,26,44,2016,201336
"Brenda Banker","0051U000005L4E9QAK","Male","CA","5. > 69","Tier 3","Balanced Growth","2018-06-19","San Francisco","Prospect","Retired","2010-05-19","Household","Manager","1. Less than 50k","984 Garcia Road","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFbBQAV","Inexperienced","Port Angela","20190823114923194298","CA","5 - Standard","2019-10-07","2018-11-28","2019-03-31","user-252@fsc-demo.com","Brenda Banker","Vladimir Fleming","USA","Cool","6. Greater than 15Y","Mass Affluent","sunil.dixit@example.com","Other",1961,75,268,2014,69977
"Mark Garet","0051U000005KhW6QAK","Female","NY","2. 18-29","Tier 3","Income","2019-05-30","New York","Active","Affluent Professionals","2014-04-21","Household","Manager","1. Less than 50k","3538 Ashley Pass","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFbCQAV","Inexperienced","Timothyfurt","20190823114923194298","NY","1 - Platinum","2019-10-07","2019-06-11","2018-06-17","user-253@fsc-demo.com","Mark Garet","Theodore Small","USA","Cool","6. Greater than 15Y","Mass Affluent","mark.garet@example.com","Other",1902,21,73,2017,243538
"Brenda Banker","0051U000005L4E9QAK","Male","CA","4. 50-69","Tier 2","Aggressive Growth","2018-09-04","San Francisco","Active","Millennials","2018-07-15","Household","Manager","2. Between 50k and 250k","6667 Emily Streets","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFbDQAV","Inexperienced","Janiceshire","20190823114923194298","IL","1 - Platinum","2019-10-07","2019-01-13","2019-05-19","user-254@fsc-demo.com","Brenda Banker","Harlan Mccullough","USA","Warm","6. Greater than 15Y","Long Term Growth","sunil.dixit@example.com","Private",1923,54,221,2019,221623
"Chelsea Advisor","0051U000005L6eJQAS","Male","FL","2. 18-29","Tier 2","Growth","2019-08-09","Florida","Active","Mass Market","2013-04-29","Person Account","Manager","2. Between 50k and 250k","4124 Laura Parkways","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFbEQAV","Moderately Experienced","Bobbystad","20190823114923194298","NY","3 - Silver","2019-10-07","2019-08-21","2018-03-15","user-255@fsc-demo.com","Chelsea Advisor","Cora Winters","USA","Warm","6. Greater than 15Y","Mass Affluent","ryan.dobson@example.com","Other",1991,29,1,2018,87421
"Brenda Banker","0051U000005L4E9QAK","Male","CA","4. 50-69","Tier 3","Balanced Growth","2019-03-24","San Francisco","Active","Affluent Professionals","2016-07-05","Person Account","Manager","2. Between 50k and 250k","67989 Jasmine Springs","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFbFQAV","Moderately Inexperienced","Coopertown","20190823114923194298","NY","2 - Gold","2019-10-07","2019-06-05","2018-04-17","user-256@fsc-demo.com","Brenda Banker","Philip Noble","USA","Warm","6. Greater than 15Y","Mass Affluent","sunil.dixit@example.com","Other",1891,67,79,2017,86590
"Allen Advisor","0051U000005JQyrQAG","Female","IL","5. > 69","Tier 3","Income","2018-03-02","Chicago","Active","High Net Worth Families","2016-09-01","Individual","Manager","1. Less than 50k","7383 Alexander Plains","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFbGQAV","Moderately Experienced","Alexismouth","20190823114923194298","NY","1 - Platinum","2019-10-07","2018-03-28","2018-12-12","user-257@fsc-demo.com","Allen Advisor","Philip Bartlett","USA","Cool","6. Greater than 15Y","Mass Affluent","allen.advisor@example.com","Public",1891,70,513,2016,184369
"Mark Garet","0051U000005KhW6QAK","Male","NY","4. 50-69","Tier 2","Income","2018-04-03","New York","Active","High Net Worth Families","2015-05-06","Individual","Manager","1. Less than 50k","4757 Lee Squares","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFbHQAV","Moderately Inexperienced","South Katherineborough","20190823114923194298","CA","5 - Standard","2019-10-07","2018-07-07","2018-11-13","user-258@fsc-demo.com","Mark Garet","Rogan Skinner","USA","Hot","6. Greater than 15Y","Long Term Growth","mark.garet@example.com","Private",1905,60,411,2016,158886
"Mark Garet","0051U000005KhW6QAK","Female","NY","2. 18-29","Tier 1","Growth","2019-01-21","New York","Onboarding","Mass Market","2012-11-21","Individual","Manager","1. Less than 50k","5571 Williams Route","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFbIQAV","Moderately Experienced","North Kimberlyberg","20190823114923194298","CA","1 - Platinum","2019-10-07","2019-07-11","2019-05-09","user-259@fsc-demo.com","Mark Garet","Gillian Irwin","USA","Hot","6. Greater than 15Y","Mass Affluent","mark.garet@example.com","Private",1990,18,42,2014,240219
"Allen Advisor","0051U000005JQyrQAG","Male","IL","4. 50-69","Tier 3","Balanced Growth","2019-08-11","Chicago","Onboarding","High Net Worth Families","2017-02-02","Household","Manager","1. Less than 50k","172 Spencer Ramp","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFbJQAV","Experienced","Port Alexstad","20190823114923194298","NY","2 - Gold","2019-10-07","2019-08-20","2019-02-28","user-260@fsc-demo.com","Allen Advisor","Callum Zimmerman","USA","Cool","6. Greater than 15Y","Mass Affluent","allen.advisor@example.com","Other",1905,65,3,2018,102001
"Brenda Banker","0051U000005L4E9QAK","Female","CA","2. 18-29","Tier 2","Balanced Growth","2018-05-05","San Francisco","Active","Mass Market","2010-03-26","Household","Manager","1. Less than 50k","0947 Green Street","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFbKQAV","Moderately Inexperienced","East Christopherfort","20190823114923194298","CA","2 - Gold","2019-10-07","2018-07-26","2018-06-04","user-261@fsc-demo.com","Brenda Banker","Henry Chandler","USA","Hot","6. Greater than 15Y","Long Term Growth","sunil.dixit@example.com","Public",2006,25,392,2019,89609
"Chelsea Advisor","0051U000005L6eJQAS","Male","FL","3. 30-49","Tier 1","Balanced Growth","2019-05-17","Florida","Active","Retired","2016-02-28","Person Account","Manager","1. Less than 50k","8766 Thomas Field","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFbLQAV","Experienced","East Jasonton","20190823114923194298","NY","2 - Gold","2019-10-07","2019-07-23","2019-01-12","user-262@fsc-demo.com","Chelsea Advisor","Stacey Rasmussen","USA","Hot","6. Greater than 15Y","Mass Affluent","ryan.dobson@example.com","Other",1922,44,30,2019,242278
"Chelsea Advisor","0051U000005L6eJQAS","Female","FL","3. 30-49","Tier 1","Growth","2018-05-13","Florida","Active","Retired","2019-04-02","Person Account","Manager","2. Between 50k and 250k","3587 Kirk Shoal","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFbMQAV","Inexperienced","West David","20190823114923194298","CA","3 - Silver","2019-10-07","2018-08-26","2018-07-03","user-263@fsc-demo.com","Chelsea Advisor","Avram Nielsen","USA","Cool","6. Greater than 15Y","Long Term Growth","ryan.dobson@example.com","Subsidiary",1937,30,362,2019,63292
"Brenda Banker","0051U000005L4E9QAK","Male","CA","4. 50-69","Tier 2","Income","2019-05-14","San Francisco","Active","Affluent Professionals","2017-09-16","Household","Manager","2. Between 50k and 250k","2164 Hammond Courts","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFbNQAV","Moderately Inexperienced","Browningland","20190823114923194298","CA","5 - Standard","2019-10-07","2019-07-21","2018-09-21","user-264@fsc-demo.com","Brenda Banker","Lewis Ramirez","USA","Hot","6. Greater than 15Y","Long Term Growth","sunil.dixit@example.com","Private",1954,69,32,2018,120818
"Allen Advisor","0051U000005JQyrQAG","Female","IL","2. 18-29","Tier 1","Growth","2018-12-05","Chicago","Onboarding","Mass Market","2018-10-30","Person Account","Manager","2. Between 50k and 250k","28009 Rodriguez Stream","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFbOQAV","Experienced","Lake Laura","20190823114923194298","NY","3 - Silver","2019-10-07","2019-06-04","2018-06-14","user-265@fsc-demo.com","Allen Advisor","Elaine Montoya","USA","Warm","6. Greater than 15Y","Long Term Growth","allen.advisor@example.com","Private",1918,25,79,2019,205867
"Brenda Banker","0051U000005L4E9QAK","Male","CA","5. > 69","Tier 1","Growth","2018-09-26","San Francisco","Onboarding","Retired","2013-11-18","Person Account","Manager","2. Between 50k and 250k","752 Orozco Points","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFbPQAV","Experienced","Mccormicktown","20190823114923194298","NJ","3 - Silver","2019-10-07","2018-12-02","2019-02-23","user-266@fsc-demo.com","Brenda Banker","Giselle Caldwell","USA","Cool","6. Greater than 15Y","Long Term Growth","sunil.dixit@example.com","Public",1999,70,264,2017,144560
"Chelsea Advisor","0051U000005L6eJQAS","Male","FL","4. 50-69","Tier 2","Growth","2018-04-23","Florida","Onboarding","Affluent Professionals","2009-09-21","Person Account","Manager","2. Between 50k and 250k","800 Elizabeth Oval","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFbQQAV","Experienced","Lake Meganmouth","20190823114923194298","CA","5 - Standard","2019-10-07","2019-03-28","2019-08-09","user-267@fsc-demo.com","Chelsea Advisor","Nomlanga Valdez","USA","Hot","6. Greater than 15Y","Long Term Growth","ryan.dobson@example.com","Other",1887,50,148,2011,101251
"Mark Garet","0051U000005KhW6QAK","Female","NY","2. 18-29","Tier 2","Balanced Growth","2019-06-29","New York","Onboarding","High Net Worth Families","2015-08-13","Household","Manager","1. Less than 50k","959 Avery Lodge","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFbRQAV","Inexperienced","East Leahport","20190823114923194298","CA","5 - Standard","2019-10-07","2019-08-02","2018-04-20","user-268@fsc-demo.com","Mark Garet","Yael Avery","USA","Warm","6. Greater than 15Y","Mass Affluent","mark.garet@example.com","Private",1937,27,21,2019,97321
"Mark Garet","0051U000005KhW6QAK","Male","NY","2. 18-29","Tier 3","Balanced Growth","2019-03-09","New York","Active","Retired","2013-05-25","Person Account","Manager","2. Between 50k and 250k","3224 Destiny Stream","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFbSQAV","Experienced","New Larry","20190823114923194298","NY","2 - Gold","2019-10-07","2019-08-01","2019-01-02","user-269@fsc-demo.com","Mark Garet","Elmo Gaines","USA","Hot","6. Greater than 15Y","Long Term Growth","mark.garet@example.com","Private",1919,21,22,2016,142156
