"HOUSEHOLD","OWNERTITLE","OWNERUNIQUEUSERNAME","OWNERID","OWNERSTATE","HOUSEHOLDCREATEDDATE","ACCOUNTCLIENTCATEGORYCUSTOM","ACCOUNTRELATIONSHIPSTARTDATE","LASTMODIFIEDDATE","ACCOUNTSERVICEMODEL","HELDAWAY","ACCOUNTBILLINGCITY","OWNERPHONE","CREATEDDATE","OWNERCITY","RECORDTYPENAME","OWNERROLENAME","ACCOUNTID","HOUSEHOLDNAME","OWNERSMALLPHOTOURL","ID","ACCOUNTYEARSSINCECLIENTBUCKET","ACCOUNTLASTINTERACTION","ACCOUNTAGEBUCKET","ANALYTICSDEMO_BATCH_ID_C","ACCOUNTINVESTMENTOBJECTIVES","ACCOUNTNAME","ACCOUNTNEXTREVIEW","LastProcessedDate","PRIMARYOWNER","ACCOUNTCREATEDDATE","ACCOUNTMARKETINGSEGMENT","OWNERNAME","NAME","ACCOUNTBALANCEBUCKET","FINANCIALACCOUNTTYPE","ACCOUNTPRIMARYCONTACTGENDER","ACCOUNTBILLINGSTATE","ACCOUNTSTATUS","MANAGE","OWNEREMAIL","OWNERSHIP","DepositAndInvestmentBalanceAmount","LOANAMOUNT","BALANCEAMOUNT","INVESTMENTAMOUNT","ACCOUNTYEARSSINCECLIENT","ACCOUNTDAYSSINCELASTINTERACTION"
"0011U00000Kcp1PQAR","NA","Mark Garet","0051U000005KhW6QAK","NY","2019-03-30","5 - Standard","2010-12-11","2019-08-23","Tier 3","false","Sandersside",,"2020-07-05","New York","Investment Account","Manager","0011U00000KuFXqQAN","Symonds Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","FinAcct.0011U00000KuFXqQAN-86","6. Greater than 15Y","2019-07-19T15:00:06","4. 50-69","2.01908231740307E+019","Balanced Growth","Ryder Velez","2019-03-25","2020-07-06","0051U000005KhW6QAK","2019-03-30","Affluent Professionals","Mark Garet","Ryder Velez Brokerage86","1. Less than 50k","Brokerage","Female","CA","Onboarding","true","mark.garet@example.com","Individual",617679,3111,389670,228009,2011,35
"0011U00000Kcp1PQAR","NA","Mark Garet","0051U000005KhW6QAK","NY","2019-03-30","5 - Standard","2010-12-11","2019-08-22","Tier 3","false","Sandersside",,"2020-07-02","New York","Mutual Fund Investment","Manager","0011U00000KuFXqQAN","Symonds Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","FinAcct.0011U00000KuFXqQAN-87","6. Greater than 15Y","2019-07-19T15:00:06","4. 50-69","2.01908231740307E+019","Balanced Growth","Ryder Velez","2019-03-25","2020-07-06","0051U000005KhW6QAK","2019-03-30","Affluent Professionals","Mark Garet","Ryder Velez Mutual Fund87","1. Less than 50k","Mutual Fund","Female","CA","Onboarding","true","mark.garet@example.com","Individual",460673,2914,289617,171056,2011,35
,"Financial Advisor","Allen Advisor","0051U000005JQyrQAG","IL","2018-09-25","2 - Gold","2017-09-11","2019-08-22","Tier 1","true","Coxberg",,"2020-07-02","Chicago","Investment Account","Manager","0011U00000KuFXrQAN",,"https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","FinAcct.0011U00000KuFXrQAN-88","6. Greater than 15Y","2018-11-25T12:07:45","3. 30-49","2.01908231740307E+019","Balanced Growth","Priscilla Jimenez","2019-08-15","2020-07-06","0051U000005JQyrQAG","2018-09-25","Mass Market","Allen Advisor","Priscilla Jimenez Mutual Fund88","1. Less than 50k","Mutual Fund","Male","CA","Active","false","allen.advisor@example.com","Individual",620690,2698,366547,254143,2019,271
,"Financial Advisor","Allen Advisor","0051U000005JQyrQAG","IL","2018-09-25","2 - Gold","2017-09-11","2019-08-22","Tier 1","true","Coxberg",,"2020-07-04","Chicago","Mutual Fund Investment","Manager","0011U00000KuFXrQAN",,"https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","FinAcct.0011U00000KuFXrQAN-89","6. Greater than 15Y","2018-11-25T12:07:45","3. 30-49","2.01908231740307E+019","Balanced Growth","Priscilla Jimenez","2019-08-15","2020-07-06","0051U000005JQyrQAG","2018-09-25","Mass Market","Allen Advisor","Priscilla Jimenez Mutual Fund89","1. Less than 50k","Mutual Fund","Male","CA","Active","false","allen.advisor@example.com","Trust",553260,3580,321280,231980,2019,271
,"Financial Advisor","Allen Advisor","0051U000005JQyrQAG","IL","2018-09-25","2 - Gold","2017-09-11","2019-08-23","Tier 1","false","Coxberg",,"2020-07-05","Chicago","Investment Account","Manager","0011U00000KuFXrQAN",,"https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","FinAcct.0011U00000KuFXrQAN-90","6. Greater than 15Y","2018-11-25T12:07:45","3. 30-49","2.01908231740307E+019","Balanced Growth","Priscilla Jimenez","2019-08-15","2020-07-06","0051U000005JQyrQAG","2018-09-25","Mass Market","Allen Advisor","Priscilla Jimenez Fixed Annuity90","1. Less than 50k","Fixed Annuity","Male","CA","Active","true","allen.advisor@example.com","Individual",491909,4117,292784,199125,2019,271
"0011U00000Kcp1PQAR","NA","Chelsea Advisor","0051U000005L6eJQAS","FL","2018-06-06","2 - Gold","2011-03-07","2019-08-22","Tier 3","true","Lake Mollyside",,"2020-07-02","Florida","Savings Account","Manager","0011U00000KuFXsQAN","Symonds Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","FinAcct.0011U00000KuFXsQAN-91","6. Greater than 15Y","2019-08-07T09:13:06","2. 18-29","2.01908231740307E+019","Growth","Harlan Mcgowan","2019-03-17","2020-07-06","0051U000005L6eJQAS","2018-06-06","Affluent Professionals","Chelsea Advisor","Harlan Mcgowan Savings91","1. Less than 50k","Savings","Male","NY","Active","false","ryan.dobson@example.com","Individual",580267,3442,371386,208881,2012,16
"0011U00000Kcp1PQAR","NA","Chelsea Advisor","0051U000005L6eJQAS","FL","2018-06-06","2 - Gold","2011-03-07","2019-08-21","Tier 3","true","Lake Mollyside",,"2020-07-03","Florida","Savings Account","Manager","0011U00000KuFXsQAN","Symonds Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","FinAcct.0011U00000KuFXsQAN-92","6. Greater than 15Y","2019-08-07T09:13:06","2. 18-29","2.01908231740307E+019","Growth","Harlan Mcgowan","2019-03-17","2020-07-06","0051U000005L6eJQAS","2018-06-06","Affluent Professionals","Chelsea Advisor","Harlan Mcgowan Savings92","1. Less than 50k","Savings","Male","NY","Active","false","ryan.dobson@example.com","Individual",626884,3098,382610,244274,2012,16
"0011U00000Kcp1PQAR","Personal Banker","Brenda Banker","0051U000005L4E9QAK","CA","2018-05-06","1 - Platinum","2016-02-04","2019-08-21","Tier 3","true","Mcintoshmouth",,"2020-07-03","San Francisco","Investment Account","Manager","0011U00000KuFXtQAN","Symonds Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","FinAcct.0011U00000KuFXtQAN-93","6. Greater than 15Y","2019-06-11T07:12:28","3. 30-49","2.01908231740307E+019","Growth","Blaze Pennington","2018-07-21","2020-07-06","0051U000005L4E9QAK","2018-05-06","Affluent Professionals","Brenda Banker","Blaze Pennington Managed Account93","1. Less than 50k","Managed Account","Female","NY","Active","false","sunil.dixit@example.com","Individual",599017,4094,350364,248653,2016,73
"0011U00000Kcp1KQAR","NA","Mark Garet","0051U000005KhW6QAK","NY","2019-06-13","5 - Standard","2014-01-24","2019-08-22","Tier 3","true","Jessefurt",,"2020-07-04","New York","Investment Account","Manager","0011U00000KuFXuQAN","Adams Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","FinAcct.0011U00000KuFXuQAN-94","6. Greater than 15Y","2019-06-27T19:27:29","3. 30-49","2.01908231740307E+019","Growth","Marvin Garcia","2019-04-26","2020-07-06","0051U000005KhW6QAK","2019-06-13","Retired","Mark Garet","Marvin Garcia Mutual Fund94","1. Less than 50k","Mutual Fund","Male","CA","Active","false","mark.garet@example.com","Joint",368668,4482,252809,115859,2017,56
"0011U00000Kcp1PQAR","Financial Advisor","Allen Advisor","0051U000005JQyrQAG","IL","2019-05-16","2 - Gold","2014-07-30","2019-08-23","Tier 3","true","Port Jenniferport",,"2020-07-05","Chicago","Investment Account","Manager","0011U00000KuFXvQAN","Symonds Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","FinAcct.0011U00000KuFXvQAN-95","6. Greater than 15Y","2019-08-10T20:20:08","3. 30-49","2.01908231740307E+019","Aggressive Growth","Odysseus Grimes","2019-06-24","2020-07-06","0051U000005JQyrQAG","2019-05-16","Affluent Professionals","Allen Advisor","Odysseus Grimes Brokerage95","2. Between 50k and 250k","Brokerage","Male","IL","Active","false","allen.advisor@example.com","Joint",409879,3972,304322,105557,2014,12
,"NA","Mark Garet","0051U000005KhW6QAK","NY","2018-04-19","3 - Silver","2014-05-23","2019-08-21","Tier 3","false","Lake Taylormouth",,"2020-07-03","New York","Investment Account","Manager","0011U00000KuFXwQAN",,"https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","FinAcct.0011U00000KuFXwQAN-96","6. Greater than 15Y","2019-02-21T20:31:04","3. 30-49","2.01908231740307E+019","Growth","Genevieve Bauer","2019-07-10","2020-07-06","0051U000005KhW6QAK","2018-04-19","Mass Market","Mark Garet","Genevieve Bauer Managed Account96","1. Less than 50k","Managed Account","Male","NJ","Active","true","mark.garet@example.com","Individual",502054,3881,319483,182571,2019,182
,"NA","Mark Garet","0051U000005KhW6QAK","NY","2018-04-19","3 - Silver","2014-05-23","2019-08-22","Tier 3","true","Lake Taylormouth",,"2020-07-01","New York","Investment Account","Manager","0011U00000KuFXwQAN",,"https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","FinAcct.0011U00000KuFXwQAN-97","6. Greater than 15Y","2019-02-21T20:31:04","3. 30-49","2.01908231740307E+019","Growth","Genevieve Bauer","2019-07-10","2020-07-06","0051U000005KhW6QAK","2018-04-19","Mass Market","Mark Garet","Genevieve Bauer Managed Account97","1. Less than 50k","Managed Account","Male","NJ","Active","false","mark.garet@example.com","Joint",501098,3423,274260,226838,2019,182
,"Financial Advisor","Allen Advisor","0051U000005JQyrQAG","IL","2019-02-28","2 - Gold","2011-02-12","2019-08-23","Tier 1","true","West Brooke",,"2020-07-05","Chicago","Savings Account","Manager","0011U00000KuFXxQAN",,"https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","FinAcct.0011U00000KuFXxQAN-98","6. Greater than 15Y","2019-04-08T06:14:43","3. 30-49","2.01908231740307E+019","Growth","Lael Rutledge","2019-07-12","2020-07-06","0051U000005JQyrQAG","2019-02-28","High Net Worth Families","Allen Advisor","Lael Rutledge Savings98","1. Less than 50k","Savings","Female","CA","Active","false","allen.advisor@example.com","Individual",496743,3662,342516,154227,2011,137
,"Financial Advisor","Allen Advisor","0051U000005JQyrQAG","IL","2019-02-28","2 - Gold","2011-02-12","2019-08-20","Tier 1","true","West Brooke",,"2020-07-02","Chicago","Bank Account","Manager","0011U00000KuFXxQAN",,"https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","FinAcct.0011U00000KuFXxQAN-99","6. Greater than 15Y","2019-04-08T06:14:43","3. 30-49","2.01908231740307E+019","Growth","Lael Rutledge","2019-07-12","2020-07-06","0051U000005JQyrQAG","2019-02-28","High Net Worth Families","Allen Advisor","Lael Rutledge Checking99","1. Less than 50k","Checking","Female","CA","Active","false","allen.advisor@example.com","Individual",486270,3593,357866,128404,2011,137
"0011U00000Kcp1KQAR","Financial Advisor","Allen Advisor","0051U000005JQyrQAG","IL","2019-02-28","2 - Gold","2011-02-12","2019-08-21","Tier 1","true","West Brooke",,"2020-07-03","Chicago","Investment Account","Manager","0011U00000KuFXxQAN","Adams Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","FinAcct.0011U00000KuFXxQAN-100","6. Greater than 15Y","2019-04-08T06:14:43","3. 30-49","2.01908231740307E+019","Growth","Lael Rutledge","2019-07-12","2020-07-06","0051U000005JQyrQAG","2019-02-28","High Net Worth Families","Allen Advisor","Lael Rutledge Brokerage100","1. Less than 50k","Brokerage","Female","CA","Active","false","allen.advisor@example.com","Trust",608000,3849,343736,264264,2011,137
"0011U00000Kcp1PQAR","NA","Mark Garet","0051U000005KhW6QAK","NY","2018-06-30","3 - Silver","2015-03-16","2019-08-23","Tier 1","false","South Joseph",,"2020-07-05","New York","Bank Account","Manager","0011U00000KuFXyQAN","Symonds Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","FinAcct.0011U00000KuFXyQAN-101","6. Greater than 15Y","2019-03-30T06:21:04","3. 30-49","2.01908231740307E+019","Balanced Growth","Tatum Holt","2018-12-29","2020-07-06","0051U000005KhW6QAK","2018-06-30","Retired","Mark Garet","Tatum Holt Cash Management Account101","1. Less than 50k","Cash Management Account","Female","CA","Prospect","true","mark.garet@example.com","Trust",424442,2796,278047,146395,2016,146
"0011U00000Kcp1PQAR","NA","Mark Garet","0051U000005KhW6QAK","NY","2018-06-30","3 - Silver","2015-03-16","2019-08-22","Tier 1","true","South Joseph",,"2020-07-01","New York","Investment Account","Manager","0011U00000KuFXyQAN","Symonds Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","FinAcct.0011U00000KuFXyQAN-102","6. Greater than 15Y","2019-03-30T06:21:04","3. 30-49","2.01908231740307E+019","Balanced Growth","Tatum Holt","2018-12-29","2020-07-06","0051U000005KhW6QAK","2018-06-30","Retired","Mark Garet","Tatum Holt Fixed Annuity102","1. Less than 50k","Fixed Annuity","Female","CA","Prospect","false","mark.garet@example.com","Individual",635112,4477,384056,251056,2016,146
"0011U00000Kcp1KQAR","Personal Banker","Brenda Banker","0051U000005L4E9QAK","CA","2018-05-08","1 - Platinum","2010-07-29","2019-08-22","Tier 1","false","North Kellytown",,"2020-07-03","San Francisco","Investment Account","Manager","0011U00000KuFXzQAN","Adams Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","FinAcct.0011U00000KuFXzQAN-103","6. Greater than 15Y","2018-12-29T19:19:59","2. 18-29","2.01908231740307E+019","Balanced Growth","Seth Frost","2019-01-09","2020-07-06","0051U000005L4E9QAK","2018-05-08","Affluent Professionals","Brenda Banker","Seth Frost Brokerage103","1. Less than 50k","Brokerage","Male","NY","Prospect","true","sunil.dixit@example.com","Individual",477728,3838,281623,196105,2012,236
"0011U00000Kcp1PQAR","Personal Banker","Brenda Banker","0051U000005L4E9QAK","CA","2018-05-08","1 - Platinum","2010-07-29","2019-08-21","Tier 1","false","North Kellytown",,"2020-07-01","San Francisco","Bank Account","Manager","0011U00000KuFXzQAN","Symonds Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","FinAcct.0011U00000KuFXzQAN-104","6. Greater than 15Y","2018-12-29T19:19:59","2. 18-29","2.01908231740307E+019","Balanced Growth","Seth Frost","2019-01-09","2020-07-06","0051U000005L4E9QAK","2018-05-08","Affluent Professionals","Brenda Banker","Seth Frost Cash Management Account104","1. Less than 50k","Cash Management Account","Male","NY","Prospect","true","sunil.dixit@example.com","Joint",455580,4122,306358,149222,2012,236
"0011U00000Kcp1PQAR","NA","Chelsea Advisor","0051U000005L6eJQAS","FL","2019-08-11","5 - Standard","2017-11-19","2019-08-23","Tier 1","true","Lake Stacymouth",,"2020-07-05","Florida","Savings Account","Manager","0011U00000KuFY0QAN","Symonds Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","FinAcct.0011U00000KuFY0QAN-105","6. Greater than 15Y","2019-08-16T07:31:32","4. 50-69","2.01908231740307E+019","Income","Orla Weeks","2018-04-08","2020-07-06","0051U000005L6eJQAS","2019-08-11","Affluent Professionals","Chelsea Advisor","Orla Weeks Savings105","1. Less than 50k","Savings","Male","CA","Active","false","ryan.dobson@example.com","Trust",579176,3731,349223,229953,2018,7
,"NA","Chelsea Advisor","0051U000005L6eJQAS","FL","2018-10-13","1 - Platinum","2013-05-30","2019-08-22","Tier 1","true","New Emily",,"2020-07-04","Florida","Investment Account","Manager","0011U00000KuFY1QAN",,"https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","FinAcct.0011U00000KuFY1QAN-106","6. Greater than 15Y","2019-04-02T14:54:20","3. 30-49","2.01908231740307E+019","Aggressive Growth","Yoko Marshall","2018-08-09","2020-07-06","0051U000005L6eJQAS","2018-10-13","High Net Worth Families","Chelsea Advisor","Yoko Marshall Mutual Fund106","2. Between 50k and 250k","Mutual Fund","Male","PA","Active","false","ryan.dobson@example.com","Trust",421254,3831,291775,129479,2017,143
"0011U00000Kcp1KQAR","NA","Chelsea Advisor","0051U000005L6eJQAS","FL","2018-10-13","1 - Platinum","2013-05-30","2019-08-21","Tier 1","false","New Emily",,"2020-07-03","Florida","Mutual Fund Investment","Manager","0011U00000KuFY1QAN","Adams Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","FinAcct.0011U00000KuFY1QAN-107","6. Greater than 15Y","2019-04-02T14:54:20","3. 30-49","2.01908231740307E+019","Aggressive Growth","Yoko Marshall","2018-08-09","2020-07-06","0051U000005L6eJQAS","2018-10-13","High Net Worth Families","Chelsea Advisor","Yoko Marshall Mutual Fund107","2. Between 50k and 250k","Mutual Fund","Male","PA","Active","true","ryan.dobson@example.com","Trust",573497,3676,385941,187556,2017,143
,"NA","Mark Garet","0051U000005KhW6QAK","NY","2019-05-15","3 - Silver","2015-08-17","2019-08-20","Tier 1","false","Port Donnaton",,"2020-07-01","New York","Bank Account","Manager","0011U00000KuFY2QAN",,"https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","FinAcct.0011U00000KuFY2QAN-108","6. Greater than 15Y","2019-06-08T12:32:31","4. 50-69","2.01908231740307E+019","Income","Odysseus Ortiz","2019-07-13","2020-07-06","0051U000005KhW6QAK","2019-05-15","Millennials","Mark Garet","Odysseus Ortiz Checking108","2. Between 50k and 250k","Checking","Female","NY","Active","true","mark.garet@example.com","Trust",507501,3474,382282,125219,2017,76
"0011U00000Kcp1KQAR","NA","Mark Garet","0051U000005KhW6QAK","NY","2019-05-15","3 - Silver","2015-08-17","2019-08-22","Tier 1","true","Port Donnaton",,"2020-07-03","New York","Bank Account","Manager","0011U00000KuFY2QAN","Adams Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","FinAcct.0011U00000KuFY2QAN-109","6. Greater than 15Y","2019-06-08T12:32:31","4. 50-69","2.01908231740307E+019","Income","Odysseus Ortiz","2019-07-13","2020-07-06","0051U000005KhW6QAK","2019-05-15","Millennials","Mark Garet","Odysseus Ortiz Checking109","2. Between 50k and 250k","Checking","Female","NY","Active","false","mark.garet@example.com","Trust",467703,2695,331062,136641,2017,76
"0011U00000Kcp1PQAR","NA","Chelsea Advisor","0051U000005L6eJQAS","FL","2018-11-25","5 - Standard","2019-06-06","2019-08-21","Tier 2","true","Savagemouth",,"2020-07-03","Florida","Bank Account","Manager","0011U00000KuFY3QAN","Symonds Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","FinAcct.0011U00000KuFY3QAN-110","6. Greater than 15Y","2019-03-23T23:04:25","2. 18-29","2.01908231740307E+019","Income","Amos May","2018-12-06","2020-07-06","0051U000005L6eJQAS","2018-11-25","Retired","Chelsea Advisor","Amos May Cash Management Account110","2. Between 50k and 250k","Cash Management Account","Female","NY","Onboarding","false","ryan.dobson@example.com","Trust",491493,4116,334656,156837,2019,152
,"Financial Advisor","Allen Advisor","0051U000005JQyrQAG","IL","2019-06-03","5 - Standard","2012-02-04","2019-08-23","Tier 1","false","South Josephhaven",,"2020-07-05","Chicago","Mutual Fund Investment","Manager","0011U00000KuFY4QAN",,"https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","FinAcct.0011U00000KuFY4QAN-111","6. Greater than 15Y","2019-08-08T16:24:22","4. 50-69","2.01908231740307E+019","Growth","Marny Ford","2019-03-18","2020-07-06","0051U000005JQyrQAG","2019-06-03","Mass Market","Allen Advisor","Marny Ford Mutual Fund111","1. Less than 50k","Mutual Fund","Female","CA","Active","true","allen.advisor@example.com","Individual",525244,2593,369015,156229,2012,15
"0011U00000Kcp1KQAR","Personal Banker","Brenda Banker","0051U000005L4E9QAK","CA","2019-05-18","1 - Platinum","2016-03-07","2019-08-21","Tier 2","false","Lake Scott",,"2020-07-03","San Francisco","Investment Account","Manager","0011U00000KuFY5QAN","Adams Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","FinAcct.0011U00000KuFY5QAN-112","6. Greater than 15Y","2019-05-23T23:22:39","3. 30-49","2.01908231740307E+019","Growth","Declan Leblanc","2018-12-25","2020-07-06","0051U000005L4E9QAK","2019-05-18","High Net Worth Families","Brenda Banker","Declan Leblanc Mutual Fund112","1. Less than 50k","Mutual Fund","Male","CA","Active","true","sunil.dixit@example.com","Joint",409224,3516,275513,133711,2018,91
,"Personal Banker","Brenda Banker","0051U000005L4E9QAK","CA","2019-03-05","3 - Silver","2018-03-05","2019-08-22","Tier 3","true","Sheahaven",,"2020-07-04","San Francisco","Mutual Fund Investment","Manager","0011U00000KuFY6QAN",,"https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","FinAcct.0011U00000KuFY6QAN-113","6. Greater than 15Y","2019-08-22T04:23:58","4. 50-69","2.01908231740307E+019","Income","Angelica Herman","2019-03-08","2020-07-06","0051U000005L4E9QAK","2019-03-05","Affluent Professionals","Brenda Banker","Angelica Herman Mutual Fund113","1. Less than 50k","Mutual Fund","Male","NY","Active","false","sunil.dixit@example.com","Joint",565682,4250,315962,249720,2018,1
"0011U00000Kcp1PQAR","Financial Advisor","Allen Advisor","0051U000005JQyrQAG","IL","2018-12-11","2 - Gold","2017-03-10","2019-08-21","Tier 3","true","South Casey",,"2020-07-02","Chicago","Investment Account","Manager","0011U00000KuFY7QAN","Symonds Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","FinAcct.0011U00000KuFY7QAN-114","6. Greater than 15Y","2019-04-05T01:52:35","3. 30-49","2.01908231740307E+019","Income","Brielle Lynn","2019-06-25","2020-07-06","0051U000005JQyrQAG","2018-12-11","Millennials","Allen Advisor","Brielle Lynn Managed Account114","2. Between 50k and 250k","Managed Account","Female","CA","Active","false","allen.advisor@example.com","Trust",480620,3688,310034,170586,2018,140
,"Financial Advisor","Allen Advisor","0051U000005JQyrQAG","IL","2018-12-11","2 - Gold","2017-03-10","2019-08-22","Tier 3","true","South Casey",,"2020-07-04","Chicago","Mutual Fund Investment","Manager","0011U00000KuFY7QAN",,"https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","FinAcct.0011U00000KuFY7QAN-115","6. Greater than 15Y","2019-04-05T01:52:35","3. 30-49","2.01908231740307E+019","Income","Brielle Lynn","2019-06-25","2020-07-06","0051U000005JQyrQAG","2018-12-11","Millennials","Allen Advisor","Brielle Lynn Mutual Fund115","2. Between 50k and 250k","Mutual Fund","Female","CA","Active","false","allen.advisor@example.com","Individual",532848,3607,262399,270449,2018,140
"0011U00000Kcp1PQAR","Financial Advisor","Allen Advisor","0051U000005JQyrQAG","IL","2018-03-26","2 - Gold","2018-02-22","2019-08-19","Tier 2","false","New Cameronshire",,"2020-07-01","Chicago","Investment Account","Manager","0011U00000KuFY8QAN","Symonds Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","FinAcct.0011U00000KuFY8QAN-116","6. Greater than 15Y","2019-04-17T06:54:31","4. 50-69","2.01908231740307E+019","Income","Ava Bean","2019-07-15","2020-07-06","0051U000005JQyrQAG","2018-03-26","Mass Market","Allen Advisor","Ava Bean Fixed Annuity116","1. Less than 50k","Fixed Annuity","Male","CA","Active","true","allen.advisor@example.com","Trust",411476,3862,277212,134264,2019,128
"0011U00000Kcp1KQAR","Financial Advisor","Allen Advisor","0051U000005JQyrQAG","IL","2018-03-26","2 - Gold","2018-02-22","2019-08-23","Tier 2","false","New Cameronshire",,"2020-07-05","Chicago","Savings Account","Manager","0011U00000KuFY8QAN","Adams Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","FinAcct.0011U00000KuFY8QAN-117","6. Greater than 15Y","2019-04-17T06:54:31","4. 50-69","2.01908231740307E+019","Income","Ava Bean","2019-07-15","2020-07-06","0051U000005JQyrQAG","2018-03-26","Mass Market","Allen Advisor","Ava Bean Savings117","1. Less than 50k","Savings","Male","CA","Active","true","allen.advisor@example.com","Joint",504223,3470,379312,124911,2019,128
"0011U00000Kcp1PQAR","NA","Chelsea Advisor","0051U000005L6eJQAS","FL","2019-06-05","1 - Platinum","2016-07-16","2019-08-22","Tier 3","false","Dennisberg",,"2020-07-04","Florida","Savings Account","Manager","0011U00000KuFY9QAN","Symonds Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","FinAcct.0011U00000KuFY9QAN-118","6. Greater than 15Y","2019-07-02T04:22:44","2. 18-29","2.01908231740307E+019","Income","Ruby Vargas","2018-07-31","2020-07-06","0051U000005L6eJQAS","2019-06-05","Retired","Chelsea Advisor","Ruby Vargas Savings118","1. Less than 50k","Savings","Male","CA","Onboarding","true","ryan.dobson@example.com","Individual",406443,3824,288344,118099,2019,52
,"NA","Chelsea Advisor","0051U000005L6eJQAS","FL","2019-06-05","1 - Platinum","2016-07-16","2019-08-22","Tier 3","false","Dennisberg",,"2020-07-04","Florida","Investment Account","Manager","0011U00000KuFY9QAN",,"https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","FinAcct.0011U00000KuFY9QAN-119","6. Greater than 15Y","2019-07-02T04:22:44","2. 18-29","2.01908231740307E+019","Income","Ruby Vargas","2018-07-31","2020-07-06","0051U000005L6eJQAS","2019-06-05","Retired","Chelsea Advisor","Ruby Vargas Mutual Fund119","1. Less than 50k","Mutual Fund","Male","CA","Onboarding","true","ryan.dobson@example.com","Individual",498989,3897,376596,122393,2019,52
,"NA","Chelsea Advisor","0051U000005L6eJQAS","FL","2018-08-20","3 - Silver","2010-06-23","2019-08-22","Tier 1","true","Davidberg",,"2020-07-04","Florida","Mutual Fund Investment","Manager","0011U00000KuFYAQA3",,"https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","FinAcct.0011U00000KuFYAQA3-120","6. Greater than 15Y","2019-01-24T11:18:29","2. 18-29","2.01908231740307E+019","Growth","Asher House","2018-09-08","2020-07-06","0051U000005L6eJQAS","2018-08-20","High Net Worth Families","Chelsea Advisor","Asher House Mutual Fund120","2. Between 50k and 250k","Mutual Fund","Male","CA","Prospect","false","ryan.dobson@example.com","Joint",422761,4004,279481,143280,2014,211
