"FINANCIALACCOUNTNAME","ACCOUNTCLIENTCATEGORYCUSTOM","TRANSACTIONDATE","ACCOUNTSERVICEMODEL","HELDAWAY","FINANCIALACCOUNTID","ACCOUNTOWNERNAME","TRANSACTIONTYPE","ACCOUNTID","ACCOUNTYEARSSINCECLIENTBUCKET","ACCOUNTLASTINTERACTION","ACCOUNTAGEBUCKET","ANALYTICSDEMO_BATCH_ID_C","TRANSACTIONSTATUS","ACCOUNTINVESTMENTOBJECTIVES","ACCOUNTNAME","LastProcessedDate","ACCOUNTMARKETINGSEGMENT","ACCOUNTBALANCEBUCKET","FEESTYPE","FINANCIALACCOUNTTYPE","ACCOUNTPRIMARYCONTACTGENDER","ACCOUNTBILLINGSTATE","BALANCEAMOUNT","FEES","AMOUNT"
"Nash Dickerson Brokerage1883","2 - Gold","2019-02-06","Tier 3",True,"FinAcct.0011U00000KuFmRQAV-1883","Allen Advisor","Debit","0011U00000KuFmRQAV","6. Greater than 15Y","2019-08-15T23:50:10","3. 30-49","20190829100511427864","B","Growth","Nash Dickerson","2019-10-07","Retired","1. Less than 50k","Additional Checks Fees","Brokerage","Male","CA",0,5,100
"Nash Dickerson Brokerage1883","2 - Gold","2019-06-26","Tier 3",True,"FinAcct.0011U00000KuFmRQAV-1883","Allen Advisor","Debit","0011U00000KuFmRQAV","6. Greater than 15Y","2019-08-15T23:50:10","3. 30-49","20190829100511427864","A","Growth","Nash Dickerson","2019-10-07","Retired","1. Less than 50k","Debit Card Transaction Fees","Brokerage","Male","CA",0,3,100
"Nash Dickerson Mutual Fund1882","2 - Gold","2018-05-21","Tier 3",False,"FinAcct.0011U00000KuFmRQAV-1882","Allen Advisor","Credit","0011U00000KuFmRQAV","6. Greater than 15Y","2019-08-15T23:50:10","3. 30-49","20190829100511427864","A","Growth","Nash Dickerson","2019-10-07","Retired","1. Less than 50k","Cashier's Check Fees","Mutual Fund","Male","CA",0,1,800
"Nash Dickerson Mutual Fund1882","2 - Gold","2018-07-05","Tier 3",False,"FinAcct.0011U00000KuFmRQAV-1882","Allen Advisor","Credit","0011U00000KuFmRQAV","6. Greater than 15Y","2019-08-15T23:50:10","3. 30-49","20190829100511427864","A","Growth","Nash Dickerson","2019-10-07","Retired","1. Less than 50k","Cashier's Check Fees","Mutual Fund","Male","CA",0,1,500
"Nash Dickerson Mutual Fund1882","2 - Gold","2018-08-19","Tier 3",False,"FinAcct.0011U00000KuFmRQAV-1882","Allen Advisor","Credit","0011U00000KuFmRQAV","6. Greater than 15Y","2019-08-15T23:50:10","3. 30-49","20190829100511427864","A","Growth","Nash Dickerson","2019-10-07","Retired","1. Less than 50k","Card replacement Fees","Mutual Fund","Male","CA",0,1,1000
"Nash Dickerson Mutual Fund1882","2 - Gold","2018-09-03","Tier 3",False,"FinAcct.0011U00000KuFmRQAV-1882","Allen Advisor","Debit","0011U00000KuFmRQAV","6. Greater than 15Y","2019-08-15T23:50:10","3. 30-49","20190829100511427864","A","Growth","Nash Dickerson","2019-10-07","Retired","1. Less than 50k","Card replacement Fees","Mutual Fund","Male","CA",0,1,1000
"Nash Dickerson Mutual Fund1882","2 - Gold","2018-12-02","Tier 3",False,"FinAcct.0011U00000KuFmRQAV-1882","Allen Advisor","Debit","0011U00000KuFmRQAV","6. Greater than 15Y","2019-08-15T23:50:10","3. 30-49","20190829100511427864","B","Growth","Nash Dickerson","2019-10-07","Retired","1. Less than 50k","ATM Fees","Mutual Fund","Male","CA",0,3,100
"Nash Dickerson Mutual Fund1882","2 - Gold","2019-01-16","Tier 3",False,"FinAcct.0011U00000KuFmRQAV-1882","Allen Advisor","Debit","0011U00000KuFmRQAV","6. Greater than 15Y","2019-08-15T23:50:10","3. 30-49","20190829100511427864","A","Growth","Nash Dickerson","2019-10-07","Retired","1. Less than 50k","Additional Checks Fees","Mutual Fund","Male","CA",0,1,800
"Nash Dickerson Mutual Fund1882","2 - Gold","2019-01-31","Tier 3",False,"FinAcct.0011U00000KuFmRQAV-1882","Allen Advisor","Credit","0011U00000KuFmRQAV","6. Greater than 15Y","2019-08-15T23:50:10","3. 30-49","20190829100511427864","B","Growth","Nash Dickerson","2019-10-07","Retired","1. Less than 50k","Additional Checks Fees","Mutual Fund","Male","CA",0,5,800
"Nash Dickerson Mutual Fund1882","2 - Gold","2019-03-17","Tier 3",False,"FinAcct.0011U00000KuFmRQAV-1882","Allen Advisor","Debit","0011U00000KuFmRQAV","6. Greater than 15Y","2019-08-15T23:50:10","3. 30-49","20190829100511427864","A","Growth","Nash Dickerson","2019-10-07","Retired","1. Less than 50k","Card replacement Fees","Mutual Fund","Male","CA",0,1,500
"Nash Dickerson Mutual Fund1882","2 - Gold","2019-04-16","Tier 3",False,"FinAcct.0011U00000KuFmRQAV-1882","Allen Advisor","Credit","0011U00000KuFmRQAV","6. Greater than 15Y","2019-08-15T23:50:10","3. 30-49","20190829100511427864","B","Growth","Nash Dickerson","2019-10-07","Retired","1. Less than 50k","Checking Account Fees","Mutual Fund","Male","CA",0,5,100
"Nash Dickerson Savings1881","2 - Gold","2018-07-05","Tier 3",False,"FinAcct.0011U00000KuFmRQAV-1881","Allen Advisor","Debit","0011U00000KuFmRQAV","6. Greater than 15Y","2019-08-15T23:50:10","3. 30-49","20190829100511427864","A","Growth","Nash Dickerson","2019-10-07","Retired","1. Less than 50k","Cashier's Check Fees","Savings","Male","CA",0,3,1000
"Nash Dickerson Savings1881","2 - Gold","2018-09-03","Tier 3",False,"FinAcct.0011U00000KuFmRQAV-1881","Allen Advisor","Credit","0011U00000KuFmRQAV","6. Greater than 15Y","2019-08-15T23:50:10","3. 30-49","20190829100511427864","B","Growth","Nash Dickerson","2019-10-07","Retired","1. Less than 50k","ATM Fees(Out of network)","Savings","Male","CA",0,3,1000
"Nash Dickerson Savings1881","2 - Gold","2019-03-02","Tier 3",False,"FinAcct.0011U00000KuFmRQAV-1881","Allen Advisor","Credit","0011U00000KuFmRQAV","6. Greater than 15Y","2019-08-15T23:50:10","3. 30-49","20190829100511427864","A","Growth","Nash Dickerson","2019-10-07","Retired","1. Less than 50k","Additional Checks Fees","Savings","Male","CA",0,5,500
"Nash Dickerson Savings1881","2 - Gold","2019-06-15","Tier 3",False,"FinAcct.0011U00000KuFmRQAV-1881","Allen Advisor","Debit","0011U00000KuFmRQAV","6. Greater than 15Y","2019-08-15T23:50:10","3. 30-49","20190829100511427864","A","Growth","Nash Dickerson","2019-10-07","Retired","1. Less than 50k","Debit Card Transaction Fees","Savings","Male","CA",0,5,100
"Nash Dickerson Savings1881","2 - Gold","2019-06-30","Tier 3",False,"FinAcct.0011U00000KuFmRQAV-1881","Allen Advisor","Debit","0011U00000KuFmRQAV","6. Greater than 15Y","2019-08-15T23:50:10","3. 30-49","20190829100511427864","B","Growth","Nash Dickerson","2019-10-07","Retired","1. Less than 50k","Additional Checks Fees","Savings","Male","CA",0,1,1000
"Nash Dickerson Savings1881","2 - Gold","2019-08-14","Tier 3",False,"FinAcct.0011U00000KuFmRQAV-1881","Allen Advisor","Debit","0011U00000KuFmRQAV","6. Greater than 15Y","2019-08-15T23:50:10","3. 30-49","20190829100511427864","B","Growth","Nash Dickerson","2019-10-07","Retired","1. Less than 50k","Debit Card Transaction Fees","Savings","Male","CA",0,5,1000
"Zephania Bishop Managed Account1880","5 - Standard","2018-05-30","Tier 1",True,"FinAcct.0011U00000KuFmQQAV-1880","Brenda Banker","Credit","0011U00000KuFmQQAV","6. Greater than 15Y","2019-05-03T07:47:10","4. 50-69","20190829100511427864","B","Growth","Zephania Bishop","2019-10-07","Retired","1. Less than 50k","ATM Fees(Out of network)","Managed Account","Male","CA",0,3,1000
"Zephania Bishop Managed Account1880","5 - Standard","2018-10-17","Tier 1",True,"FinAcct.0011U00000KuFmQQAV-1880","Brenda Banker","Credit","0011U00000KuFmQQAV","6. Greater than 15Y","2019-05-03T07:47:10","4. 50-69","20190829100511427864","A","Growth","Zephania Bishop","2019-10-07","Retired","1. Less than 50k","Cashier's Check Fees","Managed Account","Male","CA",0,3,500
"Zephania Bishop Managed Account1880","5 - Standard","2019-02-06","Tier 1",True,"FinAcct.0011U00000KuFmQQAV-1880","Brenda Banker","Credit","0011U00000KuFmQQAV","6. Greater than 15Y","2019-05-03T07:47:10","4. 50-69","20190829100511427864","A","Growth","Zephania Bishop","2019-10-07","Retired","1. Less than 50k","Additional Checks Fees","Managed Account","Male","CA",0,1,800
"Zephania Bishop Managed Account1880","5 - Standard","2019-04-03","Tier 1",True,"FinAcct.0011U00000KuFmQQAV-1880","Brenda Banker","Debit","0011U00000KuFmQQAV","6. Greater than 15Y","2019-05-03T07:47:10","4. 50-69","20190829100511427864","A","Growth","Zephania Bishop","2019-10-07","Retired","1. Less than 50k","Debit Card Transaction Fees","Managed Account","Male","CA",0,3,100
"Zephania Bishop Managed Account1879","5 - Standard","2018-10-18","Tier 1",False,"FinAcct.0011U00000KuFmQQAV-1879","Brenda Banker","Debit","0011U00000KuFmQQAV","6. Greater than 15Y","2019-05-03T07:47:10","4. 50-69","20190829100511427864","A","Growth","Zephania Bishop","2019-10-07","Retired","1. Less than 50k","ATM Fees","Managed Account","Male","CA",0,5,500
"Zephania Bishop Managed Account1879","5 - Standard","2018-12-02","Tier 1",False,"FinAcct.0011U00000KuFmQQAV-1879","Brenda Banker","Debit","0011U00000KuFmQQAV","6. Greater than 15Y","2019-05-03T07:47:10","4. 50-69","20190829100511427864","B","Growth","Zephania Bishop","2019-10-07","Retired","1. Less than 50k","Cashier's Check Fees","Managed Account","Male","CA",0,3,800
"Zephania Bishop Managed Account1879","5 - Standard","2019-05-01","Tier 1",False,"FinAcct.0011U00000KuFmQQAV-1879","Brenda Banker","Debit","0011U00000KuFmQQAV","6. Greater than 15Y","2019-05-03T07:47:10","4. 50-69","20190829100511427864","A","Growth","Zephania Bishop","2019-10-07","Retired","1. Less than 50k","Debit Card Transaction Fees","Managed Account","Male","CA",0,3,1000
"Zephania Bishop Managed Account1879","5 - Standard","2019-06-15","Tier 1",False,"FinAcct.0011U00000KuFmQQAV-1879","Brenda Banker","Debit","0011U00000KuFmQQAV","6. Greater than 15Y","2019-05-03T07:47:10","4. 50-69","20190829100511427864","A","Growth","Zephania Bishop","2019-10-07","Retired","1. Less than 50k","Checking Account Fees","Managed Account","Male","CA",0,5,1000
"Zephania Bishop Managed Account1879","5 - Standard","2019-07-15","Tier 1",False,"FinAcct.0011U00000KuFmQQAV-1879","Brenda Banker","Debit","0011U00000KuFmQQAV","6. Greater than 15Y","2019-05-03T07:47:10","4. 50-69","20190829100511427864","A","Growth","Zephania Bishop","2019-10-07","Retired","1. Less than 50k","Additional Checks Fees","Managed Account","Male","CA",0,5,1000
"Morgan French Mutual Fund1878","3 - Silver","2018-05-06","Tier 1",False,"FinAcct.0011U00000KuFmPQAV-1878","Chelsea Advisor","Credit","0011U00000KuFmPQAV","6. Greater than 15Y","2019-08-24T13:34:46","4. 50-69","20190829100511427864","A","Growth","Morgan French","2019-10-07","Mass Market","1. Less than 50k","Additional Checks Fees","Mutual Fund","Male","NY",0,3,100
"Morgan French Mutual Fund1878","3 - Silver","2018-08-19","Tier 1",False,"FinAcct.0011U00000KuFmPQAV-1878","Chelsea Advisor","Debit","0011U00000KuFmPQAV","6. Greater than 15Y","2019-08-24T13:34:46","4. 50-69","20190829100511427864","A","Growth","Morgan French","2019-10-07","Mass Market","1. Less than 50k","Cashier's Check Fees","Mutual Fund","Male","NY",0,3,1000
"Morgan French Mutual Fund1878","3 - Silver","2018-09-18","Tier 1",False,"FinAcct.0011U00000KuFmPQAV-1878","Chelsea Advisor","Credit","0011U00000KuFmPQAV","6. Greater than 15Y","2019-08-24T13:34:46","4. 50-69","20190829100511427864","B","Growth","Morgan French","2019-10-07","Mass Market","1. Less than 50k","ATM Fees(Out of network)","Mutual Fund","Male","NY",0,5,500
"Morgan French Mutual Fund1878","3 - Silver","2018-11-17","Tier 1",False,"FinAcct.0011U00000KuFmPQAV-1878","Chelsea Advisor","Credit","0011U00000KuFmPQAV","6. Greater than 15Y","2019-08-24T13:34:46","4. 50-69","20190829100511427864","A","Growth","Morgan French","2019-10-07","Mass Market","1. Less than 50k","ATM Fees(Out of network)","Mutual Fund","Male","NY",0,5,800
"Morgan French Mutual Fund1878","3 - Silver","2019-01-16","Tier 1",False,"FinAcct.0011U00000KuFmPQAV-1878","Chelsea Advisor","Debit","0011U00000KuFmPQAV","6. Greater than 15Y","2019-08-24T13:34:46","4. 50-69","20190829100511427864","B","Growth","Morgan French","2019-10-07","Mass Market","1. Less than 50k","Checking Account Fees","Mutual Fund","Male","NY",0,3,800
"Morgan French Mutual Fund1878","3 - Silver","2019-06-15","Tier 1",False,"FinAcct.0011U00000KuFmPQAV-1878","Chelsea Advisor","Credit","0011U00000KuFmPQAV","6. Greater than 15Y","2019-08-24T13:34:46","4. 50-69","20190829100511427864","B","Growth","Morgan French","2019-10-07","Mass Market","1. Less than 50k","Card replacement Fees","Mutual Fund","Male","NY",0,3,100
"Morgan French Mutual Fund1878","3 - Silver","2019-06-30","Tier 1",False,"FinAcct.0011U00000KuFmPQAV-1878","Chelsea Advisor","Credit","0011U00000KuFmPQAV","6. Greater than 15Y","2019-08-24T13:34:46","4. 50-69","20190829100511427864","B","Growth","Morgan French","2019-10-07","Mass Market","1. Less than 50k","Checking Account Fees","Mutual Fund","Male","NY",0,3,100
"Morgan French Managed Account1877","3 - Silver","2018-04-06","Tier 1",False,"FinAcct.0011U00000KuFmPQAV-1877","Chelsea Advisor","Debit","0011U00000KuFmPQAV","6. Greater than 15Y","2019-08-24T13:34:46","4. 50-69","20190829100511427864","B","Growth","Morgan French","2019-10-07","Mass Market","1. Less than 50k","Card replacement Fees","Managed Account","Male","NY",0,3,800
"Morgan French Managed Account1877","3 - Silver","2018-06-20","Tier 1",False,"FinAcct.0011U00000KuFmPQAV-1877","Chelsea Advisor","Credit","0011U00000KuFmPQAV","6. Greater than 15Y","2019-08-24T13:34:46","4. 50-69","20190829100511427864","A","Growth","Morgan French","2019-10-07","Mass Market","1. Less than 50k","ATM Fees(Out of network)","Managed Account","Male","NY",0,3,1000
"Morgan French Managed Account1877","3 - Silver","2018-08-04","Tier 1",False,"FinAcct.0011U00000KuFmPQAV-1877","Chelsea Advisor","Credit","0011U00000KuFmPQAV","6. Greater than 15Y","2019-08-24T13:34:46","4. 50-69","20190829100511427864","A","Growth","Morgan French","2019-10-07","Mass Market","1. Less than 50k","ATM Fees(Out of network)","Managed Account","Male","NY",0,1,100
"Morgan French Managed Account1877","3 - Silver","2019-01-31","Tier 1",False,"FinAcct.0011U00000KuFmPQAV-1877","Chelsea Advisor","Debit","0011U00000KuFmPQAV","6. Greater than 15Y","2019-08-24T13:34:46","4. 50-69","20190829100511427864","B","Growth","Morgan French","2019-10-07","Mass Market","1. Less than 50k","Additional Checks Fees","Managed Account","Male","NY",0,1,500
"Morgan French Managed Account1877","3 - Silver","2019-05-16","Tier 1",False,"FinAcct.0011U00000KuFmPQAV-1877","Chelsea Advisor","Debit","0011U00000KuFmPQAV","6. Greater than 15Y","2019-08-24T13:34:46","4. 50-69","20190829100511427864","B","Growth","Morgan French","2019-10-07","Mass Market","1. Less than 50k","Checking Account Fees","Managed Account","Male","NY",0,5,100
"Morgan French Brokerage1876","3 - Silver","2018-09-19","Tier 1",True,"FinAcct.0011U00000KuFmPQAV-1876","Chelsea Advisor","Debit","0011U00000KuFmPQAV","6. Greater than 15Y","2019-08-24T13:34:46","4. 50-69","20190829100511427864","B","Growth","Morgan French","2019-10-07","Mass Market","1. Less than 50k","Checking Account Fees","Brokerage","Male","NY",0,1,500
"Morgan French Brokerage1876","3 - Silver","2019-01-09","Tier 1",True,"FinAcct.0011U00000KuFmPQAV-1876","Chelsea Advisor","Credit","0011U00000KuFmPQAV","6. Greater than 15Y","2019-08-24T13:34:46","4. 50-69","20190829100511427864","B","Growth","Morgan French","2019-10-07","Mass Market","1. Less than 50k","Checking Account Fees","Brokerage","Male","NY",0,5,100
"Morgan French Brokerage1876","3 - Silver","2019-03-06","Tier 1",True,"FinAcct.0011U00000KuFmPQAV-1876","Chelsea Advisor","Credit","0011U00000KuFmPQAV","6. Greater than 15Y","2019-08-24T13:34:46","4. 50-69","20190829100511427864","A","Growth","Morgan French","2019-10-07","Mass Market","1. Less than 50k","Additional Checks Fees","Brokerage","Male","NY",0,1,500
"Berk Hart Fixed Annuity1875","3 - Silver","2018-05-21","Tier 1",False,"FinAcct.0011U00000KuFmOQAV-1875","Mark Garet","Credit","0011U00000KuFmOQAV","6. Greater than 15Y","2019-03-26T06:51:57","4. 50-69","20190829100511427864","B","Balanced Growth","Berk Hart","2019-10-07","High Net Worth Families","2. Between 50k and 250k","ATM Fees","Fixed Annuity","Female","NY",0,5,100
"Berk Hart Fixed Annuity1875","3 - Silver","2018-09-18","Tier 1",False,"FinAcct.0011U00000KuFmOQAV-1875","Mark Garet","Debit","0011U00000KuFmOQAV","6. Greater than 15Y","2019-03-26T06:51:57","4. 50-69","20190829100511427864","B","Balanced Growth","Berk Hart","2019-10-07","High Net Worth Families","2. Between 50k and 250k","ATM Fees(Out of network)","Fixed Annuity","Female","NY",0,5,800
"Berk Hart Fixed Annuity1875","3 - Silver","2018-12-02","Tier 1",False,"FinAcct.0011U00000KuFmOQAV-1875","Mark Garet","Debit","0011U00000KuFmOQAV","6. Greater than 15Y","2019-03-26T06:51:57","4. 50-69","20190829100511427864","B","Balanced Growth","Berk Hart","2019-10-07","High Net Worth Families","2. Between 50k and 250k","ATM Fees","Fixed Annuity","Female","NY",0,1,1000
"Berk Hart Fixed Annuity1875","3 - Silver","2019-01-31","Tier 1",False,"FinAcct.0011U00000KuFmOQAV-1875","Mark Garet","Credit","0011U00000KuFmOQAV","6. Greater than 15Y","2019-03-26T06:51:57","4. 50-69","20190829100511427864","B","Balanced Growth","Berk Hart","2019-10-07","High Net Worth Families","2. Between 50k and 250k","Debit Card Transaction Fees","Fixed Annuity","Female","NY",0,5,1000
"Berk Hart Fixed Annuity1875","3 - Silver","2019-04-16","Tier 1",False,"FinAcct.0011U00000KuFmOQAV-1875","Mark Garet","Credit","0011U00000KuFmOQAV","6. Greater than 15Y","2019-03-26T06:51:57","4. 50-69","20190829100511427864","A","Balanced Growth","Berk Hart","2019-10-07","High Net Worth Families","2. Between 50k and 250k","Debit Card Transaction Fees","Fixed Annuity","Female","NY",0,5,100
"Berk Hart Fixed Annuity1875","3 - Silver","2019-07-30","Tier 1",False,"FinAcct.0011U00000KuFmOQAV-1875","Mark Garet","Debit","0011U00000KuFmOQAV","6. Greater than 15Y","2019-03-26T06:51:57","4. 50-69","20190829100511427864","A","Balanced Growth","Berk Hart","2019-10-07","High Net Worth Families","2. Between 50k and 250k","Cashier's Check Fees","Fixed Annuity","Female","NY",0,3,500
"Berk Hart Fixed Annuity1875","3 - Silver","2019-08-14","Tier 1",False,"FinAcct.0011U00000KuFmOQAV-1875","Mark Garet","Debit","0011U00000KuFmOQAV","6. Greater than 15Y","2019-03-26T06:51:57","4. 50-69","20190829100511427864","B","Balanced Growth","Berk Hart","2019-10-07","High Net Worth Families","2. Between 50k and 250k","Checking Account Fees","Fixed Annuity","Female","NY",0,1,1000
"Aphrodite Stevens Cash Management Account1874","2 - Gold","2018-09-19","Tier 2",True,"FinAcct.0011U00000KuFmNQAV-1874","Brenda Banker","Debit","0011U00000KuFmNQAV","6. Greater than 15Y","2019-08-09T15:52:59","3. 30-49","20190829100511427864","A","Balanced Growth","Aphrodite Stevens","2019-10-07","Affluent Professionals","2. Between 50k and 250k","ATM Fees","Cash Management Account","Female","CA",0,5,500
"Aphrodite Stevens Cash Management Account1874","2 - Gold","2018-12-12","Tier 2",True,"FinAcct.0011U00000KuFmNQAV-1874","Brenda Banker","Debit","0011U00000KuFmNQAV","6. Greater than 15Y","2019-08-09T15:52:59","3. 30-49","20190829100511427864","B","Balanced Growth","Aphrodite Stevens","2019-10-07","Affluent Professionals","2. Between 50k and 250k","Additional Checks Fees","Cash Management Account","Female","CA",0,5,1000
"Aphrodite Stevens Cash Management Account1874","2 - Gold","2019-02-06","Tier 2",True,"FinAcct.0011U00000KuFmNQAV-1874","Brenda Banker","Debit","0011U00000KuFmNQAV","6. Greater than 15Y","2019-08-09T15:52:59","3. 30-49","20190829100511427864","A","Balanced Growth","Aphrodite Stevens","2019-10-07","Affluent Professionals","2. Between 50k and 250k","Additional Checks Fees","Cash Management Account","Female","CA",0,3,800
"Aphrodite Stevens Checking1873","2 - Gold","2018-05-02","Tier 2",True,"FinAcct.0011U00000KuFmNQAV-1873","Brenda Banker","Debit","0011U00000KuFmNQAV","6. Greater than 15Y","2019-08-09T15:52:59","3. 30-49","20190829100511427864","B","Balanced Growth","Aphrodite Stevens","2019-10-07","Affluent Professionals","2. Between 50k and 250k","Card replacement Fees","Checking","Female","CA",0,5,1000
"Aphrodite Stevens Checking1873","2 - Gold","2019-02-06","Tier 2",True,"FinAcct.0011U00000KuFmNQAV-1873","Brenda Banker","Credit","0011U00000KuFmNQAV","6. Greater than 15Y","2019-08-09T15:52:59","3. 30-49","20190829100511427864","A","Balanced Growth","Aphrodite Stevens","2019-10-07","Affluent Professionals","2. Between 50k and 250k","Debit Card Transaction Fees","Checking","Female","CA",0,3,800
"Aphrodite Stevens Checking1873","2 - Gold","2019-05-29","Tier 2",True,"FinAcct.0011U00000KuFmNQAV-1873","Brenda Banker","Debit","0011U00000KuFmNQAV","6. Greater than 15Y","2019-08-09T15:52:59","3. 30-49","20190829100511427864","A","Balanced Growth","Aphrodite Stevens","2019-10-07","Affluent Professionals","2. Between 50k and 250k","Card replacement Fees","Checking","Female","CA",0,5,1000
"Aphrodite Stevens Fixed Annuity1872","2 - Gold","2018-04-06","Tier 2",False,"FinAcct.0011U00000KuFmNQAV-1872","Brenda Banker","Debit","0011U00000KuFmNQAV","6. Greater than 15Y","2019-08-09T15:52:59","3. 30-49","20190829100511427864","A","Balanced Growth","Aphrodite Stevens","2019-10-07","Affluent Professionals","2. Between 50k and 250k","Card replacement Fees","Fixed Annuity","Female","CA",0,3,1000
"Aphrodite Stevens Fixed Annuity1872","2 - Gold","2018-05-06","Tier 2",False,"FinAcct.0011U00000KuFmNQAV-1872","Brenda Banker","Credit","0011U00000KuFmNQAV","6. Greater than 15Y","2019-08-09T15:52:59","3. 30-49","20190829100511427864","B","Balanced Growth","Aphrodite Stevens","2019-10-07","Affluent Professionals","2. Between 50k and 250k","Card replacement Fees","Fixed Annuity","Female","CA",0,5,500
"Aphrodite Stevens Fixed Annuity1872","2 - Gold","2018-05-21","Tier 2",False,"FinAcct.0011U00000KuFmNQAV-1872","Brenda Banker","Debit","0011U00000KuFmNQAV","6. Greater than 15Y","2019-08-09T15:52:59","3. 30-49","20190829100511427864","A","Balanced Growth","Aphrodite Stevens","2019-10-07","Affluent Professionals","2. Between 50k and 250k","Debit Card Transaction Fees","Fixed Annuity","Female","CA",0,3,800
"Aphrodite Stevens Fixed Annuity1872","2 - Gold","2018-07-05","Tier 2",False,"FinAcct.0011U00000KuFmNQAV-1872","Brenda Banker","Credit","0011U00000KuFmNQAV","6. Greater than 15Y","2019-08-09T15:52:59","3. 30-49","20190829100511427864","B","Balanced Growth","Aphrodite Stevens","2019-10-07","Affluent Professionals","2. Between 50k and 250k","Cashier's Check Fees","Fixed Annuity","Female","CA",0,3,1000
"Aphrodite Stevens Fixed Annuity1872","2 - Gold","2018-07-20","Tier 2",False,"FinAcct.0011U00000KuFmNQAV-1872","Brenda Banker","Credit","0011U00000KuFmNQAV","6. Greater than 15Y","2019-08-09T15:52:59","3. 30-49","20190829100511427864","B","Balanced Growth","Aphrodite Stevens","2019-10-07","Affluent Professionals","2. Between 50k and 250k","Cashier's Check Fees","Fixed Annuity","Female","CA",0,3,500
"Aphrodite Stevens Fixed Annuity1872","2 - Gold","2018-09-03","Tier 2",False,"FinAcct.0011U00000KuFmNQAV-1872","Brenda Banker","Debit","0011U00000KuFmNQAV","6. Greater than 15Y","2019-08-09T15:52:59","3. 30-49","20190829100511427864","B","Balanced Growth","Aphrodite Stevens","2019-10-07","Affluent Professionals","2. Between 50k and 250k","Checking Account Fees","Fixed Annuity","Female","CA",0,5,800
"Aphrodite Stevens Fixed Annuity1872","2 - Gold","2019-03-17","Tier 2",False,"FinAcct.0011U00000KuFmNQAV-1872","Brenda Banker","Debit","0011U00000KuFmNQAV","6. Greater than 15Y","2019-08-09T15:52:59","3. 30-49","20190829100511427864","B","Balanced Growth","Aphrodite Stevens","2019-10-07","Affluent Professionals","2. Between 50k and 250k","ATM Fees(Out of network)","Fixed Annuity","Female","CA",0,1,1000
"Aphrodite Stevens Fixed Annuity1872","2 - Gold","2019-05-16","Tier 2",False,"FinAcct.0011U00000KuFmNQAV-1872","Brenda Banker","Debit","0011U00000KuFmNQAV","6. Greater than 15Y","2019-08-09T15:52:59","3. 30-49","20190829100511427864","B","Balanced Growth","Aphrodite Stevens","2019-10-07","Affluent Professionals","2. Between 50k and 250k","ATM Fees","Fixed Annuity","Female","CA",0,1,500
"Aphrodite Stevens Fixed Annuity1872","2 - Gold","2019-07-30","Tier 2",False,"FinAcct.0011U00000KuFmNQAV-1872","Brenda Banker","Debit","0011U00000KuFmNQAV","6. Greater than 15Y","2019-08-09T15:52:59","3. 30-49","20190829100511427864","B","Balanced Growth","Aphrodite Stevens","2019-10-07","Affluent Professionals","2. Between 50k and 250k","ATM Fees(Out of network)","Fixed Annuity","Female","CA",0,5,1000
"Aphrodite Stevens Fixed Annuity1872","2 - Gold","2019-08-29","Tier 2",False,"FinAcct.0011U00000KuFmNQAV-1872","Brenda Banker","Debit","0011U00000KuFmNQAV","6. Greater than 15Y","2019-08-09T15:52:59","3. 30-49","20190829100511427864","A","Balanced Growth","Aphrodite Stevens","2019-10-07","Affluent Professionals","2. Between 50k and 250k","Checking Account Fees","Fixed Annuity","Female","CA",0,1,100
"Eagan Mejia Mutual Fund1871","3 - Silver","2018-05-30","Tier 3",True,"FinAcct.0011U00000KuFmMQAV-1871","Brenda Banker","Debit","0011U00000KuFmMQAV","6. Greater than 15Y","2018-11-10T07:11:57","4. 50-69","20190829100511427864","A","Growth","Eagan Mejia","2019-10-07","Affluent Professionals","1. Less than 50k","Debit Card Transaction Fees","Mutual Fund","Male","NY",0,1,1000
"Eagan Mejia Mutual Fund1871","3 - Silver","2018-06-27","Tier 3",True,"FinAcct.0011U00000KuFmMQAV-1871","Brenda Banker","Debit","0011U00000KuFmMQAV","6. Greater than 15Y","2018-11-10T07:11:57","4. 50-69","20190829100511427864","B","Growth","Eagan Mejia","2019-10-07","Affluent Professionals","1. Less than 50k","ATM Fees(Out of network)","Mutual Fund","Male","NY",0,3,100
"Eagan Mejia Mutual Fund1871","3 - Silver","2018-11-14","Tier 3",True,"FinAcct.0011U00000KuFmMQAV-1871","Brenda Banker","Credit","0011U00000KuFmMQAV","6. Greater than 15Y","2018-11-10T07:11:57","4. 50-69","20190829100511427864","B","Growth","Eagan Mejia","2019-10-07","Affluent Professionals","1. Less than 50k","ATM Fees","Mutual Fund","Male","NY",0,1,1000
"Eagan Mejia Mutual Fund1870","3 - Silver","2018-12-12","Tier 3",True,"FinAcct.0011U00000KuFmMQAV-1870","Brenda Banker","Debit","0011U00000KuFmMQAV","6. Greater than 15Y","2018-11-10T07:11:57","4. 50-69","20190829100511427864","B","Growth","Eagan Mejia","2019-10-07","Affluent Professionals","1. Less than 50k","Checking Account Fees","Mutual Fund","Male","NY",0,5,100
