"OWNERUNIQUEUSERNAME","ISHIGHPRIORITY","OWNERID","ACCOUNTRECORDTYPENAME","ACCOUNTTYPE","OWNERSTATE","ACTIVITYDATE","PRIORITY","CREATEDDATE","OWNERCITY","STATUS","DESCRIPTION","OWNERROLENAME","EVENTSUBTYPE","ACCOUNTID","OWNERSMALLPHOTOURL","DUEDATE","TYPE","ANALYTICSDEMO_BATCH_ID_C","ACCOUNTINVESTMENTOBJECTIVES","REGARDING","TASKSUBTYPE","ACCOUNTNAME","ACCOUNTINVESTMENTEXPERIENCE","LastProcessedDate","ACCOUNTMARKETINGSEGMENT","OWNERNAME","ACCOUNTBALANCEBUCKET","CALLTYPE","SUBJECT","OWNEREMAIL","DueDays"
"Brenda Banker","true","0051U000005KhW6QAK","Person Account","Customer","NY","2020-06-20","High","2019-11-26","New York","Event","-","Manager","Call","0011U00000KuFavQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-13","Email","2.01908291351258E+019","Aggressive Growth","Client Retention","Call","Cyrus Valencia","Inexperienced","2020-07-06","High Net Worth Families","Mark Garet","1. Less than 50k","Event","Evaluate Refinancing Loan","mark.garet@example.com",324
"Chelsea Advisor","true","0051U000005JQyrQAG","Person Account","Customer","IL","2020-06-23","High","2020-01-16","Chicago","Not Started","-","Manager","Call","0011U00000KuFawQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-16","Email","2.01908291351258E+019","Balanced Growth","Onboarding","Call","Louis Mcneil","Moderately Inexperienced","2020-07-06","Affluent Professionals","Allen Advisor","2. Between 50k and 250k","Event","Discussion","allen.advisor@example.com",321
"Brenda Banker","true","0051U000005L6eJQAS","Person Account","Customer","FL","2020-06-26","High","2019-07-23","Florida","Not Started","-","Manager","Call","0011U00000KuFayQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-19","Email","2.01908291351258E+019","Aggressive Growth","Client Retention","Call","Indigo Bass","Experienced","2020-07-06","High Net Worth Families","Chelsea Advisor","1. Less than 50k","Event","Quarterly Earnings Summary","ryan.dobson@example.com",318
"Allen Advisor","true","0051U000005L6eJQAS","Household","Customer","FL","2020-06-26","High","2020-03-13","Florida","In progress","-","Manager","Call","0011U00000KuFb0QAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-19","Email","2.01908291351258E+019","Balanced Growth","Client Retention","Call","Oprah Leonard","Moderately Experienced","2020-07-06","Affluent Professionals","Chelsea Advisor","2. Between 50k and 250k","Event","Evaluate Refinancing Loan","ryan.dobson@example.com",318
"Mark Garet","true","0051U000005JQyrQAG","Individual","Customer","IL","2020-06-23","High","2019-11-03","Chicago","Not Started","-","Manager","Call","0011U00000KuFb2QAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-16","Email","2.01908291351258E+019","Income","Service","Call","Emerson Kinney","Experienced","2020-07-06","Mass Market","Allen Advisor","2. Between 50k and 250k","Event","Summit","allen.advisor@example.com",321
"Mark Garet","true","0051U000005JQyrQAG","Person Account","Customer","IL","2020-06-08","High","2019-01-21","Chicago","In progress","-","Manager","Call","0011U00000KuFb4QAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-01","Other","2.01908291351258E+019","Income","Client Retention","Call","Dante Copeland","Moderately Inexperienced","2020-07-06","High Net Worth Families","Allen Advisor","1. Less than 50k","Event","Discussion","allen.advisor@example.com",336
"Mark Garet","true","0051U000005JQyrQAG","Individual","Customer","IL","2020-06-08","High","2019-05-17","Chicago","Not Started","-","Manager","Call","0011U00000KuFb7QAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-01","Call","2.01908291351258E+019","Growth","Service","Call","Fatima Klein","Experienced","2020-07-06","Retired","Allen Advisor","1. Less than 50k","Event","Send Birthday Gift","allen.advisor@example.com",336
"Mark Garet","true","0051U000005JQyrQAG","Person Account","Customer","IL","2020-06-30","High","2020-05-24","Chicago","Event","-","Manager","Call","0011U00000KuFb8QAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-23","Email","2.01908291351258E+019","Aggressive Growth","Service","Call","Lacey Rodgers","Experienced","2020-07-06","Mass Market","Allen Advisor","1. Less than 50k","Event","Lunch Meeting","allen.advisor@example.com",314
"Chelsea Advisor","true","0051U000005JQyrQAG","Individual","Customer","IL","2020-06-12","High","2019-08-24","Chicago","Event","-","Manager","Call","0011U00000KuFb9QAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-05","Other","2.01908291351258E+019","Growth","Prospecting","Call","Curran Pollard","Moderately Inexperienced","2020-07-06","Retired","Allen Advisor","2. Between 50k and 250k","Event","Lunch Meeting","allen.advisor@example.com",332
"Brenda Banker","true","0051U000005JQyrQAG","Person Account","Customer","IL","2020-06-18","High","2020-03-02","Chicago","Event","-","Manager","Call","0011U00000KuFbBQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-11","Email","2.01908291351258E+019","Aggressive Growth","Onboarding","Call","Vladimir Fleming","Moderately Inexperienced","2020-07-06","Retired","Allen Advisor","2. Between 50k and 250k","Event","Sync Up","allen.advisor@example.com",326
"Allen Advisor","true","0051U000005L6eJQAS","Household","Customer","FL","2020-06-06","High","2020-02-27","Florida","Not Started","-","Manager","Call","0011U00000KuFbCQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-07-30","Other","2.01908291351258E+019","Income","Service","Call","Theodore Small","Experienced","2020-07-06","Mass Market","Chelsea Advisor","1. Less than 50k","Event","Discussion","ryan.dobson@example.com",338
"Brenda Banker","true","0051U000005KhW6QAK","Household","Customer","NY","2020-06-13","High","2019-05-13","New York","In progress","-","Manager","Call","0011U00000KuFbEQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-06","Meeting","2.01908291351258E+019","Balanced Growth","Client Retention","Call","Cora Winters","Moderately Experienced","2020-07-06","Mass Market","Mark Garet","2. Between 50k and 250k","Event","Lunch Meeting","mark.garet@example.com",331
"Mark Garet","true","0051U000005L6eJQAS","Person Account","Customer","FL","2020-06-30","High","2020-01-27","Florida","Not Started","-","Manager","Call","0011U00000KuFbFQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-23","Other","2.01908291351258E+019","Aggressive Growth","Prospecting","Call","Philip Noble","Experienced","2020-07-06","Retired","Chelsea Advisor","1. Less than 50k","Event","Send Birthday Gift","ryan.dobson@example.com",314
"Brenda Banker","true","0051U000005L6eJQAS","Individual","Customer","FL","2020-06-24","High","2019-03-29","Florida","In progress","-","Manager","Call","0011U00000KuFbGQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-17","Call","2.01908291351258E+019","Balanced Growth","Client Retention","Call","Philip Bartlett","Moderately Experienced","2020-07-06","High Net Worth Families","Chelsea Advisor","2. Between 50k and 250k","Event","Send Birthday Gift","ryan.dobson@example.com",320
"Chelsea Advisor","true","0051U000005L6eJQAS","Individual","Customer","FL","2020-07-02","High","2020-02-07","Florida","Completed","-","Manager","Call","0011U00000KuFbHQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-25","Meeting","2.01908291351258E+019","Balanced Growth","Service","Call","Rogan Skinner","Experienced","2020-07-06","Affluent Professionals","Chelsea Advisor","1. Less than 50k","Event","Evaluate Refinancing Loan","ryan.dobson@example.com",312
"Allen Advisor","true","0051U000005KhW6QAK","Person Account","Customer","NY","2020-06-07","High","2019-10-08","New York","Not Started","-","Manager","Call","0011U00000KuFbIQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-07-31","Email","2.01908291351258E+019","Balanced Growth","Service","Call","Gillian Irwin","Moderately Experienced","2020-07-06","Retired","Mark Garet","2. Between 50k and 250k","Event","Lunch Meeting","mark.garet@example.com",337
"Brenda Banker","true","0051U000005L4E9QAK","Household","Customer","CA","2020-06-11","High","2020-04-05","San Francisco","Event","-","Manager","Call","0011U00000KuFbLQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-04","Email","2.01908291351258E+019","Growth","Prospecting","Call","Stacey Rasmussen","Moderately Experienced","2020-07-06","Affluent Professionals","Brenda Banker","2. Between 50k and 250k","Event","Sync Up","sunil.dixit@example.com",333
"Mark Garet","true","0051U000005JQyrQAG","Person Account","Customer","IL","2020-06-06","High","2019-06-11","Chicago","In progress","-","Manager","Call","0011U00000KuFbNQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-07-30","Meeting","2.01908291351258E+019","Aggressive Growth","Service","Call","Lewis Ramirez","Moderately Experienced","2020-07-06","Affluent Professionals","Allen Advisor","2. Between 50k and 250k","Event","Evaluate Refinancing Loan","allen.advisor@example.com",338
"Mark Garet","true","0051U000005KhW6QAK","Household","Customer","NY","2020-07-04","High","2020-01-09","New York","Not Started","-","Manager","Call","0011U00000KuFbPQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-27","Other","2.01908291351258E+019","Growth","Prospecting","Call","Giselle Caldwell","Moderately Inexperienced","2020-07-06","Affluent Professionals","Mark Garet","2. Between 50k and 250k","Event","Quarterly Earnings Summary","mark.garet@example.com",310
"Allen Advisor","true","0051U000005L4E9QAK","Individual","Customer","CA","2020-07-01","High","2020-06-16","San Francisco","In progress","-","Manager","Call","0011U00000KuFbSQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-24","Other","2.01908291351258E+019","Aggressive Growth","Client Retention","Call","Elmo Gaines","Moderately Experienced","2020-07-06","Affluent Professionals","Brenda Banker","2. Between 50k and 250k","Event","Sync Up","sunil.dixit@example.com",313
"Chelsea Advisor","true","0051U000005L4E9QAK","Household","Customer","CA","2020-06-27","High","2020-01-09","San Francisco","Completed","-","Manager","Call","0011U00000KuFbUQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-20","Email","2.01908291351258E+019","Balanced Growth","Onboarding","Call","Darius Mann","Inexperienced","2020-07-06","Mass Market","Brenda Banker","2. Between 50k and 250k","Event","Evaluate Refinancing Loan","sunil.dixit@example.com",317
"Allen Advisor","true","0051U000005JQyrQAG","Individual","Customer","IL","2020-06-17","High","2019-11-20","Chicago","In progress","-","Manager","Call","0011U00000KuFbWQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-10","Other","2.01908291351258E+019","Balanced Growth","Prospecting","Call","Ishmael Riley","Experienced","2020-07-06","Retired","Allen Advisor","1. Less than 50k","Event","Summit","allen.advisor@example.com",327
"Mark Garet","true","0051U000005KhW6QAK","Individual","Customer","NY","2020-06-08","High","2020-06-05","New York","Not Started","-","Manager","Call","0011U00000KuFbXQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-01","Call","2.01908291351258E+019","Balanced Growth","Service","Call","Molly Sullivan","Moderately Inexperienced","2020-07-06","Millennials","Mark Garet","2. Between 50k and 250k","Event","Quarterly Earnings Summary","mark.garet@example.com",336
"Allen Advisor","true","0051U000005L6eJQAS","Person Account","Customer","FL","2020-06-22","High","2020-03-02","Florida","Event","-","Manager","Call","0011U00000KuFbYQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-15","Other","2.01908291351258E+019","Aggressive Growth","Onboarding","Call","Kermit Fuentes","Inexperienced","2020-07-06","Retired","Chelsea Advisor","1. Less than 50k","Event","Summit","ryan.dobson@example.com",322
"Brenda Banker","true","0051U000005KhW6QAK","Person Account","Customer","NY","2020-06-06","High","2019-08-12","New York","Completed","-","Manager","Call","0011U00000KuFbZQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-07-30","Call","2.01908291351258E+019","Balanced Growth","Prospecting","Call","Jayme Stone","Experienced","2020-07-06","High Net Worth Families","Mark Garet","1. Less than 50k","Event","Sync Up","mark.garet@example.com",338
"Brenda Banker","true","0051U000005KhW6QAK","Person Account","Customer","NY","2020-07-02","High","2019-04-21","New York","Completed","-","Manager","Call","0011U00000KuFbaQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-25","Call","2.01908291351258E+019","Balanced Growth","Onboarding","Call","Jana Russo","Inexperienced","2020-07-06","High Net Worth Families","Mark Garet","2. Between 50k and 250k","Event","Summit","mark.garet@example.com",312
"Brenda Banker","true","0051U000005KhW6QAK","Person Account","Customer","NY","2020-06-12","High","2019-03-13","New York","Completed","-","Manager","Call","0011U00000KuFbbQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-05","Other","2.01908291351258E+019","Aggressive Growth","Service","Call","Garrison Conley","Experienced","2020-07-06","Millennials","Mark Garet","2. Between 50k and 250k","Event","Quarterly Earnings Summary","mark.garet@example.com",332
"Allen Advisor","true","0051U000005L6eJQAS","Household","Customer","FL","2020-06-20","High","2019-08-12","Florida","In progress","-","Manager","Call","0011U00000KuFbcQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-13","Call","2.01908291351258E+019","Aggressive Growth","Onboarding","Call","Gage Mendez","Moderately Inexperienced","2020-07-06","Affluent Professionals","Chelsea Advisor","2. Between 50k and 250k","Event","Summit","ryan.dobson@example.com",324
"Mark Garet","true","0051U000005KhW6QAK","Household","Customer","NY","2020-06-15","High","2019-04-12","New York","Event","-","Manager","Call","0011U00000KuFbdQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-08","Other","2.01908291351258E+019","Income","Prospecting","Call","Austin Johns","Experienced","2020-07-06","Mass Market","Mark Garet","1. Less than 50k","Event","Evaluate Refinancing Loan","mark.garet@example.com",329
"Chelsea Advisor","true","0051U000005L6eJQAS","Person Account","Customer","FL","2020-07-04","High","2020-07-02","Florida","In progress","-","Manager","Call","0011U00000KuFbeQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-27","Meeting","2.01908291351258E+019","Aggressive Growth","Prospecting","Call","Lael Wilder","Experienced","2020-07-06","Retired","Chelsea Advisor","2. Between 50k and 250k","Event","Lunch Meeting","ryan.dobson@example.com",310
"Brenda Banker","true","0051U000005JQyrQAG","Person Account","Customer","IL","2020-06-13","High","2019-08-10","Chicago","In progress","-","Manager","Call","0011U00000KuFbgQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-06","Email","2.01908291351258E+019","Aggressive Growth","Onboarding","Call","Shaeleigh Perry","Experienced","2020-07-06","Mass Market","Allen Advisor","1. Less than 50k","Event","Send Birthday Gift","allen.advisor@example.com",331
"Mark Garet","true","0051U000005KhW6QAK","Household","Customer","NY","2020-06-20","High","2019-05-28","New York","Not Started","-","Manager","Call","0011U00000KuFbhQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-13","Other","2.01908291351258E+019","Aggressive Growth","Onboarding","Call","Celeste Roberson","Experienced","2020-07-06","Retired","Mark Garet","1. Less than 50k","Event","Sync Up","mark.garet@example.com",324
"Allen Advisor","true","0051U000005L4E9QAK","Household","Customer","CA","2020-06-28","High","2020-02-08","San Francisco","Event","-","Manager","Call","0011U00000KuFbiQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-21","Email","2.01908291351258E+019","Balanced Growth","Service","Call","Simone Ward","Experienced","2020-07-06","High Net Worth Families","Brenda Banker","1. Less than 50k","Event","Summit","sunil.dixit@example.com",316
"Chelsea Advisor","true","0051U000005JQyrQAG","Household","Customer","IL","2020-06-11","High","2019-08-08","Chicago","In progress","-","Manager","Call","0011U00000KuFblQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-04","Email","2.01908291351258E+019","Income","Prospecting","Call","Nicholas Spears","Moderately Experienced","2020-07-06","High Net Worth Families","Allen Advisor","2. Between 50k and 250k","Event","Summit","allen.advisor@example.com",333
"Allen Advisor","true","0051U000005L6eJQAS","Person Account","Customer","FL","2020-06-11","High","2019-12-20","Florida","Event","-","Manager","Call","0011U00000KuFbmQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-04","Meeting","2.01908291351258E+019","Income","Onboarding","Call","Dalton Norton","Moderately Inexperienced","2020-07-06","Millennials","Chelsea Advisor","2. Between 50k and 250k","Event","Summit","ryan.dobson@example.com",333
"Allen Advisor","true","0051U000005KhW6QAK","Person Account","Customer","NY","2020-06-25","High","2019-04-22","New York","Completed","-","Manager","Call","0011U00000KuFbnQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-18","Other","2.01908291351258E+019","Income","Service","Call","Zephr Pace","Experienced","2020-07-06","Mass Market","Mark Garet","2. Between 50k and 250k","Event","Send Birthday Gift","mark.garet@example.com",319
"Allen Advisor","true","0051U000005KhW6QAK","Person Account","Customer","NY","2020-06-07","High","2019-04-25","New York","In progress","-","Manager","Call","0011U00000KuFbpQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-07-31","Meeting","2.01908291351258E+019","Income","Service","Call","Tatiana Sexton","Moderately Inexperienced","2020-07-06","Retired","Mark Garet","1. Less than 50k","Event","Evaluate Refinancing Loan","mark.garet@example.com",337
"Chelsea Advisor","true","0051U000005L4E9QAK","Person Account","Customer","CA","2020-06-22","High","2020-06-18","San Francisco","In progress","-","Manager","Call","0011U00000KuFbqQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-15","Other","2.01908291351258E+019","Growth","Prospecting","Call","Lucius Albert","Moderately Experienced","2020-07-06","High Net Worth Families","Brenda Banker","1. Less than 50k","Event","Evaluate Refinancing Loan","sunil.dixit@example.com",322
"Mark Garet","true","0051U000005L4E9QAK","Person Account","Customer","CA","2020-06-11","High","2019-09-18","San Francisco","Completed","-","Manager","Call","0011U00000KuFbrQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-04","Meeting","2.01908291351258E+019","Income","Onboarding","Call","Lucius Blevins","Inexperienced","2020-07-06","Mass Market","Brenda Banker","1. Less than 50k","Event","Evaluate Refinancing Loan","sunil.dixit@example.com",333
"Brenda Banker","true","0051U000005L6eJQAS","Person Account","Customer","FL","2020-06-29","High","2019-12-10","Florida","Event","-","Manager","Call","0011U00000KuFbsQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-22","Email","2.01908291351258E+019","Aggressive Growth","Onboarding","Call","Wynter Reese","Experienced","2020-07-06","Retired","Chelsea Advisor","1. Less than 50k","Event","Lunch Meeting","ryan.dobson@example.com",315
"Chelsea Advisor","true","0051U000005L4E9QAK","Person Account","Customer","CA","2020-06-09","High","2019-12-18","San Francisco","Not Started","-","Manager","Call","0011U00000KuFbtQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-02","Email","2.01908291351258E+019","Balanced Growth","Client Retention","Call","Destiny Patrick","Moderately Inexperienced","2020-07-06","High Net Worth Families","Brenda Banker","1. Less than 50k","Event","Summit","sunil.dixit@example.com",335
"Brenda Banker","true","0051U000005L6eJQAS","Person Account","Customer","FL","2020-06-17","High","2019-02-02","Florida","Event","-","Manager","Call","0011U00000KuFbuQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-10","Email","2.01908291351258E+019","Growth","Prospecting","Call","Byron Jefferson","Moderately Experienced","2020-07-06","Millennials","Chelsea Advisor","2. Between 50k and 250k","Event","Quarterly Earnings Summary","ryan.dobson@example.com",327
"Chelsea Advisor","true","0051U000005L4E9QAK","Household","Customer","CA","2020-06-21","High","2019-10-06","San Francisco","Event","-","Manager","Call","0011U00000KuFbyQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-14","Meeting","2.01908291351258E+019","Balanced Growth","Onboarding","Call","Kristen Mason","Moderately Experienced","2020-07-06","Retired","Brenda Banker","2. Between 50k and 250k","Event","Summit","sunil.dixit@example.com",323
"Allen Advisor","true","0051U000005KhW6QAK","Individual","Customer","NY","2020-06-20","High","2020-01-05","New York","Event","-","Manager","Call","0011U00000KuFbzQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-13","Meeting","2.01908291351258E+019","Growth","Client Retention","Call","Philip Mcguire","Inexperienced","2020-07-06","High Net Worth Families","Mark Garet","1. Less than 50k","Event","Sync Up","mark.garet@example.com",324
"Chelsea Advisor","true","0051U000005L4E9QAK","Individual","Customer","CA","2020-07-02","High","2019-10-05","San Francisco","In progress","-","Manager","Call","0011U00000KuFc1QAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-25","Meeting","2.01908291351258E+019","Aggressive Growth","Onboarding","Call","Judah Puckett","Inexperienced","2020-07-06","High Net Worth Families","Brenda Banker","1. Less than 50k","Event","Quarterly Earnings Summary","sunil.dixit@example.com",312
"Chelsea Advisor","true","0051U000005L4E9QAK","Household","Customer","CA","2020-06-29","High","2019-11-02","San Francisco","Not Started","-","Manager","Call","0011U00000KuFc4QAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-22","Other","2.01908291351258E+019","Growth","Onboarding","Call","William Washington","Moderately Inexperienced","2020-07-06","Millennials","Brenda Banker","1. Less than 50k","Event","Discussion","sunil.dixit@example.com",315
"Allen Advisor","true","0051U000005L6eJQAS","Person Account","Customer","FL","2020-06-30","High","2020-02-23","Florida","Completed","-","Manager","Call","0011U00000KuFc5QAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-23","Email","2.01908291351258E+019","Balanced Growth","Prospecting","Call","Jessica Macias","Inexperienced","2020-07-06","Retired","Chelsea Advisor","2. Between 50k and 250k","Event","Summit","ryan.dobson@example.com",314
"Brenda Banker","true","0051U000005L6eJQAS","Household","Customer","FL","2020-06-06","High","2019-07-26","Florida","Event","-","Manager","Call","0011U00000KuFc6QAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-07-30","Meeting","2.01908291351258E+019","Balanced Growth","Prospecting","Call","Martin Price","Moderately Inexperienced","2020-07-06","Mass Market","Chelsea Advisor","2. Between 50k and 250k","Event","Discussion","ryan.dobson@example.com",338
"Brenda Banker","true","0051U000005L4E9QAK","Person Account","Customer","CA","2020-07-05","High","2019-05-30","San Francisco","Not Started","-","Manager","Call","0011U00000KuFc8QAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-28","Email","2.01908291351258E+019","Balanced Growth","Service","Call","Bevis Spence","Experienced","2020-07-06","Millennials","Brenda Banker","2. Between 50k and 250k","Event","Lunch Meeting","sunil.dixit@example.com",309
"Mark Garet","true","0051U000005L4E9QAK","Person Account","Customer","CA","2020-07-01","High","2019-03-02","San Francisco","Not Started","-","Manager","Call","0011U00000KuFc9QAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-24","Call","2.01908291351258E+019","Balanced Growth","Prospecting","Call","Hasad Hoffman","Moderately Experienced","2020-07-06","Retired","Brenda Banker","2. Between 50k and 250k","Event","Summit","sunil.dixit@example.com",313
"Mark Garet","true","0051U000005JQyrQAG","Household","Customer","IL","2020-06-16","High","2019-09-14","Chicago","Event","-","Manager","Call","0011U00000KuFcAQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-09","Other","2.01908291351258E+019","Balanced Growth","Service","Call","Mariko Huffman","Experienced","2020-07-06","Mass Market","Allen Advisor","1. Less than 50k","Event","Summit","allen.advisor@example.com",328
"Allen Advisor","true","0051U000005KhW6QAK","Person Account","Customer","NY","2020-06-21","High","2019-12-11","New York","Event","-","Manager","Call","0011U00000KuFcDQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-14","Other","2.01908291351258E+019","Aggressive Growth","Client Retention","Call","Avye Bond","Inexperienced","2020-07-06","High Net Worth Families","Mark Garet","1. Less than 50k","Event","Evaluate Refinancing Loan","mark.garet@example.com",323
"Chelsea Advisor","true","0051U000005KhW6QAK","Person Account","Customer","NY","2020-06-30","High","2019-01-16","New York","Event","-","Manager","Call","0011U00000KuFcEQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-23","Meeting","2.01908291351258E+019","Aggressive Growth","Client Retention","Call","Lawrence Hill","Experienced","2020-07-06","Millennials","Mark Garet","2. Between 50k and 250k","Event","Discussion","mark.garet@example.com",314
"Allen Advisor","true","0051U000005L4E9QAK","Individual","Customer","CA","2020-07-01","High","2020-06-30","San Francisco","Not Started","-","Manager","Call","0011U00000KuFcJQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-24","Other","2.01908291351258E+019","Aggressive Growth","Onboarding","Call","Rachel Sharpe","Experienced","2020-07-06","Retired","Brenda Banker","2. Between 50k and 250k","Event","Discussion","sunil.dixit@example.com",313
"Chelsea Advisor","true","0051U000005L4E9QAK","Household","Customer","CA","2020-06-13","High","2019-04-27","San Francisco","Not Started","-","Manager","Call","0011U00000KuFcLQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-06","Meeting","2.01908291351258E+019","Aggressive Growth","Onboarding","Call","Cole Byers","Moderately Experienced","2020-07-06","High Net Worth Families","Brenda Banker","1. Less than 50k","Event","Summit","sunil.dixit@example.com",331
"Chelsea Advisor","true","0051U000005KhW6QAK","Person Account","Customer","NY","2020-06-21","High","2019-08-03","New York","Completed","-","Manager","Call","0011U00000KuFcMQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-14","Email","2.01908291351258E+019","Income","Client Retention","Call","Clayton Shepard","Experienced","2020-07-06","Retired","Mark Garet","1. Less than 50k","Event","Send Birthday Gift","mark.garet@example.com",323
"Chelsea Advisor","true","0051U000005KhW6QAK","Household","Customer","NY","2020-06-24","High","2019-09-19","New York","Completed","-","Manager","Call","0011U00000KuFcOQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-17","Other","2.01908291351258E+019","Balanced Growth","Service","Call","Kamal Farmer","Moderately Experienced","2020-07-06","Retired","Mark Garet","2. Between 50k and 250k","Event","Evaluate Refinancing Loan","mark.garet@example.com",320
"Mark Garet","true","0051U000005L4E9QAK","Person Account","Customer","CA","2020-06-11","High","2019-01-24","San Francisco","Completed","-","Manager","Call","0011U00000KuFcPQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-04","Email","2.01908291351258E+019","Growth","Prospecting","Call","Amal Park","Moderately Experienced","2020-07-06","Mass Market","Brenda Banker","1. Less than 50k","Event","Quarterly Earnings Summary","sunil.dixit@example.com",333
