"Status","Owner","LeadSource","IsConverted","Rating","Amount_Slot","CreatedDate","Slot","Name","LeadActivities","ConvertedOppAmount","LeadNumber"
"Working","G M","Other","false","Warm","0","2020-09-13","From 5 to 10","Rollo Joberne",6,0,248
"Qualified","Qianwen Dong","Employee Referral","false","Hot","0","2020-05-05","From 16 to 25","Darcee Fayer",20,0,249
"Nurturing","R CSEG","Employee Referral","false","Warm","0","2020-03-29","From 11 to 15","Jacklin Guynemer",15,0,250
"Converted","G M","Other","true","Cold","From 5K to 10K","2020-07-08","From 5 to 10","Clayborn Presslee",10,24800,251
"Nurturing - Contacted","Qianwen Dong","Purchased List","false","Warm","0","2020-06-21","From 5 to 10","Dew Phripp",6,0,252
"Working  - Contacted","R CSEG","Other","false","Hot","0","2020-03-16","From 16 to 25","Linnell Smidmor",17,0,253
"Qualified","R CSEG","Advertisement","false","Warm","0","2020-01-24","From 16 to 25","Andrej Janning",21,0,254
"Nurturing - Contacted","G M","Employee Referral","false","Cold","0","2020-08-06","0","Celisse Dudny",0,0,255
"New","Deepu CSEG","Employee Referral","false","Warm","0","2020-12-05","From 5 to 10","Virginie Bembrigg",8,0,256
"Converted","R CSEG","Advertisement","true","Cold","From 10K to 25K","2020-07-21","From 5 to 10","Renaud Harborow",6,19000,257
"Converted","Qianwen Dong","Other","true","Warm","From 50K to 100K","2020-11-10","From 11 to 15","Lucretia Flaunders",13,57000,258
"Working","Deepu CSEG","Employee Referral","false","Hot","0","2020-06-27","From 11 to 15","Cathrin Bridat",12,0,259
"Nurturing","G M","Other","false","Hot","0","2020-09-22","From 16 to 25","Carolee Slafford",17,0,260
"Nurturing - Contacted","R CSEG","Other","false","Warm","0","2020-05-22","From 11 to 15","Adan Saldler",15,0,261
"Working  - Contacted","G M","Purchased List","false","Warm","0","2020-10-05","From 16 to 25","Valentino Saward",16,0,262
"Qualified","Qianwen Dong","Trade Show","false","Cold","0","2020-04-25","From 5 to 10","Jessie Northway",10,0,263
"Converted","R CSEG","Other","true","Warm","From 25K to 50K","2020-02-26","From 5 to 10","Rhodie Eggar",5,33000,264
"Working  - Contacted","R CSEG","Employee Referral","false","Hot","0","2020-02-28","From 5 to 10","Brynn Tillot",5,0,265
"Converted","R CSEG","Employee Referral","true","Warm","From 100K to 150K","2020-04-13","From 11 to 15","Mariana Keuneke",13,150000,266
"New","Deepu CSEG","Advertisement","false","Cold","0","2020-08-30","From 5 to 10","Darlene Deards",6,0,267
"Converted","Qianwen Dong","Advertisement","true","Warm","From 5K to 10K","2020-11-25","From 5 to 10","Corly Randal",7,76400,268
"Nurturing - Contacted","R CSEG","Employee Referral","false","Hot","0","2020-12-21","From 16 to 25","Blisse Shemilt",17,0,269
"Qualified","G M","Other","false","Hot","0","2020-01-03","From 11 to 15","Penelope Beagles",12,0,270
"Converted","G M","Purchased List","true","Warm","From 25K to 50K","2020-09-02","From 5 to 10","Milo Scobbie",8,44000,271
"Nurturing","R CSEG","Other","false","Cold","0","2020-06-06","From 5 to 10","Vinny Beynkn",5,0,272
"Working","Qianwen Dong","Other","false","Warm","0","2020-05-13","From 11 to 15","Andrea Kingsnode",13,0,273
"Working  - Contacted","G M","Employee Referral","false","Warm","0","2020-10-20","From 11 to 15","Theda Gouny",14,0,274
"Converted","Deepu CSEG","Advertisement","true","Hot","From 10K to 25K","2020-03-27","From 16 to 25","Emili Shippam",20,12000,275
"Working","R CSEG","Other","false","Cold","0","2020-07-12","From 5 to 10","Harriott Jado",9,0,276
"New","R CSEG","Other","false","Hot","0","2020-08-29","From 11 to 15","Henrik Landrick",14,0,277
"Nurturing","G M","Employee Referral","false","Warm","0","2020-07-31","From 5 to 10","Terry Cuttelar",8,0,278
"Qualified","Qianwen Dong","Other","false","Warm","0","2020-01-30","From 11 to 15","Ailene Ropert",14,0,279
"Working  - Contacted","R CSEG","Trade Show","false","Hot","0","2020-09-23","From 16 to 25","Roscoe O'Lehane",22,0,280
"Converted","R CSEG","Purchased List","true","Warm","From 50K to 100K","2020-03-31","From 16 to 25","Sandi Prugel",17,68000,281
"Nurturing - Contacted","Deepu CSEG","Employee Referral","false","Cold","0","2020-05-21","0","Hermann Lismer",0,0,282
"Converted","R CSEG","Other","true","Warm","From 25K to 50K","2020-04-25","From 5 to 10","Isabelle Dmitrichenko",6,37000,283
"Working","Qianwen Dong","Other","false","Hot","0","2020-02-18","From 16 to 25","Elle Snailham",16,0,284
"Nurturing","G M","Employee Referral","false","Warm","0","2020-06-22","From 11 to 15","Myrna Beckensall",11,0,285
"Qualified","G M","Other","false","Cold","0","2020-11-21","From 5 to 10","Corabel Maker",5,0,286
"Qualified","R CSEG","Advertisement","false","Hot","0","2020-10-28","From 5 to 10","Brynn Mattiazzo",9,0,287
"Converted","R CSEG","Employee Referral","true","Warm","From 10K to 25K","2020-12-03","From 5 to 10","Harris Luckes",7,17500,288
"Working","Qianwen Dong","Advertisement","false","Warm","0","2020-04-24","From 11 to 15","Idalina Heatly",12,0,289
"Nurturing - Contacted","Deepu CSEG","Advertisement","false","Cold","0","2020-09-16","From 5 to 10","Fabian Stadding",9,0,290
"New","R CSEG","Purchased List","false","Warm","0","2020-05-03","From 5 to 10","Darin Challenor",7,0,291
"Working  - Contacted","G M","Employee Referral","false","Hot","0","2020-11-04","From 16 to 25","Gail Cassedy",24,0,292
"Nurturing","R CSEG","Other","false","Warm","0","2020-03-01","From 16 to 25","Anett Link",21,0,293
"Nurturing - Contacted","G M","Other","false","Hot","0","2020-08-31","From 11 to 15","Ruthie Marvell",15,0,294
"Working  - Contacted","Qianwen Dong","Other","false","Cold","0","2020-01-16","From 5 to 10","Catharina Labdon",6,0,295
"Qualified","R CSEG","Employee Referral","false","Warm","0","2020-10-22","From 11 to 15","Bianka Farmery",12,0,296
"Working","G M","Trade Show","false","Warm","0","2020-02-17","From 5 to 10","Kristin Prebble",8,0,297
"Converted","R CSEG","Other","true","Hot","From 25K to 50K","2020-06-08","From 16 to 25","Jamie Ramsdell",19,28000,298
"Nurturing - Contacted","Deepu CSEG","Employee Referral","false","Warm","0","2020-07-14","From 5 to 10","Gilemette Moston",6,0,299
"Converted","Qianwen Dong","Advertisement","true","Cold","From 50K to 100K","2020-12-05","From 5 to 10","Nicolis Varnam",9,80000,300
"Converted","G M","Purchased List","true","Hot","From 25K to 50K","2020-06-27","From 5 to 10","Korry Ardron",5,40000,301
"New","Deepu CSEG","Advertisement","false","Warm","0","2020-07-24","From 11 to 15","Edeline Casserly",15,0,302
"Nurturing","R CSEG","Employee Referral","false","Warm","0","2020-05-06","From 11 to 15","Ringo Strotone",11,0,303
"Converted","R CSEG","Other","true","Cold","From 5K to 10K","2020-11-03","From 5 to 10","Arnaldo Izaks",9,12800,304
"Qualified","R CSEG","Other","false","Hot","0","2020-01-11","From 16 to 25","Zebadiah Baffin",22,0,305
"Nurturing - Contacted","G M","Other","false","Warm","0","2020-03-18","From 5 to 10","Cordy Wildbore",7,0,306
"Qualified","Qianwen Dong","Other","false","Warm","0","2020-04-12","From 11 to 15","Jonas Davydkov",15,0,307
"Converted","R CSEG","Advertisement","true","Hot","From 100K to 150K","2020-10-07","From 11 to 15","Staford Bagnal",11,106000,308
"Working  - Contacted","G M","Other","false","Cold","0","2020-08-28","0","Evangelia Ricker",0,0,309
"Nurturing","Deepu CSEG","Employee Referral","false","Warm","0","2020-12-04","From 16 to 25","Meier Drought",17,0,310
"New","Qianwen Dong","Employee Referral","false","Hot","0","2020-02-19","From 16 to 25","Gerek Holhouse",23,0,311
"Converted","R CSEG","Trade Show","true","Warm","From 25K to 50K","2020-09-14","From 5 to 10","Annalee Beadell",6,29000,312
"Working  - Contacted","G M","Other","false","Cold","0","2020-10-30","From 5 to 10","Gretchen Kevlin",10,0,313
"Working  - Contacted","R CSEG","Employee Referral","false","Warm","0","2020-06-11","From 11 to 15","Leola Beament",11,0,314
"Qualified","G M","Purchased List","false","Warm","0","2020-05-14","From 5 to 10","Tedmund McBryde",8,0,315
"Working","R CSEG","Advertisement","false","Hot","0","2020-12-01","From 11 to 15","Neddy Skirling",11,0,316
"Converted","Deepu CSEG","Other","true","Warm","From 10K to 25K","2020-09-19","From 11 to 15","Aurea Rottery",14,22000,317
"Nurturing - Contacted","Qianwen Dong","Advertisement","false","Hot","0","2020-03-09","From 16 to 25","Raye Marriner",18,0,318
"Nurturing","G M","Other","false","Warm","0","2020-07-11","From 5 to 10","Cori Tomkies",9,0,319
"Qualified","R CSEG","Employee Referral","false","Cold","0","2020-08-02","From 5 to 10","Debra Nairy",5,0,320
"Working","R CSEG","Employee Referral","false","Warm","0","2020-01-18","From 11 to 15","Sasha Slocom",12,0,321
"Nurturing - Contacted","Qianwen Dong","Purchased List","false","Cold","0","2020-02-06","From 5 to 10","Buddy Ibbison",5,0,322
"Working  - Contacted","G M","Other","false","Warm","0","2020-04-27","From 16 to 25","Pansie Batrick",21,0,323
"New","R CSEG","Advertisement","false","Hot","0","2020-11-18","From 11 to 15","Carlo Greeveson",12,0,324
"Converted","Deepu CSEG","Employee Referral","true","Hot","From 10K to 25K","2020-12-22","From 5 to 10","Jacobo Peers",9,14500,325
"Converted","R CSEG","Other","true","Warm","From 5K to 10K","2020-11-10","From 5 to 10","Whitman Ferrillio",8,56200,326
"Nurturing","R CSEG","Other","false","Warm","0","2020-09-06","From 11 to 15","Saul Mixworthy",11,0,327
"Nurturing - Contacted","G M","Other","false","Cold","0","2020-02-28","From 5 to 10","Cecilia Adshad",9,0,328
"Working  - Contacted","Qianwen Dong","Employee Referral","false","Warm","0","2020-03-22","From 5 to 10","Celestine McMenamy",9,0,329
"Working","G M","Other","false","Hot","0","2020-06-16","From 16 to 25","Hadria Mahaddie",19,0,330
"Working","Deepu CSEG","Purchased List","false","Warm","0","2020-10-01","From 11 to 15","Albrecht de'-Ancy Willis",13,0,331
"Qualified","R CSEG","Employee Referral","false","Hot","0","2020-01-20","From 16 to 25","Tallou Larvin",23,0,332
"Converted","Qianwen Dong","Trade Show","true","Cold","From 50K to 100K","2020-07-15","From 5 to 10","Linnea Braybrookes",5,71000,333
"New","R CSEG","Advertisement","false","Warm","0","2020-08-27","From 5 to 10","Adrianne Sprulls",8,0,334
"Nurturing","R CSEG","Advertisement","false","Warm","0","2020-05-14","From 11 to 15","Rosalind Stockall",13,0,335
"Qualified","G M","Employee Referral","false","Cold","0","2020-04-04","0","Boony Emanuelov",0,0,336
"Nurturing - Contacted","R CSEG","Other","false","Hot","0","2020-05-25","From 11 to 15","Kiah Hawkeridge",12,0,337
"Converted","Deepu CSEG","Other","true","Warm","From 10K to 25K","2020-11-03","From 16 to 25","Eden MacFarland",24,22000,338
"Converted","Qianwen Dong","Other","true","Warm","From 25K to 50K","2020-01-31","From 5 to 10","Marice Beasley",8,25000,339
"Qualified","R CSEG","Other","false","Hot","0","2020-10-26","From 16 to 25","Bridie McTeague",17,0,340
"Working  - Contacted","G M","Purchased List","false","Warm","0","2020-03-25","From 5 to 10","Bernadene Hammerich",7,0,341
"Converted","G M","Other","true","Cold","From 50K to 100K","2020-07-12","From 5 to 10","Reina Pitney",9,79000,342
"Nurturing - Contacted","R CSEG","Employee Referral","false","Warm","0","2020-12-28","From 11 to 15","Lamar Tingle",13,0,343
"Working  - Contacted","Qianwen Dong","Advertisement","false","Hot","0","2020-08-03","From 5 to 10","Sabra Dobrowski",9,0,344
"Nurturing","R CSEG","Employee Referral","false","Warm","0","2020-09-27","From 11 to 15","Jaimie Paradin",14,0,345
"New","R CSEG","Other","false","Hot","0","2020-04-14","From 11 to 15","Isac Gamble",11,0,346
"Working","Deepu CSEG","Employee Referral","false","Warm","0","2020-06-18","From 5 to 10","Emelda Ondrich",5,0,347
"Converted","G M","Trade Show","true","Cold","From 100K to 150K","2020-02-04","From 5 to 10","Fredelia Normant",8,150000,348
"Working","Qianwen Dong","Other","false","Warm","0","2020-11-30","From 16 to 25","Stillmann Doherty",24,0,349
"Converted","G M","Other","true","Cold","From 5K to 10K","2020-01-05","From 5 to 10","Domenic Trewman",10,7200,350
"Working  - Contacted","R CSEG","Advertisement","false","Hot","0","2020-12-24","From 16 to 25","Bobine Orrobin",23,0,351
"Qualified","Deepu CSEG","Other","false","Warm","0","2020-05-12","From 5 to 10","Andros Hanford",9,0,352
"Nurturing - Contacted","G M","Employee Referral","false","Hot","0","2020-04-01","From 16 to 25","Farley Ortmann",18,0,353
"Qualified","R CSEG","Purchased List","false","Warm","0","2020-09-04","From 11 to 15","Sib Hawk",12,0,354
"Working","Qianwen Dong","Employee Referral","false","Cold","0","2020-07-12","From 5 to 10","Alphonso Acey",6,0,355
"Nurturing","R CSEG","Advertisement","false","Warm","0","2020-02-24","From 5 to 10","Giacopo Stodd",5,0,356
"Converted","R CSEG","Other","true","Warm","From 10K to 25K","2020-08-25","From 11 to 15","Darbie Duffett",11,24500,357
"Converted","G M","Other","true","Hot","From 25K to 50K","2020-03-05","From 11 to 15","Eilis Myerscough",12,50000,358
"Nurturing - Contacted","R CSEG","Advertisement","false","Warm","0","2020-10-27","From 11 to 15","Alasdair Arthars",12,0,359
"Converted","Deepu CSEG","Other","true","Cold","From 25K to 50K","2020-06-24","From 5 to 10","Web Casement",10,33000,360
"Working  - Contacted","Qianwen Dong","Employee Referral","false","Hot","0","2020-02-15","From 16 to 25","Lira Snewin",25,0,361
"Qualified","R CSEG","Purchased List","false","Warm","0","2020-06-13","From 5 to 10","Liuka Pickburn",6,0,362
"Working","G M","Employee Referral","false","Warm","0","2020-10-18","From 11 to 15","Tressa Dunderdale",15,0,363
"New","G M","Trade Show","false","Hot","0","2020-11-25","From 16 to 25","Conway Sarre",24,0,364
"Nurturing","Qianwen Dong","Other","false","Cold","0","2020-01-21","0","Fremont Brunsden",0,0,365
"Converted","R CSEG","Employee Referral","true","Warm","From 25K to 50K","2020-03-14","From 5 to 10","Pippo Friedlos",5,30000,366
"Working  - Contacted","R CSEG","Advertisement","false","Hot","0","2020-08-25","From 5 to 10","Patin Morrid",6,0,367
"Converted","R CSEG","Other","true","Warm","From 50K to 100K","2020-05-23","From 16 to 25","Camile Maylin",18,79000,368
"New","Deepu CSEG","Other","false","Cold","0","2020-07-28","From 5 to 10","Hesther Souley",10,0,369
"Qualified","G M","Other","false","Warm","0","2020-04-24","From 5 to 10","Madelon Krystek",9,0,370
"Working  - Contacted","R CSEG","Advertisement","false","Hot","0","2020-09-07","From 16 to 25","Rycca Geoghegan",18,0,371
"Nurturing","Qianwen Dong","Purchased List","false","Warm","0","2020-12-03","From 11 to 15","Frederic Mahedy",15,0,372
"Converted","G M","Other","true","Cold","From 10K to 25K","2020-05-28","From 5 to 10","Scotti Rowland",6,13000,373
"Nurturing - Contacted","Deepu CSEG","Employee Referral","false","Warm","0","2020-04-25","From 11 to 15","Denys Eburah",12,0,374
"Qualified","R CSEG","Other","false","Hot","0","2020-11-29","From 11 to 15","Jesse Dincke",14,0,375
"Converted","R CSEG","Employee Referral","true","Warm","From 25K to 50K","2020-06-19","From 5 to 10","Troy Newns",9,26000,376
"Nurturing - Contacted","Qianwen Dong","Advertisement","false","Hot","0","2020-08-15","From 16 to 25","Massimo Capron",25,0,377
"Nurturing","G M","Trade Show","false","Cold","0","2020-01-24","From 5 to 10","Urbano Zorn",8,0,378
"Working","G M","Other","false","Warm","0","2020-10-15","From 11 to 15","Aretha Chstney",11,0,379
"Qualified","R CSEG","Employee Referral","false","Hot","0","2020-02-04","From 11 to 15","Zaneta Nottle",11,0,380
"Working  - Contacted","R CSEG","Other","false","Warm","0","2020-07-19","From 5 to 10","Charmian Elphee",5,0,381
"New","Qianwen Dong","Employee Referral","false","Warm","0","2020-03-05","From 16 to 25","Daisi Schirok",25,0,382
"Working","Deepu CSEG","Purchased List","false","Cold","0","2020-12-13","From 5 to 10","Arin Oleszcuk",6,0,383
"Nurturing - Contacted","R CSEG","Advertisement","false","Hot","0","2020-09-12","From 16 to 25","Dexter Middlemass",25,0,384
"Converted","R CSEG","Other","true","Warm","From 5K to 10K","2020-07-20","From 11 to 15","Cele Dyka",12,69100,385
"Converted","G M","Advertisement","true","Warm","From 100K to 150K","2020-08-02","From 5 to 10","Tracy Guilaem",7,105000,386
"Working  - Contacted","Qianwen Dong","Other","false","Cold","0","2020-04-15","From 5 to 10","Ken Leebetter",6,0,387
"Qualified","R CSEG","Other","false","Warm","0","2020-11-16","From 11 to 15","Rebbecca Chmarny",14,0,388
"Converted","Deepu CSEG","Employee Referral","true","Hot","From 25K to 50K","2020-10-05","From 5 to 10","Alyosha Ivanin",8,38000,389
"Nurturing - Contacted","R CSEG","Other","false","Warm","0","2020-05-31","From 5 to 10","Edmon Robelet",10,0,390
"Nurturing","G M","Employee Referral","false","Hot","0","2020-02-18","From 16 to 25","Aldus Bourdice",19,0,391
"Working","G M","Purchased List","false","Warm","0","2020-12-26","From 11 to 15","Cornelius Arondel",13,0,392
"New","R CSEG","Other","false","Cold","0","2020-03-06","0","Anestassia Fenich",0,0,393
"Working  - Contacted","Qianwen Dong","Trade Show","false","Warm","0","2020-01-10","From 5 to 10","Carly Cruikshanks",5,0,394
"Converted","Deepu CSEG","Employee Referral","true","Hot","From 10K to 25K","2020-09-13","From 16 to 25","Iolanthe Birchett",16,14000,395
"Working","G M","Advertisement","false","Warm","0","2020-06-04","From 11 to 15","Fayina Chattaway",15,0,396
"Converted","R CSEG","Other","true","Cold","From 25K to 50K","2020-09-27","From 5 to 10","Cameron Guisler",5,25000,397
"Qualified","G M","Advertisement","false","Hot","0","2020-01-23","From 11 to 15","Alana Norrey",11,0,398
"Nurturing - Contacted","R CSEG","Employee Referral","false","Warm","0","2020-03-18","From 16 to 25","Meryl Klawi",25,0,399
"Nurturing","R CSEG","Employee Referral","false","Warm","0","2020-07-13","From 5 to 10","Sibella Trevethan",7,0,400
"Working  - Contacted","Qianwen Dong","Purchased List","false","Cold","0","2020-11-24","From 5 to 10","Betty Huett",10,0,401
"Qualified","G M","Other","false","Warm","0","2020-04-24","From 11 to 15","Reagen Horsewood",13,0,402
"Converted","Qianwen Dong","Employee Referral","true","Hot","From 10K to 25K","2020-12-19","From 16 to 25","Frederic Antal",23,12500,403
"Nurturing","R CSEG","Advertisement","false","Hot","0","2020-10-21","From 11 to 15","Phyllida Blair",11,0,404
"Nurturing - Contacted","R CSEG","Other","false","Warm","0","2020-08-19","From 5 to 10","Jewel Miliffe",9,0,405
"Working","G M","Other","false","Warm","0","2020-06-18","From 11 to 15","Claudia Treagust",13,0,406
"Qualified","R CSEG","Employee Referral","false","Cold","0","2020-05-07","From 5 to 10","Raviv English",6,0,407
"Working  - Contacted","Deepu CSEG","Other","false","Warm","0","2020-02-16","From 5 to 10","Otis Geraldo",10,0,408
"New","Qianwen Dong","Other","false","Hot","0","2020-06-23","From 5 to 10","Iorgos Cramphorn",10,0,409
"Nurturing - Contacted","R CSEG","Advertisement","false","Warm","0","2020-11-09","From 11 to 15","Sonya Swadling",12,0,410
"Converted","G M","Other","true","Hot","From 5K to 10K","2020-12-23","From 16 to 25","Dede Connors",23,63800,411
"Working","R CSEG","Trade Show","false","Warm","0","2020-05-23","From 5 to 10","Myca Salzberger",6,0,412
"Converted","Deepu CSEG","Other","true","Cold","From 50K to 100K","2020-09-13","From 5 to 10","Rufe Dooly",5,80000,413
"Nurturing","Qianwen Dong","Employee Referral","false","Warm","0","2020-04-30","From 16 to 25","Clementina Treslove",22,0,414
"New","G M","Advertisement","false","Hot","0","2020-03-08","From 16 to 25","Caty Lindgren",23,0,415
"Working  - Contacted","R CSEG","Employee Referral","false","Cold","0","2020-08-03","From 5 to 10","Jessi Woolford",7,0,416
"Nurturing - Contacted","Deepu CSEG","Other","false","Warm","0","2020-07-14","From 11 to 15","Lucien Skerratt",15,0,417
"Converted","R CSEG","Employee Referral","true","Warm","From 50K to 100K","2020-01-05","From 5 to 10","Carree Windress",7,57000,418
"Converted","G M","Other","true","Hot","From 25K to 50K","2020-10-02","From 11 to 15","Kaitlynn Gair",12,38000,419
"Working","Qianwen Dong","Purchased List","false","Cold","0","2020-02-06","0","Florance Blaydes",0,0,420
"Qualified","R CSEG","Other","false","Warm","0","2020-05-29","From 11 to 15","Clea Cerro",14,0,421
"Converted","G M","Employee Referral","true","Hot","From 25K to 50K","2020-10-28","From 16 to 25","Eldin Best",24,29000,422
"Working  - Contacted","R CSEG","Advertisement","false","Warm","0","2020-01-16","From 5 to 10","Cindi Eby",5,0,423
"Qualified","R CSEG","Purchased List","false","Warm","0","2020-06-30","From 11 to 15","Sylvester Verrillo",15,0,424
"Nurturing - Contacted","Qianwen Dong","Other","false","Cold","0","2020-04-09","From 5 to 10","Clemmy Cullingford",6,0,425
"Nurturing","Deepu CSEG","Other","false","Warm","0","2020-07-09","From 5 to 10","Harmony Hanscome",8,0,426
"New","G M","Trade Show","false","Hot","0","2020-09-15","From 11 to 15","Alexi McGaugie",13,0,427
"Qualified","R CSEG","Employee Referral","false","Warm","0","2020-02-20","From 16 to 25","Sylvia Drysdall",25,0,428
"Converted","R CSEG","Other","true","Cold","From 100K to 150K","2020-03-11","From 5 to 10","Indira Crook",10,116000,429
"Nurturing","G M","Employee Referral","false","Warm","0","2020-11-28","From 11 to 15","Reed Kleine",14,0,430
"Converted","Qianwen Dong","Purchased List","true","Hot","From 5K to 10K","2020-12-12","From 16 to 25","Nickey Spon",25,70500,431
"Nurturing - Contacted","R CSEG","Other","false","Warm","0","2020-08-24","From 5 to 10","Neddy Kleinplac",6,0,432
"Qualified","G M","Advertisement","false","Hot","0","2020-10-01","From 5 to 10","Dur Twigge",10,0,433
"Working","Deepu CSEG","Other","false","Warm","0","2020-04-17","From 11 to 15","Traci Gellately",13,0,434
"Working  - Contacted","R CSEG","Advertisement","false","Cold","0","2020-09-02","From 5 to 10","Adelice Kennealy",6,0,435
"Working  - Contacted","R CSEG","Employee Referral","false","Warm","0","2020-08-02","From 5 to 10","Jorge Sizey",5,0,436
"Working","Qianwen Dong","Advertisement","false","Hot","0","2020-06-24","From 16 to 25","Darelle Roddick",24,0,437
"Nurturing","G M","Other","false","Warm","0","2020-02-17","From 11 to 15","Anne Luton",15,0,438
"New","Deepu CSEG","Employee Referral","false","Hot","0","2020-07-14","From 11 to 15","Janela Staig",14,0,439
"Nurturing - Contacted","R CSEG","Other","false","Cold","0","2020-05-22","From 5 to 10","Saloma Juschka",9,0,440
"Qualified","R CSEG","Other","false","Warm","0","2020-12-14","From 16 to 25","Junina Howieson",24,0,441
"Working  - Contacted","Qianwen Dong","Purchased List","false","Warm","0","2020-11-26","From 5 to 10","Grethel Aries",5,0,442
"Converted","G M","Employee Referral","true","Cold","From 50K to 100K","2020-03-20","From 5 to 10","Mateo Beig",6,63000,443
"Converted","G M","Trade Show","true","Warm","From 25K to 50K","2020-01-03","From 5 to 10","Noam Ricart",5,30000,444
"Converted","R CSEG","Advertisement","true","Hot","From 10K to 25K","2020-08-14","From 16 to 25","Galven Duggon",20,11500,445
"Working","Deepu CSEG","Employee Referral","false","Warm","0","2020-09-21","From 11 to 15","Dulcie Gourdon",13,0,446
"Nurturing - Contacted","R CSEG","Other","false","Hot","0","2020-01-30","From 16 to 25","Carola Lampke",21,0,447
"Converted","R CSEG","Other","true","Warm","From 10K to 25K","2020-07-11","From 11 to 15","Kristine Drewery",13,13000,448
"Qualified","G M","Employee Referral","false","Cold","0","2020-12-27","0","Reilly de Chastelain",0,0,449
"New","Qianwen Dong","Advertisement","false","Hot","0","2020-10-14","From 5 to 10","Darlleen Land",5,0,450
"Converted","G M","Employee Referral","true","Warm","From 10K to 25K","2020-02-16","From 5 to 10","Minerva Booton",6,11000,451
"Nurturing","R CSEG","Other","false","Warm","0","2020-03-03","From 11 to 15","Tani Matysik",13,0,452
"Working  - Contacted","Qianwen Dong","Other","false","Cold","0","2020-05-08","From 5 to 10","Gelya Sharphurst",5,0,453
"Qualified","R CSEG","Purchased List","false","Hot","0","2020-04-18","From 11 to 15","Merilee Izakoff",11,0,454
"Converted","Deepu CSEG","Other","true","Warm","From 50K to 100K","2020-06-21","From 5 to 10","Lexy Towns",6,99000,455
"Nurturing - Contacted","R CSEG","Advertisement","false","Hot","0","2020-11-12","From 16 to 25","Henrieta Goolding",21,0,456
"Working","G M","Other","false","Warm","0","2020-05-18","From 16 to 25","Starla Sissel",19,0,457
"Converted","R CSEG","Employee Referral","true","Cold","From 25K to 50K","2020-12-07","From 5 to 10","Renae Meiner",10,30000,458
"Working  - Contacted","Qianwen Dong","Other","false","Warm","0","2020-03-19","From 11 to 15","Sonnie Outlaw",13,0,459
"Converted","G M","Advertisement","true","Hot","From 25K to 50K","2020-11-26","From 11 to 15","Haily Elt",12,47000,460
"Nurturing","Deepu CSEG","Trade Show","false","Warm","0","2020-08-29","From 5 to 10","Saxon Chawner",5,0,461
"Qualified","R CSEG","Employee Referral","false","Cold","0","2020-06-12","From 5 to 10","Perice Bellino",10,0,462
"Nurturing - Contacted","G M","Purchased List","false","Hot","0","2020-01-13","From 16 to 25","Zsazsa Hempel",22,0,463
"Converted","R CSEG","Employee Referral","true","Warm","From 100K to 150K","2020-04-21","From 11 to 15","Garvey Philipson",12,142000,464
"New","Qianwen Dong","Other","false","Warm","0","2020-09-01","From 5 to 10","Jami de Lloyd",6,0,465
"Working","R CSEG","Advertisement","false","Hot","0","2020-07-20","From 16 to 25","Dun Damiata",23,0,466
"Nurturing","G M","Other","false","Warm","0","2020-02-09","From 11 to 15","Shena Bard",11,0,467
"Qualified","R CSEG","Other","false","Cold","0","2020-10-13","From 5 to 10","Giralda Sickling",7,0,468
"Working  - Contacted","Qianwen Dong","Employee Referral","false","Warm","0","2020-06-11","From 5 to 10","Fara Cotelard",10,0,469
"Nurturing - Contacted","Deepu CSEG","Employee Referral","false","Hot","0","2020-08-08","From 16 to 25","Izak Shankland",18,0,470
"Working","R CSEG","Purchased List","false","Cold","0","2020-07-23","0","Erroll Surpliss",0,0,471
"Converted","G M","Advertisement","true","Warm","From 10K to 25K","2020-01-18","From 16 to 25","Moselle Cisland",23,25000,472
"Converted","R CSEG","Other","true","Hot","From 5K to 10K","2020-12-17","From 11 to 15","Rona Chalker",14,35900,473
"New","Deepu CSEG","Employee Referral","false","Warm","0","2020-03-24","From 11 to 15","Artemus Skea",12,0,474
"Qualified","G M","Other","false","Warm","0","2020-10-29","From 5 to 10","Wilhelmine Mattisson",9,0,475
"Nurturing","R CSEG","Other","false","Cold","0","2020-09-28","From 5 to 10","Anne Fernie",10,0,476
"Working  - Contacted","Qianwen Dong","Other","false","Warm","0","2020-05-05","From 11 to 15","Pierrette Van den Oord",13,0,477
"Nurturing - Contacted","R CSEG","Advertisement","false","Hot","0","2020-04-06","From 5 to 10","Pat Coltart",8,0,478
"Working  - Contacted","G M","Other","false","Warm","0","2020-02-26","From 5 to 10","Joanie Cusack",10,0,479
"Working","Qianwen Dong","Employee Referral","false","Hot","0","2020-11-06","From 16 to 25","Tamiko Pearcehouse",23,0,480
"Converted","Deepu CSEG","Purchased List","true","Cold","From 25K to 50K","2020-02-26","From 5 to 10","Marci Scarsbrooke",5,29000,481
"Nurturing","G M","Employee Referral","false","Warm","0","2020-12-14","From 16 to 25","Justus Berlin",17,0,482
"Converted","R CSEG","Trade Show","true","Warm","From 10K to 25K","2020-08-05","From 5 to 10","Jacky Prati",5,15000,483
"New","R CSEG","Advertisement","false","Hot","0","2020-11-06","From 11 to 15","Marieann Gladhill",13,0,484
"Working  - Contacted","R CSEG","Employee Referral","false","Warm","0","2020-04-12","From 11 to 15","Morly Auletta",14,0,485
"Nurturing - Contacted","G M","Other","false","Cold","0","2020-03-11","From 5 to 10","Brady Hutsby",10,0,486
"Working","Qianwen Dong","Other","false","Warm","0","2020-05-04","From 11 to 15","Tammara De Beauchamp",15,0,487
